COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Autauga "1010 East Memorial Baptist Church" 0 504 784 6
Autauga "1020 Newton Park #1" 0 312 618 3
Autauga "1021 Newton Park #2" 0 368 707 3
Autauga "2040 Camellia Baptist Church" 0 423 485 1
Autauga "2050 Autauga County Voting Site" 0 109 96 0
Autauga "2060 Prattmont Baptist Church" 0 478 618 6
Autauga "3070 National Guard Armory #1" 0 321 534 5
Autauga "3071 National Guard Armory #2" 0 278 421 2
Autauga "3090 Booth Post Office" 0 185 209 2
Autauga "3110 White City Fire Station" 0 92 176 0
Autauga "3120 Haynes Community Center" 0 65 104 2
Autauga "3130 Jones Community Center" 0 112 96 0
Autauga "4140 Pine Level  Fire Station" 0 298 583 1
Autauga "4145 Upper Kingston Comm. Center" 0 437 617 3
Autauga "4160 Marbury Community Center" 0 218 246 0
Autauga "4170 Billingsley Gov. Center" 0 45 160 1
Autauga "5180 Courthouse" 0 650 290 2
Autauga "5200 Old Kingston Voting Center" 0 313 97 2
Autauga "5205 Autaugaville Town Hall" 0 271 84 0
Autauga "5230 Independence Voting House" 0 223 67 0
Autauga "5250 Mulberry Statesville" 0 178 50 0
Autauga "9001 Absentee Votes" 0 92 191 1
Baldwin "0010 Ferguston Store Little River" 0 41 15 0
Baldwin "0020 Tensaw Community Center" 0 74 13 0
Baldwin "0030 Vaughn Community Center" 0 166 79 1
Baldwin "0040 Crossroads School" 0 236 225 1
Baldwin "0050 Bay Minette Intermediate Sch." 0 320 34 0
Baldwin "0060 Ellisville Community Center" 0 127 50 0
Baldwin "0070 Daphne Intermediate Sch. #1" 0 261 178 2
Baldwin "0071 Daphne Intermediate Sch. #2" 0 707 406 5
Baldwin "0080 Fairhope Area Instructional" 0 447 207 1
Baldwin "0090 Little River Restaurant" 0 24 12 0
Baldwin "0100 Lottie Fire Department" 0 44 26 0
Baldwin "0110 Stockton Fire House" 0 116 131 2
Baldwin "0120 Rabun Fire House" 0 128 92 0
Baldwin "0130 Perdido School" 0 155 123 2
Baldwin "0140 Bay Minette City Hall Civic #1" 0 500 588 3
Baldwin "0141 Bay Minette City Hall Civic #2" 0 406 507 3
Baldwin "0150 Pine Grove School" 0 342 268 2
Baldwin "0160 Whitehouse Delta School" 0 210 218 0
Baldwin "0170 Stapleton Community Hall" 0 165 232 1
Baldwin "0180 Gateswood Fire Station" 0 57 114 0
Baldwin "0190 Loxley Town Hall" 0 379 474 0
Baldwin "0200 Rosinton School" 0 261 337 3
Baldwin "0210 Silverhill City Hall" 0 347 548 3
Baldwin "0220 Robertsdale City Hall" 0 488 552 3
Baldwin "0230 Elsanor Community Center" 0 218 207 1
Baldwin "0240 Seminole Fire House" 0 61 100 0
Baldwin "0250 Lilian Baptist Church" 0 136 181 0
Baldwin "0260 Summerdale Community Hall" 0 297 457 1
Baldwin "0270 Elberta Civic Center" 0 437 603 1
Baldwin "0280 Magnolia Springs Wesleyan" 0 551 709 5
Baldwin "0290 Perdido Beach Fire House" 0 180 245 1
Baldwin "0300 Lilian Community Hall" 0 577 778 10
Baldwin "0310 Bon Secour Swift School" 0 183 286 1
Baldwin "0320 Foley Civic Center #1" 0 415 530 0
Baldwin "0321 Foley Civic Center #2" 0 468 614 5
Baldwin "0330 Miflin Community Center" 0 279 427 0
Baldwin "0340 Orange Beach Fire house" 0 717 874 10
Baldwin "0350 Gulf Shores Activity Center #1" 0 618 867 8
Baldwin "0351 Gulf Shores Activity Center #2" 0 470 587 5
Baldwin "0360 Belforest Community Center" 0 177 258 2
Baldwin "0370 Fairhope City Hall #1" 0 592 893 5
Baldwin "0371 Fairhope City Hall #2" 0 572 860 9
Baldwin "0372 Fairhope City Hall #3" 0 868 1098 19
Baldwin "0380 Barnwell Community Hall" 0 508 690 5
Baldwin "0390 Spanish Fort Old School" 0 641 923 6
Baldwin "0400 Spanish Fort Fire House" 0 222 419 2
Baldwin "0405 St. Paul Episcopal Daphne" 0 546 657 9
Baldwin "0410 Daphne High School #1" 0 0 0 0
Baldwin "0411 Daphne High School #2" 0 654 887 6
Baldwin "0420 Daphne Nicholsosn Center" 0 662 968 4
Baldwin "9001 Absentee Votes" 0 339 457 2
Barbour "001 Woodham's Store B." 0 48 43 0
Barbour "002 Hartzog's Store B." 0 67 23 0
Barbour "003 Elamville B." 0 42 59 0
Barbour "004 CLIO B." 0 290 125 1
Barbour "005 CLIO City Hall B." 0 56 63 0
Barbour "006 Coggins Store B." 0 22 47 0
Barbour "007 Bakerhill Fire" 0 230 102 0
Barbour "008 Richard's Cab B." 0 153 75 0
Barbour "009 New Armory W-1" 0 160 44 0
Barbour "010 New Armory" 0 341 394 3
Barbour "011 New Armory W-10" 0 81 11 0
Barbour "012 Sanford W-3 B." 0 113 126 0
Barbour "013 Eufaula W-4 B." 0 466 115 0
Barbour "014 Eufaula W-5" 0 195 178 1
Barbour "015 Mccoo School W-4" 0 284 35 0
Barbour "016 Bevill Center W-6" 0 134 94 1
Barbour "017 Bevill Center W-7" 0 92 137 0
Barbour "018 Mccoo School W-8" 0 435 302 0
Barbour "019 Grubbs" 0 284 183 1
Barbour "020 Beville W-6" 0 111 63 0
Barbour "021 Cowikee Fire B." 0 59 21 0
Barbour "022 Springhill B." 0 238 45 0
Barbour "023 Clayton Court" 0 255 138 0
Barbour "024 Clayton Court B. 3" 0 83 63 0
Barbour "025 Clayton Court B. 4" 0 166 61 0
Barbour "026 Clayton Court B. 5&6" 0 0 0 0
Barbour "027 Clayton Court B. 6" 0 74 23 0
Barbour "028 Mt. Andrews B. 2&3" 0 106 33 0
Barbour "029 Green's B. 1" 0 70 53 1
Barbour "030 Mt. Andrews B. 2&3" 0 149 11 0
Barbour "031 Louisville B." 0 213 46 0
Barbour "032 Louisville B. 4" 0 132 113 1
Barbour "033 Louisville B. 5" 0 11 14 0
Barbour "034 Johnny Boyd's B." 0 76 48 0
Barbour "035 Blue Springs B." 0 136 132 1
Barbour "036 Blue Springs B. 3" 0 0 0 0
Barbour "037 Junior Turner's B." 0 57 21 0
Barbour "Absentee Votes" 0 447 191 1
Bibb "001 Greenpond" 0 388 397 0
Bibb "002 Cedar Grove" 0 139 111 0
Bibb "003 Pondville" 0 60 99 0
Bibb "004 Harrisburg" 0 152 67 0
Bibb "005 Centreville" 0 244 298 0
Bibb "006 Furnace" 0 266 198 0
Bibb "007 Randolph" 0 155 108 0
Bibb "008 Tabernacle" 0 39 56 0
Bibb "009 Brent-North" 0 419 399 0
Bibb "010 West Blocton East" 0 340 239 0
