COUNTY AREA TOTAL DEM REP LIB GRN REF NLP CON WI
COUNTY AREA TOTAL Gore Bush Browne Nader Buchanan Hagelin Phillips WRITEIN
Autauga "EAST MEMORIAL BAPTIST CHURCH" 0 317 1263 7 29 0 0 1 1
Autauga "NEWTON PARK VOTING SITE #1" 0 260 1149 4 10 3 0 0 1
Autauga "NEWTON PARK VOTING SITE #2" 0 295 1129 2 10 1 0 1 0
Autauga "AUTAUGA COUNTY VOTING SITE" 0 68 180 0 2 0 0 0 0
Autauga "CAMELLIA BAPTIST CHURCH" 0 310 796 3 8 3 1 1 0
Autauga "PRATTMONT BAPTIST CHURCH" 0 330 988 1 19 5 2 1 0
Autauga "BOOTH POST OFFICE" 0 152 378 4 5 0 0 0 2
Autauga "HAYNES COMMUNITY CENTER" 0 46 164 1 3 0 0 0 0
Autauga "JONES COMMUNITY CENTER" 0 104 138 0 0 3 0 0 0
Autauga "NATIONAL GUARD ARMORY #1" 0 201 804 4 12 6 0 2 0
Autauga "NATIONAL GUARD ARMORY #2" 0 192 689 4 5 5 0 0 0
Autauga "WHITE CITY FIRE" 0 65 288 2 2 0 0 0 0
Autauga "BILLINGSLEY GOVERNMENT BLDG." 0 33 224 0 2 1 0 0 0
Autauga "MARBURY COMMUNITY CENTER" 0 186 429 3 4 2 0 1 1
Autauga "PINE LEVEL VOLUNTEER FIRE" 0 210 967 3 11 4 0 0 0
Autauga "UPPER KINGSTON COMMUNITY CNTR" 0 256 1087 1 18 4 1 0 0
Autauga "AUTAUGAVILLE TOWN HALL" 0 270 119 0 1 1 0 1 0
Autauga "AUTAUGA COUNTY COURTHOUSE" 0 680 436 6 5 2 1 0 0
Autauga "INDEPENDENCE VOTING SITE" 0 252 107 2 0 0 0 0 0
Autauga "MULBERRY STATESVILLE COMM." 0 215 59 0 0 0 0 0 0
Autauga "OLD KINGSTON VOTING SITE" 0 362 148 1 4 0 0 1 0
Autauga "ABSENTEE VOTERS" 0 138 451 3 10 3 0 0 0
Baldwin "Ferguson Store" 0 38 24 0 0 1 0 0 0
Baldwin "Tensaw Comm. Ctr." 0 92 19 0 0 0 0 0 0
Baldwin "Vaughn Comm. Ctr." 0 236 249 4 4 0 0 0 0
Baldwin "Crossrds. Alt. Sch." 0 107 207 0 4 6 0 0 0
Baldwin "Bay Minette Int. Sch." 0 447 148 3 4 3 1 0 0
Baldwin "Bromley Crossrds. Vol Fire" 0 113 188 2 7 1 0 0 0
Baldwin "Daphne Int. Sch. #1" 0 638 925 8 19 9 0 0 1
Baldwin "Daphne Int. Sch. #2" 0 565 982 2 19 3 0 1 0
Baldwin "Loxley Ellisville Comm. Ctr." 0 143 109 0 4 3 0 0 0
Baldwin "Loxley Town Hall" 0 166 611 1 14 5 0 0 0
Baldwin "Little River Rest." 0 23 41 0 0 0 0 0 0
Baldwin "Lottie Fire Dept." 0 34 61 0 0 0 0 0 0
Baldwin "Stockton Fire House" 0 43 177 2 2 1 0 0 0
Baldwin "Rabun Fire House" 0 89 213 0 4 2 0 0 0
Baldwin "Perdido Elem. Sch." 0 114 283 1 3 5 0 0 0
Baldwin "Bay Minette City Hall Civ. #1" 0 312 991 4 11 9 0 0 1
Baldwin "Bay Minette City Hall Civ. #2" 0 280 990 4 6 9 0 0 3
Baldwin "Pine Grove Sch." 0 215 452 3 11 12 0 0 0
Baldwin "White Hse. Vol. Fire" 0 135 466 1 10 1 0 0 0
Baldwin "Stapelton Comm. Hall" 0 114 475 1 6 3 1 0 0
Baldwin "Gateswood Fire Sta." 0 13 16 0 1 0 0 0 0
Baldwin "Gateswood Ham. Ch." 0 36 93 0 1 0 0 1 0
Baldwin "Clearsprings Fellowshp. Hall" 0 19 76 0 0 0 0 0 0
Baldwin "Rosinton Elem. Sch." 0 147 654 10 10 2 0 0 1
Baldwin "Belforest Comm. Ctr." 0 98 598 2 15 6 0 1 0
Baldwin "Silverhill Town Hall" 0 184 860 1 25 11 1 0 0
Baldwin "Robertsdale City Hall" 0 370 1208 3 17 12 0 2 0
Baldwin "Elsanor Comm. Ctr." 0 133 467 3 14 6 1 1 0
Baldwin "Seminole Fire Hse." 0 70 219 1 8 3 0 1 1
Baldwin "Lillian Comm. Hall #1" 0 461 1035 7 28 13 0 0 3
Baldwin "Lillian Comm. Hall #2" 0 217 629 7 18 4 1 3 2
Baldwin "Perdido Beach Fire Hse." 0 91 329 1 3 3 0 0 0
Baldwin "Marlow Vol Fire" 0 258 789 0 32 6 0 0 0
Baldwin "Summerdale Comm. Hall" 0 167 779 10 18 14 0 0 1
Baldwin "Elberta Civ. Ctr." 0 314 914 6 26 8 0 1 0
Baldwin "Miflin Comm. Ctr." 0 216 819 4 16 5 0 2 0
Baldwin "Josephine Fire House" 0 72 259 1 8 1 0 0 0
Baldwin "Barnewll Ch." 0 163 514 1 14 8 0 0 1
Baldwin "Magnolia Sprgs. Wesleyan" 0 367 1118 11 26 16 0 0 1
Baldwin "Bon Secour Swift Sch." 0 156 459 5 19 4 2 0 2
Baldwin "Foley Civ. Ctr. #1" 0 426 953 5 23 6 1 1 0
Baldwin "Foley Civ. Ctr. #2" 0 384 1004 8 14 7 0 2 0
Baldwin "Gulf Shores Activ. Ctr. #1" 0 246 758 3 28 4 0 0 1
Baldwin "Gulf Shores Activ. Ctr. #2" 0 439 1615 14 57 4 2 0 1
Baldwin "Fort Morgan Shell Bks. Ch." 0 77 219 1 8 0 0 0 0
Baldwin "Orange Bch. Comm. Ctr.  #1" 0 468 1684 7 48 4 0 1 1
Baldwin "Orange Bch. Comm. Ctr.  #2" 0 0 1 0 0 0 0 0 0
Baldwin "Fairhope Civ. Ctr. #1" 0 433 1052 4 42 5 1 0 1
Baldwin "Fairhope Civ. Ctr. #2" 0 563 1318 10 55 5 0 1 1
Baldwin "Fairhope Civ. Crt. #3" 0 669 1500 10 51 6 0 0 1
Baldwin "S. Riverport Ch. Of God #1" 0 351 1391 11 38 4 0 1 0
Baldwin "S. Riverport Ch. Of God #2" 0 88 453 4 12 4 0 1 0
Baldwin "Barnwell Comm. Ctr." 0 102 423 2 13 3 0 1 0
Baldwin "Spanish Ft. Sch. #1" 0 72 336 2 6 3 0 0 1
Baldwin "Spanish Ft. Sch. #2" 0 310 1549 4 38 5 0 0 0
Baldwin "Spanish Ft. Fire Dept." 0 205 862 3 9 3 0 0 0
Baldwin "Daphne St. Paul Episcopal Ch." 0 385 1300 8 32 7 0 1 0
Baldwin "Daphne Hi Sch. #1" 0 489 1828 1 48 5 0 0 2
Baldwin "Daphne Hi Sch. #2" 0 0 0 0 0 0 0 0 0
Baldwin "Daphne Civic Center" 0 349 1450 11 38 8 3 0 0
Baldwin Absentee 0 485 1730 9 46 9 0 1 2
Barbour "BAKERS STORE" 0 28 60 1 1 0 0 0 0
Barbour "SUTTONS RESTAURANT" 0 73 39 0 0 0 0 0 0
Barbour "ELAMVILLE VOLUNTEER FIRE" 0 35 74 1 0 0 1 0 0
Barbour "CLIO CITY HALL" 0 284 274 1 2 2 0 2 0
Barbour "COGGINS STORE VOTING HOUSE" 0 25 49 0 0 0 0 0 0
Barbour "BAKERHILL VOLUNTEER FIRE" 0 184 201 2 3 1 0 0 0
Barbour "RICHARDS CABINET SHOP" 0 51 52 2 0 1 0 0 0
Barbour "WHITE OAK METHODIST CHURCH" 0 119 118 0 2 1 0 0 0
Barbour "NEW ARMORY" 0 425 594 2 2 2 0 0 0
Barbour "SANFORD GYM" 0 467 592 1 8 1 0 0 0
Barbour "EUFAULA WATER BOARD" 0 548 364 2 4 2 0 1 0
Barbour "MCCOO SCHOOL" 0 633 341 0 5 3 0 0 0
Barbour "CENTURY 21" 0 78 155 0 0 2 0 0 0
Barbour "BEVILL CENTER" 0 183 463 1 1 1 0 0 0
Barbour "FELLOWSHIP BAPTIST CHURCH" 0 163 390 1 3 0 0 1 2
Barbour "COWIKEE VOLUNTEER FIRE" 0 62 28 0 0 0 0 0 0
Barbour "SPRINGHILL VOLUNTEER FIRE" 0 237 90 0 1 0 0 0 0
Barbour "CLAYTON COURTHOUSE" 0 641 395 3 5 6 1 1 1
Barbour "GREENS CROSSROADS" 0 67 58 0 1 0 0 0 0
Barbour "MT. ANDREW RECREATION CENTER" 0 149 28 1 0 0 0 1 0
Barbour "LOUISVILLE CITY HALL" 0 285 209 3 1 3 0 0 0
Barbour "JOHNNY BOYDS STORE" 0 76 78 1 2 0 0 0 0
Barbour "BLUE SPRINGS CITY HALL" 0 87 195 3 2 1 0 0 0
Barbour "JUNIOR TURNER STORE" 0 45 29 0 2 1 0 0 0
Barbour "ABSENTEE VOTERS" 0 243 220 2 1 0 0 0 0
Bibb Greenpond 0 288 760 5 16 6 0 0 0
Bibb Greenpond 0 0 0 0 0 0 0 0 0
Bibb "Cedar Grove" 0 133 185 1 1 2 0 0 0
Bibb Pondville 0 19 158 1 0 0 0 0 0
Bibb Harrisburg 0 188 155 0 1 0 1 0 0
Bibb Centreville 0 149 504 1 1 2 0 0 0
Bibb Furnace 0 178 380 4 5 6 0 1 0
Bibb Randolph 0 130 186 0 1 2 0 0 0
Bibb Tabernacle 0 26 81 0 1 0 0 1 0
Bibb "Brent North" 0 277 649 0 8 3 0 0 0
Bibb "West Blockton-East" 0 290 311 1 6 7 0 1 0
Bibb "West Blockton-East" 0 0 0 0 0 0 0 0 0
Bibb "West Blockton-West" 0 278 380 1 6 3 0 0 0
Bibb Eoline 0 83 158 1 2 2 0 4 0
Bibb Brent-South 0 421 210 3 1 2 0 0 0
Bibb Centreville-Cent. 0 166 51 1 3 1 0 2 0
Bibb Absentee 0 84 105 1 0 0 0 0 0
Bibb Absentee 0 0 0 0 0 0 0 0 0
Blount "Mt. High" 0 246 799 2 14 3 0 1 0
Blount "Smoke Rise" 0 180 748 7 13 8 0 1 1
Blount "Blount Springs" 0 49 174 0 1 0 1 0 0
Blount Hayden 0 388 1044 6 17 10 1 0 0
Blount "Sugar Creek" 0 87 256 4 6 6 0 1 1
Blount Nectar 0 218 466 1 8 2 0 0 0
Blount Blountsville 0 499 820 3 14 11 0 0 1
Blount Summit 0 124 183 0 0 1 0 1 0
Blount Royal 0 107 194 0 4 3 0 0 0
Blount Brooksville 0 134 212 0 2 3 1 0 0
Blount Snead 0 231 615 2 2 8 1 0 0
Blount "Susan Moore" 0 200 565 0 1 5 0 1 1
Blount "Murphree Valley" 0 74 228 2 3 3 0 0 0
Blount "St. Mountain" 0 218 958 1 14 4 0 2 0
Blount "Holly Springs" 0 42 181 1 2 1 0 0 0
Blount Cleveland 0 310 515 1 3 5 1 0 1
Blount "Locust Fork" 0 249 682 6 4 6 0 0 0
Blount Dallas-Selfville 0 253 692 2 7 5 0 1 0
Blount Remlap 0 134 657 1 4 2 0 0 0
Blount "Pine Mountain" 0 64 263 2 4 4 0 0 0
Blount Allgood 0 68 299 2 4 0 0 0 0
Blount "Oneonta #1" 0 360 623 2 5 8 0 1 0
Blount "Oneonta #2" 0 333 606 1 8 3 0 0 0
Blount Rosa 0 194 325 5 3 1 0 0 0
Blount "Rock Springs" 0 110 285 0 6 2 0 0 0
Blount Absentee 0 105 277 0 5 0 0 1 0
Bullock Midway-1 0 171 21 4 1 0 1 0 0
Bullock Midway-2 0 183 16 1 2 2 2 1 0
Bullock Midway-3 0 98 7 0 0 0 0 0 0
Bullock "Three Notch" 0 75 20 2 0 0 0 0 0
Bullock Gurreyton 0 64 5 1 0 0 0 0 0
Bullock Peachburg 0 85 25 0 0 0 0 0 0
