COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DEM REP
AUTAUGA All 0 24247 0
BALDWIN All 0 75468 0
BARBOUR All 0 14981 0
BIBB All 0 10603 0
BLOUNT All 0 24628 0
BULLOCK All 0 6629 0
BUTLER All 0 12341 0
CALHOUN All 0 56000 0
CHAMBERS All 0 19609 0
CHEROKEE All 0 11815 0
CHILTON All 0 22265 0
CHOCTAW All 0 10377 0
CLARKE All 0 16400 0
CLAY All 0 9113 0
CLEBURNE All 0 7871 0
COFFEE All 0 21482 0
COLBERT All 0 29155 0
CONECUH All 0 8681 0
COOSA All 0 7060 0
COVINGTON All 0 18926 0
CRENSHAW All 0 7863 0
CULLMAN All 0 41272 0
DALE All 0 21975 0
DALLAS All 0 27266 0
DEKALB All 0 31770 0
ELMORE All 0 31748 0
ESCAMBIA All 0 17808 0
ETOWAH All 0 52145 0
FAYETTE All 0 11163 0
FRANKLIN All 0 18022 0
GENEVA All 0 12586 0
GREENE All 0 6711 0
HALE All 0 10262 0
HENRY All 0 9999 0
HOUSTON All 0 43499 0
JACKSON All 0 28328 0
JEFFERSON All 0 352455 0
LAMAR All 0 10488 0
LAUDERDALE All 0 42979 0
LAWRENCE All 0 20038 0
LEE All 0 53567 0
LIMESTONE All 0 32357 0
LOWNDES All 0 9469 0
MACON All 0 13176 0
MADISON All 0 143046 0
MARENGO All 0 13677 0
MARION All 0 17478 0
MARSHALL All 0 39397 0
MOBILE All 0 211517 0
MONROE All 0 13127 0
MONTGOMERY All 0 106727 0
MORGAN All 0 55594 0
PERRY All 0 7905 0
PICKENS All 0 12753 0
PIKE All 0 15702 0
RANDOLPH All 0 12796 0
RUSSELL All 0 23589 0
SHELBY All 0 81979 0
"ST. CLAIR" All 0 36681 0
SUMTER All 0 9405 0
TALLADEGA All 0 36461 0
TALLAPOOSA All 0 24057 0
TUSCALOOSA All 0 78353 0
WALKER All 0 37022 0
WASHINGTON All 0 11794 0
WILCOX All 0 8890 0
WINSTON All 0 15427 0
