COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Siegelman Riley Sophocleus WRITEIN
Autauga "ABSENTEE VOTERS" 0 92 259 5 2
Autauga "AUTAUGA COUNTY COURTHOUSE" 0 583 335 15 2
Autauga "AUTAUGA COUNTY VOTING SITE" 0 76 130 2 0
Autauga "AUTAUGAVILLE VOL_ FIRE DEPT_" 0 268 117 6 0
Autauga "BILLINGSLEY GOVERNMENT BLDG_" 0 41 176 2 1
Autauga "BOOTH POST OFFICE" 0 188 276 13 1
Autauga "CAMELLIA BAPTIST CHURCH" 0 352 613 22 2
Autauga "EAST MEMORIAL BAPTIST CHURCH" 0 348 948 31 4
Autauga "HAYNES COMMUNITY CENTER" 0 60 116 1 0
Autauga "INDEPENDENCE VOTING SITE" 0 196 103 4 0
Autauga "JONES COMMUNITY CENTER" 0 84 114 2 0
Autauga "MARBURY COMMUNITY CENTER" 0 212 343 23 3
Autauga "MULBERRY STATESVILLE COMM_" 0 198 56 3 0
Autauga "NATIONAL GUARD ARMORY .1" 0 225 563 16 2
Autauga "NATIONAL GUARD ARMORY .2" 0 232 605 13 2
Autauga "OLD KINGSTON VOTING SITE" 0 312 133 9 1
Autauga "PINE LEVEL COMMUNITY CENTER" 0 291 758 28 3
Autauga "PRATTMONT BAPTIST CHURCH" 0 355 713 19 4
Autauga "TRINITY UNITED METHODIST .1" 0 277 834 19 4
Autauga "TRINITY UNITED METHODIST .2" 0 366 1040 19 4
Autauga "UPPER KINGSTON COMMUNITY CNTR" 0 302 865 24 2
Autauga "WHITE CITY FIRE" 0 79 248 5 0
Baldwin "ABSENTEE VOTERS" 0 253 793 13 2
Baldwin "BARNWELL CHURCH" 0 200 413 15 4
Baldwin "BARNWELL COMMUNITY CENTER" 0 113 338 10 0
Baldwin "BAY MINETTE CITY HALL CIVIC .1" 0 77 139 4 3
Baldwin "BAY MINETTE CITY HALL CIVIC .2" 0 418 891 15 3
Baldwin "BAY MINETTE INTERMEDIATE SCH" 0 165 22 1 0
Baldwin "BELFOREST COMMUNITY CENTER" 0 110 555 15 2
Baldwin "BON SECOUR SWIFT SCHOOL" 0 145 393 14 0
Baldwin "BROMLEY CROSSROADS VOL FIRE" 0 101 159 1 0
Baldwin "CLEARSPRINGS FELLOWSHIP HALL" 0 12 52 1 0
Baldwin "CROSSROADS ALTERNATIVE SCHOOL" 0 95 157 4 0
