COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Baxley Armistead Adams WRITEIN
Autauga "ABSENTEE VOTERS" 0 135 218 2 1
Autauga "AUTAUGA COUNTY COURTHOUSE" 0 624 290 12 2
Autauga "AUTAUGA COUNTY VOTING SITE" 0 89 114 2 0
Autauga "AUTAUGAVILLE VOL_ FIRE DEPT_" 0 285 96 4 2
Autauga "BILLINGSLEY GOVERNMENT BLDG_" 0 65 150 3 0
Autauga "BOOTH POST OFFICE" 0 230 234 6 2
Autauga "CAMELLIA BAPTIST CHURCH" 0 429 537 18 3
Autauga "EAST MEMORIAL BAPTIST CHURCH" 0 490 810 19 2
Autauga "HAYNES COMMUNITY CENTER" 0 62 109 3 1
Autauga "INDEPENDENCE VOTING SITE" 0 213 83 3 0
Autauga "JONES COMMUNITY CENTER" 0 92 102 4 0
Autauga "MARBURY COMMUNITY CENTER" 0 268 293 16 1
Autauga "MULBERRY STATESVILLE COMM_" 0 203 46 1 1
Autauga "NATIONAL GUARD ARMORY .1" 0 319 471 8 1
Autauga "NATIONAL GUARD ARMORY .2" 0 319 516 9 2
Autauga "OLD KINGSTON VOTING SITE" 0 324 123 4 0
Autauga "PINE LEVEL COMMUNITY CENTER" 0 358 698 15 4
Autauga "PRATTMONT BAPTIST CHURCH" 0 429 641 17 1
Autauga "TRINITY UNITED METHODIST .1" 0 418 699 11 2
Autauga "TRINITY UNITED METHODIST .2" 0 508 898 12 4
Autauga "UPPER KINGSTON COMMUNITY CNTR" 0 416 761 10 4
Autauga "WHITE CITY FIRE" 0 112 208 6 2
Baldwin "ABSENTEE VOTERS" 0 269 763 14 5
Baldwin "BARNWELL CHURCH" 0 205 404 16 3
Baldwin "BARNWELL COMMUNITY CENTER" 0 121 325 13 1
Baldwin "BAY MINETTE CITY HALL CIVIC .1" 0 86 133 2 0
Baldwin "BAY MINETTE CITY HALL CIVIC .2" 0 460 836 21 4
Baldwin "BAY MINETTE INTERMEDIATE SCH" 0 165 17 3 0
Baldwin "BELFOREST COMMUNITY CENTER" 0 138 519 19 1
Baldwin "BON SECOUR SWIFT SCHOOL" 0 172 356 20 2
Baldwin "BROMLEY CROSSROADS VOL FIRE" 0 104 150 3 3
Baldwin "CLEARSPRINGS FELLOWSHIP HALL" 0 14 49 2 0
Baldwin "CROSSROADS ALTERNATIVE SCHOOL" 0 105 144 4 1
Baldwin "DAPHNE CIVIC CENTER 1" 0 186 530 16 2
