COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DEM REP
AUTAUGA All 0 24247 3090
BALDWIN All 0 75468 11209
BARBOUR All 0 14981 1660
BIBB All 0 10603 697
BLOUNT All 0 24628 1846
BULLOCK All 0 6629 1098
BUTLER All 0 12341 1750
CALHOUN All 0 56000 12000
CHAMBERS All 0 19609 2703
CHEROKEE All 0 11815 2417
CHILTON All 0 22265 1632
CHOCTAW All 0 10377 1114
CLARKE All 0 16400 622
CLAY All 0 9113 612
CLEBURNE All 0 7871 1029
COFFEE All 0 21482 2741
COLBERT All 0 29155 4207
CONECUH All 0 8681 1261
COOSA All 0 7060 622
COVINGTON All 0 18926 2950
CRENSHAW All 0 7863 817
CULLMAN All 0 41272 3711
DALE All 0 21975 3719
DALLAS All 0 27266 3643
DEKALB All 0 31770 3373
ELMORE All 0 31748 2979
ESCAMBIA All 0 17808 2875
ETOWAH All 0 52145 8440
FAYETTE All 0 11163 73
FRANKLIN All 0 18022 1600
GENEVA All 0 12586 2698
GREENE All 0 6711 711
HALE All 0 10262 1706
HENRY All 0 9999 1002
HOUSTON All 0 43499 6281
JACKSON All 0 28328 3370
JEFFERSON All 0 352455 50056
LAMAR All 0 10488 387
LAUDERDALE All 0 42979 7601
LAWRENCE All 0 20038 243
LEE All 0 53567 9336
LIMESTONE All 0 32357 5688
LOWNDES All 0 9469 890
MACON All 0 13176 2968
MADISON All 0 143046 29822
MARENGO All 0 13677 994
MARION All 0 17478 2292
MARSHALL All 0 39397 4872
MOBILE All 0 211517 21847
MONROE All 0 13127 2061
MONTGOMERY All 0 106727 14918
MORGAN All 0 55594 5902
PERRY All 0 7905 874
PICKENS All 0 12753 661
PIKE All 0 15702 496
RANDOLPH All 0 12796 1834
RUSSELL All 0 23589 3746
SHELBY All 0 81979 NA
"ST. CLAIR" All 0 36681 14
SUMTER All 0 9405 1066
TALLADEGA All 0 36461 8890
TALLAPOOSA All 0 24057 2946
TUSCALOOSA All 0 78353 NA
WALKER All 0 37022 4644
WASHINGTON All 0 11794 1307
WILCOX All 0 8890 864
WINSTON All 0 15427 982
