COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Parker Sessions Allen WRITEIN
Autauga "ABSENTEE VOTERS" 0 67 292 2 0
Autauga "AUTAUGA COUNTY COURTHOUSE" 0 500 406 12 2
Autauga "AUTAUGA COUNTY VOTING SITE" 0 60 142 2 0
Autauga "AUTAUGAVILLE VOL_ FIRE DEPT_" 0 230 150 5 0
Autauga "BILLINGSLEY GOVERNMENT BLDG_" 0 21 194 4 1
Autauga "BOOTH POST OFFICE" 0 124 342 8 0
Autauga "CAMELLIA BAPTIST CHURCH" 0 259 711 16 1
Autauga "EAST MEMORIAL BAPTIST CHURCH" 0 242 1064 15 5
Autauga "HAYNES COMMUNITY CENTER" 0 36 136 2 1
Autauga "INDEPENDENCE VOTING SITE" 0 172 123 4 1
Autauga "JONES COMMUNITY CENTER" 0 69 124 3 0
Autauga "MARBURY COMMUNITY CENTER" 0 165 398 10 3
Autauga "MULBERRY STATESVILLE COMM_" 0 174 78 1 0
Autauga "NATIONAL GUARD ARMORY .1" 0 168 631 8 0
Autauga "NATIONAL GUARD ARMORY .2" 0 150 684 15 2
Autauga "OLD KINGSTON VOTING SITE" 0 276 167 8 0
Autauga "PINE LEVEL COMMUNITY CENTER" 0 183 869 20 2
Autauga "PRATTMONT BAPTIST CHURCH" 0 232 838 18 3
Autauga "TRINITY UNITED METHODIST .1" 0 178 943 10 1
Autauga "TRINITY UNITED METHODIST .2" 0 251 1159 17 0
Autauga "UPPER KINGSTON COMMUNITY CNTR" 0 212 962 13 1
Autauga "WHITE CITY FIRE" 0 50 274 6 0
Baldwin "ABSENTEE VOTERS" 0 183 853 15 4
Baldwin "BARNWELL CHURCH" 0 140 478 10 1
Baldwin "BARNWELL COMMUNITY CENTER" 0 67 379 14 1
Baldwin "BAY MINETTE CITY HALL CIVIC .1" 0 52 168 2 0
Baldwin "BAY MINETTE CITY HALL CIVIC .2" 0 298 1011 18 0
Baldwin "BAY MINETTE INTERMEDIATE SCH" 0 149 34 5 0
Baldwin "BELFOREST COMMUNITY CENTER" 0 79 588 15 0
Baldwin "BON SECOUR SWIFT SCHOOL" 0 104 435 14 0
Baldwin "BROMLEY CROSSROADS VOL FIRE" 0 85 171 4 0
Baldwin "CLEARSPRINGS FELLOWSHIP HALL" 0 8 55 2 0
Baldwin "CROSSROADS ALTERNATIVE SCHOOL" 0 64 191 1 0
Baldwin "DAPHNE CIVIC CENTER 1" 0 138 585 11 0
Baldwin "DAPHNE CIVIC CENTER 2" 0 162 638 14 1
Baldwin "DAPHNE HIGH SCHOOL .1" 0 285 1310 20 2
Baldwin "DAPHNE HIGH SCHOOL .2" 0 0 0 0 0
Baldwin "DAPHNE INTERMEDIATE SCHOOL .1" 0 696 1047 22 1
Baldwin "DAPHNE INTERMEDIATE SCHOOL .2" 0 0 0 0 0
Baldwin "DAPHNE ST_PAUL EPISCOPAL CHRCH" 0 235 938 33 3
Baldwin "ELBERTA CIVIC CENTER" 0 167 710 25 2
Baldwin "ELSANOR COMMUNITY CENTER" 0 91 347 12 0
Baldwin "FAIRHOPE CIVIC CENTER .1" 0 231 747 20 1
Baldwin "FAIRHOPE CIVIC CENTER .2" 0 260 727 20 0
Baldwin "FAIRHOPE CIVIC CENTER .3" 0 412 1181 37 2
Baldwin "FAIRHOPE CIVIC CENTER .4" 0 262 771 21 2
Baldwin "FERGUSON STORE - LITTLE RIVER" 0 36 60 1 1
Baldwin "FOLEY CIVIC CENTER .1" 0 243 734 16 2
Baldwin "FOLEY CIVIC CENTER .2" 0 287 928 25 1
Baldwin "FORT MORGAN VFD STATION .2" 0 67 206 4 0
Baldwin "GATESWOOD FIRE STATION" 0 8 17 0 0
Baldwin "GATESWOOD HAMILTON CHURCH" 0 21 86 0 0
Baldwin "GULF SHORES ACTIVITY CENTER .1" 0 205 904 17 0
Baldwin "GULF SHORES ACTIVITY CENTER .2" 0 308 1199 31 3
Baldwin "JOSEPHINE FIRE HOUSE" 0 47 227 5 0
Baldwin "LILLIAN COMMINUTY HALL .1" 0 0 0 0 0
Baldwin "LILLIAN COMMUNITY HALL .2" 0 549 1447 40 1
Baldwin "LOTTIE FIRE DEPARTMENT" 0 22 63 2 0
Baldwin "LOXLEY ELLISVILLE COMM CENTER" 0 78 94 1 1
Baldwin "LOXLEY TOWN HALL" 0 93 490 16 1
Baldwin "MAGNOLIA SPRINGS WESLEYAN" 0 237 1008 40 2
Baldwin "MARLOW VOLUNTEER FIRE" 0 190 754 20 2
Baldwin "MIFLIN COMMUNITY CENTER" 0 198 753 12 2
Baldwin "ORANGE BEACH COMM CENTER .1" 0 320 1569 34 6
Baldwin "ORANGE BEACH COMM CENTER .2" 0 0 0 0 0
Baldwin "PERDIDO BEACH FIRE HOUSE" 0 75 262 9 0
Baldwin "PERDIDO ELEMENTARY SCHOOL" 0 89 222 8 0
Baldwin "PINE GROVE SCHOOL" 0 123 358 1 0
Baldwin "RABUN FIRE HOUSE" 0 78 172 6 0
Baldwin "ROBERTSDALE CITY HALL" 0 242 1020 31 0
Baldwin "ROSINTON ELEMENTARY SCHOOL" 0 108 537 12 2
Baldwin "S_ RIVERPORT CHURCH OF GOD .1" 0 212 939 21 1
Baldwin "S_ RIVERPORT CHURCH OF GOD .2" 0 130 706 12 0
Baldwin "SEMINOLE FIRE HOUSE" 0 46 196 5 1
Baldwin "SILVERHILL TOWN HALL" 0 135 751 20 1
Baldwin "SPANISH FORT FIRE DEPARTMENT" 0 138 789 14 2
Baldwin "SPANISH FORT SCHOOL .1" 0 281 1483 36 2
Baldwin "SPANISH FORT SCHOOL .2" 0 0 0 0 0
Baldwin "STAPELTON COMMUNITY HALL" 0 71 383 10 0
Baldwin "STOCKTON FIRE HOUSE" 0 46 172 3 0
Baldwin "SUMMERDALE COMMUNITY HALL" 0 108 641 21 1
Baldwin "TENSAW COMMUNITY CENTER" 0 63 20 0 0
Baldwin "VAUGHN COMMUNITY CENTER" 0 131 122 3 0
Baldwin "WHITE HOUSE VOLUNTEER FIRE" 0 80 344 8 3
Baldwin "Bay Minette City Hall Civic 3" 0 148 584 19 2
Baldwin "ROCKWELL ELEM. SCHOOL" 0 144 669 10 1
Barbour "ABSENTEE VOTERS" 0 212 229 5 0
Barbour "BAKERHILL VOLUNTEER FIRE" 0 141 145 5 0
Barbour "BAKERS STORE" 0 16 54 0 0
Barbour "BEVILL CENTER" 0 132 334 6 0
Barbour "BLUE SPRINGS CITY HALL" 0 61 162 1 0
