COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Apache "02 ALPINE" 0 94 283 0 0 0 5 0 0
Apache "03 CANYON DE CHELLY" 0 1982 273 0 0 0 30 0 0
Apache "05 CHINLE" 0 989 148 0 0 0 20 0 0
Apache "09 CONCHO" 0 333 1486 0 0 0 22 0 0
Apache "10 CORNFIELDS" 0 393 76 0 0 0 4 0 0
Apache "11 COTTONWOOD" 0 748 87 0 0 0 5 0 0
Apache "12 CORONADO" 0 111 746 0 0 0 4 0 0
Apache "13 DENNEHOTSO" 0 560 90 0 0 0 7 0 0
Apache "16 EAGAR" 0 159 862 0 0 0 24 0 0
Apache "17 FLAT TOP" 0 105 684 0 0 0 11 0 0
Apache "19 FT. DEFIANCE" 0 1940 416 0 0 0 30 0 0
Apache "22 GANADO NORTH" 0 416 65 0 0 0 6 0 0
Apache "23 GANADO SOUTH" 0 647 119 0 0 0 4 0 0
Apache "25 GREER" 0 42 91 0 0 0 0 0 0
Apache "27 HOUCK" 0 548 168 0 0 0 13 0 0
Apache "29 KINLICHEE" 0 591 61 0 0 0 4 0 0
Apache "31 KLAGETOH" 0 436 109 0 0 0 6 0 0
Apache "33 LUKACHUKAI" 0 889 103 0 0 0 11 0 0
Apache "35 LUPTON" 0 321 74 0 0 0 7 0 0
Apache "37 MCNARY" 0 85 29 0 0 0 2 0 0
Apache "39 MANY FARMS" 0 1030 123 0 0 0 12 0 0
Apache "41 MEXICAN WATER" 0 135 29 0 0 0 1 0 0
Apache "43 NAZLINI" 0 554 110 0 0 0 9 0 0
Apache "45 NUTRIOSO" 0 79 225 0 0 0 2 0 0
Apache "46 OAK SPRINGS" 0 282 42 0 0 0 5 0 0
Apache "48 PUERCO" 0 724 327 0 0 0 13 0 0
Apache "51 RED MESA" 0 173 26 0 0 0 2 0 0
Apache "52 RED VALLEY" 0 317 167 0 0 0 8 0 0
Apache "54 ROCK POINT" 0 802 111 0 0 0 21 0 0
Apache "56 ROUGH ROCK" 0 526 57 0 0 0 3 0 0
