COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Apache "02 ALPINE" 0 83 191 0 0 0 4 0 0
Apache "03 CANYON DE CHELLY" 0 1636 188 0 0 0 24 0 0
Apache "05 CHINLE" 0 819 97 0 0 0 12 0 0
Apache "09 CONCHO" 0 305 1046 0 0 0 16 0 0
Apache "10 CORNFIELDS" 0 253 39 0 0 0 1 0 0
Apache "11 COTTONWOOD" 0 510 56 0 0 0 4 0 0
Apache "12 CORONADO" 0 99 491 0 0 0 3 0 0
Apache "13 DENNEHOTSO" 0 269 32 0 0 0 3 0 0
Apache "16 EAGAR" 0 140 612 0 0 0 20 0 0
Apache "17 FLAT TOP" 0 95 425 0 0 0 9 0 0
Apache "19 FT. DEFIANCE" 0 1588 256 0 0 0 22 0 0
Apache "22 GANADO NORTH" 0 294 37 0 0 0 6 0 0
Apache "23 GANADO SOUTH" 0 426 60 0 0 0 3 0 0
Apache "25 GREER" 0 34 59 0 0 0 0 0 0
Apache "27 HOUCK" 0 403 81 0 0 0 9 0 0
Apache "29 KINLICHEE" 0 252 22 0 0 0 2 0 0
Apache "31 KLAGETOH" 0 286 44 0 0 0 4 0 0
Apache "33 LUKACHUKAI" 0 511 48 0 0 0 8 0 0
Apache "35 LUPTON" 0 202 35 0 0 0 4 0 0
Apache "37 MCNARY" 0 31 11 0 0 0 1 0 0
Apache "39 MANY FARMS" 0 789 86 0 0 0 9 0 0
Apache "41 MEXICAN WATER" 0 95 11 0 0 0 1 0 0
Apache "43 NAZLINI" 0 383 56 0 0 0 7 0 0
Apache "45 NUTRIOSO" 0 72 188 0 0 0 2 0 0
Apache "46 OAK SPRINGS" 0 210 23 0 0 0 5 0 0
Apache "48 PUERCO" 0 536 196 0 0 0 9 0 0
Apache "51 RED MESA" 0 120 15 0 0 0 2 0 0
Apache "52 RED VALLEY" 0 152 47 0 0 0 3 0 0
Apache "54 ROCK POINT" 0 440 49 0 0 0 11 0 0
Apache "56 ROUGH ROCK" 0 312 38 0 0 0 1 0 0
Apache "58 ROUND ROCK" 0 290 32 0 0 0 4 0 0
Apache "59 ROUND VALLEY" 0 77 327 0 0 0 8 0 0
Apache "61 ST. JOHNS" 0 186 572 0 0 0 8 0 0
Apache "65 ST. MICHAELS" 0 963 141 0 0 0 24 0 0
Apache "67 SAWMILL" 0 311 43 0 0 0 6 0 0
Apache "70 SPRINGERVILLE" 0 137 413 0 0 0 6 0 0
Apache "74 STEAMBOAT" 0 501 51 0 0 0 4 0 0
Apache "76 SWEETWATER" 0 175 26 0 0 0 5 0 0
Apache "78 TACHEE" 0 183 16 0 0 0 1 0 0
Apache "80 TEEC NOS POS" 0 296 58 0 0 0 4 0 0
Apache "82 VERNON" 0 217 835 0 0 0 13 0 0
Apache "84 WHEATFIELDS" 0 619 38 0 0 0 5 0 0
Apache "86 WIDE RUINS" 0 281 46 0 0 0 2 0 0
Apache "88 WINDOW ROCK" 0 879 125 0 0 0 16 0 0
Cochise "01 BE BENSON" 0 394 630 0 0 0 9 0 0
Cochise "02 BE J-SIX" 0 404 841 0 0 0 33 0 0
Cochise "03 BE SAN PEDRO" 0 467 704 0 0 0 21 0 0
Cochise "04 BI BISBEE" 0 865 188 0 0 0 12 0 0
Cochise "05 BI DON LUIS" 0 658 367 0 0 0 10 0 0
Cochise "06 BI WARREN" 0 748 299 0 0 0 24 0 0
Cochise "07 BOWIE" 0 49 71 0 0 0 4 0 0
Cochise "08 COCHISE STRONGHOLD" 0 367 664 0 0 0 11 0 0
Cochise "09 DO CALVARY" 0 682 197 0 0 0 7 0 0
Cochise "10 DO CARLSON" 0 865 335 0 0 0 13 0 0
Cochise "11 DO CASTRO PARK" 0 775 188 0 0 0 11 0 0
Cochise "12 DO GADSDEN" 0 597 171 0 0 0 11 0 0
Cochise "13 DO SUNNYSIDE" 0 581 293 0 0 0 8 0 0
Cochise "14 GREATER SAN PEDRO" 0 353 784 0 0 0 31 0 0
Cochise "15 HEREFORD" 0 532 938 0 0 0 30 0 0
Cochise "16 HUACHUCA" 0 245 281 0 0 0 18 0 0
Cochise "17 MCNEAL" 0 208 339 0 0 0 3 0 0
Cochise "18 NACO" 0 289 130 0 0 0 10 0 0
Cochise "19 PALOMINAS" 0 317 605 0 0 0 13 0 0
