COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Apache "02 ALPINE" 0 11 90 0 0 0 1 0 0
Apache "03 CANYON DE CHELLY" 0 345 83 0 0 0 6 0 0
Apache "05 CHINLE" 0 160 51 0 0 0 8 0 0
Apache "09 CONCHO" 0 26 424 0 0 0 6 0 0
Apache "10 CORNFIELDS" 0 136 36 0 0 0 3 0 0
Apache "11 COTTONWOOD" 0 226 31 0 0 0 1 0 0
Apache "12 CORONADO" 0 12 244 0 0 0 1 0 0
Apache "13 DENNEHOTSO" 0 285 56 0 0 0 4 0 0
Apache "16 EAGAR" 0 19 250 0 0 0 4 0 0
Apache "17 FLAT TOP" 0 10 257 0 0 0 2 0 0
Apache "19 FT. DEFIANCE" 0 321 153 0 0 0 7 0 0
Apache "22 GANADO NORTH" 0 117 26 0 0 0 0 0 0
Apache "23 GANADO SOUTH" 0 211 54 0 0 0 1 0 0
Apache "25 GREER" 0 8 30 0 0 0 0 0 0
Apache "27 HOUCK" 0 140 79 0 0 0 4 0 0
Apache "29 KINLICHEE" 0 325 35 0 0 0 1 0 0
Apache "31 KLAGETOH" 0 145 65 0 0 0 2 0 0
Apache "33 LUKACHUKAI" 0 363 50 0 0 0 3 0 0
Apache "35 LUPTON" 0 109 35 0 0 0 3 0 0
Apache "37 MCNARY" 0 52 16 0 0 0 1 0 0
Apache "39 MANY FARMS" 0 233 35 0 0 0 3 0 0
Apache "41 MEXICAN WATER" 0 37 18 0 0 0 0 0 0
Apache "43 NAZLINI" 0 165 51 0 0 0 1 0 0
Apache "45 NUTRIOSO" 0 7 36 0 0 0 0 0 0
Apache "46 OAK SPRINGS" 0 68 19 0 0 0 0 0 0
Apache "48 PUERCO" 0 176 124 0 0 0 4 0 0
Apache "51 RED MESA" 0 52 10 0 0 0 0 0 0
Apache "52 RED VALLEY" 0 157 119 0 0 0 5 0 0
Apache "54 ROCK POINT" 0 356 60 0 0 0 10 0 0
Apache "56 ROUGH ROCK" 0 200 17 0 0 0 2 0 0
Apache "58 ROUND ROCK" 0 262 27 0 0 0 2 0 0
Apache "59 ROUND VALLEY" 0 15 227 0 0 0 3 0 0
Apache "61 ST. JOHNS" 0 50 300 0 0 0 5 0 0
Apache "65 ST. MICHAELS" 0 283 71 0 0 0 6 0 0
Apache "67 SAWMILL" 0 151 38 0 0 0 4 0 0
Apache "70 SPRINGERVILLE" 0 22 252 0 0 0 4 0 0
Apache "74 STEAMBOAT" 0 234 42 0 0 0 1 0 0
Apache "76 SWEETWATER" 0 132 46 0 0 0 1 0 0
Apache "78 TACHEE" 0 111 18 0 0 0 0 0 0
Apache "80 TEEC NOS POS" 0 136 43 0 0 0 1 0 0
Apache "82 VERNON" 0 19 298 0 0 0 1 0 0
Apache "84 WHEATFIELDS" 0 353 39 0 0 0 5 0 0
Apache "86 WIDE RUINS" 0 135 21 0 0 0 1 0 0
Apache "88 WINDOW ROCK" 0 164 77 0 0 0 5 0 0
Cochise "01 BE BENSON" 0 24 207 0 0 0 1 0 0
Cochise "02 BE J-SIX" 0 33 320 0 0 0 8 0 0
Cochise "03 BE SAN PEDRO" 0 31 235 0 0 0 3 0 0
Cochise "04 BI BISBEE" 0 36 22 0 0 0 2 0 0
Cochise "05 BI DON LUIS" 0 32 60 0 0 0 1 0 0
Cochise "06 BI WARREN" 0 27 53 0 0 0 2 0 0
Cochise "07 BOWIE" 0 10 64 0 0 0 0 0 0
Cochise "08 COCHISE STRONGHOLD" 0 29 276 0 0 0 2 0 0
Cochise "09 DO CALVARY" 0 45 39 0 0 0 0 0 0
Cochise "10 DO CARLSON" 0 37 51 0 0 0 0 0 0
Cochise "11 DO CASTRO PARK" 0 61 39 0 0 0 1 0 0
Cochise "12 DO GADSDEN" 0 33 26 0 0 0 0 0 0
Cochise "13 DO SUNNYSIDE" 0 31 50 0 0 0 0 0 0
Cochise "14 GREATER SAN PEDRO" 0 27 226 0 0 0 8 0 0
Cochise "15 HEREFORD" 0 28 191 0 0 0 4 0 0
Cochise "16 HUACHUCA" 0 37 140 0 0 0 3 0 0
Cochise "17 MCNEAL" 0 15 137 0 0 0 0 0 0
Cochise "18 NACO" 0 22 16 0 0 0 0 0 0
Cochise "19 PALOMINAS" 0 20 138 0 0 0 1 0 0
Cochise "20 PIRTLEVILLE" 0 40 48 0 0 0 2 0 0
Cochise "21 POMERENE" 0 14 180 0 0 0 0 0 0
Cochise "22 PORTAL" 0 2 2 0 0 0 0 0 0
Cochise "23 SAN SIMON" 0 5 29 0 0 0 1 0 0
Cochise "24 ST DAVID" 0 22 335 0 0 0 2 0 0
Cochise "25 SUNIZONA" 0 8 82 0 0 0 1 0 0
Cochise "26 SV AVENIDA DEL SOL" 0 48 205 0 0 0 5 0 0
Cochise "27 SV BUFFALO SOLDIER" 0 45 322 0 0 0 7 0 0
Cochise "28 SV BUSBY" 0 43 127 0 0 0 8 0 0
Cochise "29 SV CARMELITA" 0 29 96 0 0 0 3 0 0
Cochise "30 SV CLOUD" 0 23 99 0 0 0 11 0 0
Cochise "31 SV COLLEGE" 0 48 145 0 0 0 6 0 0
Cochise "32 SV COUNTRY CLUB" 0 11 155 0 0 0 1 0 0
Cochise "33 SV ESTATES" 0 28 187 0 0 0 11 0 0
Cochise "34 SV HOPI" 0 27 159 0 0 0 1 0 0
Cochise "35 SV MOSON" 0 32 283 0 0 0 4 0 0
Cochise "36 SV PUEBLO DEL SOL" 0 25 152 0 0 0 5 0 0
Cochise "37 SV RAMSEY" 0 16 165 0 0 0 3 0 0
Cochise "38 SV SNYDER" 0 14 130 0 0 0 3 0 0
Cochise "39 SV SOLDIER CREEK" 0 99 234 0 0 0 5 0 0
Cochise "40 SV TOWN & COUNTRY" 0 30 181 0 0 0 2 0 0
Cochise "41 SV VILLAGE MEADOWS" 0 36 218 0 0 0 8 0 0
Cochise "42 SV VISTA VILLAGE" 0 43 216 0 0 0 6 0 0
Cochise "43 SV YAQUI" 0 26 218 0 0 0 0 0 0
Cochise "44 TOMBSTONE" 0 46 321 0 0 0 10 0 0
Cochise "45 WEBB" 0 15 111 0 0 0 6 0 0
Cochise "46 WHETSTONE" 0 42 346 0 0 0 14 0 0
Cochise "47 WI KANSAS SETTLEMENT" 0 49 268 0 0 0 3 0 0
Cochise "48 WI STEWART" 0 28 245 0 0 0 1 0 0
Cochise "49 WI WILLCOX" 0 23 165 0 0 0 1 0 0
Coconino "BELLEMONT 40" 0 11 83 0 0 0 7 0 0
Coconino "BLUE RIDGE 41" 0 4 87 0 0 0 0 0 0
Coconino "BODAWAY 42" 0 203 78 0 0 0 5 0 0
Coconino "CAMERON 43" 0 159 41 0 0 0 11 0 0
Coconino "COALMINE 48" 0 32 4 0 0 0 2 0 0
Coconino "COPPERMINE 47" 0 125 46 0 0 0 11 0 0
Coconino "DONEY PARK 50" 0 71 259 0 0 0 4 0 0
Coconino "FLAGSTAFF 1" 0 65 59 0 0 0 6 0 0
Coconino "FLAGSTAFF 10" 0 44 20 0 0 0 2 0 0
Coconino "FLAGSTAFF 11" 0 57 67 0 0 0 4 0 0
Coconino "FLAGSTAFF 12" 0 111 63 0 0 0 7 0 0
Coconino "FLAGSTAFF 13" 0 58 31 0 0 0 9 0 0
Coconino "FLAGSTAFF 14" 0 141 84 0 0 0 16 0 0
Coconino "FLAGSTAFF 15" 0 155 174 0 0 0 5 0 0
Coconino "FLAGSTAFF 16" 0 47 106 0 0 0 6 0 0
Coconino "FLAGSTAFF 17" 0 40 44 0 0 0 0 0 0
Coconino "FLAGSTAFF 18" 0 41 59 0 0 0 4 0 0
Coconino "FLAGSTAFF 19" 0 57 123 0 0 0 2 0 0
Coconino "FLAGSTAFF 2" 0 72 34 0 0 0 3 0 0
Coconino "FLAGSTAFF 20" 0 96 54 0 0 0 7 0 0
Coconino "FLAGSTAFF 21" 0 76 130 0 0 0 12 0 0
Coconino "FLAGSTAFF 22" 0 86 191 0 0 0 12 0 0
Coconino "FLAGSTAFF 23" 0 104 106 0 0 0 8 0 0
Coconino "FLAGSTAFF 24" 0 102 139 0 0 0 7 0 0
Coconino "FLAGSTAFF 25" 0 56 104 0 0 0 7 0 0
Coconino "FLAGSTAFF 26" 0 54 80 0 0 0 3 0 0
Coconino "FLAGSTAFF 3" 0 60 24 0 0 0 2 0 0
Coconino "FLAGSTAFF 4" 0 31 49 0 0 0 1 0 0
Coconino "FLAGSTAFF 5" 0 38 87 0 0 0 1 0 0
Coconino "FLAGSTAFF 6" 0 63 121 0 0 0 8 0 0
Coconino "FLAGSTAFF 7" 0 74 78 0 0 0 7 0 0
Coconino "FLAGSTAFF 8" 0 19 39 0 0 0 0 0 0
Coconino "FLAGSTAFF 9" 0 145 119 0 0 0 16 0 0
Coconino "FOREST LAKES 53" 0 1 27 0 0 0 1 0 0
Coconino "FORT VALLEY EAST 55" 0 1 15 0 0 0 1 0 0
Coconino "FORT VALLEY WEST 56" 0 13 65 0 0 0 1 0 0
Coconino "FREDONIA 58" 0 15 177 0 0 0 1 0 0
Coconino "GRAND CANYON 59" 0 80 56 0 0 0 8 0 0
Coconino "HAVASUPAI 60" 0 25 4 0 0 0 1 0 0
Coconino "INSCRIPTION HOUSE 61" 0 77 66 0 0 0 5 0 0
Coconino "KAIBAB NORTH 64" 0 0 2 0 0 0 0 0 0
Coconino "KAIBAB WEST 66" 0 15 119 0 0 0 6 0 0
Coconino "KAIBETO 65" 0 185 84 0 0 0 10 0 0
Coconino "LECHEE 67" 0 210 107 0 0 0 13 0 0
Coconino "LEUPP 69" 0 181 88 0 0 0 6 0 0
Coconino "MOENKOPI 70" 0 83 11 0 0 0 3 0 0
Coconino "MORMON LAKE 63" 0 3 6 0 0 0 2 0 0
