COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Apache "02 ALPINE" 0 98 284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "03 CANYON DE CHELLY" 0 1995 290 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "05 CHINLE" 0 994 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "09 CONCHO" 0 381 1422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "10 CORNFIELDS" 0 413 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "11 COTTONWOOD" 0 763 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "12 CORONADO" 0 122 726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "13 DENNEHOTSO" 0 574 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "16 EAGAR" 0 170 851 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "17 FLAT TOP" 0 134 663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "19 FT. DEFIANCE" 0 1964 424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "22 GANADO NORTH" 0 421 70 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "23 GANADO SOUTH" 0 673 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "25 GREER" 0 42 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "27 HOUCK" 0 582 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "29 KINLICHEE" 0 599 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "31 KLAGETOH" 0 467 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "33 LUKACHUKAI" 0 914 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "35 LUPTON" 0 329 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "37 MCNARY" 0 89 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "39 MANY FARMS" 0 1049 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "41 MEXICAN WATER" 0 135 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "43 NAZLINI" 0 599 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "45 NUTRIOSO" 0 82 220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "46 OAK SPRINGS" 0 288 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "48 PUERCO" 0 760 312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "51 RED MESA" 0 173 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "52 RED VALLEY" 0 354 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "54 ROCK POINT" 0 830 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "56 ROUGH ROCK" 0 524 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "58 ROUND ROCK" 0 574 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "59 ROUND VALLEY" 0 108 538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "61 ST. JOHNS" 0 258 841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "65 ST. MICHAELS" 0 1287 234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "67 SAWMILL" 0 488 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "70 SPRINGERVILLE" 0 189 630 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "74 STEAMBOAT" 0 774 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "76 SWEETWATER" 0 327 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "78 TACHEE" 0 304 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "80 TEEC NOS POS" 0 451 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "82 VERNON" 0 257 1117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "84 WHEATFIELDS" 0 996 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
