COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Apache "02 ALPINE" 0 13 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "03 CANYON DE CHELLY" 0 344 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "05 CHINLE" 0 164 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "09 CONCHO" 0 36 408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "10 CORNFIELDS" 0 138 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "11 COTTONWOOD" 0 228 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "12 CORONADO" 0 16 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "13 DENNEHOTSO" 0 288 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "16 EAGAR" 0 23 248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "17 FLAT TOP" 0 17 252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "19 FT. DEFIANCE" 0 352 130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "22 GANADO NORTH" 0 112 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "23 GANADO SOUTH" 0 215 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "25 GREER" 0 7 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "27 HOUCK" 0 146 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "29 KINLICHEE" 0 321 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "31 KLAGETOH" 0 162 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "33 LUKACHUKAI" 0 360 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "35 LUPTON" 0 104 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
