COUNTY AREA TOTAL DEM REP DEM IND DEM REP IND LBT IRP IND DEM UPA IND IND REP REP None DEM REP
COUNTY AREA TOTAL Kelly McSally Arif Beckett Chilton Davida Decker Dorchester Glenn Haupt Kapadia Rodriguez Rodriguez1 Saenz Schiess Simmons Stevens Stewart Thomas
Apache "02 ALPINE" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "03 CANYON DE CHELLY" 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "05 CHINLE" 0 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "09 CONCHO" 0 2 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "10 CORNFIELDS" 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "11 COTTONWOOD" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "12 CORONADO" 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "13 DENNEHOTSO" 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "16 EAGAR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "17 FLAT TOP" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "19 FT. DEFIANCE" 0 27 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "22 GANADO NORTH" 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "23 GANADO SOUTH" 0 11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "25 GREER" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "27 HOUCK" 0 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "29 KINLICHEE" 0 14 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "31 KLAGETOH" 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "33 LUKACHUKAI" 0 14 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "35 LUPTON" 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "37 MCNARY" 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "39 MANY FARMS" 0 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "41 MEXICAN WATER" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "43 NAZLINI" 0 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "45 NUTRIOSO" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "46 OAK SPRINGS" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "48 PUERCO" 0 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "51 RED MESA" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "52 RED VALLEY" 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "54 ROCK POINT" 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "56 ROUGH ROCK" 0 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "58 ROUND ROCK" 0 14 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "59 ROUND VALLEY" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "61 ST. JOHNS" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "65 ST. MICHAELS" 0 19 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "67 SAWMILL" 0 17 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "70 SPRINGERVILLE" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "74 STEAMBOAT" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "76 SWEETWATER" 0 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "78 TACHEE" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "80 TEEC NOS POS" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "82 VERNON" 0 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "84 WHEATFIELDS" 0 14 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "86 WIDE RUINS" 0 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Apache "88 WINDOW ROCK" 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "01 BE BENSON" 0 25 124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "02 BE J-SIX" 0 11 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "03 BE SAN PEDRO" 0 10 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "04 BI BISBEE" 0 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "05 BI DON LUIS" 0 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "06 BI WARREN" 0 11 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "07 BOWIE" 0 4 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "08 COCHISE STRONGHOLD" 0 13 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "09 DO CALVARY" 0 25 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "10 DO CARLSON" 0 26 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "11 DO CASTRO PARK" 0 58 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "12 DO GADSDEN" 0 38 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "13 DO SUNNYSIDE" 0 35 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "14 GREATER SAN PEDRO" 0 11 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "15 HEREFORD" 0 9 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "16 HUACHUCA" 0 13 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "17 MCNEAL" 0 12 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "18 NACO" 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "19 PALOMINAS" 0 10 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "20 PIRTLEVILLE" 0 23 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "21 POMERENE" 0 5 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "22 PORTAL" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "23 SAN SIMON" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "24 ST DAVID" 0 7 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "25 SUNIZONA" 0 4 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "26 SV AVENIDA DEL SOL" 0 17 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "27 SV BUFFALO SOLDIER" 0 31 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "28 SV BUSBY" 0 24 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "29 SV CARMELITA" 0 15 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "30 SV CLOUD" 0 21 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "31 SV COLLEGE" 0 25 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "32 SV COUNTRY CLUB" 0 6 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "33 SV ESTATES" 0 17 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "34 SV HOPI" 0 14 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "35 SV MOSON" 0 16 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "36 SV PUEBLO DEL SOL" 0 9 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "37 SV RAMSEY" 0 7 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "38 SV SNYDER" 0 11 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "39 SV SOLDIER CREEK" 0 40 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "40 SV TOWN & COUNTRY" 0 13 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "41 SV VILLAGE MEADOWS" 0 19 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "42 SV VISTA VILLAGE" 0 25 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "43 SV YAQUI" 0 4 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "44 TOMBSTONE" 0 15 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "45 WEBB" 0 3 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "46 WHETSTONE" 0 14 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "47 WI KANSAS SETTLEMENT" 0 16 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "48 WI STEWART" 0 10 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cochise "49 WI WILLCOX" 0 17 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BELLEMONT 40" 0 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BLUE RIDGE 41" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "BODAWAY 42" 0 12 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "CAMERON 43" 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COALMINE 48" 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "COPPERMINE 47" 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "DONEY PARK 50" 0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 1" 0 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 10" 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 11" 0 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 12" 0 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 13" 0 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 14" 0 15 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 15" 0 19 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 16" 0 11 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 17" 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 18" 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 19" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 2" 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 20" 0 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 21" 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 22" 0 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 23" 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 24" 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 25" 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 26" 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 3" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 5" 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 6" 0 5 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 7" 0 8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 8" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FLAGSTAFF 9" 0 9 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FOREST LAKES 53" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FORT VALLEY EAST 55" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FORT VALLEY WEST 56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "FREDONIA 58" 0 6 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "GRAND CANYON 59" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "HAVASUPAI 60" 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "INSCRIPTION HOUSE 61" 0 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "KAIBAB NORTH 64" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "KAIBAB WEST 66" 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "KAIBETO 65" 0 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "LECHEE 67" 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "LEUPP 69" 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "MOENKOPI 70" 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Coconino "MORMON LAKE 63" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
