COUNTY AREA TOTAL DEM REP DEM2
COUNTY AREA TOTAL Dem Rep Dem2
Modoc 020 4 3 1 0
Modoc 020A 92 40 52 0
Modoc 040 3 1 2 0
Modoc 040A 108 38 69 0
Modoc 060 76 15 61 0
Modoc 060A 298 120 173 0
Modoc 080 1 0 1 0
Modoc 080A 70 22 47 0
Modoc 100 6 1 5 0
Modoc 100A 141 39 98 0
Modoc 140 4 2 2 0
Modoc 140A 79 21 54 0
Modoc 160 1 0 1 0
Modoc 160A 66 15 50 0
Modoc 180 47 1 44 0
Modoc 180A 408 110 292 0
Modoc 200 21 6 14 0
Modoc 200A 129 33 94 0
Modoc 260 59 15 41 0
Modoc 260A 389 143 237 0
Modoc 280 44 8 33 0
Modoc 280A 240 69 161 0
Modoc 320 42 12 30 0
Modoc 320A 273 121 144 0
Modoc 360 0 0 0 0
Modoc 360A 147 30 115 0
Modoc 380 3 1 2 0
Modoc 380A 94 19 73 0
Modoc 400 39 4 35 0
Modoc 400A 272 51 220 0
Modoc 410 31 5 24 0
Modoc 410A 261 102 154 0
Modoc 420 5 0 5 0
Modoc 420A 162 46 112 0
Modoc 440 0 0 0 0
Modoc 440A 190 46 142 0
Modoc 460 0 0 0 0
Modoc 460A 199 45 152 0
Modoc 480 0 0 0 0
Modoc 480A 59 17 42 0
Modoc 500 82 9 72 0
Modoc 500A 258 80 171 0
Modoc SOV_CD01 0 1290 3025 0
Modoc SOV_SD01 0 0 0 0
Modoc SOV_AD01 0 0 0 0
Modoc SOV_BE01 0 0 0 0
Modoc SOV_AD00 0 0 0 0
Modoc SOV_CD00 0 0 0 0
Modoc SOV_SD00 0 0 0 0
Modoc SOV_BE00 0 0 0 0
Madera 1002A 444 211 217 0
Madera 1004A 152 60 89 0
Madera 1300A 0 0 0 0
Madera 1307A 290 97 188 0
Madera 1308A 208 58 147 0
Madera 1309A 1402 498 861 0
Madera 1311A 24 13 10 0
Madera 1312A 106 41 64 0
Madera 1313A 0 0 0 0
Madera 1314A 0 0 0 0
Madera 1315A 24 10 14 0
Madera 1316A 404 277 119 0
Madera 1317A 328 206 119 0
Madera 1318A 741 500 220 0
Madera 1319A 0 0 0 0
Madera 1320A 0 0 0 0
Madera 1502A 1805 506 1254 0
Madera 1505A 152 43 105 0
Madera 1509A 3033 859 2100 0
Madera 1515A 1485 514 941 0
Madera 2001A 474 114 351 0
Madera 2003A 425 215 198 0
Madera 2007A 5 4 1 0
Madera 2012A 3084 1379 1600 0
Madera 2104A 421 140 269 0
Madera 2105A 352 146 192 0
Madera 2106A 1202 501 669 0
Madera 2108A 630 258 350 0
Madera 2109A 1137 368 737 0
Madera 2305A 0 0 0 0
Madera 2306A 510 150 351 0
Madera 2309A 361 81 273 0
Madera 2324A 0 0 0 0
Madera 2327A 0 0 0 0
Madera 3200A 724 440 268 0
Madera 3202A 550 273 262 0
Madera 3203A 391 234 138 0
Madera 3207A 671 259 393 0
Madera 3208A 748 349 383 0
Madera 3210A 1702 720 935 0
Madera 3211A 1165 489 629 0
Madera 3212A 1031 421 586 0
Madera 3213A 709 407 275 0
Madera 3214A 1071 594 450 0
Madera 3215A 890 402 457 0
Madera 3216A 62 11 47 0
Madera 3217A 30 13 16 0
Madera 3218A 36 26 9 0
Madera 3219A 22 10 10 0
Madera 3223A 0 0 0 0
Madera 4200A 433 272 152 0
Madera 4201A 354 226 109 0
Madera 4202A 1201 760 400 0
Madera 4203A 521 350 162 0
Madera 4204A 247 127 111 0
Madera 4205A 666 450 190 0
Madera 4207A 363 263 90 0
Madera 4208A 223 145 65 0
Madera 4310A 451 263 176 0
Madera 4311A 10 9 1 0
Madera 4312A 0 0 0 0
Madera 5400A 1706 565 1101 0
Madera 5403A 513 167 335 0
Madera 5404A 1671 636 987 0
Madera 5409A 3673 1375 2205 0
Madera 5418A 3243 1052 2114 0
Madera 5424A 56 12 44 0
Madera 5425A 2486 916 1512 0
Madera 5429A 569 158 401 0
Madera 5430A 601 146 440 0
Madera 5431A 4 1 3 0
Madera 5432A 8 6 2 0
Madera 1002 49 26 23 0
Madera 1004 8 1 7 0
Madera 1300 0 0 0 0
Madera 1307 18 5 11 0
Madera 1308 12 7 5 0
Madera 1309 181 53 122 0
Madera 1311 2 1 1 0
Madera 1312 9 7 2 0
Madera 1313 0 0 0 0
Madera 1314 1 0 0 0
Madera 1315 7 5 2 0
Madera 1316 81 47 25 0
Madera 1317 44 21 21 0
Madera 1318 115 73 36 0
Madera 1319 0 0 0 0
Madera 1320 0 0 0 0
Madera 1502 228 32 191 0
Madera 1505 14 1 13 0
Madera 1509 425 80 333 0
Madera 1515 121 21 94 0
Madera 2001 48 15 33 0
Madera 2003 67 21 41 0
Madera 2007 0 0 0 0
Madera 2012 374 132 222 0
Madera 2104 87 22 64 0
Madera 2105 93 30 56 0
Madera 2106 249 79 160 0
Madera 2108 124 32 86 0
Madera 2109 167 30 132 0
Madera 2305 0 0 0 0
Madera 2306 40 16 24 0
Madera 2309 47 7 39 0
Madera 2324 0 0 0 0
Madera 2327 0 0 0 0
Madera 3200 128 69 51 0
Madera 3202 70 33 32 0
Madera 3203 45 21 19 0
Madera 3207 68 31 37 0
Madera 3208 78 26 50 0
Madera 3210 160 69 82 0
Madera 3211 97 39 55 0
Madera 3212 100 29 70 0
Madera 3213 109 52 48 0
Madera 3214 117 49 62 0
Madera 3215 96 40 52 0
Madera 3216 4 2 2 0
Madera 3217 1 1 0 0
Madera 3218 23 13 10 0
Madera 3219 0 0 0 0
Madera 3223 0 0 0 0
Madera 4200 85 44 36 0
Madera 4201 54 29 22 0
Madera 4202 200 110 79 0
Madera 4203 108 75 29 0
Madera 4204 36 17 18 0
Madera 4205 164 88 66 0
Madera 4207 64 38 22 0
Madera 4208 36 20 15 0
Madera 4310 82 47 34 0
Madera 4311 4 1 3 0
Madera 4312 3 2 1 0
Madera 5400 210 39 164 0
Madera 5403 46 7 36 0
Madera 5404 136 18 113 0
Madera 5409 607 146 448 0
Madera 5418 482 82 378 0
Madera 5424 7 1 6 0
Madera 5425 238 44 187 0
Madera 5429 70 5 60 0
Madera 5430 52 7 38 0
Madera 5431 0 0 0 0
Madera 5432 1 1 0 0
Madera SOV_CD04 0 5428 10692 0
Madera SOV_CD16 0 16427 20273 0
Madera SOV_SD08 0 0 0 0
Madera SOV_SD12 0 0 0 0
Madera SOV_AD05 0 0 0 0
Madera SOV_BE01 0 0 0 0
Madera SOV_AD00 0 0 0 0
Madera SOV_CD00 0 0 0 0
Madera SOV_SD00 0 0 0 0
Madera SOV_BE00 0 0 0 0
Napa 111131 14 8 6 0
Napa 111131A 336 245 79 0
Napa 111132 0 0 0 0
Napa 111132A 4 3 1 0
Napa 111151 0 0 0 0
Napa 111151A 41 32 9 0
Napa 111152 5 4 1 0
Napa 111152A 320 200 107 0
Napa 111153 0 0 0 0
Napa 111153A 3 3 0 0
Napa 111154 2 1 1 0
Napa 111154A 32 22 10 0
Napa 111155 1 1 0 0
Napa 111155A 22 15 5 0
Napa 111431 1 0 1 0
Napa 111431A 10 8 2 0
Napa 111751 1 0 0 0
Napa 111751A 95 65 23 0
Napa 111752 2 1 1 0
Napa 111752A 18 11 6 0
Napa 111753 2 1 1 0
Napa 111753A 217 126 87 0
Napa 121131 6 2 4 0
Napa 121131A 153 128 20 0
Napa 121132 10 7 2 0
Napa 121132A 282 202 72 0
Napa 121133 17 9 7 0
Napa 121133A 510 408 84 0
Napa 121134 13 6 7 0
Napa 121134A 223 181 32 0
Napa 121135 13 10 3 0
Napa 121135A 577 450 115 0
Napa 121136 28 7 20 0
Napa 121136A 725 536 167 0
Napa 121137 6 2 4 0
Napa 121137A 172 119 47 0
Napa 121151 13 8 5 0
Napa 121151A 244 187 49 0
Napa 121152 24 13 11 0
Napa 121152A 812 548 242 0
Napa 121153 6 3 3 0
Napa 121153A 185 138 36 0
Napa 121154 2 2 0 0
Napa 121154A 78 57 17 0
Napa 121155 8 2 5 0
Napa 121155A 233 170 54 0
Napa 121156 22 12 10 0
Napa 121156A 395 289 92 0
Napa 121157 15 6 8 0
Napa 121157A 389 307 72 0
Napa 121158 11 7 4 0
Napa 121158A 507 368 125 0
Napa 121159 2 2 0 0
Napa 121159A 63 47 15 0
Napa 121161 11 4 6 0
Napa 121161A 350 204 136 0
Napa 121162 10 4 5 0
Napa 121162A 587 383 184 0
Napa 121221 6 2 4 0
Napa 121221A 166 124 35 0
Napa 121222 3 2 0 0
Napa 121222A 75 60 13 0
Napa 121223 7 2 5 0
Napa 121223A 114 88 21 0
Napa 121224 9 6 3 0
Napa 121224A 75 59 12 0
Napa 121231 3 3 0 0
Napa 121231A 32 21 9 0
Napa 121232 7 6 1 0
Napa 121232A 249 211 25 0
Napa 121233 27 18 7 0
Napa 121233A 562 449 83 0
Napa 121234 11 10 1 0
Napa 121234A 444 356 68 0
Napa 121235 12 4 7 0
Napa 121235A 377 309 50 0
Napa 121236 9 8 1 0
Napa 121236A 380 279 94 0
Napa 121237 21 9 11 0
Napa 121237A 218 162 50 0
Napa 121238 12 4 8 0
Napa 121238A 507 395 89 0
Napa 121239 16 7 8 0
Napa 121239A 522 397 104 0
Napa 121431 9 4 5 0
Napa 121431A 377 269 93 0
Napa 121432 3 1 2 0
Napa 121432A 310 234 65 0
Napa 121551 6 3 3 0
Napa 121551A 133 112 18 0
Napa 121552 13 6 6 0
Napa 121552A 202 164 31 0
Napa 121751 0 0 0 0
Napa 121751A 8 4 4 0
Napa 121752 7 2 4 0
Napa 121752A 612 413 181 0
Napa 121753 6 3 3 0
Napa 121753A 322 233 81 0
Napa 211161 1 1 0 0
Napa 211161A 64 45 17 0
Napa 211162 0 0 0 0
Napa 211162A 18 8 8 0
Napa 211561 16 9 7 0
Napa 211561A 440 348 81 0
Napa 211562 12 3 8 0
Napa 211562A 445 306 124 0
Napa 211563 0 0 0 0
Napa 211563A 34 24 9 0
Napa 211751 0 0 0 0
Napa 211751A 78 61 16 0
Napa 211761 6 3 3 0
Napa 211761A 279 197 73 0
Napa 211762 2 0 2 0
Napa 211762A 20 15 4 0
Napa 211771 0 0 0 0
Napa 211771A 1 1 0 0
Napa 221161 4 0 4 0
Napa 221161A 294 207 79 0
Napa 221162 9 6 3 0
Napa 221162A 435 301 119 0
Napa 221163 2 2 0 0
Napa 221163A 370 242 111 0
Napa 221231 6 1 4 0
Napa 221231A 311 260 39 0
Napa 221232 6 2 3 0
Napa 221232A 353 273 69 0
Napa 221233 1 1 0 0
Napa 221233A 45 32 9 0
Napa 221551 19 11 7 0
Napa 221551A 519 429 74 0
Napa 221552 7 4 3 0
Napa 221552A 337 263 60 0
Napa 221553 9 5 3 0
Napa 221553A 249 201 42 0
Napa 221561 7 4 2 0
Napa 221561A 150 107 35 0
Napa 221562 15 6 9 0
Napa 221562A 521 369 133 0
Napa 221563 15 5 10 0
Napa 221563A 612 442 147 0
Napa 221564 22 13 7 0
Napa 221564A 623 435 168 0
Napa 221565 11 2 9 0
Napa 221565A 579 373 183 0
Napa 221566 24 19 5 0
Napa 221566A 433 300 119 0
Napa 221571 35 11 24 0
Napa 221571A 1002 709 256 0
Napa 221572 18 13 4 0
Napa 221572A 759 489 249 0
Napa 221573 9 3 6 0
Napa 221573A 526 374 142 0
Napa 221574 28 15 11 0
Napa 221574A 801 569 196 0
Napa 221575 33 12 20 0
Napa 221575A 1062 728 300 0
Napa 221671 5 3 2 0
Napa 221671A 314 221 82 0
Napa 221672 17 10 7 0
Napa 221672A 725 502 203 0
Napa 221673 3 1 2 0
Napa 221673A 423 270 141 0
Napa 221674 24 7 17 0
Napa 221674A 663 424 210 0
Napa 221675 20 5 14 0
Napa 221675A 813 545 232 0
Napa 221676 15 10 4 0
Napa 221676A 335 232 100 0
Napa 221677 7 2 4 0
Napa 221677A 291 217 64 0
Napa 221762 18 5 13 0
