COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 200100 3156 2927 146 15 16 7 9
Alameda 200200 1764 1631 76 8 22 3 4
Alameda 201400 2293 2155 65 11 19 1 11
Alameda 201800 1446 1289 77 15 23 6 15
Alameda 202010 189 175 5 1 5 0 0
Alameda 202500 552 479 39 11 8 2 7
Alameda 202540 371 324 27 3 5 1 5
Alameda 203100 2985 2804 120 9 21 5 7
Alameda 203500 1305 1184 67 11 23 2 3
Alameda 203800 1263 1192 28 6 9 2 7
Alameda 204000 213 204 5 0 2 0 0
Alameda 204210 1785 1619 102 11 17 3 5
Alameda 204300 1066 973 38 9 15 5 4
Alameda 204510 1985 1826 75 12 31 5 16
Alameda 204900 948 857 44 7 11 2 6
Alameda 205200 3947 3717 150 14 23 4 4
Alameda 205700 3417 3194 126 25 35 1 7
Alameda 206200 2129 1998 71 8 24 1 8
Alameda 206600 1680 1537 71 9 22 8 14
Alameda 207000 1573 1489 39 10 21 4 3
Alameda 207640 221 193 15 2 3 1 2
Alameda 207700 2460 2227 126 9 30 7 21
Alameda 208010 2108 1924 93 14 31 2 8
Alameda 208300 3225 3016 107 15 29 5 20
Alameda 208600 656 616 10 1 11 1 2
Alameda 208650 332 317 4 2 2 1 1
Alameda 208800 2887 2661 114 18 25 5 21
Alameda 208810 3479 3245 112 9 36 7 17
Alameda 209200 2252 2095 89 7 22 4 7
Alameda 209300 3111 2828 137 28 42 6 16
Alameda 209310 4348 4077 144 17 38 8 23
Alameda 209700 2262 2087 100 14 27 5 7
Alameda 209900 3340 3105 133 11 24 10 13
Alameda 213100 4001 3512 381 40 11 8 3
Alameda 213600 2228 2006 163 8 23 0 2
Alameda 214100 2380 2152 162 22 12 2 2
Alameda 214400 3422 3143 188 21 19 2 7
Alameda 214500 2050 1890 98 11 17 3 4
Alameda 215200 2264 2157 47 12 17 5 12
Alameda 215500 2397 2257 80 12 11 3 7
Alameda 215700 3669 3401 138 13 44 7 19
Alameda 215900 785 717 32 7 12 4 4
Alameda 223010 3619 3388 125 14 32 4 27
Alameda 224000 4102 3788 229 31 12 5 5
Alameda 224200 1263 1160 78 4 7 0 4
Alameda 224300 176 156 15 0 1 0 2
Alameda 224420 56 47 7 1 0 1 0
Alameda 224500 2863 2620 176 10 17 1 9
Alameda 224700 1462 1340 74 6 9 2 2
Alameda 225300 3283 3060 123 21 20 7 9
Alameda 225710 2635 2443 106 12 35 10 7
Alameda 225900 2640 2464 112 20 12 4 8
Alameda 244300 3458 3125 242 27 13 6 4
Alameda 244400 4471 4062 310 28 19 9 8
Alameda 244900 562 504 44 5 2 0 0
Alameda 245100 1799 1659 96 10 8 4 3
Alameda 245300 1281 1121 116 11 4 1 0
Alameda 260100 3494 3057 284 30 33 6 26
Alameda 261300 3428 3055 285 11 20 3 7
Alameda 262000 3872 3527 239 28 22 3 10
Alameda 280700 3993 3311 526 57 13 6 3
Alameda 281600 4164 3724 325 37 14 5 1
Alameda 300110 2125 1661 371 26 8 14 5
Alameda 300130 2746 2097 546 20 19 7 3
Alameda 300150 4225 3371 697 33 16 17 10
Alameda 301200 4421 3651 629 40 24 12 8
Alameda 301900 4079 3376 571 37 24 2 10
Alameda 302000 4568 3750 652 58 28 16 6
Alameda 302700 3932 3209 566 37 29 14 16
Alameda 303800 3769 3133 497 42 25 7 10
Alameda 304600 3901 3276 500 31 22 8 10
Alameda 305010 3985 3324 545 30 22 14 9
Alameda 305100 3804 3124 570 29 25 6 10
Alameda 305700 3318 2714 490 29 24 7 12
Alameda 310000 3205 2952 128 14 36 7 17
Alameda 310400 4159 3905 89 22 47 9 20
Alameda 311200 3188 2960 91 19 44 7 20
Alameda 311400 3629 3363 108 22 42 18 26
Alameda 323200 2851 2607 140 21 25 5 13
Alameda 323400 0 0 0 0 0 0 0
Alameda 325300 3753 3407 201 25 38 7 23
Alameda 325400 2800 2580 111 18 27 12 15
Alameda 325500 2752 2576 91 19 22 2 18
Alameda 333200 3704 3351 190 19 45 9 18
Alameda 333210 496 419 56 9 1 0 3
Alameda 333300 73 62 6 2 0 1 1
Alameda 333410 1598 1462 97 17 7 4 2
Alameda 333420 9 9 0 0 0 0 0
Alameda 333800 2597 2298 197 14 32 6 17
Alameda 333900 2833 2239 477 12 20 6 19
Alameda 334000 3462 2837 484 21 30 13 19
Alameda 334510 5 4 0 0 1 0 0
Alameda 334800 2548 2177 266 14 21 11 22
Alameda 335200 714 636 42 4 9 4 8
Alameda 335300 3797 3441 214 22 36 8 20
Alameda 335400 3177 2853 154 17 36 14 38
Alameda 336100 3136 2796 181 23 42 11 21
