COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Adams 4253001245 0 59 214 7 1
Adams 4255601241 0 6 22 2 0
Adams 4255601246 0 228 567 44 20
Adams 4255601247 0 162 556 25 13
Adams 4255601248 0 153 507 8 9
Adams 4255601249 0 42 212 3 3
Adams 4255601251 0 198 517 28 12
Adams 6243101150 0 643 537 41 11
Adams 6243101151 0 533 449 28 23
Adams 6243101159 0 667 644 34 13
Adams 6243401075 0 193 224 14 2
Adams 6243401076 0 492 389 22 14
Adams 6243401077 0 341 292 19 4
Adams 6243401252 0 563 467 21 8
Adams 6245601071 0 286 325 13 7
Adams 6245601072 0 151 186 9 3
Adams 6245601073 0 620 645 26 10
Adams 6245601074 0 373 448 21 10
Adams 6245601160 0 101 194 4 1
Adams 6253001152 0 412 377 26 15
Adams 6253001153 0 269 309 13 7
Adams 6253001154 0 14 26 1 1
Adams 6253001155 0 136 122 7 6
Adams 6253001156 0 211 221 6 0
Adams 6253001157 0 358 309 19 7
Adams 6253001226 0 52 80 8 4
Adams 6253001229 0 482 107 17 11
Adams 6253001230 0 791 186 32 17
Adams 6253001231 0 780 192 36 7
Adams 6253001232 0 714 177 36 17
Adams 6253001233 0 636 220 29 9
Adams 6253001234 0 447 208 15 11
Adams 6253001235 0 246 88 16 11
Adams 6253001236 0 501 254 20 12
Adams 6253001237 0 380 129 17 15
Adams 6253001238 0 436 284 21 9
Adams 6253001239 0 415 257 27 4
Adams 6253001240 0 831 306 32 16
Adams 6253001242 0 95 216 17 3
Adams 6253001243 0 198 508 22 7
Adams 6253001253 0 247 42 11 1
Adams 6253101158 0 318 293 13 6
Adams 6255601161 0 27 69 6 2
Adams 6255601162 0 260 524 16 7
Adams 6255601163 0 148 276 16 7
Adams 6255601164 0 116 238 18 0
Adams 6255601165 0 590 792 15 6
Adams 6255601166 0 114 274 12 2
Adams 6255601167 0 157 305 8 4
Adams 6255601168 0 211 239 13 1
Adams 6255601169 0 112 262 10 6
Adams 6255601170 0 494 299 27 29
Adams 6255601171 0 474 434 38 20
Adams 6255601172 0 70 70 6 3
Adams 6255601173 0 26 41 0 3
Adams 6255601174 0 118 234 4 6
Adams 6255601175 0 400 501 37 12
Adams 6255601176 0 142 216 2 2
Adams 6255601177 0 59 76 4 1
Adams 6255601178 0 0 0 0 0
Adams 6255601179 0 0 0 0 0
Adams 6255601180 0 275 379 33 10
Adams 6255601181 0 409 431 33 12
Adams 6255601182 0 239 273 22 8
Adams 6255601183 0 91 100 7 2
Adams 6255601184 0 77 117 3 0
Adams 6255601185 0 174 250 15 8
Adams 6255601186 0 376 472 48 18
Adams 6255601187 0 337 348 38 15
Adams 6255601188 0 235 399 18 8
Adams 6255601189 0 240 385 11 5
Adams 6255601190 0 377 464 29 11
Adams 6255601191 0 493 408 47 17
Adams 6255601192 0 333 224 22 13
Adams 6255601193 0 377 329 41 13
Adams 6255601194 0 111 165 9 9
Adams 6255601195 0 179 203 8 2
Adams 6255601196 0 22 21 2 2
Adams 6255601197 0 58 78 7 2
Adams 6255601198 0 175 322 16 4
Adams 6255601227 0 92 194 4 3
Adams 6255601228 0 236 473 21 9
Adams 6255601244 0 163 510 8 10
Adams 7213001130 0 103 83 10 6
Adams 7213001140 0 234 156 24 2
Adams 7213001141 0 379 267 12 9
Adams 7213001199 0 213 280 24 6
Adams 7213001200 0 17 85 2 1
Adams 7213001201 0 93 105 8 1
Adams 7213001202 0 164 186 7 2
Adams 7213001203 0 176 211 11 6
Adams 7213001204 0 240 214 12 5
Adams 7213001205 0 478 421 27 10
Adams 7213001206 0 439 423 30 12
Adams 7213001207 0 267 205 18 8
Adams 7213001210 0 544 463 44 16
Adams 7213001211 0 146 132 8 7
Adams 7213001212 0 207 208 14 6
Adams 7213001213 0 283 178 21 5
Adams 7213001214 0 390 322 19 3
Adams 7213001215 0 359 474 17 16
Adams 7213001225 0 69 100 0 2
Adams 7213101117 0 681 289 37 13
Adams 7213101118 0 367 202 21 15
Adams 7213201001 0 665 166 36 15
Adams 7213201002 0 778 252 30 11
Adams 7213201003 0 372 186 25 8
Adams 7213201004 0 352 162 20 13
Adams 7213201005 0 696 238 31 20
Adams 7213201006 0 433 143 23 11
Adams 7213201007 0 512 302 27 19
Adams 7213201008 0 440 208 23 13
Adams 7213201009 0 428 207 28 4
Adams 7213201021 0 603 215 37 15
Adams 7213201022 0 1066 356 33 16
Adams 7213201023 0 421 175 33 13
Adams 7213201119 0 458 224 38 21
Adams 7213201120 0 502 224 24 17
Adams 7213201121 0 418 247 26 12
Adams 7213201122 0 314 124 21 15
Adams 7213201123 0 456 213 40 13
Adams 7213201124 0 517 201 31 15
Adams 7213201125 0 340 146 26 18
Adams 7213201126 0 526 278 52 25
Adams 7213201127 0 346 155 37 19
Adams 7213201128 0 580 232 31 15
Adams 7213201129 0 456 270 22 12
Adams 7213201208 0 202 114 20 14
Adams 7213201209 0 263 205 17 9
Adams 7213201216 0 507 421 45 16
Adams 7213201217 0 326 249 22 12
Adams 7213201218 0 277 244 30 7
Adams 7213201219 0 113 86 11 2
Adams 7213201220 0 0 0 0 0
Adams 7213201221 0 193 152 12 4
Adams 7213201222 0 27 27 2 0
Adams 7213201223 0 0 0 0 0
Adams 7213201224 0 7 17 2 0
Adams 7213201254 0 289 139 26 11
Adams 7213201255 0 238 97 25 7
Adams 7213401027 0 268 78 11 4
Adams 7213401030 0 336 217 33 16
Adams 7213401035 0 320 183 23 6
Adams 7213401036 0 315 273 37 20
Adams 7213401042 0 390 199 19 8
Adams 7213501010 0 542 263 38 12
Adams 7213501011 0 656 320 26 23
Adams 7213501012 0 507 243 38 23
Adams 7213501013 0 677 360 45 10
Adams 7213501014 0 492 236 34 13
Adams 7213501015 0 460 221 29 24
Adams 7213501016 0 490 290 34 20
Adams 7213501017 0 397 264 27 11
Adams 7213501018 0 401 226 33 9
Adams 7213501019 0 308 164 20 13
Adams 7213501020 0 509 161 25 18
Adams 7213501024 0 572 238 23 14
Adams 7213501025 0 560 232 19 14
Adams 7213501026 0 664 296 57 16
Adams 7243101078 0 202 193 21 4
Adams 7243101079 0 315 333 16 3
Adams 7243101085 0 459 408 27 8
Adams 7243101086 0 403 409 28 7
Adams 7243101088 0 561 471 25 10
Adams 7243101089 0 484 346 37 16
Adams 7243101093 0 489 384 30 18
Adams 7243101094 0 453 406 37 13
Adams 7243101097 0 407 352 35 15
Adams 7243101105 0 57 27 4 4
Adams 7243101134 0 508 394 33 13
Adams 7243101135 0 519 422 47 15
Adams 7243101136 0 383 365 29 12
Adams 7243101137 0 562 478 29 15
Adams 7243101145 0 570 412 36 13
Adams 7243101146 0 418 288 39 16
Adams 7243101147 0 617 451 35 14
Adams 7243101149 0 419 425 28 10
Adams 7243401037 0 299 154 25 13
Adams 7243401038 0 579 310 33 13
Adams 7243401039 0 414 262 27 16
Adams 7243401040 0 392 292 32 19
Adams 7243401041 0 443 219 30 6
Adams 7243401051 0 562 475 38 11
Adams 7243401052 0 641 373 42 19
Adams 7243401053 0 470 427 18 10
Adams 7243401080 0 394 404 35 4
Adams 7243401081 0 426 331 16 6
Adams 7243401082 0 406 336 15 14
Adams 7243401083 0 434 369 19 14
Adams 7243401084 0 256 280 12 4
Adams 7243401087 0 441 250 33 14
Adams 7243401090 0 466 191 38 16
Adams 7243401091 0 406 210 32 16
Adams 7243401092 0 504 419 38 15
Adams 7243401095 0 450 383 33 21
Adams 7243401096 0 370 321 36 22
Adams 7243401098 0 435 322 33 17
Adams 7243401099 0 304 231 19 11
Adams 7243401100 0 506 310 32 12
Adams 7243401101 0 514 262 44 11
Adams 7243401102 0 450 320 41 16
Adams 7243401103 0 195 122 11 3
Adams 7243401104 0 398 286 36 4
Adams 7243501031 0 562 360 36 8
Adams 7243501032 0 466 271 31 9
