COUNTY AREA TOTAL DEM REP LIB GRN IND
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Other
Adams 4253001245 0 72 279 5 0 1
Adams 4255601241 0 9 31 0 0 0
Adams 4255601246 0 372 799 28 6 14
Adams 4255601247 0 187 699 17 1 12
Adams 4255601248 0 212 723 14 2 12
Adams 4255601249 0 49 282 4 0 2
Adams 4255601251 0 271 841 29 4 12
Adams 6243101150 0 801 602 23 6 13
Adams 6243101151 0 687 581 24 1 5
Adams 6243101159 0 419 355 17 1 4
Adams 6243101256 0 584 572 20 1 9
Adams 6243401075 0 279 297 16 2 5
Adams 6243401076 0 657 504 15 4 9
Adams 6243401077 0 431 371 16 1 5
Adams 6243401252 0 832 612 19 4 15
Adams 6245601071 0 416 381 26 2 9
Adams 6245601072 0 330 383 11 4 2
Adams 6245601073 0 544 557 15 2 5
Adams 6245601074 0 509 503 12 3 15
Adams 6245601160 0 232 317 4 0 1
Adams 6245601259 0 353 322 6 1 5
Adams 6253001152 0 579 514 20 3 9
Adams 6253001153 0 376 427 20 0 9
Adams 6253001154 0 14 39 0 0 0
Adams 6253001155 0 176 173 1 1 4
Adams 6253001156 0 443 388 5 1 8
Adams 6253001157 0 463 400 10 4 12
Adams 6253001226 0 60 128 1 1 0
Adams 6253001229 0 762 206 8 4 16
Adams 6253001230 0 1040 255 16 12 19
Adams 6253001231 0 1196 269 9 5 13
Adams 6253001232 0 1194 303 24 3 21
Adams 6253001233 0 898 297 12 2 15
Adams 6253001234 0 646 275 7 2 13
Adams 6253001235 0 400 127 6 4 7
Adams 6253001236 0 731 323 6 3 15
Adams 6253001237 0 549 233 5 4 14
Adams 6253001238 0 673 344 15 1 14
Adams 6253001239 0 608 320 12 7 12
Adams 6253001240 0 719 264 10 0 13
Adams 6253001242 0 132 303 8 1 3
Adams 6253001243 0 258 655 4 0 6
Adams 6253001253 0 378 70 10 2 2
Adams 6253001258 0 653 186 9 2 12
Adams 6253101158 0 472 455 17 1 8
Adams 6255601161 0 119 216 2 0 3
Adams 6255601162 0 330 604 5 0 5
Adams 6255601163 0 190 386 11 5 5
Adams 6255601164 0 180 308 6 0 2
Adams 6255601165 0 770 840 6 0 2
Adams 6255601166 0 133 326 6 2 6
Adams 6255601167 0 206 363 5 0 3
Adams 6255601168 0 329 362 11 1 4
Adams 6255601169 0 165 297 8 1 1
Adams 6255601170 0 612 453 15 3 15
Adams 6255601171 0 623 540 19 2 24
Adams 6255601172 0 121 125 1 0 2
Adams 6255601173 0 32 49 0 0 0
Adams 6255601174 0 159 288 7 3 5
Adams 6255601175 0 540 712 25 2 16
Adams 6255601176 0 179 271 7 0 6
Adams 6255601177 0 174 311 10 2 6
Adams 6255601178 0 24 18 0 0 0
Adams 6255601179 0 47 49 1 0 1
Adams 6255601180 0 385 512 22 2 10
Adams 6255601181 0 531 596 19 2 13
Adams 6255601182 0 340 397 14 1 8
Adams 6255601183 0 139 181 11 0 5
Adams 6255601184 0 133 167 5 2 5
Adams 6255601185 0 233 331 10 0 5
Adams 6255601186 0 512 612 11 6 12
Adams 6255601187 0 430 464 16 1 9
Adams 6255601188 0 305 422 11 0 2
Adams 6255601189 0 290 421 10 3 7
Adams 6255601190 0 432 594 20 4 12
Adams 6255601191 0 656 600 18 2 18
Adams 6255601192 0 453 308 8 1 12
Adams 6255601193 0 536 469 24 4 15
Adams 6255601194 0 171 223 11 0 4
Adams 6255601195 0 218 242 5 1 2
Adams 6255601196 0 89 82 6 1 1
Adams 6255601197 0 149 159 8 1 3
Adams 6255601198 0 288 464 6 3 4
Adams 6255601227 0 106 223 5 0 0
Adams 6255601228 0 295 586 8 3 5
Adams 6255601244 0 183 647 6 1 8
Adams 7213001130 0 146 106 5 0 3
Adams 7213001140 0 372 255 9 1 10
Adams 7213001141 0 654 423 21 6 17
Adams 7213001199 0 347 409 7 3 7
Adams 7213001200 0 26 84 4 0 0
Adams 7213001201 0 224 211 6 0 1
Adams 7213001202 0 286 295 7 2 7
Adams 7213001203 0 296 335 8 1 5
Adams 7213001204 0 344 297 8 2 5
Adams 7213001205 0 618 569 15 7 11
Adams 7213001206 0 613 619 19 3 12
Adams 7213001207 0 353 290 10 5 7
Adams 7213001210 0 924 716 31 6 16
Adams 7213001211 0 181 198 4 0 0
Adams 7213001212 0 346 308 14 0 4
Adams 7213001213 0 521 313 26 0 6
Adams 7213001214 0 580 432 16 3 7
Adams 7213001215 0 503 592 26 4 5
Adams 7213001225 0 70 122 5 0 6
Adams 7213101117 0 939 422 29 4 16
Adams 7213101118 0 522 282 15 3 14
Adams 7213201001 0 900 268 15 4 11
Adams 7213201002 0 1097 350 18 6 11
Adams 7213201003 0 646 222 11 3 8
Adams 7213201004 0 531 243 11 5 2
Adams 7213201005 0 968 360 18 4 17
Adams 7213201006 0 668 237 7 4 7
Adams 7213201007 0 678 404 11 2 9
Adams 7213201008 0 615 292 18 0 7
Adams 7213201009 0 565 278 7 2 5
Adams 7213201021 0 820 370 25 3 7
Adams 7213201022 0 774 378 20 5 13
Adams 7213201023 0 623 257 10 4 9
Adams 7213201119 0 702 359 18 6 17
Adams 7213201120 0 727 348 23 3 16
Adams 7213201121 0 613 341 13 4 11
Adams 7213201122 0 399 204 7 4 8
Adams 7213201123 0 792 334 10 2 13
Adams 7213201124 0 818 309 5 4 10
Adams 7213201125 0 483 230 7 5 6
Adams 7213201126 0 855 387 18 6 19
Adams 7213201127 0 505 279 13 7 11
Adams 7213201128 0 852 432 17 0 20
Adams 7213201129 0 700 400 10 1 18
Adams 7213201208 0 304 194 15 5 7
Adams 7213201209 0 504 339 17 4 10
Adams 7213201216 0 825 612 17 2 23
Adams 7213201217 0 494 348 10 1 7
Adams 7213201218 0 408 361 15 2 7
Adams 7213201219 0 337 202 7 0 2
Adams 7213201220 0 136 86 4 0 0
Adams 7213201221 0 270 182 3 3 11
Adams 7213201222 0 210 156 6 2 3
Adams 7213201224 0 12 24 2 0 2
Adams 7213201254 0 451 231 5 2 4
Adams 7213201255 0 347 169 6 2 8
Adams 7213201257 0 844 210 17 2 6
Adams 7213401027 0 450 191 11 1 6
Adams 7213401030 0 510 319 9 4 21
Adams 7213401035 0 528 307 11 2 7
Adams 7213401036 0 411 368 6 1 9
Adams 7213401042 0 610 289 20 5 10
Adams 7213501010 0 808 376 19 2 16
Adams 7213501011 0 983 424 28 5 15
Adams 7213501012 0 653 375 11 3 16
Adams 7213501013 0 940 465 20 4 15
Adams 7213501014 0 653 366 19 2 11
Adams 7213501015 0 771 397 17 3 19
Adams 7213501016 0 666 358 16 15 11
Adams 7213501017 0 568 325 19 3 9
Adams 7213501018 0 583 316 15 4 12
Adams 7213501019 0 453 228 7 9 6
Adams 7213501020 0 735 272 25 4 6
Adams 7213501024 0 782 358 15 7 9
Adams 7213501025 0 759 356 15 2 13
Adams 7213501026 0 1058 474 22 8 12
Adams 7243101078 0 276 242 10 1 8
Adams 7243101079 0 410 372 17 1 7
Adams 7243101085 0 620 477 24 2 5
Adams 7243101086 0 508 472 15 9 8
Adams 7243101088 0 706 516 21 1 12
Adams 7243101089 0 666 454 26 5 10
Adams 7243101093 0 728 581 27 5 21
Adams 7243101094 0 578 562 15 3 18
Adams 7243101097 0 555 476 12 3 13
Adams 7243101105 0 100 52 5 0 1
Adams 7243101134 0 702 545 25 9 22
Adams 7243101135 0 688 604 22 3 18
Adams 7243101136 0 512 471 21 2 12
Adams 7243101137 0 773 625 20 2 22
Adams 7243101145 0 789 602 21 5 13
Adams 7243101146 0 593 386 27 2 16
Adams 7243101147 0 842 677 21 4 23
Adams 7243101149 0 541 490 25 3 10
Adams 7243401037 0 491 237 6 1 10
Adams 7243401038 0 773 491 41 4 12
Adams 7243401039 0 563 351 13 6 14
Adams 7243401040 0 515 440 17 7 15
Adams 7243401041 0 609 342 18 2 13
Adams 7243401051 0 768 609 27 6 12
Adams 7243401052 0 951 528 29 7 14
Adams 7243401053 0 600 486 14 4 11
Adams 7243401080 0 490 467 13 0 7
Adams 7243401081 0 545 412 17 6 11
Adams 7243401082 0 542 382 20 1 10
Adams 7243401083 0 599 468 19 1 8
Adams 7243401084 0 338 319 11 1 7
Adams 7243401087 0 690 467 31 5 16
Adams 7243401090 0 684 367 19 6 15
Adams 7243401091 0 662 373 14 5 15
Adams 7243401092 0 653 579 22 3 9
Adams 7243401095 0 639 506 24 1 15
Adams 7243401096 0 515 420 20 5 14
Adams 7243401098 0 560 430 12 6 7
Adams 7243401099 0 413 284 15 1 11
Adams 7243401100 0 645 448 27 3 21
Adams 7243401101 0 721 419 28 2 9
Adams 7243401102 0 616 425 21 1 12
Adams 7243401103 0 349 174 16 2 6
Adams 7243401104 0 599 397 16 2 11
Adams 7243501031 0 787 494 23 4 12
Adams 7243501032 0 618 367 16 5 13
Adams 7243501033 0 957 514 33 4 3
Adams 7243501034 0 674 416 22 2 5
Adams 7243501043 0 611 349 11 2 6
Adams 7243501044 0 585 345 12 2 9
Adams 7243501045 0 404 268 10 1 8
Adams 7243501046 0 392 329 4 2 2
Adams 7243501047 0 648 399 18 1 9
Adams 7243501048 0 484 353 10 0 8
Adams 7243501049 0 621 449 17 2 9
Adams 7243501050 0 526 354 16 6 8
Adams 7243501054 0 481 331 10 2 5
Adams 7243501055 0 448 355 9 1 4
Adams 7243501056 0 776 485 26 5 13
Adams 7243501057 0 573 355 12 4 5
Adams 7243501058 0 822 273 27 5 10
Adams 7243501059 0 668 364 16 3 6
Adams 7243501060 0 559 500 14 4 10
Adams 7243501061 0 728 432 15 4 9
Adams 7243501062 0 623 501 16 2 6
Adams 7243501063 0 670 456 21 1 5
Adams 7243501064 0 865 467 33 3 11
Adams 7243501065 0 636 358 18 4 16
Adams 7243501066 0 223 155 4 3 5
Adams 7243501067 0 316 247 3 0 3
Adams 7243501068 0 745 437 33 3 11
Adams 7243501069 0 658 559 17 1 9
Adams 7243501070 0 437 472 12 2 4
Adams 7253001131 0 386 238 14 3 4
Adams 7253001132 0 907 428 32 8 19
Adams 7253001138 0 413 349 27 2 5
Adams 7253001139 0 188 148 6 1 5
Adams 7253001142 0 464 526 14 1 5
Adams 7253001143 0 531 403 18 2 10
Adams 7253001144 0 666 569 34 1 12
Adams 7253001148 0 492 361 15 3 12
Adams 7253101106 0 966 530 31 7 11
Adams 7253101107 0 760 496 23 0 14
Adams 7253101108 0 802 475 21 8 14
Adams 7253101109 0 684 407 17 7 9
Adams 7253101110 0 512 285 13 1 8
Adams 7253101111 0 642 388 13 10 15
Adams 7253101112 0 649 270 18 6 16
Adams 7253101113 0 659 377 16 3 15
Adams 7253101114 0 597 311 12 7 11
Adams 7253101115 0 606 353 13 3 12
Adams 7253101116 0 367 231 11 3 7
Adams 7253101133 0 738 518 13 8 8
Adams 7253101250 0 450 175 13 11 6
Adams 7253401028 0 534 264 12 4 12
Adams 7253401029 0 805 325 22 9 15
Alamosa 3356202001 0 442 197 9 4 17
Alamosa 3356202002 0 380 225 13 2 13
Alamosa 3356202003 0 708 645 16 5 22
Alamosa 3356202004 0 648 854 17 3 37
Alamosa 3356202005 0 195 458 4 2 4
Alamosa 3356202006 0 450 302 8 1 12
Alamosa 3356202007 0 746 635 21 3 14
Alamosa 3356202008 0 190 497 2 3 4
Arapahoe 1260303101 0 688 374 22 2 22
Arapahoe 1260303102 0 604 372 20 1 18
Arapahoe 1260303103 0 365 196 15 3 10
Arapahoe 1260303104 0 422 126 3 0 13
Arapahoe 1260303105 0 1076 337 25 4 24
Arapahoe 1260303106 0 415 106 13 3 3
Arapahoe 1260303107 0 618 211 12 3 5
Arapahoe 1260303108 0 471 165 12 0 4
Arapahoe 1260303109 0 473 142 9 0 4
Arapahoe 1260303110 0 347 134 9 0 7
Arapahoe 1260303111 0 817 277 18 3 7
Arapahoe 1260303112 0 596 218 13 0 14
