COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DemReg RepReg
Adams 4253001245 453 452 1
Adams 4255601241 59 58 1
Adams 4255601246 1595 1594 1
Adams 4255601247 1104 1103 1
Adams 4255601248 1186 1185 1
Adams 4255601249 432 431 1
Adams 4255601251 1450 1449 1
Adams 6243101150 1760 1759 1
Adams 6243101151 1581 1580 1
Adams 6243101159 899 898 1
Adams 6243101256 1376 1375 1
Adams 6243401075 859 858 1
Adams 6243401076 1414 1413 1
Adams 6243401077 1000 999 1
Adams 6243401252 1748 1747 1
Adams 6245601071 1006 1005 1
Adams 6245601072 842 841 1
Adams 6245601073 1274 1273 1
Adams 6245601074 1238 1237 1
Adams 6245601160 627 626 1
Adams 6245601259 756 755 1
Adams 6253001152 1386 1385 1
Adams 6253001153 1004 1003 1
Adams 6253001154 72 71 1
Adams 6253001155 425 424 1
Adams 6253001156 978 977 1
Adams 6253001157 1025 1024 1
Adams 6253001226 248 247 1
Adams 6253001229 1973 1972 1
Adams 6253001230 2043 2042 1
Adams 6253001231 2232 2231 1
Adams 6253001232 2631 2630 1
Adams 6253001233 1774 1773 1
Adams 6253001234 1461 1460 1
Adams 6253001235 1027 1026 1
Adams 6253001236 1580 1579 1
Adams 6253001237 1377 1376 1
Adams 6253001238 1481 1480 1
Adams 6253001239 1328 1327 1
Adams 6253001240 1264 1263 1
Adams 6253001242 568 567 1
Adams 6253001243 1100 1099 1
Adams 6253001253 818 817 1
Adams 6253001258 1217 1216 1
Adams 6253101158 1180 1179 1
Adams 6255601161 397 396 1
Adams 6255601162 1047 1046 1
Adams 6255601163 712 711 1
Adams 6255601164 583 582 1
Adams 6255601165 1765 1764 1
Adams 6255601166 544 543 1
Adams 6255601167 665 664 1
Adams 6255601168 822 821 1
Adams 6255601169 562 561 1
Adams 6255601170 1672 1671 1
Adams 6255601171 1614 1613 1
Adams 6255601172 358 357 1
Adams 6255601173 93 92 1
Adams 6255601174 577 576 1
Adams 6255601175 1619 1618 1
Adams 6255601176 608 607 1
Adams 6255601177 614 613 1
Adams 6255601178 46 45 1
Adams 6255601179 111 110 1
Adams 6255601180 1129 1128 1
Adams 6255601181 1539 1538 1
Adams 6255601182 985 984 1
Adams 6255601183 428 427 1
Adams 6255601184 398 397 1
Adams 6255601185 698 697 1
Adams 6255601186 1562 1561 1
Adams 6255601187 1338 1337 1
Adams 6255601188 934 933 1
Adams 6255601189 871 870 1
Adams 6255601190 1390 1389 1
Adams 6255601191 1804 1803 1
Adams 6255601192 1159 1158 1
Adams 6255601193 1484 1483 1
Adams 6255601194 583 582 1
Adams 6255601195 538 537 1
Adams 6255601196 267 266 1
Adams 6255601197 472 471 1
Adams 6255601198 899 898 1
Adams 6255601227 395 394 1
Adams 6255601228 1054 1053 1
Adams 6255601244 961 960 1
Adams 7213001130 347 346 1
Adams 7213001140 850 849 1
Adams 7213001141 1496 1495 1
Adams 7213001199 984 983 1
Adams 7213001200 136 135 1
Adams 7213001201 547 546 1
Adams 7213001202 742 741 1
Adams 7213001203 748 747 1
Adams 7213001204 834 833 1
Adams 7213001205 1563 1562 1
Adams 7213001206 1573 1572 1
Adams 7213001207 861 860 1
Adams 7213001210 2151 2150 1
Adams 7213001211 532 531 1
Adams 7213001212 788 787 1
Adams 7213001213 1067 1066 1
Adams 7213001214 1323 1322 1
Adams 7213001215 1489 1488 1
Adams 7213001225 242 241 1
Adams 7213101117 1969 1968 1
Adams 7213101118 1236 1235 1
Adams 7213201001 1927 1926 1
Adams 7213201002 1956 1955 1
Adams 7213201003 1109 1108 1
Adams 7213201004 1139 1138 1
Adams 7213201005 1893 1892 1
Adams 7213201006 1458 1457 1
Adams 7213201007 1521 1520 1
Adams 7213201008 1176 1175 1
Adams 7213201009 1073 1072 1
Adams 7213201021 1832 1831 1
Adams 7213201022 1663 1662 1
Adams 7213201023 1248 1247 1
Adams 7213201119 1671 1670 1
Adams 7213201120 1568 1567 1
Adams 7213201121 1390 1389 1
Adams 7213201122 932 931 1
Adams 7213201123 1866 1865 1
Adams 7213201124 1769 1768 1
Adams 7213201125 1144 1143 1
Adams 7213201126 1971 1970 1
Adams 7213201127 1250 1249 1
Adams 7213201128 2075 2074 1
Adams 7213201129 1815 1814 1
Adams 7213201208 725 724 1
Adams 7213201209 1183 1182 1
Adams 7213201216 1976 1975 1
Adams 7213201217 1145 1144 1
Adams 7213201218 1011 1010 1
Adams 7213201219 703 702 1
Adams 7213201220 268 267 1
Adams 7213201221 596 595 1
Adams 7213201222 448 447 1
Adams 7213201224 48 47 1
Adams 7213201254 1096 1095 1
Adams 7213201255 829 828 1
Adams 7213201257 1201 1200 1
Adams 7213401027 1101 1100 1
Adams 7213401030 1276 1275 1
Adams 7213401035 1454 1453 1
Adams 7213401036 991 990 1
Adams 7213401042 1367 1366 1
Adams 7213501010 1868 1867 1
Adams 7213501011 2076 2075 1
Adams 7213501012 1407 1406 1
Adams 7213501013 2030 2029 1
Adams 7213501014 1397 1396 1
Adams 7213501015 1888 1887 1
Adams 7213501016 1335 1334 1
Adams 7213501017 1217 1216 1
Adams 7213501018 1326 1325 1
Adams 7213501019 968 967 1
Adams 7213501020 1592 1591 1
Adams 7213501024 1585 1584 1
Adams 7213501025 1621 1620 1
Adams 7213501026 2180 2179 1
Adams 7243101078 668 667 1
Adams 7243101079 935 934 1
Adams 7243101085 1340 1339 1
Adams 7243101086 1212 1211 1
Adams 7243101088 1483 1482 1
Adams 7243101089 1587 1586 1
Adams 7243101093 1837 1836 1
Adams 7243101094 1504 1503 1
Adams 7243101097 1336 1335 1
Adams 7243101105 278 277 1
Adams 7243101134 1768 1767 1
Adams 7243101135 1764 1763 1
Adams 7243101136 1287 1286 1
Adams 7243101137 1767 1766 1
Adams 7243101145 1799 1798 1
Adams 7243101146 1480 1479 1
Adams 7243101147 2041 2040 1
Adams 7243101149 1292 1291 1
Adams 7243401037 1247 1246 1
Adams 7243401038 1879 1878 1
Adams 7243401039 1229 1228 1
Adams 7243401040 1277 1276 1
Adams 7243401041 1370 1369 1
Adams 7243401051 1818 1817 1
Adams 7243401052 2213 2212 1
