DIST COUNTY AREA TOTAL DEM REP CPF REF LPF OverVotes GRE UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Clinton Trump Castle DeLaFuente Johnson OverVotes Stein UnderVotes WriteinVotes
NA Alachua 01 0 357 637 2 0 28 0 5 5 9
NA Alachua 02 0 668 839 2 0 29 2 18 17 17
NA Alachua 03 0 1114 1711 5 2 105 3 34 17 26
NA Alachua 04 0 687 1483 7 1 75 2 11 18 21
NA Alachua 05 0 1409 544 2 1 101 0 29 6 23
NA Alachua 06 0 762 1263 12 2 65 3 13 10 14
NA Alachua 07 0 1253 259 1 2 54 0 50 11 26
NA Alachua 08 0 636 768 2 1 39 1 10 8 8
NA Alachua 09 0 117 279 0 0 11 0 2 4 2
NA Alachua 10 0 623 551 1 0 35 1 13 6 8
NA Alachua 11 0 1044 964 5 2 50 2 13 8 22
NA Alachua 12 0 1292 335 7 1 49 1 47 7 19
NA Alachua 13 0 1472 58 3 0 4 2 10 6 13
NA Alachua 14 0 281 579 4 0 22 2 8 7 4
NA Alachua 15 0 263 371 1 0 22 2 3 3 7
NA Alachua 16 0 819 899 5 0 56 1 14 15 33
NA Alachua 17 0 1390 609 3 1 80 0 39 16 37
NA Alachua 18 0 1163 811 1 0 71 0 10 16 35
NA Alachua 19 0 1038 100 2 0 25 1 25 8 16
NA Alachua 20 0 913 1500 3 4 64 3 23 13 29
NA Alachua 21 0 1235 837 9 2 77 0 33 11 41
NA Alachua 22 0 1415 894 8 2 82 3 28 25 28
NA Alachua 23 0 872 306 3 1 39 0 21 10 20
NA Alachua 24 0 1107 472 2 0 67 2 22 14 29
NA Alachua 25 0 1320 269 1 1 69 4 34 5 22
NA Alachua 26 0 935 319 1 1 44 0 17 11 26
NA Alachua 27 0 2110 331 7 0 74 2 45 17 22
NA Alachua 28 0 1829 159 0 1 17 11 16 10 12
NA Alachua 29 0 1081 1024 5 1 57 1 11 20 30
NA Alachua 30 0 1545 288 4 2 22 5 20 8 13
NA Alachua 31 0 2554 943 4 2 156 2 39 11 29
NA Alachua 32 0 1653 691 6 4 122 2 56 16 46
NA Alachua 33 0 1566 230 1 1 30 4 19 8 25
NA Alachua 34 0 399 517 1 0 16 2 7 7 10
NA Alachua 35 0 666 531 1 0 31 1 9 9 13
