COUNTY AREA TOTAL DEM REP Other
COUNTY AREA TOTAL Democrat Republican Other
Alachua 01 1378 560 564 254
Alachua 02 2027 972 699 356
Alachua 03 3939 1505 1524 910
Alachua 04 2898 1012 1268 618
Alachua 05 3032 1435 810 787
Alachua 06 2765 1046 1130 589
Alachua 07 2428 1434 354 640
Alachua 08 1992 1013 603 376
Alachua 09 518 195 217 106
Alachua 10 1537 786 479 272
Alachua 11 2787 1407 846 534
Alachua 12 2352 1495 363 494
Alachua 13 2425 1949 111 365
Alachua 14 1150 427 507 216
Alachua 15 906 406 346 154
Alachua 16 2337 827 970 540
Alachua 17 2889 1526 714 649
Alachua 18 2725 1072 935 718
Alachua 19 1734 1215 150 369
Alachua 20 3299 1317 1319 663
Alachua 21 2894 1334 868 692
Alachua 22 3338 1490 979 869
Alachua 23 1833 910 419 504
Alachua 24 2172 1171 514 487
Alachua 25 2723 1456 473 794
Alachua 26 1718 878 412 428
Alachua 27 3481 2264 476 741
Alachua 28 2976 2386 169 421
Alachua 29 2788 1024 1121 643
Alachua 30 2725 2025 262 438
Alachua 31 5788 2331 1459 1998
Alachua 32 3602 1769 874 959
Alachua 33 2812 2020 253 539
Alachua 34 1268 614 419 235
Alachua 35 1604 723 559 322
Alachua 36 3687 1705 796 1186
Alachua 37 2227 1078 679 470
Alachua 38 3384 1776 856 752
Alachua 39 3410 1616 661 1133
Alachua 40 2226 1081 724 421
Alachua 41 2493 940 1045 508
Alachua 42 2862 1050 1158 654
Alachua 43 3419 1726 800 893
Alachua 44 6665 3228 1235 2202
Alachua 45 5388 2362 1841 1185
Alachua 46 3647 1329 1395 923
Alachua 47 3275 1155 1324 796
Alachua 48 2946 1405 706 835
Alachua 49 2304 891 1012 401
Alachua 50 1863 1061 430 372
Alachua 51 3179 1409 1047 723
Alachua 52 2274 1273 413 588
Alachua 53 2866 1507 775 584
Alachua 54 3951 1993 820 1138
Alachua 55 1305 894 136 275
Alachua 56 2920 1090 1070 760
Alachua 57 2763 1372 671 720
Alachua 58 4663 1871 1511 1281
Alachua 59 6822 2980 1781 2061
Alachua 60 3117 912 1575 630
Alachua 61 2224 1191 650 383
Alachua 62 2747 1344 733 670
Alachua 63 2479 910 1086 483
Baker 1A 2488 1398 884 206
Baker 2A 2982 1238 1407 337
Baker 3A 3213 1113 1739 361
Baker 4A 209 85 93 31
Baker 4B 606 213 310 83
Baker 4C 1670 487 1054 129
Baker 4D 963 353 526 84
Baker 5A 2750 913 1513 324
Baker 6A 264 121 113 30
Bay 1 2001 505 990 506
Bay 10 4353 910 2471 972
Bay 11 5537 1172 2846 1519
Bay 12 4984 1026 2607 1351
Bay 13 2248 407 1251 590
Bay 14 4468 919 2391 1158
Bay 15 2943 461 2026 456
Bay 16 1428 284 945 199
Bay 17 3212 730 1776 706
Bay 18 2514 582 1593 339
Bay 19 1886 719 831 336
Bay 2 1194 250 727 217
Bay 20 1686 428 985 273
Bay 21 4073 802 2562 709
Bay 22 3995 905 2499 591
Bay 23 4838 1188 2646 1004
Bay 24 1412 371 785 256
Bay 25 2289 510 1435 344
Bay 26 2576 619 1535 422
Bay 27 3652 1038 1833 781
Bay 28 2385 747 985 653
Bay 29 3292 1327 1194 771
Bay 3 624 138 376 110
Bay 30 1398 517 576 305
Bay 31 4689 1444 2175 1070
Bay 32 1938 1448 188 302
Bay 33 2092 1217 446 429
Bay 34 1331 361 723 247
Bay 35 2136 594 1212 330
Bay 36 1076 487 344 245
Bay 37 3928 1579 1420 929
Bay 38 1848 628 732 488
Bay 39 3758 952 2016 790
Bay 4 3190 723 1805 662
Bay 40 2064 737 904 423
Bay 41 2538 808 1154 576
Bay 42 2317 571 1080 666
Bay 43 1773 510 852 411
Bay 44 1205 302 673 230
Bay 5 2732 560 1592 580
Bay 6 3601 852 2107 642
Bay 7 506 158 250 98
Bay 8 3170 529 1868 773
Bay 9 3134 683 1591 860
Bradford 1 1648 534 882 232
Bradford 10 947 284 541 122
Bradford 11 1191 466 514 211
Bradford 12 1702 525 883 294
Bradford 13 558 173 279 106
Bradford 14 684 261 337 86
Bradford 2 782 464 228 90
Bradford 3 660 255 309 96
Bradford 4 1263 526 569 168
Bradford 5 1649 721 698 230
Bradford 6 778 263 427 88
Bradford 7 1176 761 266 149
Bradford 8 1687 615 813 259
Bradford 9 1317 613 513 191
Brevard 100 2092 673 942 477
Brevard 102 896 253 412 231
Brevard 103 3429 955 1796 678
Brevard 104 4450 1412 2023 1015
Brevard 105 5623 1928 2303 1392
Brevard 106 2319 586 1215 518
Brevard 107 2050 648 974 428
Brevard 108 5029 2476 1432 1121
