DIST COUNTY AREA TOTAL DEM REP NPA NPA OverVotes REF NPA UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Gillum DeSantis Foley Gibson OverVotes Richardson Stanley UnderVotes WriteinVotes
NA Alachua 01 0 357 544 3 4 2 2 0 2 1
NA Alachua 02 0 622 739 1 4 0 12 8 9 6
NA Alachua 03 0 1123 1592 4 8 1 13 4 13 5
NA Alachua 04 0 688 1372 6 7 4 8 4 13 5
NA Alachua 05 0 1525 438 2 5 2 7 4 14 2
NA Alachua 06 0 749 1252 6 7 0 15 3 18 1
NA Alachua 07 0 1208 195 1 3 2 5 2 11 1
NA Alachua 08 0 607 647 2 7 1 6 8 4 0
NA Alachua 09 0 106 242 1 0 1 3 2 0 0
NA Alachua 10 0 618 501 1 2 0 6 2 6 0
NA Alachua 11 0 977 853 2 3 5 4 2 6 1
NA Alachua 12 0 1302 296 0 7 0 7 0 7 2
NA Alachua 13 0 1241 45 0 2 2 1 1 7 1
NA Alachua 14 0 291 525 1 4 0 2 1 6 1
NA Alachua 15 0 238 321 1 4 1 4 0 4 1
NA Alachua 16 0 858 876 4 9 2 7 3 17 1
NA Alachua 17 0 1435 550 2 4 1 13 5 16 2
NA Alachua 18 0 1106 789 0 4 1 13 4 10 1
NA Alachua 19 0 917 79 1 0 0 3 1 5 1
NA Alachua 20 0 902 1379 6 2 0 14 3 9 4
NA Alachua 21 0 1263 702 3 10 1 12 6 9 2
NA Alachua 22 0 1455 787 5 7 2 17 5 15 3
NA Alachua 23 0 790 247 1 2 0 3 2 5 0
NA Alachua 24 0 1132 458 1 3 2 4 3 14 1
NA Alachua 25 0 1331 185 1 7 2 4 3 13 0
NA Alachua 26 0 895 297 1 0 1 4 0 5 0
NA Alachua 27 0 1945 290 2 1 3 3 3 11 4
NA Alachua 28 0 1642 123 1 4 7 4 0 8 2
NA Alachua 29 0 1135 957 1 4 3 10 1 14 2
NA Alachua 30 0 1454 217 1 9 4 5 1 8 1
NA Alachua 31 0 2077 518 2 6 0 10 6 17 4
NA Alachua 32 0 1617 573 2 9 0 17 4 21 3
NA Alachua 33 0 1391 187 1 2 1 8 4 10 2
NA Alachua 34 0 380 417 1 2 1 4 3 3 0
NA Alachua 35 0 679 464 1 3 1 9 6 11 0
NA Alachua 36 0 1410 365 1 4 1 10 2 12 3
NA Alachua 37 0 1041 618 0 4 2 0 3 16 1
NA Alachua 38 0 1490 767 0 4 4 13 7 12 3
NA Alachua 39 0 1375 283 2 2 0 6 6 12 2
NA Alachua 40 0 1006 671 0 4 0 13 9 7 3
NA Alachua 41 0 882 1022 3 8 1 6 2 16 2
NA Alachua 42 0 1131 939 1 10 3 4 2 13 6
NA Alachua 43 0 1254 606 2 10 5 8 1 18 2
NA Alachua 44 0 2917 444 1 9 0 18 9 15 3
NA Alachua 45 0 2443 1713 1 8 7 23 4 22 5
NA Alachua 46 0 1437 1293 2 8 3 11 2 25 1
NA Alachua 47 0 1366 1316 5 11 0 7 3 19 2
NA Alachua 48 0 1060 468 7 8 1 17 3 12 6
NA Alachua 49 0 749 968 1 4 1 12 1 14 1
NA Alachua 50 0 972 415 1 1 1 6 3 11 0
NA Alachua 51 0 1380 884 0 6 1 3 4 21 0
NA Alachua 52 0 868 280 4 4 2 7 2 15 2
NA Alachua 53 0 1054 847 4 3 4 2 4 13 4
NA Alachua 54 0 1644 423 2 5 1 7 5 14 0
NA Alachua 55 0 647 100 0 6 2 5 3 5 0
NA Alachua 56 0 1101 881 1 8 0 13 1 16 0
NA Alachua 57 0 1233 561 1 3 0 15 7 12 3
NA Alachua 58 0 1818 1310 5 15 3 18 4 27 3
NA Alachua 59 0 2744 684 6 13 3 17 4 17 4
NA Alachua 60 0 627 1704 0 9 2 7 5 10 3
NA Alachua 61 0 1084 549 5 4 3 8 2 10 5
NA Alachua 62 0 1098 539 4 6 1 13 1 11 3
NA Alachua 63 0 814 978 2 1 2 9 0 14 4
NA Baker 1A 0 517 895 4 2 3 6 3 2 0
NA Baker 2A 0 400 1589 2 6 3 8 2 9 1
NA Baker 3A 0 338 1743 2 7 5 9 4 8 1
NA Baker 4A 0 10 117 0 2 0 0 0 0 0
NA Baker 4B 0 35 350 1 0 2 5 1 2 2
NA Baker 4C 0 127 1282 1 2 1 6 0 5 0
NA Baker 4D 0 54 530 2 2 1 3 0 0 0
NA Baker 5A 0 221 2080 3 2 1 4 3 10 0
NA Baker 6A 0 58 102 1 0 0 1 0 1 0
NA Bay 1 0 118 670 4 7 0 9 4 4 0
NA Bay 10 0 680 2016 5 14 13 18 6 16 3
NA Bay 11 0 825 2113 6 15 7 15 4 12 2
NA Bay 12 0 691 2080 9 16 8 8 2 13 3
NA Bay 13 0 314 1076 6 7 3 4 1 8 1
NA Bay 14 0 586 1824 6 8 3 24 5 17 2
NA Bay 15 0 378 1737 2 2 4 8 0 9 1
NA Bay 16 0 123 833 1 4 2 4 2 2 1
NA Bay 17 0 412 1445 5 6 2 8 2 4 4
NA Bay 18 0 316 1265 4 7 2 3 4 8 1
NA Bay 19 0 420 673 1 4 1 6 2 1 0
NA Bay 2 0 75 498 2 1 0 4 0 2 1
NA Bay 20 0 200 768 1 5 3 4 1 4 2
NA Bay 21 0 479 2035 5 8 4 12 4 10 6
NA Bay 22 0 534 1815 4 10 2 14 2 19 4
NA Bay 23 0 703 1875 3 5 7 11 4 14 3
NA Bay 24 0 229 558 1 1 4 2 3 7 0
NA Bay 25 0 329 1133 0 2 1 8 4 11 4
NA Bay 26 0 356 1259 2 5 8 11 3 9 2
NA Bay 27 0 459 1217 3 13 9 12 2 7 0
NA Bay 28 0 359 637 5 5 2 11 6 8 0
NA Bay 29 0 578 807 3 8 5 11 6 11 2
NA Bay 3 0 41 299 0 0 2 2 0 0 0
NA Bay 30 0 248 337 4 0 2 3 1 6 1
NA Bay 31 0 759 1358 4 15 1 18 4 16 0
NA Bay 32 0 772 82 0 1 2 1 0 3 0
NA Bay 33 0 537 244 1 1 6 4 0 4 0
NA Bay 34 0 219 503 2 1 0 2 1 4 1
NA Bay 35 0 410 998 2 4 4 5 1 9 1
NA Bay 36 0 153 234 2 4 3 5 1 2 0
NA Bay 37 0 587 814 1 9 7 9 5 7 3
NA Bay 38 0 224 478 1 2 0 3 3 4 0
NA Bay 39 0 518 1447 3 5 5 11 3 10 0
NA Bay 4 0 201 1248 9 9 2 11 6 9 2
