DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
NA Broward "0001 A001" 0 0 0 3633
NA Broward "0002 A002" 0 0 0 1070
NA Broward "0003 A003" 0 0 0 1543
NA Broward "0004 A004" 0 0 0 1236
NA Broward "0005 A005" 0 0 0 1390
NA Broward "0006 A006" 0 0 0 1687
NA Broward "0007 A007" 0 0 0 1482
NA Broward "0008 A008" 0 0 0 430
NA Broward "0009 A009" 0 0 0 2670
NA Broward "0010 A010" 0 0 0 947
NA Broward "0011 A011" 0 0 0 1516
NA Broward "0012 A012" 0 0 0 1660
NA Broward "0013 A013" 0 0 0 2730
NA Broward "0014 A014" 0 0 0 2722
NA Broward "0015 A015" 0 0 0 1507
NA Broward "0016 A016" 0 0 0 1590
NA Broward "0017 A017" 0 0 0 483
NA Broward "0018 A018" 0 0 0 1029
NA Broward "0019 A019" 0 0 0 1411
NA Broward "0020 A020" 0 0 0 1878
NA Broward "0021 A021" 0 0 0 1299
NA Broward "0022 A022" 0 0 0 1132
NA Broward "0023 A023" 0 0 0 639
NA Broward "0024 A024" 0 0 0 936
NA Broward "0025 B001" 0 0 0 1040
NA Broward "0026 B002" 0 0 0 1592
NA Broward "0027 B003" 0 0 0 1138
NA Broward "0028 B004" 0 0 0 2125
NA Broward "0029 B005" 0 0 0 688
NA Broward "0030 B006" 0 0 0 664
NA Broward "0031 C001" 0 0 0 2530
NA Broward "0032 C002" 0 0 0 839
NA Broward "0033 C003" 0 0 0 885
NA Broward "0034 C004" 0 0 0 1285
NA Broward "0035 C005" 0 0 0 1694
NA Broward "0036 C006" 0 0 0 2374
NA Broward "0037 C007" 0 0 0 443
NA Broward "0038 C008" 0 0 0 964
NA Broward "0039 C009" 0 0 0 685
NA Broward "0040 C010" 0 0 0 1973
NA Broward "0041 C011" 0 0 0 1516
NA Broward "0042 C012" 0 0 0 1413
NA Broward "0043 C013" 0 0 0 1023
NA Broward "0044 C014" 0 0 0 1015
NA Broward "0045 C015" 0 0 0 1796
NA Broward "0046 C016" 0 0 0 2626
NA Broward "0047 C017" 0 0 0 999
NA Broward "0048 C018" 0 0 0 1376
NA Broward "0049 C019" 0 0 0 1310
NA Broward "0050 C020" 0 0 0 784
NA Broward "0051 C021" 0 0 0 1516
NA Broward "0052 C022" 0 0 0 1346
NA Broward "0053 C023" 0 0 0 4734
NA Broward "0054 C024" 0 0 0 2350
NA Broward "0055 C025" 0 0 0 566
NA Broward "0056 C026" 0 0 0 516
NA Broward "0057 C027" 0 0 0 416
NA Broward "0058 C028" 0 0 0 2072
NA Broward "0059 C029" 0 0 0 693
NA Broward "0060 C030" 0 0 0 1710
NA Broward "0061 C031" 0 0 0 1725
NA Broward "0062 C032" 0 0 0 325
NA Broward "0063 C033" 0 0 0 681
NA Broward "0064 C034" 0 0 0 2018
NA Broward "0065 C035" 0 0 0 1072
NA Broward "0066 C036" 0 0 0 305
NA Broward "0067 C037" 0 0 0 847
NA Broward "0068 C038" 0 0 0 155
NA Broward "0069 D001" 0 0 0 1273
NA Broward "0070 D002" 0 0 0 1496
NA Broward "0071 D003" 0 0 0 1526
NA Broward "0072 D004" 0 0 0 1190
NA Broward "0073 D005" 0 0 0 1810
NA Broward "0074 D006" 0 0 0 1374
NA Broward "0075 D007" 0 0 0 957
NA Broward "0076 D008" 0 0 0 1256
NA Broward "0077 D009" 0 0 0 2184
NA Broward "0078 D010" 0 0 0 619
NA Broward "0079 D011" 0 0 0 218
NA Broward "0080 D012" 0 0 0 441
NA Broward "0081 D013" 0 0 0 1056
NA Broward "0082 D014" 0 0 0 1159
NA Broward "0083 D015" 0 0 0 1698
NA Broward "0084 D016" 0 0 0 2528
NA Broward "0085 E001" 0 0 0 432
NA Broward "0086 E002" 0 0 0 1996
NA Broward "0087 E003" 0 0 0 1709
NA Broward "0088 E004" 0 0 0 2987
NA Broward "0089 E005" 0 0 0 1954
NA Broward "0090 E006" 0 0 0 4059
NA Broward "0091 E007" 0 0 0 3191
NA Broward "0092 E008" 0 0 0 2452
NA Broward "0093 E009" 0 0 0 1398
NA Broward "0094 E010" 0 0 0 3407
NA Broward "0095 E011" 0 0 0 2839
NA Broward "0096 E012" 0 0 0 1276
NA Broward "0097 E013" 0 0 0 2006
NA Broward "0098 E014" 0 0 0 3108
NA Broward "0099 E015" 0 0 0 1241
NA Broward "0100 E016" 0 0 0 1497
NA Broward "0101 E017" 0 0 0 2625
NA Broward "0102 E018" 0 0 0 961
NA Broward "0103 E019" 0 0 0 1547
NA Broward "0104 E020" 0 0 0 2849
NA Broward "0105 E021" 0 0 0 1578
NA Broward "0106 E022" 0 0 0 2602
NA Broward "0107 E023" 0 0 0 1720
NA Broward "0108 E024" 0 0 0 3057
NA Broward "0109 E025" 0 0 0 987
NA Broward "0110 E026" 0 0 0 1522
NA Broward "0111 E027" 0 0 0 2917
NA Broward "0112 E028" 0 0 0 1360
NA Broward "0113 E029" 0 0 0 1059
NA Broward "0114 E030" 0 0 0 496
NA Broward "0115 E031" 0 0 0 1855
NA Broward "0116 E032" 0 0 0 1942
NA Broward "0117 E033" 0 0 0 1821
NA Broward "0118 E034" 0 0 0 832
NA Broward "0119 F001" 0 0 0 1777
NA Broward "0120 F002" 0 0 0 1346
NA Broward "0121 F003" 0 0 0 1189
NA Broward "0122 F004" 0 0 0 4109
NA Broward "0123 F005" 0 0 0 3524
NA Broward "0124 F006" 0 0 0 2014
NA Broward "0125 F007" 0 0 0 2346
NA Broward "0126 F008" 0 0 0 1959
NA Broward "0127 F009" 0 0 0 1770
NA Broward "0128 F010" 0 0 0 2492
NA Broward "0129 F011" 0 0 0 1143
NA Broward "0130 F012" 0 0 0 3549
NA Broward "0131 F013" 0 0 0 1038
NA Broward "0132 F014" 0 0 0 1274
NA Broward "0133 G001" 0 0 0 1637
NA Broward "0134 G002" 0 0 0 2459
NA Broward "0135 G003" 0 0 0 2159
NA Broward "0136 G004" 0 0 0 2481
NA Broward "0137 G005" 0 0 0 1491
NA Broward "0138 G006" 0 0 0 2519
NA Broward "0139 G007" 0 0 0 504
NA Broward "0140 G008" 0 0 0 2502
NA Broward "0141 G009" 0 0 0 711
NA Broward "0142 G010" 0 0 0 1818
NA Broward "0143 G011" 0 0 0 2279
NA Broward "0144 G012" 0 0 0 1525
NA Broward "0145 G013" 0 0 0 784
NA Broward "0146 G014" 0 0 0 1864
NA Broward "0147 G015" 0 0 0 1656
NA Broward "0148 G016" 0 0 0 2916
