DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
3 Alachua 01 1140 426 714 0 0 0 25
3 Alachua 02 1721 751 970 0 0 0 38
3 Alachua 03 3440 1393 2047 0 0 0 90
3 Alachua 04 2762 958 1804 0 0 0 42
3 Alachua 05 2388 1731 657 0 0 0 97
3 Alachua 06 2713 1059 1654 0 0 0 48
3 Alachua 07 1718 1412 306 0 0 0 41
3 Alachua 08 1580 746 834 0 0 0 34
3 Alachua 09 456 140 316 0 0 0 15
3 Alachua 10 1280 679 601 0 0 0 34
3 Alachua 11 2308 1182 1126 0 0 0 52
3 Alachua 12 1923 1536 387 0 0 0 54
3 Alachua 13 1657 1533 124 0 0 1 50
3 Alachua 14 997 346 651 0 0 0 32
3 Alachua 15 665 279 386 0 0 2 19
3 Alachua 16 2250 1156 1094 0 0 0 64
3 Alachua 17 2357 1692 665 0 0 1 58
3 Alachua 18 2401 1400 1001 0 0 0 62
3 Alachua 19 1189 1051 138 0 0 0 34
3 Alachua 20 3090 1230 1860 0 0 0 61
3 Alachua 21 2375 1529 846 0 0 1 59
3 Alachua 22 2800 1820 980 0 0 0 82
3 Alachua 23 1491 1114 377 0 0 0 51
3 Alachua 24 1764 1246 518 0 0 0 61
3 Alachua 25 1838 1503 335 0 0 0 83
3 Alachua 26 1360 991 369 0 0 0 50
3 Alachua 27 2723 2353 370 0 0 0 61
3 Alachua 28 2233 2009 224 0 0 0 53
3 Alachua 29 2389 1351 1038 0 0 1 78
3 Alachua 30 1990 1707 283 0 0 0 34
3 Alachua 31 1653 1200 453 0 0 0 100
3 Alachua 32 2590 1827 763 0 0 1 75
3 Alachua 33 1970 1649 321 0 0 0 44
3 Alachua 34 1016 446 570 0 0 0 23
3 Alachua 35 1388 813 575 0 0 0 26
3 Alachua 36 2312 1795 517 0 0 0 92
3 Alachua 37 1929 1193 736 0 0 0 32
3 Alachua 38 2740 1774 966 0 0 0 68
3 Alachua 39 2139 1653 486 0 0 0 68
3 Alachua 40 1951 1190 761 0 0 0 57
3 Alachua 41 2404 1087 1317 0 0 0 42
3 Alachua 42 2463 1358 1105 0 0 0 74
3 Alachua 43 2426 1604 822 0 0 1 75
3 Alachua 44 4074 3287 787 0 0 0 156
3 Alachua 45 4947 2952 1995 0 0 0 96
3 Alachua 46 3459 1914 1545 0 0 0 91
3 Alachua 47 3437 1782 1655 0 0 0 87
3 Alachua 48 2141 1433 708 0 0 1 43
3 Alachua 49 1997 824 1173 0 0 0 48
3 Alachua 50 1589 1137 452 0 0 0 40
3 Alachua 51 2589 1568 1021 0 0 0 46
3 Alachua 52 1557 1146 411 0 0 1 49
3 Alachua 53 2447 1291 1156 0 0 1 66
3 Alachua 54 2508 1869 639 0 0 0 115
3 Alachua 55 983 834 149 0 0 0 28
3 Alachua 56 2329 1327 1002 0 0 0 56
3 Alachua 57 2303 1550 753 0 0 0 50
3 Alachua 58 4002 2308 1694 0 0 0 101
3 Alachua 59 4491 3372 1119 0 0 1 184
3 Alachua 60 2989 787 2202 0 0 0 77
3 Alachua 61 1789 1209 580 0 0 0 43
3 Alachua 62 1944 1303 641 0 0 0 79
3 Alachua 63 2217 1052 1165 0 0 0 57
5 Baker 1A 1872 658 1214 0 0 2 37
5 Baker 2A 2591 583 2008 0 0 0 68
5 Baker 3A 2734 484 2250 0 0 0 78
5 Baker 4A 177 16 161 0 0 0 6
5 Baker 4B 521 50 471 0 0 0 5
5 Baker 4C 1826 207 1619 0 0 0 45
5 Baker 4D 858 83 775 0 0 0 18
5 Baker 5A 3008 325 2683 0 0 0 65
5 Baker 6A 218 70 148 0 0 0 5
2 Bay 1 1447 0 1406 0 41 2 122
2 Bay 10 3406 0 3189 0 217 1 500
2 Bay 11 4022 0 3759 0 263 1 628
2 Bay 12 3666 0 3415 0 251 0 478
2 Bay 13 2019 0 1899 0 120 0 247
2 Bay 14 3167 0 2968 0 199 2 357
2 Bay 15 2442 0 2319 0 123 0 273
2 Bay 16 1276 0 1241 0 35 0 93
2 Bay 17 2993 0 2821 0 172 3 328
2 Bay 18 1834 0 1767 0 67 0 181
2 Bay 19 1267 0 1165 0 102 1 264
2 Bay 2 928 0 899 0 29 0 74
2 Bay 20 1280 0 1211 0 69 0 146
2 Bay 21 3240 0 3078 0 162 1 342
2 Bay 22 2881 0 2691 0 190 0 348
2 Bay 23 3263 0 3099 0 164 2 476
2 Bay 24 1145 0 1067 0 78 1 154
2 Bay 25 1654 0 1550 0 104 0 177
2 Bay 26 1943 0 1828 0 115 1 221
2 Bay 27 2193 0 2063 0 130 0 301
2 Bay 28 1339 0 1227 0 112 0 224
2 Bay 29 1758 0 1592 0 166 2 319
2 Bay 3 542 0 518 0 24 0 39
2 Bay 30 794 0 733 0 61 0 156
2 Bay 31 2553 0 2293 0 260 1 505
2 Bay 32 742 0 602 0 140 2 418
2 Bay 33 923 0 805 0 118 2 340
2 Bay 34 769 0 705 0 64 0 130
2 Bay 35 1498 0 1350 0 148 0 241
2 Bay 36 525 0 481 0 44 0 125
2 Bay 37 1925 0 1771 0 154 1 343
2 Bay 38 1088 0 1016 0 72 0 142
2 Bay 39 2491 0 2333 0 158 1 349
2 Bay 4 2391 0 2326 0 65 1 141
2 Bay 40 1283 0 1184 0 99 0 222
2 Bay 41 1599 0 1484 0 115 0 264
2 Bay 42 972 0 900 0 72 0 125
2 Bay 43 1176 0 1089 0 87 1 169
2 Bay 44 690 0 642 0 48 0 121
2 Bay 5 2436 0 2357 0 79 0 203
2 Bay 6 3094 0 3004 0 90 0 245
2 Bay 7 447 0 421 0 26 0 31
2 Bay 8 2527 0 2365 0 162 1 357
2 Bay 9 2529 0 2364 0 165 1 400
3 Bradford 1 1357 156 1201 0 0 0 49
3 Bradford 10 805 93 712 0 0 0 23
3 Bradford 11 981 193 788 0 0 0 36
3 Bradford 12 1594 432 1162 0 0 0 42
3 Bradford 13 423 47 376 0 0 0 18
3 Bradford 14 625 111 514 0 0 0 20
3 Bradford 2 587 303 284 0 0 0 26
3 Bradford 3 514 69 445 0 0 0 9
3 Bradford 4 1089 196 893 0 0 0 28
3 Bradford 5 1369 480 889 0 0 1 42
3 Bradford 6 661 86 575 0 0 0 16
3 Bradford 7 838 470 368 0 0 0 40
3 Bradford 8 1430 332 1098 0 0 1 48
3 Bradford 9 994 334 660 0 0 1 32
8 Brevard 100 1755 489 1266 0 0 0 44
8 Brevard 102 755 271 484 0 0 0 10
8 Brevard 103 2935 808 2127 0 0 0 56
8 Brevard 104 3700 944 2756 0 0 0 98
8 Brevard 105 4470 1631 2839 0 0 1 134
8 Brevard 106 2054 380 1674 0 0 1 45
8 Brevard 107 1726 645 1081 0 0 1 27
8 Brevard 108 3663 2016 1647 0 0 1 75
8 Brevard 109 4285 1549 2736 0 0 0 85
8 Brevard 111 2100 803 1297 0 0 1 36
8 Brevard 112 2465 820 1645 0 0 2 44
8 Brevard 113 2465 827 1638 0 0 0 64
8 Brevard 114 4535 1747 2788 0 0 1 70
8 Brevard 115 2939 1084 1855 0 0 0 51
8 Brevard 116 3565 964 2601 0 0 0 60
8 Brevard 118 4592 1260 3332 0 0 0 96
8 Brevard 120 832 704 128 0 0 0 8
8 Brevard 121 1865 514 1351 0 0 0 29
8 Brevard 122 1913 604 1309 0 0 0 33
8 Brevard 123 2510 904 1606 0 0 0 61
8 Brevard 124 2989 1107 1882 0 0 1 62
8 Brevard 125 3064 968 2096 0 0 1 60
8 Brevard 126 0 0 0 0 0 0 0
8 Brevard 127 817 297 520 0 0 0 19
