COUNTY AREA TOTAL DEM REP WriteinVotes
COUNTY AREA TOTAL Shalala Salazar WriteinVotes
Miami-Dade "PRECINCT 011.0" 0 850 630 1
Miami-Dade "PRECINCT 013.0" 0 1008 786 5
Miami-Dade "PRECINCT 014.0" 0 1259 931 7
Miami-Dade "PRECINCT 015.0" 0 453 330 1
Miami-Dade "PRECINCT 016.0" 0 814 518 1
Miami-Dade "PRECINCT 017.0" 0 1208 802 3
Miami-Dade "PRECINCT 018.0" 0 1248 699 2
Miami-Dade "PRECINCT 019.0" 0 372 315 1
Miami-Dade "PRECINCT 020.0" 0 850 656 2
Miami-Dade "PRECINCT 023.0" 0 1304 1327 4
Miami-Dade "PRECINCT 024.0" 0 857 562 2
Miami-Dade "PRECINCT 025.0" 0 558 729 3
Miami-Dade "PRECINCT 028.0" 0 572 681 4
Miami-Dade "PRECINCT 029.0" 0 580 668 1
Miami-Dade "PRECINCT 030.0" 0 1803 895 2
Miami-Dade "PRECINCT 031.0" 0 630 390 2
Miami-Dade "PRECINCT 032.0" 0 874 1032 1
Miami-Dade "PRECINCT 033.0" 0 925 475 1
Miami-Dade "PRECINCT 036.0" 0 1646 872 9
Miami-Dade "PRECINCT 037.0" 0 430 256 1
Miami-Dade "PRECINCT 038.0" 0 169 199 0
Miami-Dade "PRECINCT 040.0" 0 879 629 3
Miami-Dade "PRECINCT 041.0" 0 1788 961 3
Miami-Dade "PRECINCT 042.0" 0 985 541 3
Miami-Dade "PRECINCT 043.0" 0 470 270 0
Miami-Dade "PRECINCT 047.0" 0 127 199 0
Miami-Dade "PRECINCT 048.0" 0 1251 1313 2
Miami-Dade "PRECINCT 051.0" 0 3083 3374 6
Miami-Dade "PRECINCT 052.0" 0 14 4 1
Miami-Dade "PRECINCT 100.3" 0 1284 353 3
Miami-Dade "PRECINCT 341.1" 0 0 0 0
Miami-Dade "PRECINCT 418.0" 0 269 522 1
Miami-Dade "PRECINCT 422.0" 0 298 868 1
Miami-Dade "PRECINCT 423.0" 0 485 1184 1
Miami-Dade "PRECINCT 424.0" 0 501 1349 1
Miami-Dade "PRECINCT 425.0" 0 287 608 2
Miami-Dade "PRECINCT 426.0" 0 1137 2070 3
Miami-Dade "PRECINCT 427.0" 0 292 709 1
Miami-Dade "PRECINCT 428.0" 0 510 945 1
