DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
1 Escambia "Precinct 1" 0 1689 2097 64
1 Escambia "Precinct 101" 0 729 1066 33
1 Escambia "Precinct 102" 0 902 1121 28
1 Escambia "Precinct 103" 0 1186 436 26
1 Escambia "Precinct 104" 0 1083 481 33
1 Escambia "Precinct 105" 0 1164 2778 28
1 Escambia "Precinct 106" 0 771 816 30
1 Escambia "Precinct 107" 0 1560 1775 42
1 Escambia "Precinct 108" 0 1427 1467 36
1 Escambia "Precinct 11" 0 179 742 7
1 Escambia "Precinct 110" 0 182 1204 11
1 Escambia "Precinct 111" 0 1067 1466 35
1 Escambia "Precinct 112" 0 1846 3394 65
1 Escambia "Precinct 113" 0 507 561 20
1 Escambia "Precinct 114" 0 659 1696 22
1 Escambia "Precinct 14" 0 1278 269 19
1 Escambia "Precinct 15" 0 730 1054 20
1 Escambia "Precinct 18" 0 51 413 7
1 Escambia "Precinct 19" 0 593 2802 34
1 Escambia "Precinct 21" 0 832 1570 31
1 Escambia "Precinct 22" 0 461 333 9
1 Escambia "Precinct 23" 0 78 578 0
1 Escambia "Precinct 24" 0 1210 1624 41
1 Escambia "Precinct 25" 0 497 558 24
1 Escambia "Precinct 26" 0 1791 2930 72
1 Escambia "Precinct 28" 0 1556 283 27
1 Escambia "Precinct 29" 0 935 512 13
1 Escambia "Precinct 3" 0 1232 1487 41
1 Escambia "Precinct 30" 0 876 1224 18
1 Escambia "Precinct 31" 0 1125 402 20
1 Escambia "Precinct 32" 0 246 220 9
1 Escambia "Precinct 33" 0 102 896 5
1 Escambia "Precinct 34" 0 1343 417 29
1 Escambia "Precinct 35" 0 886 923 27
1 Escambia "Precinct 36" 0 732 1850 31
1 Escambia "Precinct 38" 0 1004 2144 34
1 Escambia "Precinct 40" 0 730 706 8
1 Escambia "Precinct 41" 0 1180 761 26
1 Escambia "Precinct 42" 0 1013 1389 23
1 Escambia "Precinct 43" 0 1337 3253 40
1 Escambia "Precinct 46" 0 965 1217 18
1 Escambia "Precinct 47" 0 660 319 24
1 Escambia "Precinct 48" 0 948 176 12
1 Escambia "Precinct 49" 0 706 586 33
1 Escambia "Precinct 5" 0 740 1737 41
1 Escambia "Precinct 50" 0 280 217 3
1 Escambia "Precinct 51" 0 1292 1297 52
1 Escambia "Precinct 54" 0 757 996 21
1 Escambia "Precinct 55" 0 673 1095 30
1 Escambia "Precinct 56" 0 1046 513 28
1 Escambia "Precinct 58" 0 393 484 7
1 Escambia "Precinct 6" 0 395 972 19
1 Escambia "Precinct 60" 0 589 128 14
1 Escambia "Precinct 61" 0 980 1121 44
1 Escambia "Precinct 62" 0 1253 1185 36
1 Escambia "Precinct 63" 0 725 50 10
1 Escambia "Precinct 64" 0 1089 1101 29
1 Escambia "Precinct 67" 0 1601 3178 55
1 Escambia "Precinct 68" 0 701 1129 21
1 Escambia "Precinct 69" 0 1925 1753 62
1 Escambia "Precinct 7" 0 1421 3627 47
1 Escambia "Precinct 70" 0 1209 923 29
1 Escambia "Precinct 71" 0 746 632 22
1 Escambia "Precinct 72" 0 369 356 12
1 Escambia "Precinct 73" 0 1203 1940 50
1 Escambia "Precinct 74" 0 1296 3234 69
1 Escambia "Precinct 75" 0 1322 1613 62
1 Escambia "Precinct 77" 0 887 582 23
1 Escambia "Precinct 80" 0 355 488 18
1 Escambia "Precinct 82" 0 401 271 12
1 Escambia "Precinct 83" 0 700 1044 32
1 Escambia "Precinct 86" 0 1008 1252 36
1 Escambia "Precinct 88" 0 741 716 16
1 Escambia "Precinct 90" 0 860 238 12
1 Escambia "Precinct 91" 0 2057 2440 64
1 Escambia "Precinct 94" 0 753 1641 24
1 Escambia "Precinct 95" 0 561 1167 24
1 Escambia "Precinct 97" 0 656 801 16
1 Escambia "Precinct 98" 0 2068 459 36
1 Escambia "Precinct 99" 0 482 702 17
1 Holmes Bethlehem 0 129 1105 17
1 Holmes Gritney 0 37 416 14
1 Holmes "New Hope" 0 92 644 8
1 Holmes Noma 0 117 1148 23
1 Holmes "Pine Log" 0 95 853 6
1 Holmes "Ponce de Leon" 0 117 826 21
1 Okaloosa 1 0 282 1887 39
