DIST COUNTY AREA TOTAL DEM REP CPF REF GRE LPF PSL OverVotes UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Biden Trump Blankenship DeLaFuente Hawkins Jorgensen LaRiva OverVotes UnderVotes WriteinVotes
NA Alachua 01 0 424 725 0 2 1 6 1 1 4 1
NA Alachua 02 0 752 969 1 0 3 18 0 2 6 8
NA Alachua 03 0 1431 2036 3 1 5 32 0 3 9 10
NA Alachua 04 0 990 1749 1 1 4 37 1 3 11 7
NA Alachua 05 0 1789 624 0 0 12 36 0 0 6 18
NA Alachua 06 0 1107 1607 0 2 2 20 1 4 12 6
NA Alachua 07 0 1430 282 1 1 10 18 2 4 7 4
NA Alachua 08 0 734 850 0 0 7 17 1 4 1 0
NA Alachua 09 0 138 329 1 0 1 1 0 0 1 0
NA Alachua 10 0 698 589 0 1 1 17 0 2 3 3
NA Alachua 11 0 1204 1116 3 1 1 23 1 1 6 4
NA Alachua 12 0 1549 375 1 1 10 24 4 0 3 10
NA Alachua 13 0 1583 91 2 0 4 10 1 7 6 4
NA Alachua 14 0 346 659 1 1 0 9 0 3 4 6
NA Alachua 15 0 286 387 0 0 0 2 0 3 4 4
NA Alachua 16 0 1222 1057 0 1 1 19 0 0 9 5
NA Alachua 17 0 1732 627 1 5 3 29 2 1 6 10
NA Alachua 18 0 1472 948 1 1 1 18 0 1 9 12
NA Alachua 19 0 1078 118 0 0 3 10 2 2 5 5
NA Alachua 20 0 1243 1838 1 4 4 31 3 8 13 6
NA Alachua 21 0 1580 814 0 1 4 23 1 0 4 8
NA Alachua 22 0 1868 949 0 3 6 29 4 2 8 13
NA Alachua 23 0 1161 352 1 0 2 15 0 0 3 8
NA Alachua 24 0 1288 501 0 1 4 21 2 0 4 4
NA Alachua 25 0 1573 299 1 0 5 23 1 2 6 11
NA Alachua 26 0 1026 352 0 2 2 15 0 1 6 6
NA Alachua 27 0 2387 344 1 2 6 25 2 5 4 8
NA Alachua 28 0 2035 220 0 0 5 5 3 8 5 5
NA Alachua 29 0 1435 999 0 0 2 19 1 0 8 4
NA Alachua 30 0 1705 278 0 0 5 12 4 3 7 10
NA Alachua 31 0 1297 418 0 0 8 24 0 0 1 5
NA Alachua 32 0 1873 712 0 1 8 41 3 1 9 18
NA Alachua 33 0 1640 324 2 1 5 15 7 6 9 5
NA Alachua 34 0 462 562 0 0 1 5 0 4 3 2
NA Alachua 35 0 829 562 1 0 3 12 1 0 3 3
NA Alachua 36 0 1858 491 0 2 8 29 2 4 5 5
NA Alachua 37 0 1203 716 1 0 4 18 1 3 7 8
NA Alachua 38 0 1821 926 0 4 3 31 2 6 5 10
NA Alachua 39 0 1720 438 0 0 16 23 3 1 4 2
NA Alachua 40 0 1254 697 0 0 13 29 0 1 7 7
NA Alachua 41 0 1149 1247 7 1 1 22 1 4 4 10
NA Alachua 42 0 1448 1042 0 3 5 28 0 0 9 2
NA Alachua 43 0 1655 789 2 1 6 28 3 2 9 7
NA Alachua 44 0 3389 714 0 0 17 69 5 3 8 25
NA Alachua 45 0 3043 1902 2 3 4 33 0 5 22 29
NA Alachua 46 0 2021 1464 0 1 4 31 1 3 14 11
NA Alachua 47 0 1941 1545 1 2 2 15 0 1 12 5
NA Alachua 48 0 1464 681 0 3 6 18 0 1 5 7
NA Alachua 49 0 868 1133 0 1 2 19 1 2 10 9
NA Alachua 50 0 1170 422 1 1 0 17 0 3 8 7
NA Alachua 51 0 1609 979 1 1 3 20 0 1 11 10
NA Alachua 52 0 1174 387 1 0 8 18 2 6 3 8
NA Alachua 53 0 1320 1151 2 1 3 12 4 6 7 8
NA Alachua 54 0 1973 595 4 1 5 33 5 1 4 2
NA Alachua 55 0 838 155 2 1 0 4 1 3 5 2
NA Alachua 56 0 1369 965 1 2 4 28 0 1 6 9
NA Alachua 57 0 1575 736 0 1 7 22 2 2 6 2
NA Alachua 58 0 2412 1611 0 2 7 49 1 4 10 7
NA Alachua 59 0 3513 1064 0 0 13 52 6 1 10 17
NA Alachua 60 0 828 2187 2 0 3 27 2 3 4 10
NA Alachua 61 0 1244 560 0 2 8 5 1 1 9 2
NA Alachua 62 0 1375 599 0 2 6 21 3 2 11 4
NA Alachua 63 0 1103 1114 2 2 5 28 0 1 14 5
NA Baker 1A 0 567 1304 0 0 1 14 1 8 11 5
NA Baker 2A 0 508 2116 1 1 4 15 2 4 6 2
NA Baker 3A 0 397 2386 0 1 0 19 0 0 6 3
NA Baker 4A 0 8 173 0 1 0 1 0 0 0 0
NA Baker 4B 0 35 486 0 0 0 5 0 0 0 0
NA Baker 4C 0 170 1682 0 0 0 10 0 2 4 3
NA Baker 4D 0 61 806 0 0 0 5 0 1 1 2
NA Baker 5A 0 221 2807 0 1 5 23 0 2 7 7
NA Baker 6A 0 70 151 0 0 0 1 0 0 0 1
NA Bay 1 0 220 1330 0 0 1 11 0 4 2 3
NA Bay 10 0 975 2867 0 1 9 35 2 2 6 10
NA Bay 11 0 1343 3237 2 0 8 41 2 4 8 6
NA Bay 12 0 1031 3035 3 1 6 43 1 7 10 7
NA Bay 13 0 526 1702 1 0 6 21 1 1 4 4
NA Bay 14 0 892 2556 1 2 3 53 1 2 8 8
NA Bay 15 0 549 2128 0 0 3 16 0 1 9 9
NA Bay 16 0 210 1144 0 0 1 10 0 0 1 3
NA Bay 17 0 774 2468 0 2 4 56 3 3 4 10
NA Bay 18 0 415 1565 2 2 4 19 0 1 2 5
NA Bay 19 0 542 954 0 1 4 21 2 2 4 2
NA Bay 2 0 132 859 1 2 1 4 0 0 0 3
NA Bay 20 0 338 1057 1 3 2 16 0 0 2 7
NA Bay 21 0 784 2737 2 2 6 35 0 3 3 11
