DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
NA Broward "0001 A001" 0 0 0 4362
NA Broward "0002 A002" 0 0 0 1445
NA Broward "0003 A003" 0 0 0 1910
NA Broward "0004 A004" 0 0 0 1649
NA Broward "0005 A005" 0 0 0 1691
NA Broward "0006 A006" 0 0 0 2297
NA Broward "0007 A007" 0 0 0 1854
NA Broward "0008 A008" 0 0 0 639
NA Broward "0009 A009" 0 0 0 3338
NA Broward "0010 A010" 0 0 0 1201
NA Broward "0011 A011" 0 0 0 2270
NA Broward "0012 A012" 0 0 0 2176
NA Broward "0013 A013" 0 0 0 3478
NA Broward "0014 A014" 0 0 0 3598
NA Broward "0015 A015" 0 0 0 2197
NA Broward "0016 A016" 0 0 0 2083
NA Broward "0017 A017" 0 0 0 663
NA Broward "0018 A018" 0 0 0 1496
NA Broward "0019 A019" 0 0 0 1790
NA Broward "0020 A020" 0 0 0 2432
NA Broward "0021 A021" 0 0 0 1818
NA Broward "0022 A022" 0 0 0 1682
NA Broward "0023 A023" 0 0 0 934
NA Broward "0024 A024" 0 0 0 1240
NA Broward "0025 B001" 0 0 0 1189
NA Broward "0026 B002" 0 0 0 1863
NA Broward "0027 B003" 0 0 0 1349
NA Broward "0028 B004" 0 0 0 2474
NA Broward "0029 B005" 0 0 0 882
NA Broward "0030 B006" 0 0 0 782
NA Broward "0031 C001" 0 0 0 3114
NA Broward "0032 C002" 0 0 0 1046
NA Broward "0033 C003" 0 0 0 1198
NA Broward "0034 C004" 0 0 0 1682
NA Broward "0035 C005" 0 0 0 2431
NA Broward "0036 C006" 0 0 0 3493
NA Broward "0037 C007" 0 0 0 570
NA Broward "0038 C008" 0 0 0 1222
NA Broward "0039 C009" 0 0 0 1155
NA Broward "0040 C010" 0 0 0 2515
NA Broward "0041 C011" 0 0 0 1895
NA Broward "0042 C012" 0 0 0 1709
NA Broward "0043 C013" 0 0 0 1299
NA Broward "0044 C014" 0 0 0 1286
NA Broward "0045 C015" 0 0 0 2825
NA Broward "0046 C016" 0 0 0 3342
NA Broward "0047 C017" 0 0 0 1219
NA Broward "0048 C018" 0 0 0 1712
NA Broward "0049 C019" 0 0 0 1594
NA Broward "0050 C020" 0 0 0 1114
NA Broward "0051 C021" 0 0 0 1872
NA Broward "0052 C022" 0 0 0 1686
NA Broward "0053 C023" 0 0 0 5954
NA Broward "0054 C024" 0 0 0 2967
NA Broward "0055 C025" 0 0 0 978
