DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
1 Escambia "Precinct 101" 0 649 1151 0 0
1 Escambia "Precinct 102" 0 757 1270 0 0
1 Escambia "Precinct 103" 0 1139 499 0 0
1 Escambia "Precinct 104" 0 1040 543 0 0
1 Escambia "Precinct 11" 0 152 768 0 0
1 Escambia "Precinct 110" 0 47 1081 0 0
1 Escambia "Precinct 111" 0 877 1664 0 0
1 Escambia "Precinct 112" 0 1497 3769 0 0
1 Escambia "Precinct 113" 0 469 600 0 0
1 Escambia "Precinct 114" 0 518 1841 0 0
1 Escambia "Precinct 18" 0 44 418 0 0
1 Escambia "Precinct 19" 0 465 2940 0 0
1 Escambia "Precinct 21" 0 752 1665 0 0
1 Escambia "Precinct 22" 0 464 330 0 0
1 Escambia "Precinct 23" 0 56 594 0 0
1 Escambia "Precinct 25" 0 383 677 0 0
1 Escambia "Precinct 26" 0 1555 3204 0 0
1 Escambia "Precinct 28" 0 1519 323 0 0
1 Escambia "Precinct 33" 0 73 919 0 0
1 Escambia "Precinct 34" 0 1337 438 0 0
1 Escambia "Precinct 36" 0 635 1961 0 0
1 Escambia "Precinct 38" 0 773 2382 0 0
1 Escambia "Precinct 43" 0 1046 3554 0 0
1 Escambia "Precinct 5" 0 584 1907 0 0
1 Escambia "Precinct 51" 0 1088 1523 0 0
1 Escambia "Precinct 6" 0 337 1034 0 0
1 Escambia "Precinct 62" 0 1128 1314 0 0
1 Escambia "Precinct 63" 0 730 56 0 0
1 Escambia "Precinct 68" 0 591 1237 0 0
1 Escambia "Precinct 69" 0 1770 1925 0 0
1 Escambia "Precinct 7" 0 1142 3921 0 0
1 Escambia "Precinct 70" 0 1090 1046 0 0
1 Escambia "Precinct 74" 0 1020 3548 0 0
1 Escambia "Precinct 75" 0 1176 1791 0 0
1 Escambia "Precinct 80" 0 325 522 0 0
1 Escambia "Precinct 86" 0 884 1395 0 0
1 Escambia "Precinct 88" 0 652 802 0 0
1 Escambia "Precinct 91" 0 1721 2751 0 0
2 Escambia "Precinct 1" 0 1585 2190 0 0
2 Escambia "Precinct 105" 0 1059 2837 0 0
2 Escambia "Precinct 106" 0 753 846 0 0
2 Escambia "Precinct 107" 0 1425 1913 0 0
2 Escambia "Precinct 108" 0 1365 1532 0 0
2 Escambia "Precinct 110" 0 120 136 0 0
2 Escambia "Precinct 14" 0 1268 276 0 0
2 Escambia "Precinct 15" 0 664 1092 0 0
2 Escambia "Precinct 24" 0 1115 1717 0 0
2 Escambia "Precinct 29" 0 877 560 0 0
2 Escambia "Precinct 3" 0 1195 1525 0 0
2 Escambia "Precinct 30" 0 818 1277 0 0
2 Escambia "Precinct 31" 0 1080 452 0 0
2 Escambia "Precinct 32" 0 235 237 0 0
2 Escambia "Precinct 35" 0 832 984 0 0
2 Escambia "Precinct 40" 0 656 776 0 0
2 Escambia "Precinct 41" 0 1091 849 0 0
2 Escambia "Precinct 42" 0 911 1489 0 0
2 Escambia "Precinct 46" 0 833 1346 0 0
2 Escambia "Precinct 47" 0 664 318 0 0
2 Escambia "Precinct 48" 0 951 173 0 0
2 Escambia "Precinct 49" 0 705 600 0 0
2 Escambia "Precinct 50" 0 238 257 0 0
2 Escambia "Precinct 54" 0 707 1044 0 0
2 Escambia "Precinct 55" 0 630 1151 0 0
2 Escambia "Precinct 56" 0 1002 559 0 0
2 Escambia "Precinct 58" 0 326 544 0 0
2 Escambia "Precinct 60" 0 589 133 0 0
2 Escambia "Precinct 61" 0 926 1179 0 0
2 Escambia "Precinct 64" 0 1043 1141 0 0
2 Escambia "Precinct 67" 0 1457 3302 0 0
2 Escambia "Precinct 71" 0 714 664 0 0
2 Escambia "Precinct 72" 0 342 380 0 0
2 Escambia "Precinct 73" 0 1147 2014 0 0
2 Escambia "Precinct 77" 0 860 609 0 0
2 Escambia "Precinct 82" 0 396 269 0 0
2 Escambia "Precinct 83" 0 657 1090 0 0
2 Escambia "Precinct 90" 0 849 243 0 0
2 Escambia "Precinct 94" 0 666 1719 0 0
2 Escambia "Precinct 95" 0 522 1196 0 0
2 Escambia "Precinct 97" 0 578 886 0 0
2 Escambia "Precinct 98" 0 2027 506 0 0
2 Escambia "Precinct 99" 0 458 731 0 0
2 "Santa Rosa" "22 Gulf Breeze" 0 1395 2847 0 0
2 "Santa Rosa" "25 Oriole Beach" 0 917 2227 0 0
2 "Santa Rosa" "32 Grand Pointe" 0 859 2137 0 0
3 Okaloosa 1 0 254 1899 0 0
3 Okaloosa 13 0 264 893 0 0
3 Okaloosa 2 0 55 531 0 0
3 Okaloosa 3 0 146 846 0 0
3 Okaloosa 4 0 98 673 0 0
3 Okaloosa 5 0 156 793 0 0
3 Okaloosa 51 0 372 1264 0 0
3 Okaloosa 6 0 631 2594 0 0
3 Okaloosa 7 0 305 1126 0 0
3 Okaloosa 8 0 493 1681 0 0
3 "Santa Rosa" "1 South Milton" 0 501 966 0 0
3 "Santa Rosa" "10 Holley" 0 311 1011 0 0
3 "Santa Rosa" "11 Coldwater" 0 156 839 0 0
3 "Santa Rosa" "12 Point Baker" 0 956 2309 0 0
3 "Santa Rosa" "13 Allentown" 0 162 1123 0 0
3 "Santa Rosa" "14 Harold" 0 93 520 0 0
3 "Santa Rosa" "15 Ferris Hill" 0 955 2086 0 0
3 "Santa Rosa" "16 Bagdad" 0 779 2057 0 0
3 "Santa Rosa" "17 Fidelis" 0 64 693 0 0
3 "Santa Rosa" "18 Berryhill" 0 928 3131 0 0
3 "Santa Rosa" "19 Chumuckla" 0 101 1232 0 0
3 "Santa Rosa" "2 Wallace" 0 570 2974 0 0
3 "Santa Rosa" "20 Pace" 0 1172 4114 0 0
3 "Santa Rosa" "21 Avalon" 0 849 2695 0 0
3 "Santa Rosa" "23 Midway" 0 918 2046 0 0
3 "Santa Rosa" "24 Pea Ridge" 0 1456 4593 0 0
3 "Santa Rosa" "26 East Navarre" 0 1712 4306 0 0
3 "Santa Rosa" "27 Woodbine" 0 972 3503 0 0
3 "Santa Rosa" "28 Tiger Point" 0 808 2063 0 0
3 "Santa Rosa" "29 West Navarre" 0 718 1789 0 0
3 "Santa Rosa" "3 Coon Hill" 0 52 632 0 0
3 "Santa Rosa" "30 Pine Terrace" 0 472 2160 0 0
3 "Santa Rosa" "31 Floridatown" 0 297 969 0 0
3 "Santa Rosa" "33 East Milton" 0 501 1849 0 0
3 "Santa Rosa" "34 Hidden Creek" 0 2460 6116 0 0
3 "Santa Rosa" "35 Biscayne Pointe" 0 1305 2555 0 0
3 "Santa Rosa" "36 Mill Creek" 0 391 1462 0 0
3 "Santa Rosa" "37 Soundside" 0 536 1517 0 0
3 "Santa Rosa" "38 Navarre Beach" 0 279 645 0 0
3 "Santa Rosa" "39 Garcon Point" 0 352 1258 0 0
3 "Santa Rosa" "4 Jay" 0 125 1306 0 0
3 "Santa Rosa" "40 Parkway" 0 502 1059 0 0
3 "Santa Rosa" "41 Woodlawn" 0 727 1727 0 0
3 "Santa Rosa" "5 McLellan" 0 12 101 0 0
3 "Santa Rosa" "6 Red Rock" 0 8 93 0 0
3 "Santa Rosa" "7 Munson" 0 21 207 0 0
3 "Santa Rosa" "8 North Milton" 0 456 927 0 0
3 "Santa Rosa" "9 Ward Basin" 0 478 1769 0 0
4 Okaloosa 10 0 1664 3123 0 8
