DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
1 Escambia "Precinct 1" 0 1564 2236 0
1 Escambia "Precinct 101" 0 697 1112 0
1 Escambia "Precinct 102" 0 820 1206 0
1 Escambia "Precinct 103" 0 1187 452 0
1 Escambia "Precinct 104" 0 1074 516 0
1 Escambia "Precinct 105" 0 988 2914 0
1 Escambia "Precinct 106" 0 734 871 0
1 Escambia "Precinct 107" 0 1363 1995 0
1 Escambia "Precinct 108" 0 1316 1582 0
1 Escambia "Precinct 11" 0 147 767 0
1 Escambia "Precinct 110" 0 171 1220 0
1 Escambia "Precinct 111" 0 972 1572 0
1 Escambia "Precinct 112" 0 1667 3586 0
1 Escambia "Precinct 113" 0 488 587 0
1 Escambia "Precinct 114" 0 582 1774 0
1 Escambia "Precinct 14" 0 1242 310 0
1 Escambia "Precinct 15" 0 651 1108 0
1 Escambia "Precinct 18" 0 48 418 0
1 Escambia "Precinct 19" 0 537 2876 0
1 Escambia "Precinct 21" 0 806 1610 0
1 Escambia "Precinct 22" 0 459 337 0
1 Escambia "Precinct 23" 0 65 588 0
1 Escambia "Precinct 24" 0 1048 1785 0
1 Escambia "Precinct 25" 0 438 625 0
1 Escambia "Precinct 26" 0 1661 3090 0
1 Escambia "Precinct 28" 0 1572 284 0
1 Escambia "Precinct 29" 0 848 588 0
1 Escambia "Precinct 3" 0 1154 1582 0
1 Escambia "Precinct 30" 0 700 1390 0
1 Escambia "Precinct 31" 0 1054 477 0
1 Escambia "Precinct 32" 0 223 248 0
1 Escambia "Precinct 33" 0 79 914 0
1 Escambia "Precinct 34" 0 1362 421 0
1 Escambia "Precinct 35" 0 745 1068 0
1 Escambia "Precinct 36" 0 663 1941 0
1 Escambia "Precinct 38" 0 905 2256 0
1 Escambia "Precinct 40" 0 594 839 0
1 Escambia "Precinct 41" 0 1031 905 0
1 Escambia "Precinct 42" 0 783 1606 0
1 Escambia "Precinct 43" 0 1184 3414 0
1 Escambia "Precinct 46" 0 720 1452 0
1 Escambia "Precinct 47" 0 652 332 0
1 Escambia "Precinct 48" 0 951 176 0
1 Escambia "Precinct 49" 0 670 639 0
1 Escambia "Precinct 5" 0 638 1851 0
1 Escambia "Precinct 50" 0 229 266 0
1 Escambia "Precinct 51" 0 1194 1426 0
1 Escambia "Precinct 54" 0 696 1068 0
1 Escambia "Precinct 55" 0 617 1171 0
1 Escambia "Precinct 56" 0 979 590 0
1 Escambia "Precinct 58" 0 304 572 0
1 Escambia "Precinct 6" 0 379 994 0
1 Escambia "Precinct 60" 0 584 140 0
1 Escambia "Precinct 61" 0 934 1182 0
1 Escambia "Precinct 62" 0 1203 1246 0
1 Escambia "Precinct 63" 0 722 58 0
1 Escambia "Precinct 64" 0 986 1201 0
1 Escambia "Precinct 67" 0 1420 3359 0
1 Escambia "Precinct 68" 0 657 1175 0
1 Escambia "Precinct 69" 0 1842 1857 0
1 Escambia "Precinct 7" 0 1272 3792 0
1 Escambia "Precinct 70" 0 1142 997 0
1 Escambia "Precinct 71" 0 683 704 0
1 Escambia "Precinct 72" 0 323 400 0
1 Escambia "Precinct 73" 0 1119 2048 0
1 Escambia "Precinct 74" 0 1171 3386 0
1 Escambia "Precinct 75" 0 1290 1677 0
1 Escambia "Precinct 77" 0 856 617 0
1 Escambia "Precinct 80" 0 344 499 0
1 Escambia "Precinct 82" 0 393 281 0
1 Escambia "Precinct 83" 0 647 1108 0
1 Escambia "Precinct 86" 0 949 1329 0
1 Escambia "Precinct 88" 0 692 763 0
1 Escambia "Precinct 90" 0 845 258 0
1 Escambia "Precinct 91" 0 1869 2613 0
1 Escambia "Precinct 94" 0 608 1791 0
1 Escambia "Precinct 95" 0 520 1205 0
1 Escambia "Precinct 97" 0 509 953 0
1 Escambia "Precinct 98" 0 2015 522 0
1 Escambia "Precinct 99" 0 460 732 0
1 Okaloosa 10 0 1400 2032 0
1 Okaloosa 17 0 68 69 0
1 Okaloosa 23 0 0 0 0
1 Okaloosa 29 0 13 32 0
1 Okaloosa 3 0 19 96 0
