COUNTY AREA TOTAL DEM REP Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
COUNTY AREA TOTAL Clinton Trump Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
Adair 1NW 0 174 549 1 3 2 21 0 1 1 0 6
Adair 2NE 0 250 455 3 6 3 26 1 0 3 0 11
Adair 3SW 0 200 545 3 0 2 23 2 2 2 0 10
Adair 4SE 0 226 433 3 0 3 27 2 0 3 0 3
Adair "Adair-5GF Total" 0 283 479 0 5 0 30 0 0 1 0 8
Adams "Adams 1" 0 124 230 2 1 0 26 0 0 2 0 2
Adams "Adams 2" 0 119 275 5 1 1 25 0 1 1 0 7
Adams "Adams 3" 0 125 271 0 5 0 16 0 0 2 0 7
Adams "Adams 4" 0 113 308 2 2 0 14 0 0 1 0 3
Adams "Adams-Adams 5 Total" 0 84 311 4 0 0 12 1 0 0 0 3
Allamakee "Pct 10-WAUKON 2" 0 250 334 0 4 0 27 2 0 3 0 8
Allamakee "Pct 11-WAUKON 3" 0 217 394 2 1 1 15 1 0 4 0 4
Allamakee "Pct 1-WL/HV" 0 101 161 3 2 3 3 1 0 1 0 0
Allamakee "Pct 2-FC/JF/LL/MK/UP" 0 355 816 5 9 1 50 2 0 3 0 10
Allamakee "Pct 3-PO/FK" 0 79 247 0 1 0 8 2 0 3 0 1
Allamakee "Pct 4-PV CITY" 0 220 258 1 6 0 24 0 0 3 1 3
Allamakee "Pct 5-LT/PC/WV CITY" 0 117 270 4 3 0 12 0 0 4 0 2
Allamakee "Pct 6-FV/TL/HF CITY" 0 195 280 1 4 0 10 0 0 0 0 2
Allamakee "Pct 7-CN/LF/LS/LS CITY" 0 492 586 10 8 1 41 1 1 10 0 8
Allamakee "Pct 8-IA/UN/NA CITY" 0 151 343 3 6 0 12 0 0 3 0 7
Allamakee "Allamakee-Pct 9-WAUKON 1 Total" 0 244 404 6 2 0 25 1 0 0 0 4
Appanoose Bellair-Lincoln 0 94 263 1 0 1 11 0 0 1 0 2
Appanoose Caldwell 0 62 158 1 4 0 3 0 0 0 0 1
Appanoose "Centerville W1" 0 294 548 2 9 1 23 2 1 4 0 11
Appanoose "Centerville W2" 0 278 443 6 8 1 18 1 0 5 0 3
Appanoose "Centerville W3" 0 260 436 5 9 3 24 1 0 2 1 6
Appanoose Franklin-Pleasant 0 117 296 1 4 1 5 1 0 4 1 1
Appanoose Johns-Independence 0 91 208 0 0 1 2 0 0 1 0 3
Appanoose Taylor-Chariton 0 170 402 0 2 0 17 1 0 0 0 4
Appanoose Union-Udell 0 78 237 0 3 0 10 0 0 3 0 2
Appanoose Vermillion-Douglas-Sharon 0 153 407 3 1 2 14 0 0 2 0 4
Appanoose Walnut 0 116 302 0 1 0 0 0 0 2 0 0
Appanoose "Appanoose-Washington-Wells Total" 0 101 333 6 1 1 12 2 0 0 0 0
Audubon "Precinct #1" 0 559 1230 12 10 2 64 0 0 4 0 14
Audubon "Audubon-Precinct #2 Total" 0 521 906 5 14 2 43 2 2 5 1 16
Benton "Belle Plaine 1" 0 147 263 4 3 0 16 1 0 3 0 2
Benton "Belle Plaine 2" 0 102 228 2 2 0 13 1 0 3 0 3
Benton "Belle Plaine 3" 0 133 177 3 5 1 6 1 0 2 0 4
Benton "Benton - Canton - Shellsburg" 0 520 912 9 17 3 49 1 0 10 2 17
Benton "Big Grove - Union - Van Horne" 0 208 402 3 7 0 23 1 0 6 0 11
Benton "Bruce - Cedar - Mt Auburn" 0 112 385 4 1 0 13 0 1 0 0 1
Benton "Eden - Harrison - Taylor" 0 238 571 2 10 1 40 1 0 5 0 8
Benton "Eldorado - Newhall" 0 250 403 3 4 0 27 0 1 2 0 9
Benton "Florence - St Clair - Norway" 0 290 486 1 0 2 31 0 0 4 0 6
Benton "Fremont - Atkins" 0 483 898 5 8 2 72 1 0 9 0 18
Benton "Homer - Monroe - Jackson - Garrison" 0 143 408 0 1 0 24 0 0 1 0 2
Benton "Iowa - Leroy - Luzerne - Blairstown" 0 245 521 4 3 0 30 4 0 3 0 11
Benton "Kane - Keystone" 0 150 303 3 0 0 15 1 0 2 0 5
Benton "Polk - Urbana" 0 460 680 8 9 2 57 0 0 7 1 9
Benton "Vinton 1" 0 278 334 3 3 0 31 2 0 4 0 6
Benton "Vinton 2" 0 207 254 1 5 0 13 1 0 2 1 8
Benton "Vinton 3" 0 255 369 2 6 1 34 1 0 2 0 3
Benton "Vinton 4" 0 220 342 2 1 1 30 0 0 2 0 9
Benton "Benton-Walford Total" 0 237 296 2 1 0 18 1 0 3 0 7
"Black Hawk" "Barclay Lester Dunkerton" 0 348 633 4 13 3 33 0 0 3 0 11
"Black Hawk" Bennington 0 69 210 0 0 0 12 0 3 0 0 3
"Black Hawk" "Big Creek La Porte City" 0 504 714 4 8 1 67 0 2 7 0 14
"Black Hawk" "Black Hawk Hudson Lincoln" 0 598 1104 8 7 2 72 3 1 15 0 23
"Black Hawk" "Cedar Orange" 0 440 586 3 14 1 36 1 0 5 0 10
"Black Hawk" "CF W1 P1" 0 496 486 2 3 3 52 1 0 6 0 15
"Black Hawk" "CF W1 P2" 0 908 632 10 12 3 76 1 3 15 1 23
"Black Hawk" "CF W1 P3" 0 920 470 7 27 6 51 1 1 9 0 26
"Black Hawk" "CF W2 P1" 0 282 257 1 14 1 28 2 0 10 0 4
"Black Hawk" "CF W2 P2 CF Twp" 0 858 816 5 21 0 84 2 0 28 0 22
"Black Hawk" "CF W2 P3" 0 1154 1299 9 24 3 103 2 0 28 0 49
"Black Hawk" "CF W3 P1" 0 645 699 2 12 0 56 0 0 14 0 23
"Black Hawk" "CF W3 P2" 0 900 955 6 6 1 78 4 0 16 1 32
"Black Hawk" "CF W3 P3" 0 636 559 5 11 1 81 1 0 16 1 18
"Black Hawk" "CF W4 P1" 0 814 663 3 17 3 61 1 1 16 0 21
"Black Hawk" "CF W4 P2" 0 639 370 2 21 2 70 1 0 12 1 12
"Black Hawk" "CF W4 P3" 0 597 338 3 16 0 69 1 1 13 0 12
"Black Hawk" "CF W5 P1" 0 786 596 4 17 2 59 2 0 13 0 20
"Black Hawk" "CF W5 P2" 0 804 606 4 10 1 62 1 0 18 1 25
"Black Hawk" "CF W5 P3" 0 672 768 4 7 2 53 1 0 24 0 22
