COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
Adair "1 NW" 692 173 506 9 4 0
Adair "2 NE" 695 258 426 7 4 0
Adair "3 SW" 663 193 457 12 1 0
Adair "4 SE" 650 227 409 12 2 0
Adair "5 GF" 744 316 415 9 4 0
Adams "Adams 1" 305 115 182 6 2 0
Adams "Adams 2" 348 108 230 9 1 0
Adams "Adams 3" 371 127 239 3 2 0
Adams "Adams 4" 376 115 251 8 2 0
Adams "Adams 5" 347 84 258 3 2 0
Allamakee "PCt 1 - WL/HV" 203 86 113 4 0 0
Allamakee "PCT 2 - FC/JF/LL/MK/UP" 1025 347 650 16 12 0
Allamakee "PCT - PO/FK" 284 67 207 5 5 0
Allamakee "PCT 4 - PV City" 400 175 209 9 7 0
Allamakee "LT/PC/WV CITY" 355 100 243 4 8 0
Allamakee "PCT - 6 FV/TL/HF CITY" 403 174 204 7 18 0
Allamakee "PCT - 7 CN/LF//LS/LS City" 966 430 504 15 17 0
Allamakee "PCT - 8 IA/UC/NA CITY" 421 132 271 6 12 0
Allamakee "PCT 9 - WAUKON WARD 1" 567 210 343 7 7 0
Allamakee "WAUKON WARD  2" 516 216 282 12 5 1
Allamakee "WAUKON WARD  3" 540 228 300 5 7 0
Appanoose "Centerville W1" 728 318 397 10 3 0
Appanoose "Centerville W2" 636 259 358 16 3 0
Appanoose "Centerville W3" 556 236 306 11 2 1
Appanoose Franklin-Pleasant 344 117 215 7 4 1
Appanoose Caldwell 187 59 124 4 0 0
Appanoose Taylor-Chariton 507 171 326 9 1 0
Appanoose Washington-Wells 368 80 276 8 4 0
Appanoose Walnut 363 136 217 7 3 0
Appanoose Bellair-Lincoln 293 103 188 1 1 0
Appanoose Johns-Independence 289 100 181 4 4 0
Appanoose Union-Udell 289 97 187 5 0 0
Appanoose Vermillion-Douglas-Sharon 489 158 326 4 1 0
