COUNTY AREA TOTAL DEM REP LIB Clark Writein
COUNTY AREA TOTAL Loebsack Peters Strauss Clark Writein
Appanoose "Centerville W1" 715 340 356 13 6 0
Appanoose "Centerville W2" 627 290 312 18 5 2
Appanoose "Centerville W3" 552 257 278 14 2 1
Appanoose Franklin-Pleasant 334 133 192 7 1 1
Appanoose Caldwell 185 68 114 2 0 1
Appanoose Taylor-Chariton 499 197 294 5 3 0
Appanoose Washington-Wells 361 116 237 6 1 1
Appanoose Walnut 352 140 200 7 5 0
Appanoose Bellair-Lincoln 285 111 168 5 1 0
Appanoose Johns-Independence 281 111 161 5 4 0
Appanoose Union-Udell 286 105 174 3 4 0
Appanoose Vermillion-Douglas-Sharon 480 187 284 6 3 0
Cedar CASS/CENTER/IOWA/ROCHESTER 1058 458 569 23 8 0
Cedar DAYTON/FAIRFIELD 599 265 321 9 4 0
Cedar "FARMINGTON/SUGAR CREEK" 1093 465 600 25 3 0
Cedar "FREMONT/RED OAK" 427 199 220 7 0 1
Cedar GOWER/SPRINGDALE 660 404 239 14 2 1
Cedar INLAND 323 133 179 10 1 0
Cedar LINN/PIONEER 869 428 410 25 6 0
Cedar MASSILLON/SPRINGFIELD 616 275 325 11 3 2
Cedar "TIPTON 1" 368 208 150 8 1 1
Cedar "TIPTON 2" 430 246 169 12 3 0
Cedar "TIPTON 3" 515 287 214 12 2 0
Cedar "WEST BRANCH 1" 1086 730 329 23 4 0
Clarke "MIDDLE PRECINCT" 539 206 318 13 1 1
Clarke "MURRAY PRECINCT" 548 208 312 18 9 1
Clarke "NORTH EAST PRECINCT" 789 309 450 23 6 1
Clarke "OSCEOLA 1ST WARD PRECINCT" 470 214 235 18 3 0
Clarke "OSCEOLA 2ND WARD PRECINCT" 408 209 180 15 4 0
Clarke "OSCEOLA 3RD WARD PRECINCT" 624 289 306 21 7 1
Clarke "WOODBURN PRECINCT" 239 90 138 7 4 0
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 492 236 245 10 1 0
Clinton "CAMANCHE 1" 969 556 387 19 7 0
Clinton "CAMANCHE 2" 931 525 388 15 2 1
Clinton "CENTER TWP" 258 99 154 2 3 0
Clinton "CLINTON 1-1" 587 401 175 9 2 0
Clinton "CLINTON 1-2" 973 587 359 22 5 0
Clinton "CLINTON 2-1" 676 442 211 14 7 2
Clinton "CLINTON 2-2" 1337 808 503 22 4 0
Clinton "CLINTON 3-1" 1084 681 380 15 8 0
Clinton "CLINTON 3-2" 1248 770 448 19 5 6
Clinton "CLINTON 4-1" 1251 745 480 12 12 2
Clinton "CLINTON 4-2" 1175 714 435 19 5 2
Clinton "DEEP CREEK GOOSE LAKE" 292 125 159 7 1 0
Clinton "DEWITT 1" 1022 573 423 22 4 0
Clinton "DEWITT 2" 1345 719 598 18 9 1
Clinton "DEWITT TWP" 720 282 429 8 1 0
Clinton "EDEN CAMANCHE TWP" 250 103 143 4 0 0
Clinton "ELK RIVER HAMPSHIRE ANDOVER" 738 331 394 12 1 0
Clinton "LIBERTY TORONTO" 151 70 78 2 1 0
Clinton "LOW MOOR" 81 46 35 0 0 0
Clinton "OLIVE GRANT CALAMUS" 503 182 309 8 4 0
Clinton "ORANGE GRAND MOUND" 490 242 233 14 1 0
Clinton "SHARON LOST NATION" 289 117 159 11 1 1
Clinton "SPRING ROCK WHEATLAND" 435 191 225 13 6 0
Clinton "WATERFORD CHARLOTTE" 268 115 149 2 1 1
Clinton "WELTON WASHINGTON WELTON" 439 204 226 8 1 0
Davis "BLOOMFIELD WARD 1" 381 204 166 9 2 0
Davis "BLOOMFIELD WARD 2" 350 201 142 7 0 0
Davis "BLOOMFIELD WARD 3" 302 135 158 9 0 0
Davis CENTRAL 497 235 254 5 3 0
Davis NORTHEAST 476 173 293 7 1 2
Davis NORTHWEST 441 179 250 9 3 0
Davis SOUTHEAST 430 168 253 9 0 0
Davis SOUTHWEST 226 94 130 2 0 0
Decatur BL/FA/Lamoni 859 427 410 19 2 1
Decatur "BU/HA/MO/NB/Davis City/Pleasanton" 299 82 209 6 2 0
Decatur CE/ED/Leon 822 306 471 30 15 0
Decatur "DE/Decatur City" 157 42 108 5 2 0
Decatur "GG/HP/WO/Garden Grove/LeRoy" 269 80 174 10 5 0
Decatur "GR/RL/Grand River" 189 69 113 6 1 0
Decatur "FR/LC/Van Wert/Weldon" 291 116 166 7 2 0
"Des Moines" "Pct 1T" 1388 724 642 15 7 0
"Des Moines" "Pct 2" 1114 717 369 18 10 0
"Des Moines" "Pct 3" 895 572 287 30 5 1
"Des Moines" "Pct 4" 751 492 218 32 8 1
"Des Moines" "Pct 5" 942 540 382 17 3 0
"Des Moines" "Pct 6" 474 326 130 10 6 2
"Des Moines" "Pct 7" 1165 750 372 32 11 0
"Des Moines" "Pct 8C" 1474 914 536 18 6 0
"Des Moines" "Pct 9" 1248 783 445 15 5 0
"Des Moines" "PCT DM" 727 345 362 17 3 0
"Des Moines" "PCT FM" 1170 600 542 23 4 1
"Des Moines" "PCT HJ" 595 232 354 7 1 1
"Des Moines" "PCT MY" 1223 523 670 26 4 0
"Des Moines" "PCT PW" 349 123 222 4 0 0
"Des Moines" "PCT Union" 381 176 200 4 1 0
"Des Moines" "PCT WB" 1161 729 407 17 7 1
Henry "Northwest Precinct" 756 295 445 12 4 0
Henry "Northeast Precinct" 696 295 387 9 5 0
Henry "Southeast Precinct" 1365 639 684 22 20 0
Henry "Southwest Precinct" 627 239 362 11 14 1
Henry "Mt Pleasant Ward 1" 683 310 336 15 22 0
Henry "Mt Pleasant Ward 2" 666 330 305 15 16 0
Henry "Mt Pleasant Ward 3" 729 354 348 8 19 0
Henry "Mt Pleasant Ward 4" 670 289 355 13 13 0
Henry "Central Precinct" 1210 460 728 15 7 0
Jasper "Clear Creek/Poweshiek" 822 369 418 29 5 1
Jasper "Colfax Ward 1" 233 127 93 12 1 0
Jasper "Colfax Ward 2" 327 176 136 14 1 0
Jasper "Colfax Ward 3" 259 159 89 9 2 0
Jasper "Des Moines" 1026 418 572 29 5 2
Jasper "Elk Creek/Lynngrove" 1098 208 878 10 2 0
Jasper Fairview 1113 486 590 23 9 5
Jasper HG/K/RC/BV/RL 1598 675 880 36 6 1
Jasper Indep/Malaka/Mariposa 982 472 479 23 7 1
Jasper "Mound Prairie/Washington" 592 248 332 8 4 0
Jasper Newton/Sherman 1027 484 520 18 5 0
Jasper "Newton 1-1" 771 454 293 18 6 0
Jasper "Newton 1-2" 567 349 202 14 2 0
Jasper "Newton 2-1" 826 475 323 19 9 0
Jasper "Newton 2-2" 709 401 299 5 4 0
Jasper "Newton 3-1" 880 510 338 19 12 1
Jasper "Newton 3-2" 624 373 220 23 8 0
Jasper "Newton 4-1" 1142 605 511 21 5 0
Jasper "Newton 4-2" 536 327 187 17 5 0
Jasper "Palo Alto" 474 203 262 7 2 0
Jefferson Blackhawk-Polk-Packwood 349 129 216 2 2 0
Jefferson Buchanan 298 139 153 3 3 0
Jefferson "Center-Cedar-Maharishi Vedic City" 965 608 343 13 1 0
Jefferson "Fairfield 1st Ward" 1000 646 326 24 3 1
Jefferson "Fairfield 2nd Ward" 919 763 126 21 9 0
Jefferson "Fairfield 3rd Ward" 502 303 182 12 5 0
Jefferson "Fairfield 4th Ward" 829 613 181 26 7 2
Jefferson "Fairfield 5th Ward" 823 509 291 18 4 1
Jefferson "Liberty - Des Moines - Libertyville" 424 160 258 3 3 0
Jefferson "Lockridge-Round Prairie-Walnut-Lockridge-Coppock" 457 153 295 7 2 0
Jefferson "Locust Grove-Batavia" 267 109 154 4 0 0
Jefferson "Penn-Pleasant Plain" 190 69 119 2 0 0
Johnson BG 1099 592 480 21 6 0
Johnson CE 343 172 162 7 2 0
Johnson CC/TF 1744 1114 576 37 16 1
Johnson CV01 1406 1116 237 33 19 1
Johnson CV02 1494 1024 442 21 7 0
Johnson CV03 821 567 228 17 9 0
Johnson CV04 1009 784 191 22 11 1
Johnson CV05 1085 883 177 16 7 2
Johnson CV06 1772 1202 557 3 9 1
Johnson CV07 1457 1099 317 29 11 1
Johnson FR/LN/LT 871 506 346 13 6 0
Johnson GR 297 190 101 5 1 0
Johnson HD 301 170 125 2 4 0
Johnson HS 402 260 131 7 4 0
Johnson IC01 1908 1481 407 16 4 0
Johnson IC02 1549 1204 315 23 7 0
Johnson IC03 1033 756 229 40 8 0
Johnson IC04 1484 1214 240 18 10 2
Johnson IC05 1235 902 287 35 11 0
Johnson IC06 1650 1292 318 25 15 0
Johnson IC07 1316 1024 260 21 11 0
Johnson IC08 1577 1151 404 17 5 0
Johnson IC09 1348 1064 248 24 12 0
Johnson IC10/ELSW 1181 886 265 24 6 0
Johnson IC11 1267 974 252 26 14 1
Johnson IC12/ELSE 1296 1053 197 30 15 1
Johnson IC13 1012 790 190 22 8 2
Johnson IC14 1266 1082 148 20 15 1
Johnson IC15 1002 755 199 26 21 1
Johnson IC16 1525 1293 203 24 4 1
Johnson IC17 1744 1512 197 19 15 1
Johnson IC18 1636 1460 140 18 17 1
Johnson IC19 909 707 168 23 11 0
Johnson IC20 1187 920 222 32 11 2
Johnson IC21 1371 1160 170 26 15 0
Johnson IC22 1058 875 171 10 2 0
Johnson IC23 1897 1503 349 27 17 1
Johnson IC24 2169 1588 547 26 7 1
Johnson LB/PV 351 210 135 4 2 0
Johnson NP 1409 871 517 14 7 0
Johnson NL01 1275 891 361 18 5 0
Johnson NL02 1256 822 399 26 8 1
Johnson NL03 1709 1112 551 43 2 1
Johnson NL04 1043 772 239 21 11 0
Johnson NL05 1076 772 266 28 10 0
Johnson NL06/MD/CCN 2113 1353 700 50 10 0
Johnson OX 745 471 253 13 8 0
Johnson PN/ELN 1795 1213 554 22 5 1
Johnson SC/WB 840 555 261 18 5 1
Johnson SN 313 141 167 3 2 0
Johnson JE/SH 1429 740 661 22 6 0
Johnson SO 1258 744 485 22 6 1
Johnson SW/JW/MN 1298 709 559 25 5 0
Johnson UN 399 243 152 3 0 1
Johnson UH 661 523 132 3 2 1
Johnson WS 459 183 263 7 6 0
Johnson WL 524 360 147 8 9 0
Keokuk ADAMS 189 81 107 1 0 0
Keokuk "BENTON / STEADY RUN" 473 149 315 6 3 0
Keokuk "ENGLISH RIVER / LIBERTY" 373 144 213 13 3 0
Keokuk JACKSON 183 55 124 3 1 0
Keokuk "LAFAYETTE / CLEAR CREEK" 609 269 330 6 4 0
Keokuk "EAST / WEST LANCASTER" 147 50 96 1 0 0
Keokuk PRAIRIE 145 53 92 0 0 0
Keokuk RICHLAND 337 102 224 8 3 0
Keokuk "SIGOURNEY / PLANK / VAN BUREN" 345 125 211 5 4 0
Keokuk "SIGOURNEY 1ST WARD" 190 78 107 3 1 1
Keokuk "SIGOURNEY 2ND WARD" 219 96 119 4 0 0
Keokuk "SIGOURNEY 3RD WARD" 178 80 96 2 0 0
Keokuk "SIGOURNEY 4TH WARD" 212 102 102 6 2 0
Keokuk WARREN 144 49 89 6 0 0
Keokuk "WHAT CHEER / WASHINGTON" 295 141 152 2 0 0
Lee "FM CITY HALL-FM1" 388 217 157 13 1 0
Lee "MCALEER HALL-FM2" 652 390 235 23 4 0
Lee "FM LIBRARY-FM3" 694 449 225 11 9 0
Lee "ROLING HALL-FM4" 778 490 269 15 4 0
Lee "HILLVIEW VILLAGE" 841 516 298 20 7 0
Lee "KE COURTHOUSE-KE1" 409 209 185 11 4 0
Lee "HERITAGE CNTR-KE2" 316 195 107 10 4 0
Lee "KE LIBRARY-KE3" 453 248 195 9 1 0
Lee "EVANGELICAL FREE CHURCH-KE4" 375 226 142 3 2 2
Lee "LEARNING CNTR-KE5" 614 337 267 6 2 2
Lee "FIRST CHRISTIAN CHURCH-KE6" 441 277 153 5 6 0
Lee "KE NAZARENE CHURCH-KE7" 689 362 314 12 1 0
Lee "CENTRAL LEE HIGH SCHOOL" 707 292 397 17 1 0
Lee "PILOT GROVE BANK COMM ROOM" 1057 459 572 25 1 0
Lee "JACKSON TWP FIRE STATION-JK" 668 291 357 17 3 0
Lee "CONSERVATION CNTR - JF" 427 194 226 6 0 1
Lee "IVOR FOWLER COMM CENTER-MOR" 717 331 347 35 3 1
Lee "WEST POINT LIBRARY-PR" 1212 586 608 15 3 0
Lee "GRACE BIBLE CHURCH-GB" 988 446 524 10 6 2
Louisa "Columbus Junction" 483 292 178 10 3 0
Louisa "Grandview-Port Louisa" 684 298 375 7 4 0
Louisa "Morning Sun-Marshall" 529 202 312 12 3 0
Louisa "Southeast Louisa" 1223 513 689 17 4 0
Louisa "West Louisa" 873 374 477 14 7 1
Lucas "Chariton City Hall" 730 302 404 19 5 0
Lucas "Chariton Community Center" 736 303 407 19 5 2
Lucas "L.C. Extension" 335 103 222 8 2 0
Lucas "Lucas Community Center" 427 131 282 7 6 1
Lucas "Pin Oak Marsh" 409 132 268 6 2 1
Lucas "Russell Community Center-Cedar and Washington Townships, City of Russell" 402 153 238 8 3 0
Lucas "Williamson Community Center" 469 171 285 11 2 0
Mahaska "AD / MN / PG / UN" 461 103 346 9 3 0
Mahaska "BO / ST" 586 95 479 11 1 0
Mahaska "CE / HA / WO" 785 214 541 23 7 0
Mahaska "E-W DM / JF" 315 106 206 2 1 0
Mahaska "GF / LN / MD" 874 220 632 19 2 1
Mahaska "Oskaloosa 1st Ward" 713 293 394 21 5 0
Mahaska "Oskaloosa 2nd Ward" 931 364 536 22 8 1
Mahaska "OS3 / UP" 1208 449 715 37 6 1
Mahaska "OS4 / OS4 LN" 1066 453 573 29 10 1
Mahaska "PR / RL" 899 240 643 11 4 1
Mahaska "SP / KE" 610 175 424 7 4 0
Marion Clay 412 131 270 9 2 0
Marion Dallas 640 314 307 12 7 0
Marion "Indiana Township" 333 137 189 7 0 0
Marion "Knoxville One" 640 321 298 19 2 0
Marion "Knoxville Two" 686 359 302 18 5 2
Marion "Knoxville Three" 879 449 397 23 10 0
Marion "Knoxville Four" 565 315 221 22 7 0
Marion "Knoxville Township" 1361 529 803 22 7 0
Marion Liberty 342 136 199 6 1 0
Marion "Lake Prairie Township" 1234 279 935 14 5 1
Marion Otley 1061 343 680 24 6 8
Marion "Pella One" 1245 407 807 26 5 0
Marion "Pella Two" 1328 416 872 32 5 3
Marion "Pella Three" 1488 424 1032 26 6 0
Marion "Pella Four" 873 309 541 19 4 0
Marion Pleasantville 1539 671 806 53 9 0
Marion "Washington Township" 234 90 137 3 4 0
Monroe "No 1 - Albia First Ward" 404 177 209 14 4 0
Monroe "No 2 - Albia Second Ward" 319 139 171 9 0 0
Monroe "No 3 - Albia Third Ward" 256 135 115 4 2 0
Monroe "No 4 - Albia Fourth Ward" 326 174 142 6 4 0
Monroe "No 5-Courthouse (PL, GL, TR, MT, UR and MN)" 1024 367 632 21 4 0
Monroe "No 6-Lovilia Comm Center (LV Cty; BC, CE, UN Twps)" 491 183 293 8 7 0
Monroe "No 7-St Patrick's Church (ML Cty; FR, JK, WY Twps)" 283 119 155 7 2 0
Muscatine "Muscatine First" 1097 560 507 19 11 0
Muscatine "Muscatine Second" 785 448 316 12 8 1
Muscatine "Muscatine Third" 601 368 206 17 10 0
Muscatine "Muscatine Fourth" 540 332 181 20 6 1
Muscatine "Muscatine Fifth" 508 319 170 14 5 0
Muscatine "Muscatine Sixth" 1135 606 504 21 4 0
Muscatine "Muscatine Seventh" 584 329 236 17 2 0
Muscatine "Muscatine Eighth" 516 283 215 14 4 0
Muscatine "Muscatine Ninth" 784 471 288 17 8 0
Muscatine "Muscatine Tenth" 735 438 276 11 10 0
Muscatine Bloomington 1208 496 687 21 4 0
Muscatine "Fruitland One-City" 515 242 260 8 5 0
Muscatine "Fruitland Two/Lake-Fruitland" 439 195 235 9 0 0
Muscatine "Fulton/Montpelier-Blue Grass" 686 277 391 17 1 0
Muscatine Goshen-City 214 104 100 9 1 0
Muscatine Orono-City 134 67 61 5 1 0
Muscatine Pike-City 311 139 161 11 0 0
Muscatine Seventy-Six/Cedar-Seventy-Six 290 144 138 7 1 0
Muscatine Sweetland 784 325 440 14 5 0
Muscatine "West Liberty/Wapsie-WL1 City" 948 609 317 18 4 0
Muscatine "West Liberty 2" 434 337 84 8 4 1
Muscatine "Wilton City" 1077 544 501 29 3 0
Muscatine Wilton/Moscow-Wilton 469 164 295 9 1 0
"Van Buren" Birmingham 457 164 283 8 2 0
"Van Buren" Bonaparte 409 167 232 8 2 0
"Van Buren" Cantril 161 81 75 2 3 0
"Van Buren" Douds 341 119 211 8 3 0
"Van Buren" Farmington 350 146 195 4 5 0
"Van Buren" Keosauqua 821 382 424 10 5 0
"Van Buren" Milton 208 78 127 2 1 0
"Van Buren" Stockport 152 60 87 2 2 1
Wapello "Pct 1" 680 345 306 22 5 2
Wapello "Pct 2" 1008 551 433 20 4 0
Wapello "Pct 3" 1184 643 519 18 4 0
Wapello "Pct 4" 478 278 175 16 6 3
Wapello "Pct 5" 510 299 185 19 6 1
Wapello "Pct 6" 596 328 245 18 5 0
Wapello "Pct 7" 519 317 185 13 4 0
Wapello "Pct 8" 696 384 285 18 6 3
Wapello "Pct 9" 921 539 353 15 11 3
Wapello "Pct 10" 679 404 254 13 7 1
Wapello Adams/Blakesburg/Polk 562 213 334 13 1 1
Wapello Agency/Agency/Pleasant 570 258 298 9 5 0
Wapello Cass/Chillicothe 92 31 60 1 0 0
Wapello Center 615 270 324 20 1 0
Wapello Columbia/Eddyville 350 172 168 7 2 1
Wapello Competine 85 23 61 1 0 0
Wapello Dahlonega 258 105 144 8 1 0
