COUNTY AREA TOTAL DEM REP LIB Knupp Elworth_Jr Grandanette Writein
COUNTY AREA TOTAL Axne Young Holder Knupp Elworth_Jr Grandanette Writein
Adair "1 NW" 681 169 491 17 1 2 1 0
Adair "2 NE" 686 228 425 19 5 7 1 1
Adair "3 SW" 658 176 458 17 2 2 3 0
Adair "4 SE" 639 204 408 16 0 6 5 0
Adair "5 GF" 733 290 423 9 6 4 1 0
Adams "Adams 1" 305 102 190 12 1 0 0 0
Adams "Adams 2" 346 112 222 7 4 1 0 0
Adams "Adams 3" 361 120 228 11 0 0 2 0
Adams "Adams 4" 372 114 246 6 1 5 0 0
Adams "Adams 5" 346 70 266 6 4 0 0 0
Cass "Atlantic 1" 389 161 216 6 3 3 0 0
Cass "Atlantic 2" 432 188 224 11 4 5 0 0
Cass "Atlantic 3" 595 182 394 11 6 0 1 1
Cass "Atlantic 4" 700 222 462 9 3 2 2 0
Cass "Atlantic 5" 660 220 421 11 3 3 2 0
Cass "Bear Grove/Cass Twp/Lewis" 389 103 271 9 1 3 2 0
Cass "Benton/Franklin Twp/Wiota" 217 78 132 4 0 1 2 0
Cass "Brighton/Grove/Pymosa/Washington Twp/Marne" 596 112 473 4 4 2 1 0
Cass "Edna/Victoria Twp" 111 24 84 1 0 1 1 0
Cass "Grant/Lincoln Twp/Anita" 566 198 347 13 1 6 1 0
Cass "Noble/Pleasant Twp/Griswold" 682 159 509 9 2 3 0 0
Cass "Massena Twp/Massena City" 257 84 169 2 1 1 0 0
Cass "Union Twp/Cumberland" 178 46 127 3 1 0 1 0
Dallas Adams 743 226 495 15 1 3 3 0
Dallas "Adel 1" 799 337 436 14 2 4 5 1
Dallas "Adel 2" 1566 638 865 42 5 8 8 0
Dallas "Beaver/Des Moines" 1018 475 487 33 13 6 4 0
Dallas "Clive 5" 1505 663 810 17 10 4 1 0
Dallas "Clive 6" 1969 850 1064 37 4 6 5 3
Dallas Colfax/Adel 696 206 464 11 5 5 4 1
Dallas "De Soto" 382 170 189 11 5 3 3 1
Dallas Lincoln 517 166 329 12 2 4 4 0
Dallas "Perry 1" 819 488 289 21 6 10 4 1
Dallas "Perry 2" 683 393 261 17 2 8 1 1
Dallas "Perry 3" 685 412 246 10 7 5 4 1
Dallas "Spring Valley/Dallas" 433 185 229 12 2 3 2 0
Dallas "Sugar Grove/Dallas Center" 1210 459 694 27 7 12 8 3
Dallas Union 926 340 544 19 7 8 7 1
Dallas "Urbandale 13" 2160 987 1130 30 6 3 4 0
Dallas "Urbandale 14" 1831 714 1085 16 3 6 7 0
Dallas "Urbandale 15" 1246 491 725 20 6 3 1 0
Dallas "Van Meter" 1559 487 1025 33 4 2 7 1
Dallas Walnut/Grimes/Grant 1111 416 657 24 5 4 4 1
Dallas "Waukee 1" 1562 756 750 34 13 6 2 1
Dallas "Waukee 2" 1743 907 763 47 12 6 8 0
Dallas "Waukee 3" 1816 980 765 43 13 10 4 1
Dallas "Waukee 4" 1592 643 928 8 2 4 6 1
Dallas "Waukee 5" 1531 692 791 31 3 8 6 0
Dallas "Waukee 6" 1495 709 732 36 3 12 3 0
Dallas "West Des Moines 221" 1984 1014 930 27 7 2 3 1
Dallas "West Des Moines 222" 1343 690 621 21 4 6 1 0
Dallas "West Des Moines 223" 1090 524 539 17 7 3 0 0
Dallas "West Des Moines" 284 131 150 3 0 0 0 0
Dallas "West Des Moines 225" 1756 984 720 36 5 4 7 0
Dallas "West Des Moines 226" 857 471 356 16 7 4 1 2
Dallas "West Des Moines 321" 1371 720 629 16 4 1 1 0
Dallas "West Des Moines 322" 666 269 391 5 1 0 0 0
Fremont Farragut 578 181 371 14 4 4 2 2
Fremont Green/Riverside/Scott 805 266 508 13 7 10 1 0
Fremont "Hamburg/Washington TWP" 566 180 375 6 3 2 0 0
Fremont Riverton 222 66 148 3 1 3 1 0
Fremont Sidney 847 297 531 5 5 4 4 1
Guthrie Black 389 118 252 10 4 3 2 0
Guthrie Blue 1122 387 701 23 5 4 2 0
Guthrie Brown 483 143 327 10 1 1 1 0
Guthrie Gold 978 314 614 38 5 2 5 0
Guthrie Green 520 175 314 18 4 5 4 0
Guthrie Purple 958 350 563 30 5 8 1 1
Guthrie Red 300 83 205 9 3 0 0 0
Guthrie White 242 52 183 4 2 1 0 0
Madison "Grand River - Monroe - Webster" 374 96 268 7 0 3 0 0
Madison "Jackson - Douglas - Lincoln" 698 210 460 13 3 4 8 0
Madison "Jefferson - Lee" 821 255 549 12 1 2 2 0
Madison "Penn - Madison" 989 333 622 16 8 7 2 1
Madison "Union - Crawford - Scott" 1128 380 702 30 8 5 3 0
Madison South 731 241 463 16 2 5 4 0
Madison "Walnut - Ohio" 603 167 410 15 4 4 3 0
Madison "Winterset 1" 1152 445 651 38 3 9 5 1
Madison "Winterset 2" 1120 462 624 19 6 7 1 1
Mills "Deer Creek / White Cloud" 154 48 102 3 0 1 0 0
Mills "Emerson / Hastings / Indian Creek Twp" 322 72 235 8 1 4 2 0
Mills "Glenwood Ward 1" 490 216 245 21 2 4 2 0
Mills "Glenwood Ward 2" 560 248 286 16 6 2 2 0
Mills "Glenwood Ward 3" 777 312 436 17 2 7 3 0
Mills "Glenwood Township" 638 224 400 11 0 1 2 0
Mills "Henderson / Anderson" 193 53 130 8 0 2 0 0
Mills "Malvern / Tabor / Center / Rawles / Silver Creek" 1100 374 695 16 9 4 0 2
Mills "Oak / St. Mary" 1380 380 956 26 8 9 1 0
Mills "Pacific Junction / Lyons / Plattville" 439 149 275 8 3 3 1 0
Mills "Silver City / Ingraham" 255 70 181 3 1 0 0 0
Montgomery "#1 Gold Fair Building" 727 240 466 8 5 6 1 1
Montgomery "#2 Red Oak Fire Station" 654 238 396 11 3 6 0 0
Montgomery "#3 First Christian Church" 849 293 532 14 4 6 0 0
Montgomery "#4 Elliott Community Building" 392 72 308 8 0 2 2 0
Montgomery "#5 Grant Fire Station" 232 60 165 5 1 0 1 0
Montgomery "#6 Stanton Fire Station" 558 129 414 7 3 4 1 0
Montgomery "#7 Villisca Community Building" 545 177 350 9 3 5 1 0
Page "Clarinda Ward 1" 623 193 421 3 3 1 2 0
Page "Clarinda Ward 2" 1071 410 634 12 5 7 3 0
Page "Essex City Hall" 502 111 380 5 0 3 2 1
Page "Shenandoah Fire Station" 657 165 479 9 0 3 1 0
Page "Page County Courthouse" 1066 233 816 13 2 1 0 1
Page "Shenandoah Ward 1" 355 147 199 4 3 2 0 0
Page "Shenandoah Ward 2" 619 222 385 9 2 1 0 0
Page "Shenandoah Ward 3" 739 260 462 10 3 2 2 0
Polk "DES MOINES 1" 622 357 236 14 6 4 4 1
Polk "DES MOINES 2" 808 497 264 20 9 14 4 0
Polk "DES MOINES 3" 1302 749 482 30 17 14 7 3
Polk "DES MOINES 4" 701 480 189 14 7 7 4 0
Polk "DES MOINES 5" 437 255 161 13 2 4 2 0
Polk "DES MOINES 6" 600 374 182 24 11 7 2 0
Polk "DES MOINES 7" 1168 767 331 35 8 15 10 2
Polk "DES MOINES 8" 732 489 204 21 6 4 7 1
Polk "DES MOINES 9" 1216 759 423 18 2 5 7 2
Polk "DES MOINES 10" 1317 849 418 27 10 7 5 1
Polk "DES MOINES 11" 1278 873 375 18 4 5 3 0
Polk "DES MOINES 12" 644 418 187 24 8 4 3 0
Polk "DES MOINES 13" 824 550 244 15 0 7 8 0
Polk "DES MOINES 14" 776 536 201 17 9 4 7 2
Polk "DES MOINES 15" 1940 1336 544 38 6 8 8 0
Polk "DES MOINES 16" 1776 1250 458 43 14 7 4 0
Polk "DES MOINES 17" 758 496 242 10 4 3 3 0
Polk "DES MOINES 18" 495 392 81 10 4 4 4 0
Polk "DES MOINES 19" 469 346 102 8 6 5 2 0
Polk "DES MOINES 20" 978 639 268 32 16 8 13 2
Polk "DES MOINES 21" 976 680 248 18 6 11 13 0
Polk "DES MOINES 22" 880 628 207 22 5 12 4 2
Polk "DES MOINES 23" 639 516 101 5 6 5 6 0
Polk "DES MOINES 24" 595 349 211 20 2 8 4 1
Polk "DES MOINES 25" 799 499 262 12 9 10 7 0
Polk "DES MOINES 26" 1135 657 420 31 8 9 10 0
Polk "DES MOINES 27" 790 414 324 24 11 9 6 2
Polk "DES MOINES 28" 1303 746 488 37 6 17 8 1
Polk "DES MOINES 29" 1190 620 538 17 4 6 5 0
Polk "DES MOINES 30" 753 443 271 25 6 6 2 0
Polk "DES MOINES 31" 941 579 305 23 9 18 5 2
Polk "DES MOINES 32" 730 495 192 23 7 7 6 0
Polk "DES MOINES 33" 514 394 91 14 5 4 5 1
Polk "DES MOINES 34" 320 243 62 6 2 4 3 0
Polk "DES MOINES 35" 339 261 60 6 6 5 1 0
Polk "DES MOINES 36" 714 593 97 13 2 5 3 1
Polk "DES MOINES 37" 572 466 82 12 5 5 1 1
Polk "DES MOINES 38" 594 428 138 10 10 6 1 1
Polk "DES MOINES 39" 1620 1258 304 30 11 8 8 1
Polk "DES MOINES 40" 644 484 132 15 4 6 1 2
Polk "DES MOINES 41" 1897 1417 417 38 7 7 11 0
Polk "DES MOINES 42" 1665 1104 488 36 8 6 22 1
Polk "DES MOINES 43" 1251 920 296 22 3 5 5 0
Polk "DES MOINES 44" 1325 1013 262 26 8 10 4 2
Polk "DES MOINES 45" 567 473 74 13 4 2 1 0
Polk "DES MOINES 46" 601 493 92 6 2 6 1 1
Polk "DES MOINES 47" 849 643 173 14 9 8 2 0
Polk "DES MOINES 48" 181 140 35 3 0 2 1 0
Polk "DES MOINES 49" 353 232 99 15 4 1 2 0
Polk "DES MOINES 50" 918 603 269 23 6 8 9 0
Polk "DES MOINES 51" 567 381 146 24 3 3 10 0
Polk "DES MOINES 52" 537 360 160 8 6 2 1 0
Polk "DES MOINES 53" 479 309 142 12 8 5 3 0
Polk "DES MOINES 54" 550 398 127 11 4 5 5 0
Polk "DES MOINES 55" 1768 1295 417 18 12 17 8 1
Polk "DES MOINES 56" 1502 1226 240 16 11 4 4 1
Polk "DES MOINES 57" 763 638 97 15 9 3 1 0
Polk "DES MOINES 58" 1177 929 204 23 5 7 7 2
Polk "DES MOINES 59" 1185 927 227 15 8 6 1 1
Polk "DES MOINES 60" 1126 887 196 15 10 5 11 2
Polk "DES MOINES 61" 1220 861 339 9 5 3 3 0
Polk "DES MOINES 62" 2177 1605 539 15 5 5 7 1
Polk "DES MOINES 63" 1220 907 276 12 6 9 9 1
Polk "DES MOINES 64" 994 661 299 21 4 4 5 0
Polk "DES MOINES 65" 1530 926 567 17 5 7 8 0
Polk "DES MOINES 66" 1584 1043 493 26 9 5 6 2
Polk "DES MOINES 67" 208 131 57 7 5 4 4 0
