COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Audubon "Precinct #1 - North 1/2" 1469 631 806 24 8 0
Audubon "Precinct #2 - South 1/2" 1200 603 572 19 5 1
Boone "Boone 1st Ward" 1021 588 396 27 10 0
Boone "Boone 2nd Ward" 1123 620 470 28 4 1
Boone "Boone 3rd Ward" 1134 660 439 30 5 0
Boone "Boone 4th Ward &amp; DSM Twp" 1413 769 586 42 16 0
Boone "Boone 5th Ward" 1036 593 410 24 9 0
Boone "Madrid 1st Ward" 394 223 159 9 3 0
Boone "Madrid 2nd Ward" 431 230 187 13 1 0
Boone "Madrid 3rd Ward" 379 206 166 4 3 0
Boone Ogden 882 444 410 21 7 0
Boone "Rural Precinct 1" 597 297 283 16 0 1
Boone "Rural Precinct 2" 975 502 443 19 11 0
Boone "Rural Precinct 3" 378 170 193 13 2 0
Boone "Rural Precinct 4" 1025 448 552 20 5 0
Boone "Rural Precinct 5" 354 175 174 4 0 1
Boone "Rural Precinct 6" 932 428 482 15 7 0
"Buena Vista" ACFC 471 170 286 13 2 0
"Buena Vista" ALNE 950 409 508 22 8 3
"Buena Vista" LKHM 613 277 326 7 3 0
"Buena Vista" NENP 572 190 368 9 5 0
"Buena Vista" SMLR 995 362 607 19 7 0
"Buena Vista" SL01 625 413 203 6 3 0
"Buena Vista" SL02 350 241 93 9 7 0
"Buena Vista" SL03 877 479 384 10 4 0
"Buena Vista" SL04 704 464 223 15 2 0
"Buena Vista" TRWG 411 173 230 6 2 0
Butler 1-GR 862 397 439 19 4 3
Butler 2-CL 953 388 531 22 11 1
Butler 3-DU 536 134 391 9 2 0
Butler 4-AL 565 144 405 14 2 0
Butler 5-AP 729 187 521 20 1 0
Butler 6-SR 1003 417 543 32 10 1
Butler 7-PB 991 340 624 22 5 0
Butler 8-NH 431 192 221 12 6 0
Calhoun "Butler Williams" 403 179 208 11 5 0
Calhoun "Calhoun, Jackson, Elm Grove, &amp; Lake City" 904 424 455 20 5 0
Calhoun Cedar 140 41 97 1 1 0
Calhoun "Center, Logan, Twin Lakes, Garfield and Lake Creek" 385 140 232 11 2 0
Calhoun "Greenfield &amp; Lincoln 2" 188 65 118 4 1 0
Calhoun "Lincoln 1" 768 339 410 14 4 1
Calhoun Reading 217 84 131 2 0 0
Calhoun "Rockwell City" 762 392 347 17 6 0
Calhoun Sherman 305 98 201 6 0 0
Calhoun Union 206 80 119 4 2 1
Carroll "Arcadia Precinct" 304 119 174 7 4 0
Carroll "Carroll Ward One" 1198 567 604 21 6 0
Carroll "Carroll Ward Two &amp; N1/2 Maple River" 1342 696 619 19 7 1
Carroll "Carroll Ward Three & S1/2 Maple River" 1061 541 496 16 8 0
Carroll "Carroll Ward Four" 903 452 430 14 6 1
Carroll "Eden Precinct" 264 96 163 3 2 0
Carroll "Ewoldt Precinct" 743 335 393 12 2 1
Carroll "Glidden-Richland Precinct" 689 278 393 11 7 0
Carroll "Pleasant Valley-Newton Precinct" 370 122 243 4 1 0
Carroll "Sheridan-Grant-Jasper Precinct" 529 229 290 7 3 0
Carroll "Union Precinct" 626 275 342 7 2 0
Carroll "Washington-Roselle Precinct" 421 181 229 9 2 0
Carroll "Wheatland-Kniest Precinct" 471 184 276 8 2 1
"Cerro Gordo" "Clear Lake Ward 1" 1250 557 655 24 12 2
"Cerro Gordo" "Clear Lake Ward 2" 1331 678 593 42 17 1
"Cerro Gordo" "Clear Lake Ward 3" 1064 543 487 27 7 0
"Cerro Gordo" "Clear Lake / Grant / Union Twps Pct" 1133 502 594 23 14 0
"Cerro Gordo" "Falls Twp - Plymouth Pct" 292 147 138 5 2 0
"Cerro Gordo" "Falls Twp - Rock Falls Pct" 197 103 90 3 1 0
"Cerro Gordo" "Geneseo Twp Pct" 552 303 234 11 4 0
"Cerro Gordo" "Grimes Twp - Meservey Pct" 108 44 61 1 2 0
"Cerro Gordo" "Grimes Twp - Thornton Pct" 195 88 101 4 2 0
"Cerro Gordo" "Lake / Lincoln Twps Pct" 263 99 154 9 1 0
"Cerro Gordo" "Lime Creek / Mason North Twps Pct" 270 141 121 6 2 0
"Cerro Gordo" "Mason City W-1 P-1" 646 419 203 18 6 0
"Cerro Gordo" "Mason City W-1 P-2" 975 608 346 14 7 0
"Cerro Gordo" "Mason City W-1 P-3" 1124 680 413 24 7 0
"Cerro Gordo" "Mason City W-2 P-1" 567 381 172 9 5 0
"Cerro Gordo" "Mason City W-2 P-2" 1374 838 515 17 4 0
"Cerro Gordo" "Mason City W-2 P-3" 693 460 203 19 9 2
"Cerro Gordo" "Mason City W-3 P-1" 955 628 303 19 5 0
"Cerro Gordo" "Mason City W-3 P-2" 759 495 237 14 12 1
"Cerro Gordo" "Mason City W-3 P-3" 1468 868 556 32 11 1
"Cerro Gordo" "Mason City W-4 P-1" 654 443 178 18 14 1
"Cerro Gordo" "Mason City W-4 P-2" 851 514 311 22 3 1
"Cerro Gordo" "Mason City W-4 P-3" 1155 685 429 27 12 2
"Cerro Gordo" "Mason South / Bath Twps Pct" 306 140 160 4 2 0
"Cerro Gordo" "Mt Vernon / Pleasant Valley Twps Pct" 318 139 165 12 2 0
"Cerro Gordo" "Portland / Owen / Dougherty Twps Pct" 395 185 201 6 3 0
Cherokee "#1 Aurelia" 805 377 418 6 4 0
Cherokee "#2 Cleghorn" 1060 462 579 13 6 0
Cherokee "#3 Quimby" 655 254 389 9 3 0
Cherokee "#4 Cherokee" 609 225 376 3 4 1
Cherokee "#5 Cherokee Ward 1" 781 374 392 11 4 0
Cherokee "#6 Cherokee Ward 2" 537 289 238 7 3 0
Cherokee "#7 Cherokee Ward 3" 702 378 310 11 3 0
Chickasaw BRADFORD 919 376 500 29 13 1
Chickasaw CHICKASAW 170 90 80 0 0 0
Chickasaw "DAYTON - RICHLAND" 334 110 215 4 5 0
Chickasaw "DEERFIELD - WASHINGTON 2" 317 149 156 11 1 0
Chickasaw "DRESDEN - FREDERICKSBURG" 706 277 411 15 3 0
