COUNTY AREA TOTAL DEM REP Writein
COUNTY AREA TOTAL Hart Miller_Meeks Writein
Appanoose "Centerville W1" 873 318 554 1
Appanoose "Centerville W2" 745 287 456 2
Appanoose "Centerville W3" 694 262 432 0
Appanoose Franklin-Pleasant 412 125 287 0
Appanoose Caldwell 240 69 171 0
Appanoose Taylor-Chariton 590 181 409 0
Appanoose Washington-Wells 456 114 341 1
Appanoose Walnut 418 133 283 2
Appanoose Bellair-Lincoln 366 106 259 1
Appanoose Johns-Independence 319 107 212 0
Appanoose Union-Udell 348 100 248 0
Appanoose Vermillion-Douglas-Sharon 577 150 426 1
Cedar CASS/CENTER/IOWA/ROCHESTER 1328 520 808 0
Cedar DAYTON/FAIRFIELD 789 311 478 0
Cedar "FARMINGTON/SUGAR CREEK" 1482 560 919 3
Cedar "FREMONT/RED OAK" 544 211 331 2
Cedar GOWER/SPRINGDALE 785 441 341 3
Cedar INLAND 394 142 251 1
Cedar LINN/PIONEER 1081 450 630 1
Cedar MASSILLON/SPRINGFIELD 797 330 466 1
Cedar "TIPTON 1" 488 248 237 3
Cedar "TIPTON 2" 567 286 280 1
Cedar "TIPTON 3" 547 268 278 1
Cedar "WEST BRANCH 1" 1378 862 515 1
Clarke "MIDDLE PRECINCT" 645 184 459 2
Clarke "MURRAY PRECINCT" 658 226 430 2
Clarke "NORTHEAST PRECINCT" 902 296 604 2
Clarke "Osceola 1st Ward" 613 271 338 4
Clarke "Osceola 2nd Ward" 546 264 282 0
Clarke "Osceola 3rd Ward" 699 292 404 3
Clarke "WOODBURN PRECINCT" 301 106 195 0
Clinton "BLOOMFIELD BROOKFIELD DELMAR" 663 326 337 0
Clinton "CAMANCHE 1" 1302 702 597 3
Clinton "CAMANCHE 2" 1189 632 557 0
Clinton "CENTER TWP" 348 133 215 0
Clinton "CLINTON 1-1" 872 569 300 3
Clinton "CLINTON 1-2" 1410 785 623 2
Clinton "CLINTON 2-1" 1019 647 371 1
Clinton "CLINTON 2-2" 1713 1011 700 2
Clinton "CLINTON 3-1" 1443 917 523 3
Clinton "CLINTON 3-2" 1697 1024 668 5
Clinton "CLINTON 4-1" 1645 946 697 2
Clinton "CLINTON 4-2" 1537 897 638 2
Clinton "DEEP CREEK GOOSE LAKE" 396 167 229 0
Clinton "DEWITT 1" 1368 749 617 2
Clinton "DEWITT 2" 1688 936 751 1
Clinton "DEWITT TWP" 904 373 529 2
Clinton "EDEN CAMANCHE TWP" 364 159 205 0
Clinton "ELK RIVER HAMPSHIRE ANDOVER" 928 422 505 1
Clinton "LIBERTY TORONTO" 187 88 99 0
Clinton "LOW MOOR" 133 62 70 1
Clinton "OLIVE GRANT CALAMUS" 664 290 374 0
Clinton "ORANGE GRAND MOUND" 643 308 335 0
Clinton "SHARON LOST NATION" 366 143 221 2
Clinton "SPRING ROCK WHEATLAND" 593 295 297 1
Clinton "WATERFORD CHARLOTTE" 354 145 208 1
Clinton "WELTON WASHINGTON WELTON" 551 271 279 1
Davis Bloomfield 1338 499 836 3
Davis Central 643 167 476 0
Davis Northeast 627 151 476 0
Davis Northwest 522 131 389 2
Davis Southeast 529 114 413 2
Davis Southwest 272 67 205 0
Decatur BL/FA/Lamoni 1077 506 566 5
Decatur "BU/HA/Mo/NB/Davis City/Pleasanton" 367 77 289 1
Decatur CE/ED/Leon 1055 320 733 2
Decatur "DE/Decatur City" 175 40 134 1
Decatur "GG/HP/WO/Garden Grove/LeRoy" 338 87 251 0
Decatur "GR/RL/Grand River" 220 75 145 0
Decatur "FR/LC/Van Wert/Weldon" 339 110 229 0
"Des Moines" "Pct 1T" 1657 743 908 6
"Des Moines" "Pct 2" 1396 778 616 2
"Des Moines" "Pct 3" 1186 682 502 2
"Des Moines" "Pct 4" 1052 646 399 7
"Des Moines" "Pct 5" 1220 643 572 5
"Des Moines" "Pct 6" 640 410 226 4
"Des Moines" "Pct 7" 1459 823 632 4
"Des Moines" "Pct 8C" 1772 944 824 4
"Des Moines" "Pct 9" 1539 845 692 2
"Des Moines" "Pct DM" 963 312 645 6
"Des Moines" "Pct FM" 1421 607 811 3
"Des Moines" "Pct HJ" 745 232 511 2
"Des Moines" "Pct MY" 1582 548 1027 7
"Des Moines" "Pct PW" 422 102 319 1
"Des Moines" "Pct UNION" 469 186 282 1
"Des Moines" "Pct WB" 1448 767 675 6
Henry "Central Precinct" 1543 529 1012 2
Henry "Venterans Hall Precinct" 3486 1494 1982 10
Henry "Northeast Precinct" 945 348 593 4
Henry "Northwest Precinct" 972 315 657 0
Henry "Southeast Precinct" 1759 699 1055 5
Henry "Southwest Precinct" 782 222 558 2
Jasper CC/POW 1000 380 620 0
Jasper "CF 1" 324 169 155 0
Jasper "CF 2" 413 200 212 1
Jasper "CF 3" 331 145 185 1
Jasper DM 1319 470 847 2
Jasper EC/LG 1348 201 1146 1
Jasper FV 1384 506 877 1
Jasper HR 2009 717 1289 3
Jasper IMM 1228 475 750 3
Jasper MP/WS 729 256 471 2
Jasper "NT 1-1" 962 501 457 4
Jasper "NT 1-2" 682 359 320 3
Jasper "NT 2-1" 1030 535 494 1
Jasper "NT 2-2" 895 457 435 3
Jasper "NT 3-1" 1087 568 517 2
Jasper "NT 3-2" 732 395 335 2
Jasper "NT 4-1" 1358 675 682 1
Jasper "NT 4-2" 710 393 315 2
Jasper NT/SH 1218 497 717 4
Jasper PA 557 200 357 0
Jefferson Blackhawk-Polk-Packwood 439 120 319 0
Jefferson Buchanan 362 134 228 0
Jefferson "Center-Cedar-Maharishi Vedic City" 1177 616 560 1
Jefferson "Des Moines-Liberty-Libertyville" 547 126 420 1
Jefferson "Fairfield 1st Ward" 1141 653 487 1
Jefferson "Fairfield 2nd Ward" 1113 887 223 3
Jefferson "Fairfield 3rd Ward." 601 289 310 2
Jefferson "Fairfield 4th Ward" 991 682 306 3
Jefferson "Fairfield 5th Ward." 1039 526 511 2
Jefferson "Lockridge-R. Prairie-Walnut-Lockridge City-Coppock" 611 152 456 3
Jefferson "Locust Grove-Batavia" 369 120 249 0
Jefferson "Penn-Pleasant Plain" 227 69 157 1
Johnson BG 1283 579 703 1
Johnson CE 389 190 198 1
Johnson CC/TF 2639 1565 1072 2
Johnson CV01 2115 1651 464 0
Johnson CV02 1810 1245 563 2
Johnson CV03 1148 791 356 1
Johnson CV04 1195 903 292 0
Johnson CV05 1274 1007 265 2
Johnson CV06 2077 1421 656 0
Johnson CV07 1698 1259 436 3
Johnson FR/LN/LT 1072 523 549 0
Johnson GR 315 197 118 0
Johnson HD 351 181 170 0
Johnson HS 483 280 202 1
Johnson IC01 2040 1560 478 2
Johnson IC02 1726 1314 411 1
Johnson IC03 764 549 215 0
Johnson IC04 1647 1354 291 2
Johnson IC05 855 646 209 0
Johnson IC06 1866 1445 420 1
Johnson IC07 1582 1203 379 0
Johnson IC08 1919 1362 556 1
Johnson IC09 1559 1234 323 2
Johnson IC10/ELSW 1402 1014 384 4
Johnson IC11 1809 1317 489 3
Johnson IC12/ELSE 1627 1260 366 1
Johnson IC13 1256 999 256 1
Johnson IC14 1395 1186 207 2
Johnson IC15 1274 992 280 2
Johnson IC16 1701 1399 300 2
Johnson IC17 1837 1613 222 2
Johnson IC18 1733 1557 175 1
Johnson IC19 1055 818 236 1
Johnson IC20 1344 1059 284 1
Johnson IC21 1449 1225 221 3
Johnson IC22 1278 1035 241 2
Johnson IC23 2111 1666 443 2
Johnson IC24 2653 1848 803 2
Johnson JE/SH 1715 779 935 1
Johnson JW/MN/SW 1552 781 771 0
Johnson LB/PV 416 224 192 0
Johnson NP 1629 945 684 0
Johnson NL01 1632 1043 587 2
Johnson NL02 1530 981 545 4
Johnson NL03 2300 1429 871 0
Johnson NL04 1347 936 410 1
Johnson NL05 1334 924 407 3
Johnson NL06/MD/CCN 2804 1695 1106 3
Johnson OX 869 471 395 3
Johnson PN/ELN 2093 1337 756 0
Johnson SC/WB 962 623 339 0
Johnson SN 369 139 230 0
Johnson SO 1599 844 755 0
Johnson UN 455 257 198 0
Johnson UH 790 626 164 0
Johnson WS 536 213 323 0
Johnson WL 635 435 200 0
Keokuk ADAMS 221 73 148 0
Keokuk "BENTON/STEADY RUN" 633 165 468 0
Keokuk "ENGLISH RIVER/LIBERTY" 439 163 275 1
Keokuk JACKSON 248 61 185 2
Keokuk "LAFAYETTE/CLEAR CREEK" 761 264 497 0
Keokuk "EAST/WEST LANCASTER" 176 47 129 0
Keokuk PRAIRIE 167 53 114 0
Keokuk RICHLAND 435 108 327 0
Keokuk "SIGOURNEY/PLANK/VAN BUREN" 417 106 311 0
Keokuk "SIGOURNEY 1ST WARD" 245 85 158 2
Keokuk "SIGOURNEY 2ND WARD" 259 80 178 1
Keokuk "SIGOURNEY 3RD WARD" 215 81 134 0
Keokuk "SIGOURNEY 4TH WARD" 267 97 170 0
Keokuk WARREN 190 53 137 0
Keokuk "WHAT CHEER/WASHINGTON" 367 135 230 2
Lee "MCALEER HALL- FM1" 536 274 261 1
Lee "MCALEER HALL-FM2" 853 425 425 3
Lee "FT MADISON PUBLIC LIBRARY" 921 497 420 4
Lee "ROLING HALL" 1008 511 495 2
Lee "FM CHRISTIAN CHURCH" 1070 595 475 0
Lee "HERITAGE CENTER-KE1" 527 251 276 0
Lee "HERITAGE CENTER" 419 235 184 0
Lee "HERITAGE CENTER-KE3" 592 306 286 0
Lee "EVANGELICAL FREE CHURCH" 502 242 259 1
Lee "FIRST CHRISTIAN CHURCH-KE5" 759 364 392 3
Lee "FIRST CHRISTIAN CHURCH-KE6" 575 304 270 1
Lee "FIRST CHRISTIAN CHURCH-KE7" 794 349 443 2
Lee "DO FIRE STATION -CH/DM/VB" 962 284 675 3
Lee "DO FIRE STATION" 1405 455 947 3
Lee "JACKSON TWP FIRE STATION-JK" 869 295 572 2
Lee "LEE COUNTY CONSERVATION CTR-JF" 521 201 317 3
Lee "MO FIRE STATION" 901 340 557 4
Lee "WP LEGION HALL" 1650 597 1052 1
Lee "GRACE BIBLE CHURCH" 1285 444 839 2
Louisa "Columbus Junction" 625 353 271 1
Louisa "Grandview Port Louisa" 1005 369 634 2
Louisa "Morning Sun Marshall" 696 218 477 1
Louisa "Southeast Louisa" 1611 552 1055 4
Louisa "West Louisa" 1159 425 732 2
Lucas "Chariton City Hall" 924 333 589 2
Lucas "Chariton Community Center" 974 318 654 2
Lucas "L.C. Extension Office" 304 99 204 1
Lucas Lucas 524 138 385 1
Lucas "Pin Oak Marsh" 468 122 346 0
Lucas "Russell-City of Russell-Cedar and Washington Townships" 458 128 329 1
Lucas Williamson 544 159 385 0
Mahaska "AD / MN / PG / UN" 552 106 445 1
Mahaska "BO / ST" 682 97 585 0
Mahaska "CE / HA / WO" 1039 256 782 1
Mahaska "E-W DM / JF" 391 87 304 0
Mahaska "GF / LN / MD" 1050 214 832 4
Mahaska "Oskaloosa 1st Ward" 987 398 586 3
Mahaska "Oskaloosa 2nd Ward" 1245 436 802 7
Mahaska "Oskaloosa 3rd Ward/ Univ Park" 1564 521 1038 5
Mahaska "OS4 / LN" 1316 522 791 3
Mahaska "PR / RL" 1154 263 889 2
Mahaska "SP / KE" 697 176 521 0
Marion Clay 516 133 382 1
Marion Dallas 800 334 463 3
Marion "Indiana Twp" 382 135 244 3
Marion "Knoxville One" 797 327 466 4
Marion "Knoxville Two" 852 377 469 6
Marion "Knoxville Three" 1121 529 588 4
Marion "Knoxville Four" 723 312 410 1
Marion "Knoxville Twp" 1714 572 1136 6
Marion Liberty 440 129 309 2
Marion "Lake Prairie Twp" 1477 304 1170 3
Marion Otley 1297 357 938 2
Marion "Pella One" 1483 440 1043 0
Marion "Pella Two" 1560 488 1069 3
Marion "Pella Three" 1797 500 1295 2
Marion "Pella Four" 1109 360 747 2
Marion Pleasantville 1963 741 1221 1
Marion "Washington Twp" 282 86 196 0
Monroe "No. 1 - Albia First Ward" 474 173 300 1
Monroe "No. 2 - Albia Second Ward" 416 150 266 0
Monroe "No. 3 - Albia Third Ward" 342 128 213 1
Monroe "No. 4 - Albia Fourth Ward" 413 157 256 0
Monroe "No. 5 - Courthouse (PL,GL,TR,MT,UR,MN)" 1243 321 921 1
Monroe "No. 6 - Lovilia Comm Center (LV Cty,BC,CE,UN Twps)" 597 165 432 0
Monroe "No. 7 - St. Patrick's Church (ML Cty,FR,JK,WY)" 336 109 224 3
Muscatine "Muscatine First" 1403 687 715 1
Muscatine "Muscatine Second" 1000 524 476 0
Muscatine "Muscatine Third" 870 519 350 1
Muscatine "Muscatine Fourth" 749 443 302 4
Muscatine "Muscatine Fifth" 723 408 312 3
Muscatine "Muscatine Sixth" 1423 718 702 3
Muscatine "Muscatine Seventh" 864 443 420 1
Muscatine "Muscatine Eighth" 759 363 393 3
Muscatine "Muscatine Ninth" 1029 572 456 1
Muscatine "Muscatine Tenth" 1172 650 518 4
Muscatine Bloomington 1547 583 963 1
Muscatine "Fruitland One" 739 279 458 2
Muscatine "Fruitland Two/Lake" 554 216 337 1
Muscatine Fulton/Montpelier 950 344 605 1
Muscatine Goshen 284 125 158 1
Muscatine Orono 207 89 117 1
Muscatine Pike 431 167 264 0
Muscatine Seventy-Six/Cedar 369 156 211 2
Muscatine Sweetland 995 373 619 3
Muscatine "West Liberty1/Wapsie" 1233 739 494 0
Muscatine "West Liberty 2" 627 464 161 2
Muscatine "Wilton City" 1449 654 793 2
Muscatine Wilton/Moscow 670 215 455 0
"Van Buren" Birmingham 571 125 445 1
"Van Buren" Bonaparte 507 149 358 0
"Van Buren" Cantril 219 38 181 0
"Van Buren" Douds 452 96 355 1
"Van Buren" Farmington 456 113 342 1
"Van Buren" Keosauqua 1006 310 695 1
"Van Buren" Milton 281 66 215 0
"Van Buren" Stockport 212 44 168 0
Wapello OT/01 948 403 543 2
Wapello OT/02 1260 548 707 5
Wapello OT/03 1461 678 782 1
Wapello OT/04 695 353 341 1
Wapello OT/05 690 349 340 1
Wapello OT/06 792 366 423 3
Wapello OT/07 752 370 380 2
Wapello OT/08 954 392 559 3
Wapello OT/09 1197 587 609 1
Wapello OT/10 930 452 477 1
Wapello AD/BL/PO 731 204 524 3
Wapello AGT/AGC/PL 744 272 468 4
Wapello CS/CH 108 39 68 1
Wapello CN 746 244 502 0
Wapello CB/EV 480 154 326 0
Wapello CP 132 23 108 1
Wapello DA 332 113 217 2
Wapello GR 473 144 329 0
Wapello HI 142 31 110 1
Wapello KE 451 148 302 1
Wapello RL/KV 342 108 233 1
Wapello WA/EL 609 175 432 2
Washington Ainsworth 1305 532 771 2
Washington Brighton/Marion/Crawford 1070 297 772 1
Washington Kalona 1562 674 886 2
Washington Riverside 842 471 371 0
Washington "Ward 1" 833 400 431 2
Washington "Ward 2" 1111 458 649 4
Washington "Ward 3" 1097 524 570 3
Washington "Ward 4" 1210 514 690 6
Washington Wellman 1575 576 996 3
Washington "West Chester" 701 204 497 0
