COUNTY AREA TOTAL DEM REP LIB Writein
COUNTY AREA TOTAL Axne Young Holder Writein
Adair "1 NW" 834 231 578 23 2
Adair "2 NE" 819 270 514 33 2
Adair "3 SW" 802 224 556 22 0
Adair "4 SE" 780 229 521 29 1
Adair "5 GF" 825 309 486 30 0
Adams "Adams 1" 367 117 221 27 2
Adams "Adams 2" 424 136 265 23 0
Adams "Adams 3" 462 153 297 11 1
Adams "Adams 4" 450 140 300 10 0
Adams "Adams 5" 430 88 333 8 1
Cass "AT1 / MR / BR-GV-WS-PY-TWPS" 1239 358 850 29 2
Cass "AT2, 3" 1265 451 770 41 3
Cass "AT4, 5" 1593 558 990 43 2
Cass "LW / CS-BG TWPS" 469 125 331 13 0
Cass "GS / PL-NO TWPS" 859 218 626 14 1
Cass "CU / UN TWP" 223 49 171 3 0
Cass "MS / MS TWP" 306 95 201 8 2
Cass "AN / WI / GN-LN-BN-FR TWPS" 950 329 585 36 0
Cass "Ed TWP / VI TWP" 129 27 102 0 0
Dallas Adams 888 303 563 22 0
Dallas "ADEL 1" 1039 443 542 52 2
Dallas "ADEL 2" 2253 910 1253 90 0
Dallas "BEAVER / DES MOINES" 1220 558 601 59 2
Dallas "CLIVE 5" 1774 831 914 28 1
Dallas "CLIVE 6" 2759 1206 1503 47 3
Dallas "COLFAX / ADEL" 838 252 562 24 0
Dallas DESOTO 460 202 229 29 0
Dallas "LINCOLN /WASHINGTON /LINN" 647 203 411 32 1
Dallas "PERRY 1" 968 541 387 40 0
Dallas "PERRY 2" 864 502 321 40 1
Dallas "PERRY 3" 911 507 357 46 1
Dallas "SPRING VALLEY / DALLAS" 546 247 273 24 2
Dallas "SUGAR GROVE / DALLAS CENTER" 1515 562 879 71 3
Dallas UNION 1152 393 709 49 1
Dallas "URBANDALE 13" 2815 1321 1440 54 0
Dallas "URBANDALE 14" 2286 942 1315 29 0
Dallas "URBANDALE 15" 1979 845 1101 33 0
Dallas "VAN METER" 2020 657 1300 60 3
Dallas "WALNUT / GRIMES /  GRANT" 1443 545 843 52 3
Dallas "WAUKEE 1" 2187 1071 1043 71 2
Dallas "WAUKEE 2" 2981 1537 1347 96 1
Dallas "WAUKEE 3" 2279 1268 932 75 4
Dallas "WAUKEE 4" 1900 799 1067 34 0
Dallas "WAUKEE 5" 2056 938 1066 51 1
Dallas "WAUKEE 6" 2096 1014 1019 61 2
Dallas "WEST DES MOINES 221" 2671 1385 1215 69 2
Dallas "WEST DES MOINES 222" 1799 987 764 47 1
Dallas "WEST DES MOINES 223" 1535 769 735 30 1
Dallas "WEST DES MOINES 224" 439 202 234 3 0
Dallas "WEST DES MOINES 225" 2511 1339 1094 76 2
Dallas "WEST DES MOINES 226" 1097 613 446 38 0
Dallas "WEST DES MOINES 321" 2022 1060 913 48 1
Dallas "WEST DES MOINES 322" 960 415 529 16 0
Fremont Farragut 738 273 440 24 1
Fremont Green/Riverside/Scott 1011 297 674 38 2
Fremont Hamburg/Washington 634 241 370 21 2
Fremont Riverton 268 86 175 7 0
Fremont Sidney 1106 400 681 23 2
Guthrie Black 466 150 286 30 0
Guthrie Blue 1361 450 874 36 1
Guthrie Brown 577 186 371 19 1
Guthrie Gold 1196 426 717 50 3
Guthrie Green 669 231 390 47 1
Guthrie Purple 1333 488 784 59 2
Guthrie Red 375 106 251 18 0
Guthrie White 286 58 217 11 0
Madison "Grand River - Monroe - Webster - City of Macksburg" 482 132 337 12 1
Madison "Jackson - Douglas - Lincoln" 857 287 541 29 0
Madison "Jefferson - Lee" 1054 333 698 23 0
Madison "Penn - Madison" 1284 422 814 48 0
Madison Union-Crawford-Scott 1422 468 904 50 0
Madison South 907 290 573 44 0
Madison "Walnut - Ohio" 774 205 520 48 1
Madison "Winterset 1" 1491 581 852 56 2
Madison "Winterset 2" 1346 546 756 44 0
Mills "Deer Creek/White Cloud/Indian Creek" 189 52 128 8 1
Mills "Emerson/Hastings/Indian Creek" 448 113 318 17 0
Mills "Glenwood Ward 1" 670 258 388 22 2
Mills "Glenwood Ward 2" 767 299 439 26 3
Mills "Glenwood Ward 3" 955 368 553 34 0
Mills "Glenwood Township" 844 268 541 35 0
Mills Henderson/Anderson 249 73 166 10 0
Mills M/T/C/R/SC 1485 492 961 32 0
Mills "Oak/St. Mary" 1771 496 1216 59 0
Mills "Pacific Junction/Lyons/Plattville" 372 102 254 16 0
Mills "Silver City/Ingraham" 306 96 199 10 1
Montgomery "#1 Gold Fair Building" 965 331 611 23 0
Montgomery "#2 Red Oak Fire Station" 903 326 551 25 1
Montgomery "#3 First Christian Church" 1073 362 685 26 0
Montgomery "#4 Elliott Community Building" 523 113 397 13 0
Montgomery "#5 Grant Fire Station" 302 89 205 8 0
Montgomery "#6 Stanton Fire Station" 669 163 485 20 1
Montgomery "#7 Villisca Community Building" 771 252 494 23 2
Page "Clarinda 1" 773 239 511 23 0
Page "Clarinda 2" 1358 458 862 36 2
Page "Page County Courthouse" 1438 328 1078 30 2
Page "Essex City Hall" 624 161 452 11 0
Page "Shenandoah 1" 558 201 327 30 0
Page "Shenandoah 2" 842 315 503 23 1
Page "Shenandoah 3" 937 349 568 19 1
Page "Shenandoah Fire Station" 846 237 588 21 0
Polk "DES MOINES 1" 811 425 345 40 1
Polk "DES MOINES 2" 1036 619 371 45 1
Polk "DES MOINES 3" 1579 919 588 71 1
Polk "DES MOINES 4" 828 545 246 36 1
Polk "DES MOINES 5" 593 355 210 26 2
Polk "DES MOINES 6" 745 471 227 45 2
Polk "DES MOINES 7" 1394 897 419 77 1
Polk "DES MOINES 8" 894 589 263 42 0
Polk "DES MOINES 9" 1437 873 516 46 2
Polk "DES MOINES 10" 1586 1039 508 37 2
Polk "DES MOINES 11" 1501 989 454 55 3
Polk "DES MOINES 12" 771 477 249 45 0
Polk "DES MOINES 13" 1025 654 332 38 1
Polk "DES MOINES 14" 911 604 270 36 1
Polk "DES MOINES 15" 2292 1612 622 55 3
Polk "DES MOINES 16" 1980 1382 532 65 1
Polk "DES MOINES 17" 948 627 285 36 0
Polk "DES MOINES 18" 598 456 111 31 0
Polk "DES MOINES 19" 582 417 137 28 0
Polk "DES MOINES 20" 1222 795 369 58 0
Polk "DES MOINES 21" 1213 806 329 75 3
Polk "DES MOINES 22" 1054 723 284 46 1
Polk "DES MOINES 23" 808 619 145 44 0
Polk "DES MOINES 24" 722 420 264 36 2
Polk "DES MOINES 25" 1046 595 389 61 1
Polk "DES MOINES 26" 1268 698 502 64 4
Polk "DES MOINES 27" 907 465 378 60 4
Polk "DES MOINES 28" 1636 918 637 78 3
Polk "DES MOINES 29" 1610 843 716 50 1
Polk "DES MOINES 30" 950 523 366 59 2
Polk "DES MOINES 31" 1231 715 447 66 3
Polk "DES MOINES 32" 923 581 286 53 3
Polk "DES MOINES 33" 685 506 140 38 1
Polk "DES MOINES 34" 389 284 87 18 0
Polk "DES MOINES 35" 430 329 94 6 1
Polk "DES MOINES 36" 893 676 177 35 5
Polk "DES MOINES 37" 731 551 148 32 0
Polk "DES MOINES 38" 589 431 144 14 0
Polk "DES MOINES 39" 1770 1361 358 50 1
Polk "DES MOINES 40" 692 500 168 22 2
Polk "DES MOINES 41" 2120 1612 443 65 0
Polk "DES MOINES 42" 1944 1280 585 79 0
Polk "DES MOINES 43" 1334 1009 298 27 0
Polk "DES MOINES 44" 1454 1117 294 42 1
Polk "DES MOINES 45" 625 516 84 25 0
Polk "DES MOINES 46" 712 557 126 29 0
Polk "DES MOINES 47" 1423 1097 268 56 2
Polk "DES MOINES 48" 257 197 49 11 0
Polk "DES MOINES 49" 500 307 159 34 0
Polk "DES MOINES 50" 1216 775 391 50 0
Polk "DES MOINES 51" 787 535 216 36 0
Polk "DES MOINES 52" 680 448 189 40 3
Polk "DES MOINES 53" 604 387 176 40 1
Polk "DES MOINES 54" 680 465 183 31 1
Polk "DES MOINES 55" 2195 1590 534 68 3
Polk "DES MOINES 56" 1820 1414 352 52 2
Polk "DES MOINES 57" 879 728 129 22 0
Polk "DES MOINES 58" 1250 1001 200 48 1
Polk "DES MOINES 59" 1319 1023 256 40 0
Polk "DES MOINES 60" 1249 979 234 36 0
Polk "DES MOINES 61" 1245 899 327 17 2
Polk "DES MOINES 62" 2323 1741 551 31 0
Polk "DES MOINES 63" 1381 1013 333 32 3
Polk "DES MOINES 64" 1243 819 386 35 3
Polk "DES MOINES 65" 1756 1105 615 35 1
