COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
Adair "1 NW" 853 215 628 2 0 0 0 7 0 0 1
Adair "2 NE" 854 250 588 0 3 0 0 10 0 2 1
Adair "3 SW" 815 198 610 2 1 0 0 2 0 2 0
Adair "4 SE" 806 234 559 0 0 0 2 6 0 2 3
Adair "5 GF" 849 301 532 2 0 0 2 10 1 1 0
Adams "Adams 1" 369 112 240 0 0 0 0 15 0 1 1
Adams "Adams 2" 435 131 299 1 2 0 0 2 0 0 0
Adams "Adams 3" 467 145 317 0 0 0 0 3 0 0 2
Adams "Adams 4" 448 115 326 1 1 0 1 3 0 1 0
Adams "Adams 5" 441 87 348 0 0 0 0 4 0 0 2
Allamakee "Pct 1-WL/HV" 269 88 179 1 0 0 0 0 0 1 0
Allamakee "Pct 2-FC/JF/LL/MK/UP" 1357 390 947 1 3 0 0 13 1 1 1
Allamakee "Pct - PO/FK" 381 93 285 0 1 0 0 2 0 0 0
Allamakee "Pct 4 - Postville City" 571 234 330 1 1 0 0 4 1 0 0
Allamakee "Pct 5 - LT/PC/WV CITY" 442 122 308 0 0 1 2 6 2 0 1
Allamakee "Pct 6 - FV/TL/HF CITY" 545 208 333 0 1 0 0 3 0 0 0
Allamakee "Pct 7 - CN/LF/LS/LS CITY" 1251 535 701 1 1 0 0 11 0 1 1
Allamakee "Pct 8 - IA/UC/NA CITY" 567 168 395 0 0 0 0 2 0 0 2
Allamakee "Pct 9 - Waukon 1" 706 247 445 0 2 0 0 11 1 0 0
Allamakee "Pct 10 - Waukon 2" 664 261 385 0 0 0 2 13 0 2 1
Allamakee "Pct 11 Waukon 3" 669 230 427 0 3 0 0 6 0 0 3
Appanoose "Centerville W1" 935 321 596 0 0 3 1 10 0 1 3
Appanoose "Centerville W2" 794 279 494 0 3 0 3 14 1 0 0
Appanoose "Centerville W3" 749 250 477 2 0 0 1 12 2 2 3
Appanoose Franklin-Pleasant 450 120 322 0 1 0 1 5 0 1 0
Appanoose Caldwell 261 71 188 0 0 0 0 2 0 0 0
Appanoose Taylor-Chariton 625 170 443 0 1 0 0 8 0 2 1
Appanoose Washington-Wells 495 103 386 0 0 1 0 5 0 0 0
Appanoose Walnut 457 121 330 0 0 0 0 5 0 0 1
Appanoose Bellair-Lincoln 395 101 288 0 0 0 1 3 1 0 1
Appanoose Johns-Independence 350 101 243 0 0 1 0 4 0 0 1
Appanoose Union-Udell 371 99 272 0 0 0 0 0 0 0 0
Appanoose Vermillion-Douglas-Sharon 634 155 473 0 0 0 2 4 0 0 0
Audubon "#1- North 1/2" 1882 541 1308 0 4 0 3 21 2 1 2
Audubon "#2- South 1/2" 1538 530 987 1 1 0 4 11 1 1 2
Benton "Belle Plaine 1" 466 187 271 0 1 0 1 4 0 0 2
Benton "Belle Plaine 2" 378 123 246 0 1 0 1 6 0 1 0
Benton "Belle Plaine 3" 320 134 179 0 1 0 1 4 0 0 1
Benton Benton-Canton-Shellsburg 1631 576 1021 4 2 0 3 20 0 3 2
Benton "Big Grove-Union-Van Horne" 700 230 455 1 2 0 1 10 0 0 1
Benton "Bruce-Cedar-Mt Auburn" 514 121 386 0 0 0 1 6 0 0 0
Benton Eden-Harrison-Taylor 945 273 657 0 2 0 0 11 0 0 2
Benton Eldorado-Newhall 675 253 402 1 2 0 1 13 1 0 2
Benton "Florence-St Clair-Norway" 849 293 544 1 0 0 1 10 0 0 0
Benton Fremont-Atkins 1680 618 1028 1 0 0 3 25 1 2 2
Benton Homer-Monroe-Jackson-Garrison 586 163 413 0 3 0 2 3 0 1 1
Benton Iowa-Leroy-Luzerne-Blairstown 889 262 610 1 1 0 3 10 0 2 0
Benton Kane-Keystone 469 130 328 0 1 0 0 8 1 1 0
Benton Polk-Urbana 1387 501 857 1 2 1 1 15 0 6 3
Benton "Vinton 1" 684 296 376 1 0 0 2 8 0 1 0
Benton "Vinton 2" 522 206 308 0 0 0 1 4 0 1 2
Benton "Vinton 3" 690 278 392 1 0 1 1 15 0 1 1
Benton "Vinton 4" 668 261 396 0 2 1 3 4 0 0 1
Benton Walford 589 255 319 1 1 0 3 10 0 0 0
"Black Hawk" "Barclay Lester Dunkerton" 1139 386 730 1 0 0 1 17 1 1 2
"Black Hawk" Bennington 304 66 234 0 0 0 1 3 0 0 0
"Black Hawk" "Big Creek La Porte City" 1473 562 878 1 1 0 3 22 0 4 2
"Black Hawk" "Black Hawk Hudson Lincoln" 2060 758 1269 2 2 0 1 21 0 3 4
"Black Hawk" "Cedar Orange" 1173 491 663 0 1 1 3 8 2 0 4
"Black Hawk" "CF W1 P1" 1086 519 551 0 0 1 3 8 1 2 1
"Black Hawk" "CF W1 P2" 1729 1061 643 0 0 0 3 15 1 3 3
"Black Hawk" "CF W1 P3" 1646 1106 500 0 2 0 5 23 1 4 5
"Black Hawk" "CF W2 P1" 472 293 162 0 0 0 0 14 0 2 1
"Black Hawk" "CF W2 P2 CF Twp" 2032 1069 930 2 1 1 0 19 0 4 6
"Black Hawk" "CF W2 P3" 3079 1572 1457 1 0 0 2 30 3 3 11
"Black Hawk" "CF W3 P1" 1488 723 724 4 2 1 2 20 0 8 4
"Black Hawk" "CF W3 P2" 2224 1101 1086 1 0 0 1 27 1 1 6
"Black Hawk" "CF W3 P3" 771 441 317 1 0 0 0 11 0 1 0
"Black Hawk" "CF W4 P1" 1702 958 702 2 1 0 4 26 0 3 6
"Black Hawk" "CF W4 P2" 985 678 276 0 0 0 2 23 0 2 4
"Black Hawk" "CF W4 P3" 645 438 188 0 0 0 3 11 0 1 4
"Black Hawk" "CF W5 P1" 1597 889 677 2 3 0 2 15 0 3 6
"Black Hawk" "CF W5 P2" 1615 933 642 3 3 0 5 17 1 4 7
"Black Hawk" "CF W5 P3" 1655 807 814 4 3 1 4 14 0 2 6
