COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
AND Auburn 9755 4578 4235 700 13
AND Durham 2259 926 1141 113 0
AND Greene 2048 620 1249 151 0
AND Leeds 1038 372 565 85 0
AND Lewiston 13878 7056 5497 962 13
AND Lisbon 4020 1536 2060 325 0
AND Livermore 1120 435 581 85 1
AND "Livermore Falls" 1072 492 466 92 0
AND "Mechanic Falls" 1278 450 670 130 1
AND Minot 1379 445 831 86 0
AND Poland 2766 1079 1428 203 1
AND Sabattus 2143 728 1198 146 0
AND Turner 2673 891 1526 211 0
AND Wales 710 193 456 48 1
ARO Allagash 128 59 57 5 0
ARO Amity 95 28 62 2 0
ARO Ashland 461 149 251 41 0
ARO Blaine 328 66 239 15 0
ARO Bridgewater 239 66 153 14 0
ARO "Caribou (and Connor Twp)" 3108 1141 1594 281 0
ARO "Cary Plt" 109 24 64 10 0
ARO "Castle Hill" 192 55 114 17 0
ARO Caswell 114 55 43 11 0
ARO Chapman 228 75 124 20 0
ARO "Cross Lake Twp (New Canada)" 102 45 47 7 0
ARO Crystal 112 26 75 11 0
ARO "Cyr Plt" 49 17 26 5 0
ARO "Dyer Brook" 110 40 60 8 0
ARO "E Twp (Blaine)" 32 7 20 3 0
ARO "Eagle Lake" 373 173 157 26 0
ARO Easton 581 184 337 50 0
ARO "Fort Fairfield" 1386 507 688 150 0
ARO "Fort Kent" 1723 804 741 101 0
ARO Frenchville 485 221 216 22 0
ARO "Garfield Plt" 34 11 19 4 0
ARO "Glenwood Plt" 0 0 0 0 0
ARO "Grand Isle" 196 97 68 16 0
ARO Hamlin 88 34 47 4 0
ARO Hammond 30 11 18 1 0
ARO Haynesville 50 10 36 4 0
ARO Hersey 30 4 22 4 0
ARO Hodgdon 536 113 368 41 0
ARO Houlton 2080 729 1099 184 0
ARO "Island Falls" 329 114 183 27 0
ARO Limestone 653 218 339 71 0
ARO Linneus 354 59 251 31 0
ARO Littleton 378 85 250 35 1
ARO Ludlow 176 55 105 12 0
ARO "Macwahoc Plt" 29 9 19 1 0
ARO Madawaska 1760 963 610 116 0
ARO "Madawaska Lake" 88 41 41 5 0
ARO Mapleton 940 273 575 67 0
ARO "Mars Hill" 608 149 410 32 0
ARO Masardis 93 30 50 9 0
ARO Merrill 93 30 57 4 0
ARO Monticello 313 76 205 20 0
ARO "Moro Plt" 23 1 20 1 0
ARO "Nashville Plt" 16 4 9 3 0
ARO "New Canada" 116 45 58 11 0
ARO "New Limerick" 295 87 188 14 1
ARO "New Sweden" 280 103 129 34 0
ARO "Oxbow North Twp (Masardis)" 32 10 20 2 0
ARO Oakfield 298 96 175 16 0
ARO Orient 65 20 43 2 0
ARO Perham 171 46 110 9 0
ARO "Portage Lake" 212 72 111 20 0
ARO "Presque Isle" 3371 1250 1656 297 0
ARO "Reed Plt" 62 16 41 4 0
ARO "Saint Agatha/Sinclair" 491 239 194 38 0
ARO "Saint Francis" 219 127 63 15 0
ARO "Saint John Plt" 129 51 64 12 0
ARO "Sherman (and Benedicta & Silver Ridge Twps)" 492 121 321 41 0
ARO Smyrna 123 42 73 5 0
ARO Stockholm 133 48 67 13 0
ARO "T11 R4 WELS Twp (Castle Hill)" 15 6 9 0 0
ARO "T12 R13 &T9 R8 WELS (Ashland)" 3 2 1 0 0
ARO "T15 R6 Twp (Eagle Lake & Wintervlle Plt)" 6 0 6 0 0
ARO "T17 R3 (Van Buren)" 15 6 7 2 0
ARO "T4 R3 Twp (Island Falls)" 1 1 0 0 0
ARO "TD R2 Twp" 5 4 1 0 0
ARO "Van Buren" 727 346 270 50 0
ARO Wade 112 35 65 9 0
ARO Wallagrass 243 129 83 15 0
ARO Washburn 600 217 308 60 0
ARO Westfield 208 72 110 15 0
ARO Westmanland 49 23 22 4 0
ARO Weston 134 46 83 4 0
ARO "Winterville Plt" 105 38 56 7 0
ARO Woodland 538 191 283 47 0
CUM Baldwin 788 247 491 36 0
CUM Bridgton 2625 1157 1224 186 0
CUM Brunswick 11490 7578 3024 563 0
CUM "Cape Elizabeth" 5736 3943 1514 192 0
CUM Casco 1747 698 893 118 0
CUM "Chebeague Island" 282 201 66 9 0
CUM Cumberland 5179 2967 1909 205 2
CUM Falmouth 7631 4413 2791 307 0
CUM Freeport 5199 3289 1525 233 0
CUM "Frye Island" 63 29 30 4 0
CUM Gorham 9000 4039 4424 390 0
CUM Gray 4257 1794 2135 231 0
CUM Harpswell 3248 1788 1210 149 0
CUM Harrison 1260 523 607 94 0
CUM "Long Island" 163 104 50 5 0
CUM Naples 1988 733 1109 115 0
CUM "New Gloucester" 2931 1251 1464 165 0
CUM "North Yarmouth" 2440 1363 937 103 0
CUM Portland 34082 26237 5675 1364 0
CUM Pownal 1006 513 415 64 0
CUM Raymond 2551 1117 1273 133 0
CUM Scarborough 11841 6110 4917 545 0
CUM Sebago 937 356 529 38 2
CUM "South Portland" 13322 9072 3308 647 0
CUM Standish 4649 1818 2528 242 0
CUM Westbrook 8612 4941 3015 470 0
CUM Windham 8477 3662 4178 467 2
CUM Yarmouth 5389 3425 1570 224 0
FRA "Adamstown/Lower Cupsuptic Twps (Rangeley)" 5 2 3 0 0
FRA Avon 198 69 109 17 0
FRA "Carrabassett Valley" 429 250 145 24 0
FRA Carthage 240 89 119 21 0
