COUNTY AREA TOTAL DEM REP Ringelstein Others
COUNTY AREA TOTAL King Brakey Ringelstein Others
AND Auburn 9755 4945 3813 862 0
AND Durham 2259 1120 923 171 4
AND Greene 2048 865 1047 113 0
AND Leeds 1038 466 487 76 0
AND Lewiston 13878 6993 4639 1942 3
AND Lisbon 4020 1921 1745 312 0
AND Livermore 1120 510 486 76 0
AND "Livermore Falls" 1072 538 409 116 3
AND "Mechanic Falls" 1278 555 638 74 0
AND Minot 1379 610 705 57 0
AND Poland 2766 1254 1267 210 2
AND Sabattus 2143 916 1050 145 0
AND Turner 2673 1184 1315 137 0
AND Wales 710 273 407 25 0
ARO Allagash 128 63 47 11 0
ARO Amity 95 30 53 10 0
ARO Ashland 461 246 184 21 0
ARO Blaine 328 122 178 20 0
ARO Bridgewater 239 113 104 15 0
ARO "Caribou (and Connor Twp)" 3108 1753 1135 177 0
ARO "Cary Plt" 109 50 50 2 0
ARO "Castle Hill" 192 102 79 6 0
ARO Caswell 114 77 25 7 0
ARO Chapman 228 138 76 9 0
ARO "Cross Lake Twp (New Canada)" 102 63 34 5 0
ARO Crystal 112 41 64 4 0
ARO "Cyr Plt" 49 25 22 2 0
ARO "Dyer Brook" 110 49 54 5 0
ARO "E Twp (Blaine)" 32 17 13 2 0
ARO "Eagle Lake" 373 201 124 36 0
ARO Easton 581 304 243 28 0
ARO "Fort Fairfield" 1386 761 497 87 0
ARO "Fort Kent" 1723 1013 458 154 0
ARO Frenchville 485 286 155 30 0
ARO "Garfield Plt" 34 18 13 0 0
ARO "Glenwood Plt" 0 0 0 0 0
ARO "Grand Isle" 196 113 52 17 0
ARO Hamlin 88 44 39 1 0
ARO Hammond 30 11 16 3 0
ARO Haynesville 50 19 29 2 0
ARO Hersey 30 11 17 1 0
ARO Hodgdon 536 209 302 18 0
ARO Houlton 2080 1053 863 121 0
ARO "Island Falls" 329 159 149 14 0
ARO Limestone 653 353 233 40 0
ARO Linneus 354 135 204 9 0
ARO Littleton 378 150 194 20 0
ARO Ludlow 176 77 78 16 0
ARO "Macwahoc Plt" 29 7 19 3 0
ARO Madawaska 1760 1059 460 212 0
ARO "Madawaska Lake" 88 58 26 2 0
ARO Mapleton 940 471 401 46 0
ARO "Mars Hill" 608 263 284 30 0
ARO Masardis 93 51 34 5 0
ARO Merrill 93 41 44 5 0
ARO Monticello 313 130 158 17 0
ARO "Moro Plt" 23 6 17 0 0
ARO "Nashville Plt" 16 7 8 0 1
ARO "New Canada" 116 69 41 5 0
ARO "New Limerick" 295 127 149 17 0
ARO "New Sweden" 280 142 116 18 0
ARO "Oxbow North Twp (Masardis)" 32 17 13 1 0
ARO Oakfield 298 130 142 15 0
ARO Orient 65 25 37 2 0
ARO Perham 171 73 82 7 0
ARO "Portage Lake" 212 113 87 9 0
ARO "Presque Isle" 3371 1847 1194 226 0
ARO "Reed Plt" 62 23 34 1 0
ARO "Saint Agatha/Sinclair" 491 291 144 41 0
ARO "Saint Francis" 219 132 47 29 0
ARO "Saint John Plt" 129 74 37 14 0
ARO "Sherman (and Benedicta & Silver Ridge Twps)                                                                                                                 =" 492 165 295 17 0
ARO Smyrna 123 35 72 11 0
ARO Stockholm 133 77 46 8 0
ARO "T11 R4 WELS Twp (Castle Hill)" 15 9 4 1 0
ARO "T12 R13 &T9 R8 WELS (Ashland)" 3 0 3 0 0
ARO "T15 R6 Twp (Eagle Lake & Winterville Plt)" 6 1 5 0 0
ARO "T17 R3 (Van Buren)" 15 10 3 2 0
ARO "T4 R3 Twp (Island Falls)" 1 1 0 0 0
ARO "TD R2 Twp" 5 3 0 2 0
ARO "Van Buren" 727 413 220 74 0
ARO Wade 112 61 47 0 0
ARO Wallagrass 243 177 41 15 1
ARO Washburn 600 305 244 36 1
ARO Westfield 208 96 87 16 0
ARO Westmanland 49 31 14 4 0
ARO Weston 134 59 72 3 0
ARO "Winterville Plt" 105 58 36 7 0
ARO Woodland 538 279 220 28 0
CUM Baldwin 788 310 402 64 0
CUM Bridgton 2625 1270 1049 248 0
CUM Brunswick 11490 7859 2386 1081 0
CUM "Cape Elizabeth" 5736 3981 1124 552 0
CUM Casco 1747 812 737 169 0
CUM "Chebeague Island" 282 202 44 31 0
CUM Cumberland 5179 3288 1426 409 0
CUM Falmouth 7631 4708 2034 693 0
CUM Freeport 5199 3415 1180 545 0
CUM "Frye Island" 63 37 24 2 0
CUM Gorham 9000 4930 2969 981 3
CUM Gray 4257 2092 1743 358 0
CUM Harpswell 3248 2048 975 188 0
CUM Harrison 1260 611 526 105 0
CUM "Long Island" 163 116 28 12 0
CUM Naples 1988 829 888 175 2
CUM "New Gloucester" 2931 1377 1311 212 0
CUM "North Yarmouth" 2440 1458 705 254 0
CUM Portland 34082 21802 4201 7479 0
CUM Pownal 1006 540 358 99 0
CUM Raymond 2551 1315 1007 193 0
CUM Scarborough 11841 6862 3621 1088 0
CUM Sebago 937 400 423 88 0
CUM "South Portland" 13322 8385 2495 2155 0
CUM Standish 4649 2217 1938 411 0
CUM Westbrook 8612 4966 2196 1280 0
CUM Windham 8477 4457 3127 768 0
CUM Yarmouth 5389 3573 1136 622 0
FRA "Adamstown/Lower Cupsuptic Twps (Rangeley)" 5 5 0 0 0
FRA Avon 198 96 93 7 0
FRA "Carrabassett Valley" 429 282 109 33 0
FRA Carthage 240 76 110 20 0
FRA Chesterville 652 334 266 43 0
FRA "Coplin Plt" 84 50 24 8 0
FRA "Dallas Plt" 182 102 58 21 0
FRA Eustis 357 168 155 28 0
FRA Farmington 3366 1829 948 509 0
FRA Industry 419 233 140 35 0
FRA Jay 2148 1159 785 183 0
FRA Kingfield 710 390 261 48 0
FRA "New Sharon" 793 402 323 62 0
FRA "New Vineyard" 372 156 179 28 0
FRA "Perkins Twp (Weld)" 11 7 3 0 0
FRA Phillips 524 263 206 43 2
FRA Rangeley 627 307 250 61 0
FRA "Rangeley Plt" 139 56 67 13 0
FRA "Sandy River Plt" 89 48 26 14 0
FRA "Strong (and Freeman Twp)" 644 312 299 31 0
FRA Temple 275 159 81 33 0
FRA "Washington Twp (Wilton)" 13 5 6 1 0
FRA "Wyman Twp (Carrabassett Valley & Eustis)" 37 19 13 4 0
FRA Weld 271 139 114 17 0
FRA Wilton 1883 949 678 141 3
HAN Amherst 140 57 69 13 0
HAN Aurora 58 20 31 4 0
HAN "Bar Harbor" 2965 1983 533 414 3
HAN "Blue Hill" 1649 990 437 200 0
HAN Brooklin 542 316 142 73 0
HAN Brooksville 579 363 144 67 0
HAN Bucksport 2225 1101 889 187 4
HAN Castine 461 297 111 48 0
HAN "Cranberry Isles" 137 84 30 19 0
HAN Dedham 959 496 399 56 0
HAN "Deer Isle" 1065 648 306 92 0
HAN Eastbrook 158 63 84 7 0
HAN Ellsworth 3765 1862 1475 349 0
HAN Franklin 659 287 301 63 0
HAN Frenchboro 24 10 10 1 0
HAN Gouldsboro 917 410 418 80 1
HAN "Great Pond" 37 15 21 1 0
HAN Hancock 1106 519 489 86 0
HAN Lamoine 984 476 397 98 0
HAN Mariaville 239 81 126 26 0
HAN "Mount Desert" 1302 847 278 154 0
HAN Orland 1175 586 450 115 0
HAN Osborn 40 6 25 6 0
HAN Otis 383 144 214 24 0
HAN Penobscot 722 420 209 88 0
HAN Sedgwick 681 379 214 79 0
HAN Sorrento 180 95 75 9 0
