COUNTY AREA TOTAL DEM REP De_La_Fuente Hawkins Jorgensen Others
COUNTY AREA TOTAL Biden Trump De_La_Fuente Hawkins Jorgensen Others
AND Auburn 12430 6482 5409 25 122 244 3
AND Durham 2822 1361 1333 7 26 63 0
AND Greene 2665 914 1663 4 26 33 0
AND Leeds 1370 505 818 3 9 27 0
AND Lewiston 17629 9616 7232 28 204 308 0
AND Lisbon 5298 2190 2853 14 60 126 0
AND Livermore 1403 573 783 3 10 25 0
AND "Livermore Falls" 1405 540 809 2 20 22 0
AND "Mechanic Falls" 1716 650 989 2 22 40 0
AND Minot 1789 676 1040 2 14 37 0
AND Poland 3536 1513 1906 11 28 58 3
AND Sabattus 2913 1034 1765 2 25 52 0
AND Turner 3463 1288 2052 2 31 55 0
AND Wales 922 275 616 3 6 15 0
ARO Allagash 170 74 95 0 0 0 0
ARO Amity 127 27 96 1 0 0 0
ARO "Ashland/T8 R11 Twp" 620 231 376 0 4 4 0
ARO Blaine 403 97 298 2 1 2 0
ARO Bridgewater 294 77 214 0 0 1 0
ARO "Caribou/Connor Twp" 4067 1702 2262 7 18 35 0
ARO "Castle Hill" 234 97 130 0 1 2 0
ARO Caswell 136 59 73 0 0 2 0
ARO Chapman 281 97 177 0 1 4 0
ARO "Cross Lake Twp" 126 64 60 0 1 0 0
ARO Crystal 165 39 120 0 4 1 0
ARO "Cyr Plt" 57 26 30 0 0 0 0
ARO "Dyer Brook" 154 40 106 2 0 2 0
ARO "E Twp" 44 12 32 0 0 0 0
ARO "Eagle Lake/T15 R6 Twp" 475 197 256 0 1 6 0
ARO Easton 720 241 467 1 2 4 0
ARO "Fort Fairfield" 1721 674 985 1 18 23 0
ARO "Fort Kent/Big Twenty Twp/T15 R15 Wels" 2306 1069 1141 5 25 26 0
ARO Frenchville 622 235 361 0 3 4 0
ARO "Garfield Plt" 57 11 42 0 0 3 0
ARO "Glenwood Plt" 1 0 1 0 0 0 0
ARO "Grand Isle" 239 107 119 1 2 3 0
ARO Hamlin 110 48 61 0 0 0 0
ARO Hammond 47 11 34 0 1 0 0
ARO Haynesville 66 12 50 0 1 0 0
ARO Hersey 42 8 0 0 1 33 0
ARO Hodgdon 818 185 613 3 3 8 0
ARO Houlton 2760 1046 1639 3 18 34 0
ARO "Island Falls" 455 132 306 0 5 7 0
ARO Limestone 768 325 423 1 8 8 0
ARO Linneus 512 93 411 0 3 1 0
ARO Littleton 534 141 381 2 0 7 0
ARO Ludlow 255 78 169 0 3 5 0
ARO "Macwahoc Plt" 43 12 30 0 1 0 0
ARO Madawaska 2148 1143 940 5 11 13 0
ARO "Madawaska Lake" 96 50 45 0 0 0 0
ARO Mapleton 1167 406 726 2 10 15 0
ARO "Mars Hill" 753 222 511 0 5 4 0
ARO Masardis 124 34 85 0 1 2 0
ARO Merrill 136 43 91 0 0 2 0
ARO Monticello 436 96 335 0 1 2 0
ARO "Moro Plt" 30 2 27 0 0 0 0
ARO "Nashville Plt" 23 7 16 0 0 0 0
ARO "New Canada" 159 61 93 0 2 3 0
ARO "New Limerick" 374 115 253 0 2 2 0
ARO "New Sweden" 354 137 178 1 0 6 0
ARO Oakfield 414 111 286 0 4 7 0
ARO Orient 90 22 68 0 0 0 0
ARO "Oxbow North Twp" 35 13 22 0 0 0 0
ARO Perham 218 62 146 0 1 5 0
ARO "Portage Lake" 269 99 160 1 1 4 0
ARO "Presque Isle" 4280 1859 2266 6 35 73 0
ARO "Reed Plt" 82 23 58 0 0 0 0
ARO "Saint Agatha/Sinclair" 651 292 334 1 2 8 0
ARO "Saint Francis" 254 121 121 0 2 1 0
ARO "Saint John Plt" 173 63 104 0 1 3 0
ARO "Sherman/Benedicta/Silver Ridge" 669 157 497 0 2 9 0
ARO Smyrna 159 46 111 0 0 0 0
ARO Stockholm 163 70 86 0 1 3 0
ARO "T11 R4 WELS" 18 7 11 0 0 0 0
ARO "T15 R6 WELS TWP" 4 2 2 0 0 0 0
ARO "T4 R3 Twp" 1 1 0 0 0 0 0
ARO "TD R2 TWP" 5 5 0 0 0 0 0
ARO "Van Buren/Van Buren Cove" 918 471 415 2 5 5 0
ARO Wade 146 53 79 0 8 2 0
ARO Wallagrass 294 153 134 0 1 3 0
ARO Washburn 828 278 518 1 6 13 4
ARO Westfield 273 92 174 0 1 0 0
ARO Westmanland 55 30 24 0 1 0 0
ARO Weston 184 55 125 0 0 2 0
ARO "Winterville Plt." 125 49 72 1 2 1 0
ARO Woodland 673 239 409 3 3 8 0
CUM Baldwin 1005 350 623 1 12 13 0
CUM Bridgton 3306 1656 1528 2 27 55 0
CUM Brunswick 14061 9728 3733 18 184 228 1
CUM "Cape Elizabeth" 7009 5349 1462 13 47 68 0
CUM Casco 2310 1036 1184 3 20 53 0
CUM "Chebeague Island" 331 255 66 0 6 3 0
CUM Cumberland 6087 4074 1800 7 33 87 1
CUM Falmouth 9134 6147 2672 17 60 131 4
CUM Freeport 6241 4327 1675 12 59 111 0
CUM "Frye Island" 57 38 19 0 0 0 0
CUM Gorham 11238 6460 4275 25 130 217 8
CUM Gray 5427 2653 2557 8 60 112 0
CUM Harpswell 3926 2379 1423 0 37 45 0
CUM Harrison 1594 741 796 4 19 14 0
CUM "Long Island" 191 133 53 1 0 4 0
CUM Naples 2520 1039 1389 4 21 42 0
CUM "New Gloucester" 3635 1720 1757 4 34 84 0
CUM "North Yarmouth" 2995 1862 1018 4 29 47 0
CUM Portland 42046 33786 6486 56 690 519 7
CUM Pownal 1216 685 489 2 16 14 0
CUM Raymond 3177 1589 1472 1 21 59 0
CUM Scarborough 15240 9487 5217 31 108 214 0
CUM Sebago 1288 529 719 0 11 18 0
CUM "South Portland" 16451 12075 3783 17 188 222 1
CUM Standish 6123 2820 3078 7 47 108 0
CUM Westbrook 11316 7274 3591 16 123 181 2
CUM Windham 11556 5782 5280 22 129 229 0
CUM Yarmouth 6434 4785 1439 12 43 79 0
FRA Avon 264 96 164 0 1 2 0
FRA "Carrabassett Valley/Wyman Twp" 536 348 164 0 5 10 0
FRA Carthage 315 88 214 0 4 6 0
FRA Chesterville 811 314 460 0 7 18 0
FRA "Coplin Plt" 112 59 44 0 2 5 0
FRA "Dallas Plt" 212 98 104 2 1 4 0
FRA Eustis 455 173 255 0 7 12 0
FRA Farmington 3966 2225 1541 9 51 80 0
FRA Industry 511 232 253 1 10 8 0
FRA Jay 2688 1220 1375 3 23 44 0
FRA Kingfield 899 407 444 2 6 29 0
FRA "New Sharon" 963 391 528 2 12 23 0
FRA "New Vineyard" 463 154 293 2 4 10 0
FRA "Perkins Twp" 13 10 2 0 1 0 0
FRA Phillips 668 252 385 3 9 7 0
FRA "Rangeley/Adamstown Twp" 768 294 449 1 7 7 0
FRA "Rangeley Plt" 147 57 86 1 0 1 0
FRA "Sandy River Plt" 103 65 36 0 0 1 0
FRA "Strong/Freeman Twp" 819 266 526 2 8 14 0
FRA Temple 337 172 155 0 2 7 0
FRA Weld 309 149 144 1 4 1 0
FRA "Wilton/Washington Twp" 2201 978 1117 2 18 62 0
FRA "Wyman Twp" 39 21 15 0 1 2 0
HAN Amherst 191 64 115 0 5 5 0
HAN Aurora 72 29 42 0 1 0 0
