COUNTY AREA TOTAL DEM REP Linn Savage Others
COUNTY AREA TOTAL GIDEON COLLINS Linn Savage Others
AND Auburn 12430 5213 6242 250 578 2
AND Durham 2822 1031 1571 39 162 0
AND Greene 2665 683 1829 38 92 0
AND Leeds 1370 392 896 22 52 0
AND Lewiston 17629 8006 8381 301 692 0
AND Lisbon 5298 1743 3133 122 253 0
AND Livermore 1403 449 883 14 33 0
AND "Livermore Falls" 1405 459 839 31 65 0
AND "Mechanic Falls" 1716 506 1056 52 82 0
AND Minot 1789 515 1175 26 60 0
AND Poland 3536 1154 2159 53 135 0
AND Sabattus 2913 834 1884 66 102 0
AND Turner 3463 1003 2249 60 111 0
AND Wales 922 193 682 16 21 0
ARO Allagash 170 66 90 3 5 0
ARO Amity 127 24 95 5 0 0
ARO "Ashland/T8 R11 Twp" 620 145 422 15 23 0
ARO Blaine 403 53 319 12 9 0
ARO Bridgewater 294 52 230 1 7 0
ARO "Caribou/Connor Twp" 4067 978 2824 74 123 0
ARO "Castle Hill" 234 63 159 3 8 0
ARO Caswell 136 46 88 1 1 0
ARO Chapman 281 71 192 11 3 0
ARO "Cross Lake Twp" 126 47 67 7 5 0
ARO Crystal 165 23 126 2 10 0
ARO "Cyr Plt" 57 17 38 2 0 0
ARO "Dyer Brook" 154 31 112 4 3 0
ARO "E Twp" 44 6 32 1 3 0
ARO "Eagle Lake/T15 R6 Twp" 475 143 287 17 15 0
ARO Easton 720 163 512 15 23 0
ARO "Fort Fairfield" 1721 475 1130 38 56 2
ARO "Fort Kent/Big Twenty Twp/T15 R15 Wels" 2306 807 1340 34 78 0
ARO Frenchville 622 202 378 14 11 0
ARO "Garfield Plt" 57 6 45 4 1 0
ARO "Glenwood Plt" 1 0 1 0 0 0
ARO "Grand Isle" 239 87 134 6 3 0
ARO Hamlin 110 28 77 0 4 0
ARO Hammond 47 13 34 0 0 0
ARO Haynesville 66 9 48 3 2 0
ARO Hersey 42 8 30 0 1 0
ARO Hodgdon 818 127 628 22 28 0
ARO Houlton 2760 732 1843 65 82 1
ARO "Island Falls" 455 96 328 7 19 0
ARO Limestone 768 224 512 11 15 0
ARO Linneus 512 61 424 11 4 0
ARO Littleton 534 98 388 18 18 0
ARO Ludlow 255 56 184 2 9 0
ARO "Macwahoc Plt" 43 8 32 3 0 0
ARO Madawaska 2148 894 1103 42 65 0
ARO "Madawaska Lake" 96 30 63 0 1 0
ARO Mapleton 1167 275 825 18 35 0
ARO "Mars Hill" 753 139 560 14 24 0
ARO Masardis 124 25 94 4 1 0
ARO Merrill 136 22 106 5 2 0
ARO Monticello 436 62 343 13 10 0
ARO "Moro Plt" 30 0 28 0 0 0
ARO "Nashville Plt" 23 4 16 0 3 0
ARO "New Canada" 159 54 96 3 2 0
ARO "New Limerick" 374 77 280 8 5 0
ARO "New Sweden" 354 110 221 10 11 0
ARO Oakfield 414 78 304 14 6 0
ARO Orient 90 22 60 4 1 0
ARO "Oxbow North Twp" 35 8 24 1 2 0
ARO Perham 218 36 163 9 5 0
ARO "Portage Lake" 269 60 196 3 9 0
ARO "Presque Isle" 4280 1319 2682 78 145 0
ARO "Reed Plt" 82 11 66 1 2 0
ARO "Saint Agatha/Sinclair" 651 222 389 9 18 0
ARO "Saint Francis" 254 99 136 2 8 0
ARO "Saint John Plt" 173 54 105 4 3 0
ARO "Sherman/Benedicta/Silver Ridge" 669 97 531 14 19 0
ARO Smyrna 159 28 119 3 4 0
ARO Stockholm 163 27 119 5 11 0
ARO "T11 R4 WELS" 18 6 10 0 2 0
ARO "T15 R6 WELS TWP" 4 3 1 0 0 0
ARO "T4 R3 Twp" 1 1 0 0 0 0
ARO "TD R2 TWP" 5 3 2 0 0 0
ARO "Van Buren/Van Buren Cove" 918 320 522 15 33 0
ARO Wade 146 37 98 3 7 0
ARO Wallagrass 294 126 157 3 6 0
ARO Washburn 828 202 567 21 28 0
ARO Westfield 273 63 186 8 11 0
ARO Westmanland 55 19 32 0 4 0
ARO Weston 184 49 126 5 1 0
ARO "Winterville Plt." 125 42 76 3 4 0
ARO Woodland 673 161 478 10 15 0
CUM Baldwin 1005 252 689 24 33 1
CUM Bridgton 3306 1346 1730 50 132 0
CUM Brunswick 14061 8188 4685 178 850 4
CUM "Cape Elizabeth" 7009 4462 2155 38 315 0
CUM Casco 2310 816 1313 48 103 1
CUM "Chebeague Island" 331 216 102 3 9 0
CUM Cumberland 6087 3222 2538 35 247 3
CUM Falmouth 9134 5040 3657 49 308 3
CUM Freeport 6241 3718 2141 47 285 1
CUM "Frye Island" 57 27 29 0 1 0
CUM Gorham 11238 5138 5361 159 486 2
CUM Gray 5427 2075 2967 89 257 0
CUM Harpswell 3926 1949 1741 26 182 1
CUM Harrison 1594 544 923 34 76 0
CUM "Long Island" 191 103 78 1 7 0
CUM Naples 2520 844 1516 55 80 0
CUM "New Gloucester" 3635 1372 2020 51 163 1
CUM "North Yarmouth" 2995 1489 1303 20 167 2
CUM Portland 42046 28053 8659 335 4510 12
CUM Pownal 1216 534 586 16 74 0
CUM Raymond 3177 1242 1708 54 136 0
CUM Scarborough 15240 7574 6801 158 538 0
CUM Sebago 1288 433 767 25 52 0
CUM "South Portland" 16451 10001 4943 160 1162 0
CUM Standish 6123 2207 3541 93 233 1
CUM Westbrook 11316 5903 4381 170 714 2
CUM Windham 11556 4617 6122 184 522 1
CUM Yarmouth 6434 3943 2136 36 265 4
FRA Avon 264 74 171 4 11 0
FRA "Carrabassett Valley/Wyman Twp" 536 276 231 6 21 0
FRA Carthage 315 67 221 11 10 0
FRA Chesterville 811 245 494 17 51 0
FRA "Coplin Plt" 112 34 64 1 12 0
FRA "Dallas Plt" 212 81 122 4 5 0
FRA Eustis 455 133 278 7 31 0
FRA Farmington 3966 1752 1830 73 252 0
FRA Industry 511 180 279 10 38 0
FRA Jay 2688 974 1499 59 130 0
FRA Kingfield 899 327 496 9 53 0
FRA "New Sharon" 963 283 569 23 81 0
FRA "New Vineyard" 463 105 304 11 39 0
FRA "Perkins Twp" 13 7 5 0 1 0
FRA Phillips 668 202 408 7 36 0
FRA "Rangeley/Adamstown Twp" 768 216 514 4 23 0
FRA "Rangeley Plt" 147 46 95 2 3 0
FRA "Sandy River Plt" 103 49 49 2 3 0
FRA "Strong/Freeman Twp" 819 185 571 19 38 0
FRA Temple 337 134 166 9 22 0
FRA Weld 309 114 169 5 15 0
FRA "Wilton/Washington Twp" 2201 773 1264 39 92 0
