COUNTY AREA TOTAL DEM REP LMN GRN Writein
COUNTY AREA TOTAL Klobuchar Newberger Schuller Overby Writein
Aitkin Aitkin 826 452 334 30 10 0
Aitkin "Aitkin Twp" 486 222 255 7 2 0
Aitkin "Ball Bluff Twp" 158 85 66 5 2 0
Aitkin "Balsam Twp" 21 14 7 0 0 0
Aitkin "Beaver Twp" 36 24 12 0 0 0
Aitkin "Clark Twp" 70 40 28 2 0 0
Aitkin "Cornish Twp" 22 14 8 0 0 0
Aitkin "Unorg 47-24 (Davidson Unorg)" 22 12 9 1 0 0
Aitkin "Farm Island Twp" 646 344 291 6 5 0
Aitkin "Fleming Twp" 207 93 105 8 1 0
Aitkin "Glen Twp" 276 142 127 6 1 0
Aitkin "Haugen Twp" 97 51 44 2 0 0
Aitkin "Hazelton Twp" 458 233 213 11 1 0
Aitkin "Hill City" 234 120 102 9 3 0
Aitkin "Hill Lake Twp" 207 110 93 3 1 0
Aitkin "Idun Twp" 96 47 48 1 0 0
Aitkin "Jevne Twp" 157 68 85 1 3 0
Aitkin "Unorg 45-24 (Jewett Unorg)" 19 7 9 3 0 0
Aitkin "Kimberly Twp" 125 67 51 5 2 0
Aitkin "Lakeside Twp" 271 126 137 7 1 0
Aitkin "Lee Twp" 30 4 23 2 1 0
Aitkin "Libby Twp P-East" 13 4 9 0 0 0
Aitkin "Libby Twp P-West" 19 12 3 3 1 0
Aitkin "Logan Twp" 115 57 55 0 3 0
Aitkin McGrath 21 4 15 2 0 0
Aitkin McGregor 136 73 52 9 2 0
Aitkin "McGregor Twp" 48 9 34 4 1 0
Aitkin "Macville Twp" 80 44 33 1 2 0
Aitkin "Millward Twp" 26 13 12 1 0 0
Aitkin "Malmo Twp" 189 97 86 5 1 0
Aitkin "Morrison Twp" 75 26 44 4 1 0
Aitkin "Nordland Twp" 631 320 301 8 2 0
Aitkin Palisade 67 34 31 1 1 0
Aitkin "Pliny Twp" 44 14 30 0 0 0
Aitkin "Rice River Twp" 75 36 36 2 1 0
Aitkin "Salo Twp" 56 30 25 1 0 0
Aitkin "Seavey Twp" 38 13 23 2 0 0
Aitkin "Shamrock Twp" 669 357 294 15 3 0
Aitkin "Spalding Twp" 87 48 34 5 0 0
Aitkin "Spencer Twp" 286 140 138 4 4 0
Aitkin Tamarack 22 15 6 1 0 0
Aitkin "Turner Twp" 95 50 42 3 0 0
Aitkin "Verdon Twp" 26 10 16 0 0 0
Aitkin "Wagner Twp" 167 83 82 2 0 0
Aitkin "Waukenabo Twp" 173 85 79 6 3 0
Aitkin "Wealthwood Twp" 190 102 84 3 1 0
Aitkin "White Pine Twp" 19 9 10 0 0 0
Aitkin "Williams Twp" 64 21 42 1 0 0
Aitkin "Workman Twp" 107 43 61 1 2 0
Aitkin "Northeast Aitkin Unorg" 21 5 14 1 1 0
Aitkin "Unorg 48-27 (Blind Lake Unorg)" 16 8 8 0 0 0
Aitkin "Northwest Aitkin Unorg P-2" 75 49 26 0 0 0
Aitkin "Unorg 51-27 (Lemay Unorg)" 33 17 15 0 1 0
Aitkin "Northwest Aitkin Unorg P-1" 40 15 21 1 3 0
Anoka "Andover P-1" 1695 728 917 41 9 0
Anoka "Andover P-2" 1568 757 760 39 11 1
Anoka "Andover P-3" 1831 878 895 38 20 0
Anoka "Andover P-4" 1388 717 602 55 13 1
Anoka "Andover P-5" 1945 973 929 35 8 0
Anoka "Andover P-6" 1447 620 786 31 10 0
Anoka "Andover P-7" 1301 643 621 29 7 1
Anoka "Andover P-8" 1448 700 708 28 11 1
Anoka "Andover P-9" 1579 820 722 25 12 0
Anoka "Andover P-10" 1793 940 794 43 16 0
Anoka "Anoka P-1" 677 403 238 23 11 2
Anoka "Anoka P-2" 941 539 360 36 5 1
Anoka "Anoka P-3" 985 537 400 39 7 2
Anoka "Anoka P-4" 946 579 325 32 10 0
Anoka "Anoka P-5" 875 468 345 48 14 0
Anoka "Anoka P-6" 1024 586 390 36 12 0
Anoka "Anoka P-7" 897 470 383 39 5 0
Anoka "Anoka P-8" 856 475 342 28 10 1
Anoka "Bethel P-1" 177 66 101 8 1 1
Anoka "Blaine W-1 P-1" 1069 666 381 16 5 1
Anoka "Blaine W-1 P-2" 1317 837 418 52 9 1
Anoka "Blaine W-1 P-3" 963 564 356 34 8 1
Anoka "Blaine W-1 P-4" 728 420 270 30 8 0
Anoka "Blaine W-1 P-5" 1486 848 581 45 9 3
Anoka "Blaine W-1 P-6" 907 492 385 21 8 1
Anoka "Blaine W-1 P-7" 927 562 323 34 7 1
Anoka "Blaine W-1 P-8" 1001 594 368 27 12 0
Anoka "Blaine W-2 P-1" 986 589 351 33 13 0
Anoka "Blaine W-2 P-2A" 919 563 319 28 9 0
Anoka "Blaine W-2 P-2B" 1093 666 378 39 8 2
Anoka "Blaine W-2 P-3" 1003 633 335 25 9 1
Anoka "Blaine W-2 P-4A" 1300 777 489 28 5 1
Anoka "Blaine W-2 P-4B" 1154 657 469 20 7 1
Anoka "Blaine W-2 P-5" 990 536 425 18 11 0
Anoka "Blaine W-2 P-6" 2151 1140 981 19 10 1
Anoka "Blaine W-3 P-1" 1149 696 394 45 14 0
Anoka "Blaine W-3 P-2" 1256 700 498 49 8 1
Anoka "Blaine W-3 P-3" 1113 664 398 42 6 3
Anoka "Blaine W-3 P-4" 1397 784 555 45 11 2
Anoka "Blaine W-3 P-5" 1229 694 487 37 11 0
Anoka "Blaine W-3 P-6" 2386 1385 941 42 13 5
Anoka "Blaine W-3 P-7" 2041 1190 782 52 16 1
Anoka "Blaine W-3 P-8" 1008 570 416 16 6 0
Anoka "Centerville P-1" 2054 1105 875 62 11 1
Anoka "Circle Pines P-1" 922 529 356 31 6 0
Anoka "Circle Pines P-2" 1651 1072 540 28 10 1
Anoka "Columbia Heights P-1" 1483 1169 246 57 11 0
Anoka "Columbia Heights P-2" 1151 857 219 57 18 0
Anoka "Columbia Heights P-3" 1124 849 211 45 19 0
Anoka "Columbia Heights P-4" 1065 792 216 41 15 1
Anoka "Columbia Heights P-5" 1111 828 246 26 11 0
Anoka "Columbia Heights P-6" 1026 731 254 27 14 0
Anoka "Columbia Heights P-7" 1043 743 240 45 14 1
Anoka "Columbia Heights P-8" 1002 721 225 47 8 1
Anoka "Columbus P-1" 2281 1055 1131 75 20 0
Anoka "Coon Rapids W-1 P-1" 1968 1132 794 37 5 0
Anoka "Coon Rapids W-1 P-2" 1733 980 709 31 13 0
Anoka "Coon Rapids W-1 P-3" 1395 752 589 35 17 2
Anoka "Coon Rapids W-1 P-4" 847 485 320 38 3 1
Anoka "Coon Rapids W-2 P-1" 1467 866 564 31 5 1
Anoka "Coon Rapids W-2 P-2" 985 550 400 28 7 0
Anoka "Coon Rapids W-2 P-3" 1499 874 564 53 8 0
Anoka "Coon Rapids W-2 P-4" 918 537 334 37 9 1
Anoka "Coon Rapids W-2 P-5" 1036 627 356 44 9 0
Anoka "Coon Rapids W-3 P-1" 1203 697 451 45 10 0
Anoka "Coon Rapids W-3 P-2" 1201 699 452 37 13 0
Anoka "Coon Rapids W-3 P-3" 1144 682 410 40 11 1
Anoka "Coon Rapids W-3 P-4" 1091 675 364 44 8 0
Anoka "Coon Rapids W-4 P-1" 1321 773 497 37 14 0
Anoka "Coon Rapids W-4 P-2" 1309 739 508 49 12 1
Anoka "Coon Rapids W-4 P-3" 1285 772 460 45 8 0
Anoka "Coon Rapids W-4 P-4" 1677 923 671 64 18 1
Anoka "Coon Rapids W-5 P-1" 1224 714 450 47 12 1
Anoka "Coon Rapids W-5 P-2" 1429 845 531 46 7 0
Anoka "Coon Rapids W-5 P-3" 818 492 280 36 10 0
Anoka "Coon Rapids W-5 P-4" 611 394 185 28 4 0
Anoka "Coon Rapids W-5 P-5" 1195 719 431 28 17 0
Anoka "East Bethel P-1" 1748 693 969 75 11 0
Anoka "East Bethel P-2" 1754 746 938 57 13 0
Anoka "East Bethel P-3" 1704 697 938 58 11 0
Anoka "Fridley W-1 P-1" 991 652 292 40 6 1
Anoka "Fridley W-1 P-2" 1016 656 331 20 7 2
Anoka "Fridley W-1 P-3" 1137 817 256 47 17 0
Anoka "Fridley W-1 P-4" 910 626 232 43 8 1
Anoka "Fridley W-2 P-1" 836 540 235 48 12 1
Anoka "Fridley W-2 P-2" 759 536 188 25 9 1
Anoka "Fridley W-2 P-3" 1254 849 359 28 18 0
Anoka "Fridley W-2 P-4" 1221 819 360 30 11 1
Anoka "Fridley W-3 P-1" 934 610 272 43 9 0
Anoka "Fridley W-3 P-2" 1332 844 419 51 15 3
Anoka "Fridley W-3 P-3" 622 448 128 39 6 1
Anoka "Fridley W-3 P-4" 787 530 211 36 8 2
Anoka "Ham Lake P-1" 1069 461 566 32 10 0
Anoka "Ham Lake P-2" 1555 680 840 29 6 0
Anoka "Ham Lake P-3A" 1483 608 825 36 14 0
Anoka "Ham Lake P-4A" 1432 602 797 25 8 0
Anoka "Ham Lake P-5" 1113 478 622 8 5 0
Anoka "Ham Lake P-6A" 1346 578 730 32 5 1
Anoka "Hilltop P-1" 154 114 28 9 3 0
Anoka "Lexington P-1" 786 415 319 41 11 0
Anoka "Lino Lakes P-1" 1012 536 440 29 7 0
Anoka "Lino Lakes P-2" 1652 910 685 45 9 3
Anoka "Lino Lakes P-3" 1302 730 526 36 10 0
Anoka "Lino Lakes P-4" 1971 1109 829 28 4 1
Anoka "Lino Lakes P-5" 1019 587 406 23 3 0
Anoka "Lino Lakes P-6" 1818 945 831 30 12 0
Anoka "Lino Lakes P-7" 1880 1046 787 30 15 2
Anoka "Linwood Twp P-1" 1677 717 891 54 15 0
Anoka "Linwood Twp P-2" 982 435 494 45 8 0
Anoka "Nowthen P-1A" 1495 573 867 48 7 0
Anoka "Nowthen P-2A" 835 325 494 12 3 1
Anoka "Oak Grove P-1" 1333 555 740 32 6 0
Anoka "Oak Grove P-2" 1166 452 680 29 5 0
Anoka "Oak Grove P-3" 1155 430 693 27 5 0
Anoka "Oak Grove P-4" 768 315 427 22 4 0
Anoka "Ramsey W-1 P-1" 2215 1120 1013 57 24 1
Anoka "Ramsey W-1 P-2" 701 337 340 16 8 0
Anoka "Ramsey W-2 P-1" 1148 464 652 25 7 0
Anoka "Ramsey W-2 P-2" 2076 964 1034 61 17 0
Anoka "Ramsey W-3 P-1" 1996 1016 893 61 22 4
Anoka "Ramsey W-3 P-2" 796 399 364 24 9 0
Anoka "Ramsey W-4 P-1" 1374 725 591 51 7 0
Anoka "Ramsey W-4 P-2" 1422 704 663 39 16 0
Anoka "Saint Francis P-1" 1506 616 798 74 17 1
Anoka "Saint Francis P-2" 1312 512 733 51 15 1
Anoka "Spring Lake Park P-1A" 717 416 269 23 8 1
Anoka "Spring Lake Park P-2" 821 514 260 37 10 0
Anoka "Spring Lake Park P-3" 1321 801 455 46 19 0
Becker "Atlanta Twp" 44 13 31 0 0 0
Becker Audubon 191 67 110 14 0 0
Becker "Audubon Twp" 305 118 175 8 4 0
Becker "Burlington Twp" 735 324 394 11 6 0
Becker Callaway 67 30 28 9 0 0
Becker "Callaway Twp" 112 52 56 2 2 0
Becker "Carsonville Twp" 107 51 52 3 1 0
Becker "Cormorant Twp" 599 282 304 10 3 0
Becker "Cuba Twp" 127 52 70 4 1 0
Becker "Detroit Twp P-1" 590 276 296 15 3 0
Becker "Detroit Twp P-2" 402 154 228 15 4 1
