COUNTY AREA TOTAL DEM REP LMN IND Writein
COUNTY AREA TOTAL Smith Housley Wellington Trooien Writein
Aitkin Aitkin 818 378 382 46 12 0
Aitkin "Aitkin Twp" 482 170 297 14 1 0
Aitkin "Ball Bluff Twp" 155 74 75 5 1 0
Aitkin "Balsam Twp" 21 10 11 0 0 0
Aitkin "Beaver Twp" 36 19 13 4 0 0
Aitkin "Clark Twp" 69 33 31 4 1 0
Aitkin "Cornish Twp" 22 13 8 1 0 0
Aitkin "Unorg 47-24 (Davidson Unorg)" 22 11 11 0 0 0
Aitkin "Farm Island Twp" 644 272 348 18 6 0
Aitkin "Fleming Twp" 206 74 122 10 0 0
Aitkin "Glen Twp" 275 123 144 6 2 0
Aitkin "Haugen Twp" 97 44 48 5 0 0
Aitkin "Hazelton Twp" 458 184 251 17 6 0
Aitkin "Hill City" 232 104 110 15 3 0
Aitkin "Hill Lake Twp" 205 100 102 0 3 0
Aitkin "Idun Twp" 96 36 58 2 0 0
Aitkin "Jevne Twp" 157 56 95 3 3 0
Aitkin "Unorg 45-24 (Jewett Unorg)" 19 6 11 2 0 0
Aitkin "Kimberly Twp" 124 48 66 8 2 0
Aitkin "Lakeside Twp" 270 93 158 16 3 0
Aitkin "Lee Twp" 32 6 22 1 3 0
Aitkin "Libby Twp P-East" 13 4 9 0 0 0
Aitkin "Libby Twp P-West" 19 10 6 3 0 0
Aitkin "Logan Twp" 114 47 59 4 4 0
Aitkin McGrath 21 5 15 1 0 0
Aitkin McGregor 136 56 63 14 3 0
Aitkin "McGregor Twp" 47 11 34 2 0 0
Aitkin "Macville Twp" 79 35 41 2 1 0
Aitkin "Millward Twp" 26 11 13 1 1 0
Aitkin "Malmo Twp" 190 77 104 4 5 0
Aitkin "Morrison Twp" 76 23 49 2 2 0
Aitkin "Nordland Twp" 621 242 357 15 7 0
Aitkin Palisade 66 31 32 3 0 0
Aitkin "Pliny Twp" 45 12 31 2 0 0
Aitkin "Rice River Twp" 74 28 43 2 1 0
Aitkin "Salo Twp" 57 27 29 1 0 0
Aitkin "Seavey Twp" 38 13 23 2 0 0
Aitkin "Shamrock Twp" 664 282 343 27 12 0
Aitkin "Spalding Twp" 87 39 38 9 1 0
Aitkin "Spencer Twp" 286 116 159 6 5 0
Aitkin Tamarack 22 12 7 2 1 0
Aitkin "Turner Twp" 93 39 48 5 1 0
Aitkin "Verdon Twp" 27 9 17 1 0 0
Aitkin "Wagner Twp" 166 54 104 6 2 0
Aitkin "Waukenabo Twp" 172 67 97 5 3 0
Aitkin "Wealthwood Twp" 189 79 105 4 1 0
Aitkin "White Pine Twp" 19 6 12 1 0 0
Aitkin "Williams Twp" 63 16 45 1 1 0
Aitkin "Workman Twp" 106 30 71 2 3 0
Aitkin "Northeast Aitkin Unorg" 21 4 13 2 2 0
Aitkin "Unorg 48-27 (Blind Lake Unorg)" 16 8 8 0 0 0
Aitkin "Northwest Aitkin Unorg P-2" 75 39 35 1 0 0
Aitkin "Unorg 51-27 (Lemay Unorg)" 33 15 17 0 1 0
Aitkin "Northwest Aitkin Unorg P-1" 40 15 22 0 3 0
Anoka "Andover P-1" 1690 584 1050 44 12 0
Anoka "Andover P-2" 1564 621 864 61 16 2
Anoka "Andover P-3" 1826 742 1004 53 27 0
Anoka "Andover P-4" 1386 598 698 76 12 2
Anoka "Andover P-5" 1941 794 1075 53 18 1
Anoka "Andover P-6" 1443 492 899 39 13 0
Anoka "Andover P-7" 1291 500 741 41 8 1
Anoka "Andover P-8" 1440 574 820 35 11 0
Anoka "Andover P-9" 1570 651 862 39 18 0
Anoka "Andover P-10" 1785 790 914 66 15 0
Anoka "Anoka P-1" 677 335 288 44 9 1
Anoka "Anoka P-2" 936 457 413 53 12 1
Anoka "Anoka P-3" 978 447 457 61 10 3
Anoka "Anoka P-4" 946 493 393 48 12 0
Anoka "Anoka P-5" 873 399 386 70 18 0
Anoka "Anoka P-6" 1015 512 444 46 12 1
Anoka "Anoka P-7" 895 406 423 55 11 0
Anoka "Anoka P-8" 857 415 374 50 18 0
Anoka "Bethel P-1" 176 52 113 8 2 1
Anoka "Blaine W-1 P-1" 1066 595 427 32 11 1
Anoka "Blaine W-1 P-2" 1314 760 482 60 11 1
Anoka "Blaine W-1 P-3" 958 487 401 55 14 1
Anoka "Blaine W-1 P-4" 724 362 318 37 7 0
Anoka "Blaine W-1 P-5" 1480 707 705 60 7 1
Anoka "Blaine W-1 P-6" 902 412 450 34 6 0
Anoka "Blaine W-1 P-7" 928 466 399 46 16 1
Anoka "Blaine W-1 P-8" 996 477 447 51 20 1
Anoka "Blaine W-2 P-1" 985 512 406 54 13 0
Anoka "Blaine W-2 P-2A" 916 487 378 44 7 0
Anoka "Blaine W-2 P-2B" 1096 578 450 53 15 0
Anoka "Blaine W-2 P-3" 996 560 394 35 6 1
Anoka "Blaine W-2 P-4A" 1294 668 578 37 11 0
