COUNTY AREA TOTAL DEM REP LMN GLC Writein
COUNTY AREA TOTAL Smith Lewis OConnor Steinberg Writein
Aitkin AITKIN 1067 421 545 79 22 0
Aitkin "AITKIN TWP" 566 171 363 27 5 0
Aitkin "BALL BLUFF TWP" 181 79 95 6 1 0
Aitkin "BALSAM TWP" 24 11 13 0 0 0
Aitkin "BEAVER TWP" 36 20 16 0 0 0
Aitkin "CLARK TWP" 79 35 38 5 1 0
Aitkin "CORNISH TWP" 29 15 14 0 0 0
Aitkin "UNORG 47-24 (DAVIDSON UNORG)" 31 12 18 1 0 0
Aitkin "FARM ISLAND TWP" 759 277 463 15 4 0
Aitkin "FLEMING TWP" 229 75 149 4 1 0
Aitkin "GLEN TWP" 330 132 183 8 5 2
Aitkin "HAUGEN TWP" 105 44 54 5 2 0
Aitkin "HAZELTON TWP" 594 200 344 39 11 0
Aitkin "HILL CITY" 279 107 146 22 4 0
Aitkin "HILL LAKE TWP" 257 91 156 8 1 1
Aitkin "IDUN TWP" 126 40 82 4 0 0
Aitkin "JEVNE TWP" 208 66 134 3 5 0
Aitkin "UNORG 45-24 (JEWETT UNORG)" 24 9 13 2 0 0
Aitkin "KIMBERLY TWP" 121 43 73 3 2 0
Aitkin "LAKESIDE TWP" 336 111 201 20 4 0
Aitkin "LEE TWP" 35 3 28 4 0 0
Aitkin "LIBBY TWP E" 17 5 12 0 0 0
Aitkin "LIBBY TWP W" 20 10 10 0 0 0
Aitkin "LOGAN TWP" 127 45 74 5 3 0
Aitkin MCGRATH 28 5 21 2 0 0
Aitkin MCGREGOR 137 59 65 8 5 0
Aitkin "MCGREGOR TWP" 55 13 38 3 1 0
Aitkin "MACVILLE TWP" 95 31 53 6 5 0
Aitkin "MILLWARD TWP" 36 16 17 3 0 0
Aitkin "MALMO TWP" 245 72 152 15 6 0
Aitkin "MORRISON TWP" 91 31 53 7 0 0
Aitkin "NORDLAND TWP" 719 255 428 28 8 0
Aitkin PALISADE 86 25 51 8 2 0
Aitkin "PLINY TWP" 53 10 42 1 0 0
Aitkin "RICE RIVER TWP" 78 24 47 4 3 0
Aitkin "SALO TWP" 56 24 27 4 1 0
Aitkin "SEAVEY TWP" 47 12 32 1 2 0
Aitkin "SHAMROCK TWP" 828 313 461 43 9 2
Aitkin "SPALDING TWP" 109 50 41 14 4 0
Aitkin "SPENCER TWP" 337 108 215 8 6 0
Aitkin TAMARACK 28 8 18 2 0 0
Aitkin "TURNER TWP" 114 43 68 2 1 0
Aitkin "VERDON TWP" 25 6 19 0 0 0
Aitkin "WAGNER TWP" 213 66 132 11 4 0
Aitkin "WAUKENABO TWP" 198 62 127 5 4 0
Aitkin "WEALTHWOOD TWP" 208 75 121 8 4 0
Aitkin "WHITE PINE TWP" 29 7 19 2 1 0
Aitkin "WILLIAMS TWP" 84 26 55 1 2 0
Aitkin "WORKMAN TWP" 142 38 97 5 2 0
Aitkin "NE AITKIN UNORG" 23 1 22 0 0 0
Aitkin "UNORG 48-27 (BLIND LAKE UNORG)" 28 11 16 1 0 0
Aitkin "NW AITKIN UNORG P-2" 87 32 53 2 0 0
Aitkin "UNORG 51-27 (LEMAY UNORG)" 41 17 24 0 0 0
Aitkin "NW AITKIN UNORG P-1" 45 12 23 8 2 0
Anoka "ANDOVER P-1" 2190 703 1337 115 34 1
Anoka "ANDOVER P-2" 1922 727 1022 142 30 1
Anoka "ANDOVER P-3" 2223 823 1199 171 30 0
Anoka "ANDOVER P-4" 1797 727 909 134 27 0
Anoka "ANDOVER P-5" 2445 933 1361 117 32 2
Anoka "ANDOVER P-6" 1903 590 1172 118 22 1
Anoka "ANDOVER P-7" 1758 672 954 109 21 2
Anoka "ANDOVER P-8" 1878 691 1047 116 23 1
Anoka "ANDOVER P-9" 2071 817 1111 118 25 0
Anoka "ANDOVER P-10" 2270 935 1159 142 30 4
Anoka "ANOKA P-1" 932 412 380 108 32 0
Anoka "ANOKA P-2" 1196 561 500 104 31 0
Anoka "ANOKA P-3" 1259 540 582 111 26 0
Anoka "ANOKA P-4" 1184 552 494 104 33 1
Anoka "ANOKA P-5" 1065 442 477 112 34 0
Anoka "ANOKA P-6" 1408 629 624 116 38 1
Anoka "ANOKA P-7" 1203 486 535 141 41 0
Anoka "ANOKA P-8" 1109 474 491 117 26 1
Anoka "BETHEL P-1" 276 68 174 31 3 0
Anoka "BLAINE W-1 P-1" 1384 682 558 109 34 1
Anoka "BLAINE W-1 P-2" 1654 822 640 151 40 1
Anoka "BLAINE W-1 P-3" 1229 559 514 113 42 1
Anoka "BLAINE W-1 P-4" 923 387 431 86 19 0
Anoka "BLAINE W-1 P-5" 2079 946 935 163 35 0
Anoka "BLAINE W-1 P-6" 1346 608 647 67 24 0
Anoka "BLAINE W-1 P-7" 1138 514 487 110 26 1
Anoka "BLAINE W-1 P-8" 1201 508 579 93 20 1
Anoka "BLAINE W-2 P-1" 1301 603 528 131 37 2
Anoka "BLAINE W-2 P-2A" 1225 592 506 101 25 1
Anoka "BLAINE W-2 P-2B" 1439 685 611 120 23 0
Anoka "BLAINE W-2 P-3" 1439 710 565 136 28 0
Anoka "BLAINE W-2 P-4A" 1670 819 724 103 22 2
Anoka "BLAINE W-2 P-4B" 1478 668 725 62 22 1
Anoka "BLAINE W-2 P-5" 1222 522 621 61 16 2
Anoka "BLAINE W-2 P-6" 2757 1233 1392 100 32 0
Anoka "BLAINE W-3 P-1" 1572 703 662 164 42 1
Anoka "BLAINE W-3 P-2" 1539 677 710 120 30 2
Anoka "BLAINE W-3 P-3" 1504 740 610 117 35 2
Anoka "BLAINE W-3 P-4" 1735 765 794 135 41 0
Anoka "BLAINE W-3 P-5" 1566 701 733 104 28 0
Anoka "BLAINE W-3 P-6" 3413 1628 1592 162 29 2
