COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
Beaverhead "PRECINCT 01" 0 251 159 12
Beaverhead "PRECINCT 02" 0 233 452 28
Beaverhead "PRECINCT 03" 0 246 471 22
Beaverhead "PRECINCT 04" 0 50 109 9
Beaverhead "PRECINCT 05" 0 28 104 1
Beaverhead "PRECINCT 06" 0 226 239 19
Beaverhead "PRECINCT 07" 0 78 207 8
Beaverhead "PRECINCT 08" 0 14 53 3
Beaverhead "PRECINCT 09" 0 158 264 11
Beaverhead "PRECINCT 12" 0 235 249 10
Beaverhead "PRECINCT 14" 0 189 150 15
Beaverhead "PRECINCT 17" 0 29 78 4
Beaverhead "PRECINCT 19" 0 31 81 5
Beaverhead "PRECINCT 20" 0 12 72 5
Beaverhead "PRECINCT 21" 0 54 96 2
Beaverhead "PRECINCT 23" 0 42 82 1
"Big Horn" "PRECINCT #1" 0 68 93 3
"Big Horn" "PRECINCT #10" 0 18 43 5
"Big Horn" "PRECINCT #14" 0 133 47 2
"Big Horn" "PRECINCT #15" 0 211 77 6
"Big Horn" "PRECINCT #17" 0 199 153 12
"Big Horn" "PRECINCT #18" 0 152 158 9
"Big Horn" "PRECINCT #19" 0 252 203 17
"Big Horn" "PRECINCT #2" 0 69 46 2
"Big Horn" "PRECINCT #21" 0 317 79 3
"Big Horn" "PRECINCT #25" 0 100 52 2
"Big Horn" "PRECINCT #26" 0 277 48 4
"Big Horn" "PRECINCT #3" 0 29 97 7
"Big Horn" "PRECINCT #4" 0 25 55 0
"Big Horn" "PRECINCT #4N" 0 30 119 3
"Big Horn" "PRECINCT #5" 0 171 45 1
"Big Horn" "PRECINCT #6" 0 17 42 3
"Big Horn" "PRECINCT #7" 0 739 95 10
"Big Horn" "PRECINCT #8" 0 76 78 0
"Big Horn" "PRECINCT #9" 0 144 28 2
Blaine "BELKNAP 3-32" 0 434 17 6
Blaine "CHINOOK 11-33" 0 300 285 29
Blaine "HARLEM 8-32" 0 266 73 7
Blaine "HARLEM 9-32" 0 186 7 1
Blaine "HAYS 15-32" 0 540 19 2
Blaine "NO CHINOOK 13-33" 0 28 86 4
Blaine "SO CHINOOK 10-32" 0 132 296 16
Blaine "TURNER 1-33" 0 75 199 11
Broadwater "PRECINCT 1" 0 247 456 15
Broadwater "PRECINCT 11" 0 188 450 28
Broadwater "PRECINCT 12" 0 238 387 21
Broadwater "PRECINCT 13" 0 213 486 26
Broadwater "PRECINCT 7" 0 185 307 14
Carbon "P 1" 0 165 341 13
Carbon "P 10" 0 314 113 16
Carbon "P 11" 0 542 406 17
Carbon "P 15" 0 169 359 15
Carbon "P 16" 0 123 200 11
Carbon "P 2" 0 107 152 10
Carbon "P 3" 0 157 423 15
Carbon "P 4" 0 113 181 14
Carbon "P 5" 0 102 241 12
Carbon "P 6" 0 114 174 18
Carbon "P 7" 0 181 331 14
Carbon "P 8" 0 304 184 16
