COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Biden Trump Jorgensen
Beaverhead "PRECINCT 01" 0 166 192 15
Beaverhead "PRECINCT 02" 0 181 671 12
Beaverhead "PRECINCT 03" 0 227 625 17
Beaverhead "PRECINCT 04" 0 34 181 6
Beaverhead "PRECINCT 05" 0 24 120 5
Beaverhead "PRECINCT 06" 0 157 303 13
Beaverhead "PRECINCT 07" 0 76 239 3
Beaverhead "PRECINCT 08" 0 19 57 0
Beaverhead "PRECINCT 09" 0 121 355 5
Beaverhead "PRECINCT 12" 0 243 359 11
Beaverhead "PRECINCT 14" 0 189 304 25
Beaverhead "PRECINCT 17" 0 34 96 7
Beaverhead "PRECINCT 19" 0 32 110 6
Beaverhead "PRECINCT 20" 0 7 88 2
Beaverhead "PRECINCT 21" 0 44 120 1
Beaverhead "PRECINCT 23" 0 54 103 2
"Big Horn" "PRECINCT #1" 0 58 110 4
"Big Horn" "PRECINCT #10" 0 11 53 2
"Big Horn" "PRECINCT #14" 0 84 75 1
"Big Horn" "PRECINCT #15" 0 149 128 7
"Big Horn" "PRECINCT #17" 0 168 225 7
"Big Horn" "PRECINCT #18" 0 132 219 11
"Big Horn" "PRECINCT #19" 0 240 308 12
"Big Horn" "PRECINCT #2" 0 61 72 5
"Big Horn" "PRECINCT #21" 0 214 118 3
"Big Horn" "PRECINCT #25" 0 64 58 1
"Big Horn" "PRECINCT #26" 0 296 86 8
"Big Horn" "PRECINCT #3" 0 26 126 0
"Big Horn" "PRECINCT #4" 0 19 70 2
"Big Horn" "PRECINCT #4N" 0 28 137 2
"Big Horn" "PRECINCT #5" 0 161 58 2
"Big Horn" "PRECINCT #6" 0 14 41 1
"Big Horn" "PRECINCT #7" 0 585 183 12
"Big Horn" "PRECINCT #8" 0 62 97 5
"Big Horn" "PRECINCT #9" 0 119 43 1
Blaine "BELKNAP 3-32" 0 377 44 7
Blaine "CHINOOK 11-33" 0 206 457 15
Blaine "HARLEM 8-32" 0 235 119 4
Blaine "HARLEM 9-32" 0 156 27 5
Blaine "HAYS 15-32" 0 486 65 9
Blaine "NO CHINOOK 13-33" 0 15 110 2
Blaine "SO CHINOOK 10-32" 0 66 405 7
Blaine "TURNER 1-33" 0 48 242 10
Broadwater "PRECINCT 1" 0 205 681 15
Broadwater "PRECINCT 11" 0 148 647 13
Broadwater "PRECINCT 12" 0 170 536 14
Broadwater "PRECINCT 13" 0 166 857 25
Broadwater "PRECINCT 7" 0 146 452 22
Carbon "P 1" 0 127 495 16
Carbon "P 10" 0 322 191 14
Carbon "P 11" 0 527 552 29
Carbon "P 15" 0 112 520 9
Carbon "P 16" 0 114 255 5
Carbon "P 2" 0 92 211 6
Carbon "P 3" 0 122 535 10
Carbon "P 4" 0 68 274 11
Carbon "P 5" 0 87 337 6
Carbon "P 6" 0 87 269 10
Carbon "P 7" 0 152 457 15
Carbon "P 8" 0 323 231 12
Carbon "P 9" 0 288 141 20
Carter "PRECINCT #1 ALZADA" 0 10 115 0
Carter "PRECINCT #13 EKALAKA" 0 32 213 12
Carter "PRECINCT #14 RURAL EKALAKA" 0 24 375 3
Carter "PRECINCT #3 HAMMOND" 0 8 72 0
Cascade P19A1 0 108 379 7
Cascade P19A2 0 221 854 19
Cascade P19A3 0 90 351 4
Cascade P19A4 0 182 387 11
Cascade P19B1 0 16 73 1
Cascade P19B2 0 326 862 21
Cascade P19C 0 189 515 10
Cascade P19D 0 156 357 16
Cascade P19E 0 113 212 1
Cascade P20A 0 1764 3140 102
Cascade P20B 0 560 970 24
Cascade P21A 0 2004 2717 136
Cascade P21B 0 198 247 15
Cascade P22A 0 1402 1761 95
Cascade P22B. 0 363 804 54
Cascade P22C 0 11 29 1
Cascade P23 0 1887 2143 132
Cascade P24 0 1998 2364 150
Cascade P25 0 1972 2328 158
Cascade P26A 0 1287 1474 92
Cascade P26B 0 160 253 36
Cascade P27 0 315 661 17
Cascade P30 0 134 434 12
Chouteau "BIG SANDY 8" 0 73 204 5
Chouteau "BIG SANDY 9" 0 66 283 7
Chouteau "CARTER 4" 0 69 209 7
Chouteau "FORT BENTON 1" 0 189 337 17
Chouteau "FORT BENTON 2" 0 185 303 20
Chouteau "GERALDINE 3" 0 86 242 9
Chouteau "HIGHWOOD 6" 0 71 215 7
Chouteau "LOMA 7" 0 33 91 4
Chouteau "ROCKY BOY 5" 0 219 7 7
Custer CCDHS 0 297 738 22
Custer "HIGHLAND PARK SCH" 0 395 963 31
