COUNTY AREA TOTAL DEM REP CST GRE LIB
COUNTY AREA TOTAL DEM REP CST GRE LIB
ALAMANCE 01 0 349 1475 0 0 0
ALAMANCE 02 0 372 1619 0 0 0
ALAMANCE 035 0 824 1185 0 0 0
ALAMANCE 03C 0 614 1034 0 0 0
ALAMANCE 03N 0 747 979 0 0 0
ALAMANCE 03N2 0 277 241 0 0 0
ALAMANCE 03S 0 1641 1833 0 0 0
ALAMANCE 03W 0 613 999 0 0 0
ALAMANCE 04 0 479 1580 0 0 0
ALAMANCE 05 0 283 1097 0 0 0
ALAMANCE 063 0 732 386 0 0 0
ALAMANCE 064 0 932 1496 0 0 0
ALAMANCE 06E 0 595 572 0 0 0
ALAMANCE 06N 0 640 344 0 0 0
ALAMANCE 06S 0 616 911 0 0 0
ALAMANCE 06W 0 261 204 0 0 0
ALAMANCE 07 0 392 1305 0 0 0
ALAMANCE 08N 0 559 938 0 0 0
ALAMANCE 08S 0 256 547 0 0 0
ALAMANCE 09N 0 578 743 0 0 0
ALAMANCE 09S 0 989 1347 0 0 0
ALAMANCE 103 0 520 1081 0 0 0
ALAMANCE 10N 0 871 1217 0 0 0
ALAMANCE 10S 0 2373 1880 0 0 0
ALAMANCE 11 0 945 819 0 0 0
ALAMANCE 1210 0 497 421 0 0 0
ALAMANCE 124 0 485 536 0 0 0
ALAMANCE 125 0 457 695 0 0 0
ALAMANCE 126 0 493 737 0 0 0
ALAMANCE 127 0 1248 445 0 0 0
ALAMANCE 128 0 535 239 0 0 0
ALAMANCE 129 0 346 656 0 0 0
ALAMANCE 12E 0 361 232 0 0 0
ALAMANCE 12N 0 1215 203 0 0 0
ALAMANCE 12S 0 329 136 0 0 0
ALAMANCE 12W 0 629 558 0 0 0
ALAMANCE 13 0 899 786 0 0 0
ALEXANDER B1 0 338 1338 0 0 0
ALEXANDER B2 0 463 1468 0 0 0
ALEXANDER E 0 338 1006 0 0 0
ALEXANDER G1G2 0 236 660 0 0 0
ALEXANDER LRSL 0 208 910 0 0 0
ALEXANDER M 0 227 641 0 0 0
ALEXANDER S1S2 0 329 1110 0 0 0
ALEXANDER T1T4T5 0 538 1537 0 0 0
ALEXANDER T2T3 0 459 994 0 0 0
ALEXANDER W 0 223 820 0 0 0
ALLEGHANY 01 0 183 563 0 0 0
ALLEGHANY 03A 0 615 1516 0 0 0
ALLEGHANY 04 0 163 645 0 0 0
ALLEGHANY 06A 0 248 635 0 0 0
ANSON ANS 0 313 248 0 0 13
ANSON BURN 0 206 493 0 0 13
ANSON GULL 0 336 188 0 0 6
ANSON LILE 0 780 432 0 0 16
ANSON MM 0 495 112 0 0 7
ANSON PEAC 0 188 505 0 0 8
ANSON POLK 0 198 242 0 0 5
ANSON W1 0 764 280 0 0 13
ANSON W2 0 520 221 0 0 12
ANSON W3 0 710 451 0 0 20
ANSON WS 0 76 94 0 0 1
ASHE 02 0 114 343 0 0 0
ASHE 03 0 29 166 0 0 0
ASHE 04 0 58 103 0 0 0
ASHE 06 0 49 139 0 0 0
ASHE 07 0 44 94 0 0 0
ASHE 08 0 26 41 0 0 0
ASHE 09 0 259 556 0 0 0
ASHE 10 0 23 59 0 0 0
ASHE 11 0 177 417 0 0 0
ASHE 12 0 88 226 0 0 0
ASHE 13 0 95 296 0 0 0
ASHE 14 0 139 330 0 0 0
ASHE 15 0 64 265 0 0 0
ASHE 16 0 159 410 0 0 0
ASHE 17 0 59 238 0 0 0
ASHE 18 0 17 53 0 0 0
ASHE 20 0 226 530 0 0 0
ASHE "ABSENTEE MAIL" 0 121 189 0 0 0
ASHE "ONE STOP" 0 2068 3484 0 0 0
ASHE PROVISIONAL 0 8 15 0 0 0
AVERY 01 0 73 300 0 0 0
AVERY 02 0 247 527 0 0 0
AVERY 03 0 31 168 0 0 0
AVERY 04 0 4 23 0 0 0
AVERY 05 0 8 100 0 0 0
AVERY 06 0 40 238 0 0 0
AVERY 07 0 11 99 0 0 0
AVERY 08 0 22 112 0 0 0
AVERY 09 0 18 139 0 0 0
AVERY 10 0 51 291 0 0 0
AVERY 11 0 49 115 0 0 0
AVERY 12 0 16 108 0 0 0
AVERY 13 0 51 143 0 0 0
AVERY 14 0 46 222 0 0 0
AVERY 15 0 27 164 0 0 0
AVERY 16 0 129 333 0 0 0
AVERY 17 0 24 191 0 0 0
AVERY 18 0 22 100 0 0 0
AVERY 19 0 5 128 0 0 0
AVERY "ABSENTEE MAIL" 0 44 90 0 0 0
AVERY "ONE STOP" 0 618 1307 0 0 0
AVERY PROVISIONAL 0 9 47 0 0 0
BERTIE "ABSENTEE BY MAIL" 0 57 36 0 0 0
BERTIE C1 0 122 208 0 0 0
BERTIE C2 0 391 143 0 0 0
BERTIE IW 0 101 13 0 0 0
BERTIE M1 0 127 149 0 0 0
BERTIE M2 0 217 99 0 0 0
BERTIE MH 0 137 106 0 0 0
BERTIE "OS LOB" 0 1955 874 0 0 0
BERTIE PROVISIONAL 0 32 8 0 0 0
BERTIE RX 0 279 107 0 0 0
BERTIE SN 0 145 32 0 0 0
BERTIE W1 0 470 258 0 0 0
BERTIE W2 0 20 216 0 0 0
BERTIE WD 0 235 32 0 0 0
BERTIE WH 0 131 190 0 0 0
BLADEN ABSENTEE 0 394 441 0 0 6
BLADEN "ONE STOP LIBRARY" 0 3051 3128 14 0 53
BLADEN P10 0 103 131 0 0 4
BLADEN P15 0 224 532 0 0 14
BLADEN P201 0 104 347 0 0 9
BLADEN P202 0 210 345 0 0 9
BLADEN P25 0 157 181 2 0 3
