COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cooper Forest DiFiore Pisano
ALAMANCE 01 0 661 2209 19 13
ALAMANCE 02 0 677 2264 18 9
ALAMANCE 035 0 1618 1659 28 9
ALAMANCE 03C 0 940 1079 14 2
ALAMANCE 03N 0 1381 1094 18 4
ALAMANCE 03N2 0 436 226 2 1
ALAMANCE 03S 0 2950 2401 45 23
ALAMANCE 03W 0 1063 1376 16 11
ALAMANCE 04 0 827 2329 19 11
ALAMANCE 05 0 528 1612 16 4
ALAMANCE 063 0 1254 507 15 7
ALAMANCE 064 0 1637 1934 23 16
ALAMANCE 06E 0 988 760 25 5
ALAMANCE 06N 0 1062 491 16 12
ALAMANCE 06S 0 1141 1287 22 3
ALAMANCE 06W 0 435 334 11 2
ALAMANCE 07 0 644 1936 19 3
ALAMANCE 08N 0 924 1390 15 8
ALAMANCE 08S 0 396 791 14 2
ALAMANCE 09N 0 925 971 29 4
ALAMANCE 09S 0 1572 2046 39 12
ALAMANCE 103 0 999 1446 20 12
ALAMANCE 104 0 1065 577 26 5
ALAMANCE 10N 0 1287 1604 24 9
ALAMANCE 10S1 0 2746 1971 52 9
ALAMANCE 11 0 1422 1250 18 8
ALAMANCE 1210 0 822 574 14 8
ALAMANCE 124 0 758 675 8 5
ALAMANCE 125 0 788 827 13 7
ALAMANCE 126 0 731 800 9 2
ALAMANCE 127 0 2168 735 23 11
ALAMANCE 128 0 937 330 16 7
ALAMANCE 129 0 587 837 15 4
ALAMANCE 12E 0 697 304 21 9
ALAMANCE 12N 0 1872 317 22 11
ALAMANCE 12S 0 557 207 6 6
ALAMANCE 12W 0 974 615 21 3
ALAMANCE 13 0 1510 1153 25 5
ALAMANCE TRANSFER 0 0 0 0 0
ALEXANDER B1 0 616 1784 16 5
ALEXANDER B2 0 718 2050 29 15
ALEXANDER E 0 493 1447 11 6
ALEXANDER G1G2 0 270 1001 7 5
ALEXANDER LRSL 0 317 1264 12 6
ALEXANDER M 0 334 978 13 3
ALEXANDER S1S2 0 487 1621 17 7
ALEXANDER T1T4T5 0 781 2215 24 16
ALEXANDER T2T3 0 677 1501 15 7
ALEXANDER W 0 287 1119 8 5
ALLEGHANY 01 0 51 139 2 1
ALLEGHANY 03A 0 84 218 6 2
ALLEGHANY 04 0 45 218 1 1
ALLEGHANY 06A 0 71 181 2 0
ALLEGHANY ABSENTEE 0 455 285 5 6
ALLEGHANY "ONE STOP" 0 1220 3024 31 11
ALLEGHANY PROVISIONAL 0 3 20 0 2
ANSON ANS 0 365 402 7 3
ANSON BURN 0 287 772 6 4
ANSON GULL 0 438 310 5 3
ANSON LILE 0 1002 632 8 5
ANSON MM 0 666 181 9 5
ANSON PEAC 0 211 732 6 3
ANSON POLK 0 287 361 1 2
ANSON WADES 0 2760 1444 32 12
ANSON WS 0 100 143 1 1
ASHE 02 0 266 712 11 6
ASHE 03 0 94 286 2 1
ASHE 04 0 167 230 1 0
ASHE 06 0 108 276 3 0
ASHE 07 0 88 184 2 3
ASHE 08 0 60 92 2 1
ASHE 09 0 901 1709 17 6
ASHE 10 0 51 130 4 1
ASHE 11 0 487 1032 11 6
ASHE 12 0 157 344 8 4
ASHE 13 0 265 637 13 3
ASHE 14 0 678 1221 7 3
ASHE 15 0 154 533 4 6
ASHE 16 0 521 1149 15 4
ASHE 17 0 151 459 7 4
ASHE 18 0 37 83 1 3
ASHE 20 0 782 1545 20 9
ASHE ABSENTEE 0 0 0 0 0
ASHE "ONE STOP" 0 0 0 0 0
ASHE PROVISIONAL 0 0 0 0 0
ASHE TRANSFER 0 0 0 0 0
AVERY 01 0 61 209 5 0
AVERY 02 0 136 373 6 1
AVERY 03 0 21 173 2 1
AVERY 04 0 4 31 0 0
AVERY 05 0 8 91 0 1
AVERY 06 0 30 250 4 1
AVERY 07 0 7 86 2 1
AVERY 08 0 20 96 3 1
AVERY 09 0 14 125 1 2
AVERY 10 0 51 224 3 0
AVERY 11 0 29 85 4 0
AVERY 12 0 9 107 1 1
AVERY 13 0 34 95 0 0
AVERY 14 0 22 134 1 0
AVERY 15 0 21 73 0 0
AVERY 16 0 70 201 0 1
AVERY 17 0 21 167 2 2
AVERY 18 0 14 106 0 0
AVERY 19 0 6 120 2 0
AVERY ABSENTEE 0 486 427 9 2
AVERY "ABSENTEE SUPPLEMENTAL" 0 13 16 1 0
AVERY "ONE STOP" 0 1324 3641 42 12
AVERY PROVISIONAL 0 6 64 2 0
BEAUFORT ABSENTEE 0 1995 972 23 10
BEAUFORT AUROR 0 64 86 1 0
BEAUFORT "AURORA OS" 0 449 367 2 3
BEAUFORT BEADM 0 48 280 0 0
BEAUFORT "BELHAVEN OS" 0 517 857 15 4
BEAUFORT BELHV 0 90 158 2 0
BEAUFORT BLCK 0 74 129 0 2
BEAUFORT "BOE OS" 0 4468 6661 56 30
BEAUFORT CHOCO 0 126 226 2 2
BEAUFORT "CHOCO OS" 0 1312 2655 12 5
BEAUFORT EDWAR 0 79 134 3 2
BEAUFORT GILEA 0 16 89 3 0
BEAUFORT HB 0 16 266 2 0
BEAUFORT NCRK 0 45 354 0 2
BEAUFORT OLDF 0 74 159 2 2
BEAUFORT PANTE 0 68 218 0 1
BEAUFORT PINET 0 27 309 1 3
BEAUFORT PROVISIONAL 0 22 40 0 0
BEAUFORT PSJW3 0 161 32 1 3
BEAUFORT RVRD 0 106 259 7 0
BEAUFORT SURBA 0 78 474 2 3
BEAUFORT TCRK 0 90 333 6 0
BEAUFORT TRANSFER 0 0 0 0 0
BEAUFORT WASH1 0 95 69 4 1
BEAUFORT WASH2 0 93 40 0 4
BEAUFORT WASH4 0 81 121 3 0
BEAUFORT WASHP 0 57 154 4 0
BEAUFORT WDPD 0 40 268 1 2
BERTIE "ABSENTEE BY MAIL" 0 641 137 4 2
BERTIE C1 0 49 113 2 0
BERTIE C2 0 69 34 0 0
BERTIE IW 0 57 8 0 0
BERTIE M1 0 71 113 0 0
BERTIE M2 0 86 113 3 1
BERTIE MH 0 46 75 1 1
BERTIE "OS LOB" 0 2453 1600 13 4
BERTIE "OS LW" 0 1003 179 6 0
BERTIE "OS POW" 0 1074 725 5 4
BERTIE PROVISIONAL 0 32 6 0 0
BERTIE RX 0 102 55 1 0
BERTIE SN 0 65 20 0 0
BERTIE TRANSFER 0 0 0 0 0
BERTIE W1 0 184 101 4 1
BERTIE W2 0 18 218 0 0
BERTIE WD 0 78 12 1 0
BERTIE WH 0 52 145 1 0
BLADEN "BAY TREE FIRE DEPT" 0 198 710 2 2
BLADEN "BLAD COUNTY GYM" 0 2899 2497 27 13
BLADEN "BOOK T. WASHINGTON" 0 426 308 4 4
BLADEN "EAST ARCADIA" 0 644 79 3 0
BLADEN "MAIL ABSENTEE" 0 852 476 13 3
BLADEN P10 0 68 99 2 0
BLADEN P15 0 103 305 2 2
BLADEN P201 0 30 130 3 0
BLADEN P202 0 69 176 4 4
BLADEN P25 0 66 117 0 0
BLADEN P30 0 67 40 1 0
BLADEN P35 0 54 45 0 1
BLADEN P40 0 69 217 2 1
BLADEN P45 0 55 92 0 1
BLADEN P501 0 125 106 3 0
BLADEN P502 0 65 70 3 1
BLADEN P55 0 106 159 0 0
BLADEN P60 0 67 78 0 0
BLADEN P65 0 20 39 0 0
BLADEN P70 0 57 70 2 0
BLADEN P75 0 97 87 1 0
BLADEN P80 0 77 160 2 1
BLADEN PROVISIONAL 0 18 27 1 0
BLADEN "SPAULDING MONROE" 0 692 1845 19 10
BLADEN "TAR HEEL MUNI BLD" 0 860 1164 11 5
BLADEN TRANSFER 0 0 0 0 0
BRUNSWICK 01 0 593 714 20 11
BRUNSWICK 02 0 2907 3015 73 30
BRUNSWICK 03 0 759 523 17 11
BRUNSWICK 04A 0 4617 4714 97 46
BRUNSWICK 04B2 0 2845 2919 51 23
BRUNSWICK 05 0 1161 2025 50 23
BRUNSWICK 06 0 443 751 15 9
BRUNSWICK 07 0 1269 1452 24 9
BRUNSWICK 08 0 1985 2430 43 16
