COUNTY AREA TOTAL DEM REP CST GRE LIB (Write-In) (Miscellaneous)
COUNTY AREA TOTAL Biden Trump Blankenship Hawkins Jorgensen (Write-In) (Miscellaneous)
ALAMANCE 01 0 566 2299 5 6 27 0 4
ALAMANCE 02 0 559 2387 4 4 15 0 3
ALAMANCE 035 0 1516 1775 6 9 20 0 2
ALAMANCE 03C 0 865 1143 1 3 20 0 2
ALAMANCE 03N 0 1301 1197 3 3 12 0 9
ALAMANCE 03N2 0 403 259 3 0 0 0 0
ALAMANCE 03S 0 2710 2624 12 20 58 0 10
ALAMANCE 03W 0 947 1473 1 8 27 0 8
ALAMANCE 04 0 710 2449 5 9 17 0 6
ALAMANCE 05 0 435 1706 3 3 11 0 4
ALAMANCE 063 0 1198 571 3 6 8 0 3
ALAMANCE 064 0 1483 2078 6 3 33 0 5
ALAMANCE 06E 0 920 827 3 5 20 0 5
ALAMANCE 06N 0 997 560 4 4 15 0 2
ALAMANCE 06S 0 1029 1392 5 3 21 0 3
ALAMANCE 06W 0 406 371 1 2 7 0 0
ALAMANCE 07 0 581 1996 1 9 20 0 4
ALAMANCE 08N 0 845 1467 3 10 16 0 1
ALAMANCE 08S 0 357 826 1 4 14 0 2
ALAMANCE 09N 0 841 1060 4 3 18 0 9
ALAMANCE 09S 0 1452 2176 8 5 29 0 3
ALAMANCE 103 0 910 1542 4 1 19 0 2
ALAMANCE 104 0 1014 632 5 3 19 0 4
ALAMANCE 10N 0 1213 1676 2 7 21 0 12
ALAMANCE 10S1 0 2598 2090 13 16 45 0 12
ALAMANCE 11 0 1339 1330 6 7 17 0 2
ALAMANCE 1210 0 760 636 3 7 12 0 2
ALAMANCE 124 0 679 739 2 10 13 0 4
ALAMANCE 125 0 692 931 2 1 9 0 1
ALAMANCE 126 0 674 852 2 1 10 0 2
ALAMANCE 127 0 2093 809 8 10 20 0 4
ALAMANCE 128 0 903 366 4 6 11 0 0
ALAMANCE 129 0 520 904 2 0 18 0 1
ALAMANCE 12E 0 657 355 5 4 9 0 3
ALAMANCE 12N 0 1818 372 4 14 15 0 1
ALAMANCE 12S 0 525 246 2 3 3 0 2
ALAMANCE 12W 0 897 692 3 5 14 0 5
ALAMANCE 13 0 1412 1248 2 9 23 0 8
ALAMANCE TRANSFER 0 0 0 0 0 0 0 0
ALEXANDER B1 0 534 1870 3 2 12 0 6
ALEXANDER B2 0 592 2189 6 4 16 0 10
ALEXANDER E 0 400 1541 0 3 16 0 2
ALEXANDER G1G2 0 229 1047 3 0 1 0 3
ALEXANDER LRSL 0 255 1334 1 2 7 0 4
ALEXANDER M 0 272 1041 1 0 15 0 2
ALEXANDER S1S2 0 372 1756 2 1 15 0 1
ALEXANDER T1T4T5 0 670 2340 5 3 19 0 2
ALEXANDER T2T3 0 584 1598 1 3 14 0 3
ALEXANDER W 0 237 1172 2 0 12 0 1
ALLEGHANY 01 0 29 165 0 0 1 0 0
ALLEGHANY 03A 0 56 251 0 2 3 0 0
ALLEGHANY 04 0 33 232 0 1 1 0 0
ALLEGHANY 06A 0 49 201 0 1 1 0 2
ALLEGHANY ABSENTEE 0 375 358 0 5 10 0 2
ALLEGHANY "ONE STOP" 0 941 3299 5 6 18 0 4
ALLEGHANY PROVISIONAL 0 3 21 0 0 1 0 0
ANSON ANS 0 338 430 0 1 6 0 0
ANSON BURN 0 238 821 1 0 4 0 2
ANSON GULL 0 403 344 3 0 5 0 0
ANSON LILE 0 972 659 1 3 5 0 0
ANSON MM 0 654 202 3 1 1 0 2
ANSON PEAC 0 183 766 0 1 1 0 1
ANSON POLK 0 263 382 0 1 3 0 0
ANSON WADES 0 2643 1570 10 7 16 0 5
ANSON WS 0 95 147 1 0 0 0 0
ASHE 02 0 208 773 3 2 10 0 2
ASHE 03 0 75 309 0 0 1 0 0
ASHE 04 0 154 238 1 2 0 0 1
ASHE 06 0 94 289 0 1 3 0 1
ASHE 07 0 71 201 0 0 4 0 1
ASHE 08 0 50 102 0 0 1 0 0
ASHE 09 0 719 1886 6 1 19 0 3
ASHE 10 0 39 147 1 1 2 0 0
ASHE 11 0 404 1122 3 3 8 0 2
ASHE 12 0 146 366 0 1 3 0 0
ASHE 13 0 230 674 1 1 9 0 3
ASHE 14 0 582 1302 4 1 16 0 3
ASHE 15 0 126 563 3 0 3 0 0
ASHE 16 0 465 1210 1 2 17 0 6
ASHE 17 0 127 483 0 1 7 0 0
ASHE 18 0 30 94 0 0 3 0 0
ASHE 20 0 644 1692 4 7 20 0 1
ASHE ABSENTEE 0 0 0 0 0 0 0 0
ASHE "ONE STOP" 0 0 0 0 0 0 0 0
ASHE PROVISIONAL 0 0 0 0 0 0 0 0
ASHE TRANSFER 0 0 0 0 0 0 0 0
AVERY 01 0 46 225 0 1 3 0 1
AVERY 02 0 116 389 2 2 7 0 5
AVERY 03 0 20 178 0 0 0 0 1
AVERY 04 0 4 31 0 0 0 0 0
AVERY 05 0 10 91 1 0 0 0 0
AVERY 06 0 30 254 1 0 1 0 0
AVERY 07 0 3 93 0 0 0 0 0
AVERY 08 0 19 105 0 0 0 0 1
AVERY 09 0 13 129 0 0 1 0 0
AVERY 10 0 38 236 0 0 4 0 0
AVERY 11 0 26 92 0 0 0 0 0
AVERY 12 0 6 110 0 0 1 0 0
AVERY 13 0 25 99 1 0 1 0 0
AVERY 14 0 15 142 0 0 0 0 0
AVERY 15 0 17 77 0 0 1 0 0
AVERY 16 0 61 211 0 0 0 0 2
AVERY 17 0 18 171 1 0 3 0 1
AVERY 18 0 9 108 0 1 0 0 2
AVERY 19 0 5 122 0 0 0 0 0
AVERY ABSENTEE 0 475 445 0 3 6 0 0
AVERY "ABSENTEE SUPPLEMENTAL" 0 14 14 0 1 1 0 0
AVERY "ONE STOP" 0 1215 3784 4 5 26 0 3
AVERY PROVISIONAL 0 6 66 0 0 1 0 0
BEAUFORT ABSENTEE 0 1910 1047 6 4 31 0 7
BEAUFORT AUROR 0 56 94 0 1 1 0 1
BEAUFORT "AURORA OS" 0 426 395 0 0 4 0 1
BEAUFORT BEADM 0 26 298 0 0 2 0 0
BEAUFORT "BELHAVEN OS" 0 492 895 4 1 5 0 2
BEAUFORT BELHV 0 85 164 0 1 3 0 0
BEAUFORT BLCK 0 68 135 1 0 0 0 0
BEAUFORT "BOE OS" 0 4230 6947 9 11 40 0 14
BEAUFORT CHOCO 0 110 236 0 2 6 0 1
BEAUFORT "CHOCO OS" 0 1193 2777 7 2 13 0 5
BEAUFORT EDWAR 0 72 145 0 0 2 0 0
BEAUFORT GILEA 0 14 93 0 0 1 0 0
BEAUFORT HB 0 11 272 1 0 0 0 1
BEAUFORT NCRK 0 38 363 0 0 2 0 0
BEAUFORT OLDF 0 66 166 0 1 4 0 0
BEAUFORT PANTE 0 66 224 0 0 0 0 0
BEAUFORT PINET 0 18 315 3 0 4 0 0
BEAUFORT PROVISIONAL 0 17 45 0 0 0 0 0
BEAUFORT PSJW3 0 166 30 0 0 0 0 2
BEAUFORT RVRD 0 91 276 1 2 1 0 1
BEAUFORT SURBA 0 65 494 2 0 3 0 1
BEAUFORT TCRK 0 78 347 1 0 2 0 2
BEAUFORT TRANSFER 0 0 0 0 0 0 0 0
BEAUFORT WASH1 0 92 71 0 1 4 0 2
BEAUFORT WASH2 0 90 39 1 3 2 0 0
BEAUFORT WASH4 0 74 129 0 0 2 0 1
BEAUFORT WASHP 0 48 165 0 0 3 0 0
BEAUFORT WDPD 0 31 275 1 1 2 0 0
BERTIE "ABSENTEE BY MAIL" 0 612 153 1 5 5 0 1
BERTIE C1 0 51 114 0 0 0 0 0
BERTIE C2 0 73 32 0 0 0 0 0
BERTIE IW 0 55 7 0 0 0 0 1
BERTIE M1 0 64 120 1 0 0 0 0
BERTIE M2 0 85 118 0 1 2 0 1
BERTIE MH 0 45 79 0 0 0 0 0
BERTIE "OS LOB" 0 2394 1668 2 2 13 0 1
BERTIE "OS LW" 0 992 193 1 3 2 0 0
BERTIE "OS POW" 0 1057 747 1 3 5 0 1
BERTIE PROVISIONAL 0 28 9 0 0 0 0 1
BERTIE RX 0 103 58 0 0 0 0 0
BERTIE SN 0 61 24 1 0 0 0 0
BERTIE TRANSFER 0 0 0 0 0 0 0 0
BERTIE W1 0 187 107 0 0 0 0 0
BERTIE W2 0 10 226 0 0 0 0 1
BERTIE WD 0 74 14 0 1 1 0 0
BERTIE WH 0 48 148 1 0 1 0 0
BLADEN "BAY TREE FIRE DEPT" 0 168 742 2 2 1 0 2
BLADEN "BLAD COUNTY GYM" 0 2792 2634 3 4 20 0 3
BLADEN "BOOK T. WASHINGTON" 0 420 320 0 0 4 0 2
BLADEN "EAST ARCADIA" 0 631 93 1 2 2 0 1
BLADEN "MAIL ABSENTEE" 0 792 551 4 2 8 0 0
BLADEN P10 0 66 102 0 0 0 0 2
BLADEN P15 0 84 322 1 0 6 0 0
BLADEN P201 0 20 140 1 1 1 0 0
BLADEN P202 0 68 183 1 0 4 0 0
BLADEN P25 0 57 125 0 1 2 0 0
BLADEN P30 0 59 47 0 1 0 0 2
BLADEN P35 0 47 52 0 0 2 0 0
BLADEN P40 0 63 229 0 0 0 0 0
BLADEN P45 0 45 101 0 0 1 0 0
BLADEN P501 0 125 110 0 0 2 0 0
BLADEN P502 0 61 78 1 0 1 0 0
BLADEN P55 0 91 171 0 0 2 0 0
BLADEN P60 0 63 84 0 0 0 0 0
BLADEN P65 0 20 40 0 0 0 0 0
BLADEN P70 0 47 81 1 0 0 0 1
BLADEN P75 0 93 94 0 0 0 0 0
BLADEN P80 0 69 167 2 1 0 0 0
BLADEN PROVISIONAL 0 18 28 0 0 0 0 0
BLADEN "SPAULDING MONROE" 0 622 1946 0 4 6 0 4
BLADEN "TAR HEEL MUNI BLD" 0 805 1236 3 0 6 0 0
BLADEN TRANSFER 0 0 0 0 0 0 0 0
BRUNSWICK 01 0 565 775 1 2 9 0 0
BRUNSWICK 02 0 2671 3284 4 7 82 0 9
BRUNSWICK 03 0 735 562 4 2 11 0 0
BRUNSWICK 04A 0 4318 5099 16 6 69 0 18
BRUNSWICK 04B2 0 2630 3154 2 7 61 2 6
BRUNSWICK 05 0 1034 2189 7 6 40 0 4
BRUNSWICK 06 0 406 800 0 3 14 0 3
BRUNSWICK 07 0 1145 1578 3 3 21 0 10
BRUNSWICK 08 0 1810 2626 6 5 37 0 10
BRUNSWICK 09 0 363 600 1 1 5 0 2
BRUNSWICK 10A 0 1229 2362 8 3 23 0 3
BRUNSWICK 10B 0 2250 3241 2 7 17 0 15
BRUNSWICK 11 0 817 1041 1 4 15 0 4
BRUNSWICK 12 0 707 1849 1 2 10 0 1
