COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
ALAMANCE 01 0 564 2205 68 51
ALAMANCE 02 0 570 2290 65 32
ALAMANCE 035 0 1469 1736 78 23
ALAMANCE 03C 0 791 1173 47 14
ALAMANCE 03N 0 1229 1195 52 19
ALAMANCE 03N2 0 382 268 5 6
ALAMANCE 03S 0 2629 2548 154 42
ALAMANCE 03W 0 939 1455 48 10
ALAMANCE 04 0 711 2359 77 31
ALAMANCE 05 0 457 1616 51 24
ALAMANCE 063 0 1198 528 34 16
ALAMANCE 064 0 1460 1995 91 35
ALAMANCE 06E 0 905 776 61 26
ALAMANCE 06N 0 984 500 57 28
ALAMANCE 06S 0 1026 1316 73 28
ALAMANCE 06W 0 399 339 27 12
ALAMANCE 07 0 588 1917 63 23
ALAMANCE 08N 0 838 1397 66 25
ALAMANCE 08S 0 359 794 30 13
ALAMANCE 09N 0 820 1019 57 18
ALAMANCE 09S 0 1417 2078 120 48
ALAMANCE 103 0 875 1495 57 38
ALAMANCE 104 0 996 598 56 14
ALAMANCE 10N 0 1161 1636 81 29
ALAMANCE 10S1 0 2503 2061 142 46
ALAMANCE 11 0 1349 1247 62 33
ALAMANCE 1210 0 744 596 46 20
ALAMANCE 124 0 663 714 53 14
ALAMANCE 125 0 683 871 44 21
ALAMANCE 126 0 614 872 37 12
ALAMANCE 127 0 2072 750 69 31
ALAMANCE 128 0 888 338 46 13
ALAMANCE 129 0 513 872 33 16
ALAMANCE 12E 0 646 320 39 23
ALAMANCE 12N 0 1804 327 56 29
ALAMANCE 12S 0 508 227 24 11
ALAMANCE 12W 0 874 653 60 16
ALAMANCE 13 0 1410 1165 73 32
ALAMANCE TRANSFER 0 0 0 0 0
ALEXANDER B1 0 522 1769 59 54
ALEXANDER B2 0 587 2068 83 58
ALEXANDER E 0 419 1423 50 51
ALEXANDER G1G2 0 240 984 29 17
ALEXANDER LRSL 0 276 1243 35 34
ALEXANDER M 0 303 944 40 33
ALEXANDER S1S2 0 417 1569 69 54
ALEXANDER T1T4T5 0 678 2175 95 73
ALEXANDER T2T3 0 581 1487 64 50
ALEXANDER W 0 264 1077 39 31
ALLEGHANY 01 0 33 142 9 5
ALLEGHANY 03A 0 59 217 23 7
ALLEGHANY 04 0 48 208 3 4
ALLEGHANY 06A 0 51 183 8 8
ALLEGHANY ABSENTEE 0 399 304 26 10
ALLEGHANY "ONE STOP" 0 993 3009 121 112
ALLEGHANY PROVISIONAL 0 4 19 2 0
ANSON ANS 0 341 396 19 17
ANSON BURN 0 245 782 19 17
ANSON GULL 0 407 325 11 10
ANSON LILE 0 973 632 16 10
ANSON MM 0 638 197 8 11
ANSON PEAC 0 192 705 19 17
ANSON POLK 0 266 349 16 13
ANSON WADES 0 2605 1452 94 62
ANSON WS 0 89 143 2 10
ASHE 02 0 218 711 31 14
ASHE 03 0 81 285 6 9
ASHE 04 0 151 232 11 2
ASHE 06 0 97 269 11 7
ASHE 07 0 76 183 10 6
ASHE 08 0 52 95 2 3
ASHE 09 0 743 1718 85 55
ASHE 10 0 47 127 8 4
ASHE 11 0 424 1033 46 21
ASHE 12 0 150 341 10 7
ASHE 13 0 226 633 40 11
ASHE 14 0 591 1229 41 39
ASHE 15 0 138 531 11 11
ASHE 16 0 467 1141 42 34
ASHE 17 0 131 449 16 16
ASHE 18 0 30 84 7 5
ASHE 20 0 657 1558 80 37
ASHE ABSENTEE 0 0 0 0 0
ASHE "ONE STOP" 0 0 0 0 0
ASHE PROVISIONAL 0 0 0 0 0
ASHE TRANSFER 0 0 0 0 0
AVERY 01 0 45 217 5 4
AVERY 02 0 109 376 19 8
AVERY 03 0 17 173 3 1
AVERY 04 0 4 31 0 0
AVERY 05 0 7 90 2 1
AVERY 06 0 38 233 5 7
AVERY 07 0 7 85 2 0
AVERY 08 0 15 104 1 2
AVERY 09 0 13 122 3 2
AVERY 10 0 37 231 5 2
AVERY 11 0 24 88 5 1
AVERY 12 0 8 103 4 1
AVERY 13 0 22 93 5 4
AVERY 14 0 13 133 3 5
AVERY 15 0 17 71 2 2
AVERY 16 0 64 194 6 2
AVERY 17 0 20 158 8 4
AVERY 18 0 16 97 2 2
AVERY 19 0 5 113 2 2
AVERY ABSENTEE 0 434 440 27 13
AVERY "ABSENTEE SUPPLEMENTAL" 0 13 15 2 0
AVERY "ONE STOP" 0 1147 3640 130 64
AVERY PROVISIONAL 0 4 58 5 4
BEAUFORT ABSENTEE 0 1852 1004 82 41
BEAUFORT AUROR 0 57 84 4 5
BEAUFORT "AURORA OS" 0 432 351 12 21
BEAUFORT BEADM 0 36 279 8 4
BEAUFORT "BELHAVEN OS" 0 477 839 36 24
BEAUFORT BELHV 0 76 159 5 9
BEAUFORT BLCK 0 74 123 1 6
BEAUFORT "BOE OS" 0 4128 6556 294 153
BEAUFORT CHOCO 0 112 220 13 9
BEAUFORT "CHOCO OS" 0 1155 2595 116 87
BEAUFORT EDWAR 0 68 135 10 3
BEAUFORT GILEA 0 16 87 3 2
BEAUFORT HB 0 18 252 5 8
BEAUFORT NCRK 0 46 342 5 5
BEAUFORT OLDF 0 67 153 6 8
BEAUFORT PANTE 0 62 214 6 6
BEAUFORT PINET 0 25 294 10 6
BEAUFORT PROVISIONAL 0 15 39 4 3
BEAUFORT PSJW3 0 160 32 1 4
BEAUFORT RVRD 0 88 258 17 6
BEAUFORT SURBA 0 75 450 24 11
BEAUFORT TCRK 0 76 322 17 9
BEAUFORT TRANSFER 0 0 0 0 0
BEAUFORT WASH1 0 83 71 13 4
BEAUFORT WASH2 0 86 47 1 3
BEAUFORT WASH4 0 67 121 7 8
BEAUFORT WASHP 0 47 164 2 2
BEAUFORT WDPD 0 41 257 4 6
BERTIE "ABSENTEE BY MAIL" 0 612 149 11 6
BERTIE C1 0 47 112 4 0
BERTIE C2 0 69 29 2 1
BERTIE IW 0 55 7 2 0
BERTIE M1 0 69 113 2 1
BERTIE M2 0 82 111 4 4
BERTIE MH 0 44 73 3 1
BERTIE "OS LOB" 0 2338 1576 70 52
BERTIE "OS LW" 0 961 186 13 17
BERTIE "OS POW" 0 1032 703 29 19
BERTIE PROVISIONAL 0 29 7 1 0
BERTIE RX 0 102 48 5 1
BERTIE SN 0 62 22 1 0
BERTIE TRANSFER 0 0 0 0 0
BERTIE W1 0 176 102 6 6
BERTIE W2 0 20 211 1 2
BERTIE WD 0 74 11 3 0
BERTIE WH 0 53 137 1 4
BLADEN "BAY TREE FIRE DEPT" 0 178 703 15 8
