COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
"Carson City" 101 0 354 419 5 39 39 3
"Carson City" 103 0 392 476 6 37 25 1
"Carson City" 105 0 375 608 8 51 39 1
"Carson City" 107 0 376 617 8 50 39 1
"Carson City" 109 0 482 606 11 35 47 0
"Carson City" 111 0 516 528 4 25 80 5
"Carson City" 113 0 445 783 5 39 45 3
"Carson City" 201 0 351 410 4 37 43 2
"Carson City" 203 0 490 516 10 48 71 3
"Carson City" 205 0 524 608 4 37 64 3
"Carson City" 207 0 372 561 7 38 28 4
"Carson City" 209 0 293 377 7 27 47 3
"Carson City" 211 0 258 464 3 23 45 1
"Carson City" 301 0 334 454 5 32 36 6
"Carson City" 303 0 298 477 2 32 42 1
"Carson City" 305 0 386 606 4 49 45 1
"Carson City" 307 0 715 688 13 72 82 1
"Carson City" 309 0 399 830 9 42 48 4
"Carson City" 401 0 353 381 4 16 51 3
"Carson City" 403 0 523 672 11 56 74 4
"Carson City" 405 0 431 556 5 36 38 1
"Carson City" 407 0 274 574 6 20 39 3
"Carson City" 409 0 464 480 7 44 62 5
"Carson City" 411 0 193 425 5 23 30 1
"Carson City" 997 0 6 3 0 1 0 0
"Carson City" 998 0 6 6 0 0 0 0
"Carson City" 999 0 0 0 0 0 0 0
Churchill 01 0 139 461 1 21 31 2
Churchill 02 0 186 370 4 22 37 1
Churchill 03 0 115 305 8 17 20 2
Churchill 04 0 132 340 1 17 35 0
Churchill 05 0 115 276 2 16 19 4
Churchill 06 0 101 318 1 11 30 1
Churchill 07 0 120 510 2 23 16 2
Churchill 08 0 78 245 4 8 20 2
Churchill 09 0 86 282 10 16 10 0
Churchill 10 0 138 594 4 24 32 1
Churchill 11 0 140 605 9 23 37 1
Churchill 12 0 52 216 4 8 13 1
Churchill 13 0 52 355 3 4 15 2
Churchill 14 0 88 414 7 15 18 1
Churchill 15 0 91 479 3 26 21 1
Churchill 16 0 128 242 6 22 16 1
Churchill 17 0 148 688 11 26 37 1
Churchill 18 0 208 736 1 23 31 2
Churchill 19 0 93 391 11 9 12 0
Churchill 88 0 1 1 1 1 1 1
Churchill 99 0 1 1 1 1 1 1
Clark 1038 0 151 199 0 5 2 0
Clark 1039 0 293 557 0 23 11 1
Clark 1063 0 467 470 3 26 39 1
Clark 1067 0 19 90 1 3 3 1
Clark 1072 0 60 142 1 2 14 0
Clark 1074 0 430 744 7 26 22 1
Clark 1137 0 431 398 4 12 32 1
Clark 1302 0 690 446 2 26 45 4
Clark 1303 0 527 395 3 19 30 1
Clark 1304 0 362 219 4 15 27 1
Clark 1307 0 679 554 6 32 37 3
Clark 1309 0 1 1 1 1 1 1
Clark 1318 0 620 304 4 22 33 0
Clark 1327 0 744 414 2 32 55 6
Clark 1328 0 616 355 4 29 28 5
Clark 1330 0 595 667 1 30 34 0
Clark 1331 0 586 406 2 20 29 3
Clark 1332 0 262 188 2 11 11 1
Clark 1333 0 432 425 3 18 22 2
Clark 1334 0 622 477 3 21 33 2
Clark 1335 0 566 504 5 25 34 4
Clark 1336 0 428 305 4 17 22 1
Clark 1337 0 645 449 6 17 35 3
Clark 1340 0 744 417 3 32 50 3
Clark 1341 0 590 392 4 32 42 5
Clark 1342 0 462 359 1 13 36 2
Clark 1343 0 296 390 2 19 18 0
Clark 1344 0 282 216 0 13 14 0
Clark 1345 0 275 195 4 6 17 1
Clark 1346 0 494 541 3 22 28 4
Clark 1348 0 557 411 4 18 25 4
