COUNTY AREA TOTAL DEM REP CON IND LIB
COUNTY AREA TOTAL Biden Trump Blankenship Other Jorgensen
"Carson City" 101 0 515 529 3 14 15
"Carson City" 103 0 484 548 3 15 18
"Carson City" 105 0 445 583 2 8 17
"Carson City" 107 0 494 705 2 18 13
"Carson City" 109 0 701 823 2 20 16
"Carson City" 111 0 660 691 6 13 21
"Carson City" 113 0 588 886 4 19 11
"Carson City" 201 0 468 563 4 13 14
"Carson City" 203 0 661 676 2 18 20
"Carson City" 205 0 646 722 6 18 15
"Carson City" 207 0 489 698 3 8 8
"Carson City" 209 0 375 453 5 14 15
"Carson City" 211 0 363 546 4 10 14
"Carson City" 301 0 436 542 5 9 17
"Carson City" 303 0 382 537 1 14 18
"Carson City" 305 0 496 687 2 16 17
"Carson City" 307 0 932 873 17 18 43
"Carson City" 309 0 503 938 6 30 13
"Carson City" 401 0 428 461 4 9 30
"Carson City" 403 0 702 871 10 18 36
"Carson City" 405 0 539 648 6 11 9
"Carson City" 407 0 567 1054 5 13 21
"Carson City" 409 0 607 584 1 19 20
"Carson City" 411 0 249 481 1 10 11
"Carson City" 998 0 5 14 0 0 0
Churchill 01 0 227 510 3 9 14
Churchill 02 0 266 498 1 9 19
Churchill 03 0 151 352 1 10 26
Churchill 04 0 216 383 4 11 16
Churchill 05 0 142 365 3 10 21
Churchill 06 0 129 363 1 4 14
Churchill 07 0 184 595 1 15 22
Churchill 08 0 89 305 2 5 8
Churchill 09 0 119 347 3 5 10
Churchill 10 0 174 737 1 11 7
Churchill 11 0 176 700 2 6 26
Churchill 12 0 84 269 1 4 6
Churchill 13 0 68 396 1 6 12
Churchill 14 0 100 500 1 8 12
Churchill 15 0 112 528 1 5 15
Churchill 16 0 199 270 3 12 6
Churchill 17 0 230 857 2 7 14
Churchill 18 0 265 888 3 6 21
Churchill 19 0 117 504 1 6 13
Churchill 88 0 1 1 1 1 1
Clark 1038 0 189 231 0 3 2
Clark 1039 0 382 548 0 9 2
Clark 1063 0 649 573 3 13 15
Clark 1067 0 39 94 2 2 2
Clark 1072 0 61 192 2 3 1
Clark 1074 0 660 996 2 11 13
Clark 1137 0 583 563 0 11 11
Clark 1161 0 1 1 1 1 1
Clark 1302 0 1179 842 3 17 23
Clark 1303 0 743 624 2 13 8
Clark 1304 0 823 484 0 14 17
Clark 1307 0 880 775 1 7 7
Clark 1309 0 1 1 1 1 1
Clark 1318 0 856 454 2 15 10
Clark 1327 0 1051 618 4 18 23
Clark 1328 0 860 617 4 14 14
Clark 1330 0 684 882 6 12 13
Clark 1331 0 791 540 7 7 10
Clark 1332 0 323 273 1 3 7
Clark 1333 0 575 523 2 5 3
Clark 1334 0 782 655 4 8 15
Clark 1335 0 639 664 0 10 12
Clark 1336 0 622 439 1 6 4
Clark 1337 0 839 676 6 11 14
Clark 1340 0 1095 684 1 15 11
Clark 1341 0 732 570 6 7 21
Clark 1342 0 537 444 4 5 12
Clark 1343 0 362 473 0 9 8
Clark 1344 0 359 245 1 2 6
Clark 1345 0 334 268 1 3 6
Clark 1346 0 543 667 3 6 13
Clark 1348 0 739 572 1 10 21
Clark 1349 0 745 554 2 14 13
Clark 1351 0 667 398 2 11 11
Clark 1352 0 629 478 2 8 15
Clark 1353 0 1192 767 2 15 29
Clark 1354 0 490 305 2 9 6
Clark 1356 0 955 712 1 21 13
Clark 1361 0 1 1 1 1 1
Clark 1363 0 1 1 1 1 1
Clark 1365 0 1 1 1 1 1
Clark 1367 0 966 670 4 12 12
Clark 1368 0 912 597 3 15 4
Clark 1371 0 1 1 1 1 1
Clark 1374 0 1 1 1 1 1
Clark 1375 0 1 1 1 1 1
Clark 1376 0 1 1 1 1 1
Clark 1377 0 1 1 1 1 1
Clark 1378 0 1 1 1 1 1
Clark 1379 0 0 0 0 0 0
