COUNTY AREA TOTAL DEM REP LIB GRN IND WI1 WI2 WI3 WI4 WI5 WI6 WI7 WI8 WI9 WI10 WI11 WI12 WI13 WI14 WI15 WI16 WI17 WI18
COUNTY AREA TOTAL Clinton Trump Johnson Stein Duncan Bell Bickelmeyer Castle Fox Hartnell Hoefling Jaynes Keniston Kirschner Kotlikoff Maldonado Maturen McMullin Moorehead Schriner Smith Stroh Thomson
Adams "BRATTON TOWNSHIP" 661 96 532 12 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "BRUSH CREEK TOWNSHIP" 514 95 390 9 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "LOCUST GROVE" 522 94 408 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "GREEN TOWNSHIP" 259 76 176 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "JEFFERSON TOWNSHIP" 351 73 258 8 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "LIBERTY SOUTH" 511 87 394 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "MANCHESTER UNITED TOWNSHIP" 643 194 414 18 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "MEIGS TOWNSHIP" 821 131 653 11 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "PEEBLES EAST" 337 80 250 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "PEEBLES WEST" 354 86 243 8 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "MONROE TOWNSHIP" 291 71 206 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "OLIVER TOWNSHIP" 445 78 340 9 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "SCOTT TOWNSHIP" 555 86 453 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "SEAMAN VILLAGE" 371 66 291 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "SPRIGG TOWNSHIP" 789 155 583 23 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "TIFFIN EAST" 545 111 399 14 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "TIFFIN WEST" 515 106 386 8 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "WEST UNION A" 567 164 350 19 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "WEST UNION B" 528 150 344 13 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "WAYNE TOWNSHIP" 591 75 490 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "WINCHESTER TOWNSHIP" 591 99 464 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Adams "WINCHESTER VILLAGE" 434 72 345 3 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
