COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Adams "BRATTON TOWNSHIP" 661 80 532 6 6 10 0
Adams "BRUSH CREEK TOWNSHIP" 514 93 358 6 16 6 0
Adams "LOCUST GROVE" 522 85 393 5 12 9 0
Adams "GREEN TOWNSHIP" 259 69 169 4 2 1 0
Adams "JEFFERSON TOWNSHIP" 351 86 239 9 5 2 0
Adams "LIBERTY SOUTH" 511 86 389 9 7 6 0
Adams "MANCHESTER UNITED TOWNSHIP" 643 173 428 8 5 11 0
Adams "MEIGS TOWNSHIP" 821 130 638 6 8 11 0
Adams "PEEBLES EAST" 337 75 241 4 2 3 0
Adams "PEEBLES WEST" 354 87 245 5 4 1 0
Adams "MONROE TOWNSHIP" 291 62 203 3 6 5 0
Adams "OLIVER TOWNSHIP" 445 79 332 2 6 8 0
Adams "SCOTT TOWNSHIP" 555 82 433 7 6 5 0
Adams "SEAMAN VILLAGE" 371 54 286 4 5 5 0
Adams "SPRIGG TOWNSHIP" 789 160 579 6 12 9 0
Adams "TIFFIN EAST" 545 112 390 4 8 9 0
Adams "TIFFIN WEST" 515 91 385 8 9 4 0
Adams "WEST UNION A" 567 150 353 14 10 10 0
Adams "WEST UNION B" 528 133 344 5 10 9 0
Adams "WAYNE TOWNSHIP" 591 80 467 3 10 3 0
Adams "WINCHESTER TOWNSHIP" 591 89 450 2 7 17 0
Adams "WINCHESTER VILLAGE" 434 57 344 7 3 10 0
Adams "LIBERTY NORTH" 388 68 291 6 6 3 0
Allen "DELPHOS 1A" 540 106 386 10 15 7 0
Allen "DELPHOS 1B" 478 78 372 5 1 5 0
Allen "DELPHOS 2A" 512 103 360 4 6 21 0
Allen "DELPHOS 2B" 226 43 162 4 6 5 0
Allen "LIMA 1A" 601 226 300 13 21 9 0
Allen "LIMA 1B" 568 166 346 6 17 12 0
Allen "LIMA 1C" 447 167 223 13 13 6 0
Allen "LIMA 2A" 649 235 349 7 10 13 0
Allen "LIMA 2B" 704 221 419 9 13 10 0
Allen "LIMA 2C" 672 210 410 11 15 4 0
Allen "LIMA 3A" 469 212 182 9 24 13 0
Allen "LIMA 3B" 332 149 134 11 8 3 0
Allen "LIMA 3C" 468 154 267 6 11 12 0
Allen "LIMA 4A" 705 195 464 11 9 9 0
Allen "LIMA 4B" 466 214 194 9 17 6 0
Allen "LIMA 4C" 480 140 307 4 9 7 0
Allen "LIMA 4D" 697 254 398 13 8 5 0
Allen "LIMA 5A" 281 120 119 4 12 11 0
Allen "LIMA 5B" 291 170 73 8 10 7 0
Allen "LIMA 5C" 389 268 64 5 13 4 0
Allen "LIMA 5D" 421 208 160 7 14 12 0
Allen "LIMA 6A" 533 247 222 14 13 11 0
Allen "LIMA 6B" 490 256 170 11 13 6 0
Allen "LIMA 6C" 486 369 51 8 8 11 0
Allen "LIMA 7A" 717 256 418 6 13 6 0
Allen "LIMA 7B" 619 210 370 3 11 4 0
Allen "LIMA 7C" 703 202 425 13 13 10 0
Allen "AMANDA E" 778 115 619 5 6 16 0
Allen "AMANDA N" 405 40 335 4 2 11 0
Allen "AMERICAN A" 601 81 484 7 4 3 0
Allen "AMERICAN B" 514 112 345 6 7 11 0
Allen "AMERICAN C" 505 99 376 9 7 7 0
Allen "AMERICAN D" 474 227 203 6 16 5 0
Allen "AMERICAN E" 440 121 267 8 13 6 0
Allen "AMERICAN F" 462 111 321 3 1 9 0
Allen "AMERICAN G" 648 100 509 4 9 9 0
Allen "AMERICAN H" 629 105 487 2 9 11 0
Allen "AMERICAN I" 553 72 440 3 10 9 0
Allen "AMERICAN J" 573 88 445 7 9 8 0
Allen "AMERICAN K" 500 113 346 5 8 9 0
Allen "AMERICAN L" 515 146 323 6 10 12 0
Allen "ELIDA A" 508 80 378 7 11 12 0
Allen "ELIDA B" 563 82 446 3 6 2 0
Allen "AUGLAIZE A" 535 65 437 3 12 11 0
Allen HARROD 190 18 152 0 4 8 0
Allen "AUGLAIZE B" 693 98 546 7 9 13 0
Allen "BATH A" 508 88 390 3 7 1 0
Allen "BATH B" 594 77 487 2 7 8 0
Allen "BATH C" 467 60 384 3 1 5 0
Allen "BATH D" 507 72 397 5 9 6 0
Allen "BATH E" 360 106 220 9 7 9 0
Allen "BATH F" 499 76 400 2 6 5 0
Allen "BATH G" 649 146 458 6 7 8 0
Allen "BATH H" 609 122 448 3 8 10 0
Allen "BATH I" 444 83 318 6 11 11 0
Allen "JACKSON A" 826 84 679 12 6 18 0
Allen LAFAYETTE 166 22 136 1 2 3 0
Allen "JACKSON B" 763 83 640 4 8 11 0
Allen "MARION A" 757 90 618 6 15 10 0
Allen "MARION B" 738 92 594 2 17 11 0
Allen CAIRO 250 45 182 5 4 0 0
Allen "MONROE E" 479 30 424 3 5 7 0
Allen "MONROE W" 427 41 360 3 4 9 0
Allen "PERRY C" 624 72 515 2 7 11 0
Allen "PERRY A" 546 112 380 5 10 14 0
Allen "PERRY B" 407 124 233 4 12 8 0
Allen BEAVERDAM 147 22 114 2 2 1 0
Allen "RICHLAND A" 549 92 425 9 6 3 0
Allen "RICHLAND B" 565 82 457 4 4 6 0
Allen "BLUFFTON A" 713 214 460 7 6 9 0
Allen "BLUFFTON B" 612 210 355 10 4 9 0
Allen "BLUFFTON C" 608 123 443 5 8 4 0
Allen "SHAWNEE A" 583 99 442 4 5 6 0
Allen "SHAWNEE B" 550 123 395 11 4 10 0
Allen "SHAWNEE C" 449 83 327 9 6 11 0
Allen "SHAWNEE D" 548 75 434 2 4 10 0
Allen "SHAWNEE E" 527 118 362 6 7 6 0
Allen "SHAWNEE F" 644 123 475 6 7 4 0
Allen "SHAWNEE G" 623 95 497 3 3 7 0
Allen "SHAWNEE H" 579 101 426 15 12 14 0
Allen "SHAWNEE I" 596 106 456 3 8 6 0
Allen "SHAWNEE J" 660 122 485 5 13 17 0
Allen "SHAWNEE K" 613 110 453 7 7 16 0
Allen "SHAWNEE L" 545 87 412 7 10 9 0
Allen "SPENCER A" 431 43 360 2 2 10 0
Allen "SPENCERVILLE A" 450 58 355 10 7 11 0
Allen "SPENCERVILLE B" 426 57 340 2 8 9 0
Allen "SUGAR CREEK" 667 80 545 4 6 12 0
Ashland "ASHLAND CITY 1-A" 718 167 481 5 19 9 0
Ashland "ASHLAND CITY 1-B" 394 113 236 8 6 3 0
Ashland "ASHLAND CITY 1-C" 439 84 322 1 6 4 0
Ashland "ASHLAND CITY 1-D" 784 165 555 8 7 13 0
