COUNTY AREA TOTAL DEM REP LIB GRN WI1 WI2 WI3 WI4 WI5 WI6
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Boddie Carroll Hoefling Hunter Simmons Wells
Adams "BRATTON TOWNSHIP" 738 9 605 6 2 0 0 0 0 0 18
Adams "BRUSH CREEK TOWNSHIP" 547 90 442 4 4 0 0 0 0 0 0
Adams "LOCUST GROVE" 550 80 460 3 1 0 0 0 0 0 0
Adams "GREEN TOWNSHIP" 289 54 230 2 0 0 0 0 0 0 0
Adams "JEFFERSON TOWNSHIP" 329 60 266 1 0 0 0 0 0 0 0
Adams "LIBERTY TOWNSHIP" 973 171 787 8 3 0 0 0 0 0 0
Adams "MANCHESTER UNITED TOWNSHIP" 642 150 478 8 1 0 0 0 0 0 0
Adams "MEIGS TOWNSHIP" 891 121 755 4 1 0 0 0 0 0 0
Adams "PEEBLES VILLAGE" 690 146 524 6 2 0 0 0 0 0 0
Adams "MONROE TOWNSHIP" 296 60 232 3 1 0 0 0 0 0 0
Adams "OLIVER TOWNSHIP" 485 90 379 5 0 0 0 0 0 0 0
Adams "SCOTT TOWNSHIP" 609 85 519 1 1 0 0 0 0 0 0
Adams "SEAMAN VILLAGE" 408 68 337 1 0 0 0 0 0 0 0
Adams "SPRIGG TOWNSHIP" 852 150 684 4 1 0 0 0 0 0 0
Adams "TIFFIN EAST" 576 112 448 5 3 0 0 0 0 0 0
Adams "TIFFIN WEST" 565 101 452 7 2 0 0 0 0 0 0
Adams "WEST UNION A" 571 130 417 10 2 0 0 0 0 0 0
Adams "WEST UNION B" 564 145 406 4 2 0 0 0 0 0 0
Adams "WAYNE TOWNSHIP" 657 74 569 6 0 0 0 0 0 0 0
Adams "WINCHESTER TOWNSHIP" 638 100 527 4 1 0 0 0 0 0 0
Adams "WINCHESTER VILLAGE" 410 51 353 0 0 0 0 0 0 0 0
Allen "DELPHOS 1A" 569 129 423 13 0 0 0 0 0 0 0
Allen "DELPHOS 1B" 534 120 404 5 1 0 0 0 0 0 0
Allen "DELPHOS 2A" 553 135 400 8 1 0 0 0 0 0 0
Allen "DELPHOS 2B" 239 47 180 10 0 0 0 0 0 0 0
Allen "LIMA 1A" 530 234 287 7 1 0 0 0 0 0 0
Allen "LIMA 1B" 581 207 363 8 1 0 0 0 0 0 0
Allen "LIMA 1C" 390 176 195 10 7 0 0 0 0 0 0
Allen "LIMA 2A" 663 286 354 11 1 0 0 0 0 0 0
Allen "LIMA 2B" 691 277 402 8 1 0 0 0 0 0 0
Allen "LIMA 2C" 680 282 376 15 2 0 0 0 0 0 0
Allen "LIMA 3A" 414 229 168 10 4 0 0 0 0 0 0
Allen "LIMA 3B" 355 199 146 3 2 0 0 0 0 0 0
Allen "LIMA 3C" 475 192 271 3 3 0 0 0 0 0 0
Allen "LIMA 4A" 709 275 407 18 3 0 0 0 0 0 0
Allen "LIMA 4B" 477 267 199 7 0 0 0 0 0 0 0
Allen "LIMA 4C" 541 218 319 2 0 0 0 0 0 0 0
Allen "LIMA 4D" 728 332 376 11 4 0 0 0 0 0 0
Allen "LIMA 5A" 251 137 105 3 0 0 0 0 0 0 0
Allen "LIMA 5B" 248 175 66 1 3 0 0 0 0 0 0
Allen "LIMA 5C" 343 285 51 4 0 0 0 0 0 0 0
Allen "LIMA 5D" 420 225 181 8 3 0 0 0 0 0 0
Allen "LIMA 6A" 485 266 208 8 1 0 0 0 0 0 0
Allen "LIMA 6B" 411 247 150 6 4 0 0 0 0 0 0
Allen "LIMA 6C" 444 386 49 3 1 0 0 0 0 0 0
Allen "LIMA 7A" 794 335 447 6 3 0 0 0 0 0 0
Allen "LIMA 7B" 640 267 350 9 4 0 0 0 0 0 0
Allen "LIMA 7C" 714 283 414 9 2 0 0 0 0 0 0
Allen "AMANDA E" 854 125 716 6 1 0 0 0 0 0 0
Allen "AMANDA N" 420 70 342 1 2 0 0 0 0 0 0
Allen "AMERICAN A" 627 118 500 7 1 0 0 0 0 0 0
Allen "AMERICAN B" 513 150 350 5 1 0 0 0 0 0 0
Allen "AMERICAN C" 503 132 364 5 2 0 0 0 0 0 0
Allen "AMERICAN D" 498 278 207 6 4 0 0 0 0 0 0
Allen "AMERICAN E" 441 153 276 3 2 0 0 0 0 0 0
Allen "AMERICAN F" 471 160 304 3 2 0 0 0 0 0 0
Allen "AMERICAN G" 691 157 519 5 2 0 0 0 0 0 0
Allen "AMERICAN H" 659 156 488 8 2 0 0 0 0 0 0
Allen "AMERICAN I" 636 138 487 6 0 0 0 0 0 0 0
Allen "AMERICAN J" 636 148 477 5 2 0 0 0 0 0 0
Allen "AMERICAN K" 509 167 332 7 0 0 0 0 0 0 0
