COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DemReg RepReg
Adams "BRATTON TOWNSHIP" 957 956 1
Adams "BRUSH CREEK TOWNSHIP" 773 772 1
Adams "LOCUST GROVE" 719 718 1
Adams "GREEN TOWNSHIP" 401 400 1
Adams "JEFFERSON TOWNSHIP" 498 497 1
Adams "LIBERTY TOWNSHIP" 1276 1275 1
Adams "MANCHESTER UNITED TOWNSHIP" 1121 1120 1
Adams "MEIGS TOWNSHIP" 1258 1257 1
Adams "PEEBLES VILLAGE" 1111 1110 1
Adams "MONROE TOWNSHIP" 423 422 1
Adams "OLIVER TOWNSHIP" 685 684 1
Adams "SCOTT TOWNSHIP" 754 753 1
Adams "SEAMAN VILLAGE" 658 657 1
Adams "SPRIGG TOWNSHIP" 1165 1164 1
Adams "TIFFIN EAST" 754 753 1
Adams "TIFFIN WEST" 734 733 1
Adams "WEST UNION A" 863 862 1
Adams "WEST UNION B" 884 883 1
Adams "WAYNE TOWNSHIP" 819 818 1
Adams "WINCHESTER TOWNSHIP" 792 791 1
Adams "WINCHESTER VILLAGE" 601 600 1
Allen "DELPHOS 1A" 739 738 1
Allen "DELPHOS 1B" 608 607 1
Allen "DELPHOS 2A" 790 789 1
Allen "DELPHOS 2B" 393 392 1
Allen "LIMA 1A" 908 907 1
Allen "LIMA 1B" 955 954 1
Allen "LIMA 1C" 854 853 1
Allen "LIMA 2A" 1102 1101 1
Allen "LIMA 2B" 1027 1026 1
Allen "LIMA 2C" 1031 1030 1
Allen "LIMA 3A" 1021 1020 1
Allen "LIMA 3B" 1002 1001 1
Allen "LIMA 3C" 917 916 1
Allen "LIMA 4A" 882 881 1
Allen "LIMA 4B" 887 886 1
Allen "LIMA 4C" 770 769 1
Allen "LIMA 4D" 986 985 1
Allen "LIMA 5A" 610 609 1
Allen "LIMA 5B" 695 694 1
Allen "LIMA 5C" 731 730 1
Allen "LIMA 5D" 778 777 1
Allen "LIMA 6A" 931 930 1
Allen "LIMA 6B" 953 952 1
Allen "LIMA 6C" 1002 1001 1
Allen "LIMA 7A" 1171 1170 1
