COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Abbeville "Abbeville No. 1" 885 245 610 21 1 2 4 2
Abbeville "Abbeville No. 2" 687 373 303 7 0 1 2 1
Abbeville "Abbeville No. 3" 513 214 284 5 2 3 3 2
Abbeville "Abbeville No. 4" 420 131 279 5 1 2 2 0
Abbeville Antreville 613 105 496 7 1 1 3 0
Abbeville Broadmouth 284 62 215 3 1 0 3 0
Abbeville "Calhoun Falls" 937 514 407 6 2 3 3 2
Abbeville "Cold Springs" 495 88 396 6 3 1 1 0
Abbeville Donalds 307 44 254 2 2 2 3 0
Abbeville "Due West" 793 233 520 13 7 7 11 2
Abbeville "Hall's Store" 398 136 255 2 1 0 4 0
Abbeville Keowee 615 109 491 4 4 1 6 0
Abbeville Lowndesville 577 81 483 8 2 2 1 0
Abbeville Lebanon 432 107 309 10 2 1 2 1
Abbeville Absentee 2767 1270 1439 29 7 12 8 2
Abbeville Emergency 0 0 0 0 0 0 0 0
Abbeville Failsafe 1 0 1 0 0 0 0 0
Abbeville Provisional 27 15 12 0 0 0 0 0
Abbeville "Failsafe Provisional" 24 14 9 1 0 0 0 0
Aiken "Aiken No. 1" 616 164 394 30 11 1 15 1
Aiken "Aiken No. 2" 543 402 122 11 4 2 2 0
Aiken "Aiken No. 3" 689 560 106 10 4 2 6 1
Aiken "Aiken No. 4" 301 255 36 3 4 1 2 0
Aiken "Aiken No. 5" 520 274 215 13 8 1 4 5
Aiken "Aiken No. 6" 673 195 432 28 7 3 7 1
Aiken Bath 452 196 242 8 0 0 3 3
Aiken "Beech Island" 897 459 414 9 6 2 6 1
Aiken "Belvedere No. 9" 892 395 447 28 9 2 9 2
Aiken "Carolina Heights" 584 388 169 13 1 2 9 2
Aiken "China Springs" 688 465 210 8 1 1 1 2
Aiken Clearwater 325 147 173 3 0 1 1 0
Aiken "College Acres" 896 238 590 41 9 2 13 3
Aiken Eureka 806 174 592 24 6 3 7 0
Aiken Gloverville 575 111 434 15 3 4 6 2
Aiken Graniteville 574 209 343 7 6 2 4 3
Aiken Jackson 850 158 673 12 1 2 3 1
Aiken Langley 629 143 457 14 5 3 5 2
Aiken Lynwood 494 118 359 5 5 2 3 2
Aiken Millbrook 878 243 573 40 9 1 11 1
Aiken Monetta 655 305 330 9 3 2 5 1
Aiken "Montmorenci No. 22" 884 273 565 27 5 4 9 1
Aiken "New Ellenton" 860 394 438 16 6 1 4 1
Aiken "New Holland" 447 89 338 9 2 5 3 1
Aiken "N. Augusta No. 25" 698 264 391 28 6 1 7 1
Aiken "N. Augusta No. 26" 559 238 293 14 5 2 5 2
Aiken "N. Augusta No. 27" 899 132 720 31 5 2 9 0
Aiken "N. Augusta No. 28" 677 147 485 28 7 1 9 0
Aiken "N. Augusta No. 29" 660 189 422 27 10 1 10 1
Aiken "Oak Grove" 551 110 415 14 4 2 5 1
Aiken Perry 507 146 337 10 2 1 9 2
Aiken Salley 397 220 167 5 0 2 3 0
Aiken "Shaws Fork" 384 88 271 18 2 3 1 1
Aiken Shiloh 944 227 682 15 8 5 5 2
Aiken "Six Points No. 35" 640 236 365 22 7 1 8 1
Aiken Tabernacle 389 171 201 9 2 3 2 1
Aiken Talatha 855 304 524 17 4 2 4 0
Aiken Vaucluse 808 265 500 22 9 3 9 0
Aiken Wagener 1066 447 589 11 6 5 7 1
Aiken Ward 800 298 472 15 4 0 10 1
Aiken Warrenville 919 191 692 20 6 1 6 3
Aiken "White Pond" 441 193 240 5 0 1 2 0
Aiken "Windsor No. 43" 556 179 354 10 3 1 8 1
Aiken "Belvedere No. 44" 782 257 483 23 3 7 8 1
Aiken "Misty Lakes" 933 311 585 22 5 4 6 0
Aiken "Six Points No. 46" 550 490 48 7 3 1 1 0
Aiken "Aiken No. 47" 560 182 331 24 3 2 15 3
Aiken "Hammond No. 48" 553 165 370 8 2 0 6 2
Aiken "Willow Springs" 686 135 527 6 7 8 2 1
Aiken "Breezy Hill" 1258 390 807 33 11 1 15 1
Aiken "Midland Valley No. 51" 1073 295 734 21 7 6 10 0
Aiken "Levels No. 52" 687 273 372 31 5 2 4 0
Aiken "Hollow Creek" 616 160 422 15 4 0 15 0
Aiken "N. Augusta No. 54" 604 311 262 18 2 2 9 0
Aiken "N. Augusta No. 55" 609 142 416 25 9 2 15 0
Aiken Couchton 669 223 420 19 3 3 1 0
Aiken "Redds Branch" 601 176 388 25 3 2 6 1
Aiken "Fox Creek No. 58" 823 179 610 19 2 0 12 1
Aiken "Pine Forest" 986 185 759 20 1 1 17 3
Aiken "Gem Lakes No. 60" 692 153 489 22 7 2 18 1
Aiken "Silver Bluff" 890 474 391 16 5 1 3 0
Aiken "Belvedere No. 62" 605 312 272 3 9 5 3 1
Aiken "Ascauga Lake No. 63" 558 160 364 20 2 3 9 0
Aiken "Cedar Creek No. 64" 666 147 489 14 7 0 8 1
Aiken "Sleepy Hollow No. 65" 1085 218 804 31 4 4 23 1
Aiken "Hitchcock No. 66" 562 164 375 12 4 1 5 1
Aiken "N. Augusta No. 67" 701 141 511 24 5 6 13 1
Aiken "N. Augusta No. 68" 1166 230 865 39 10 1 19 2
Aiken "Anderson Pond No. 69" 800 191 563 24 4 2 12 4
Aiken "Sandstone No. 70" 720 213 443 39 4 6 15 0
Aiken "Midland Valley No. 71" 1027 260 732 18 6 4 7 0
Aiken "Levels No. 72" 520 188 282 33 10 0 7 0
Aiken "Fox Creek No. 73" 853 158 651 32 4 0 6 2
Aiken "Belvedere No. 74" 339 99 230 4 1 1 4 0
Aiken "South Aiken No. 75" 918 262 604 19 10 5 18 0
Aiken "South Aiken No. 76" 1052 254 705 52 6 4 31 0
Aiken "Gem Lakes No. 77" 779 171 543 29 8 5 23 0
Aiken "Montmorenci No. 78" 504 172 307 17 0 2 6 0
Aiken "Sandstone No. 79" 365 125 215 18 3 0 4 0
Aiken "N. Augusta No. 80" 444 98 322 14 4 0 6 0
Aiken "Hammond No. 81" 552 178 360 8 1 2 3 0
Aiken "Windsor No. 82" 611 206 375 13 4 3 8 2
Aiken "Levels No. 83" 306 127 150 18 5 0 6 0
Aiken "Ascauga Lake No. 84" 626 158 443 13 1 2 8 1
Aiken Absentee 16814 6217 10117 242 60 27 126 25
Aiken Emergency 0 0 0 0 0 0 0 0
Aiken Failsafe 171 87 82 2 0 0 0 0
Aiken Provisional 6 2 4 0 0 0 0 0
Aiken "Failsafe Provisional" 51 16 31 2 1 0 1 0
Allendale "ALLENDALE #1" 333 255 66 3 2 3 2 2
Allendale "ALLENDALE #2" 318 302 10 3 2 0 0 1
Allendale "FAIRFAX #1" 235 144 83 1 0 0 4 3
Allendale "FAIRFAX #2" 450 385 56 3 2 2 0 2
Allendale MARTIN 165 128 33 0 0 1 1 2
Allendale SYCAMORE 208 49 156 2 0 0 1 0
Allendale ULMER 119 46 71 2 0 0 0 0
Allendale WOODS 340 210 127 1 2 0 0 0
Allendale Absentee 1410 1203 186 7 3 5 4 2
Allendale Emergency 0 0 0 0 0 0 0 0
Allendale Failsafe 0 0 0 0 0 0 0 0
Allendale Provisional 14 13 1 0 0 0 0 0
Allendale "Failsafe Provisional" 0 0 0 0 0 0 0 0
