COUNTY AREA TOTAL DEM REP GRN ALN LIB
COUNTY AREA TOTAL Biden Trump Hawkins DeLaFuente Jorgensen
Abbeville "Abbeville No. 1" 1294 418 866 1 1 8
Abbeville "Abbeville No. 2" 1101 721 375 1 1 3
Abbeville "Abbeville No. 3" 938 442 483 2 0 11
Abbeville "Abbeville No. 4" 656 207 446 0 0 3
Abbeville Antreville 951 181 763 0 0 7
Abbeville Broadmouth 390 85 304 1 0 0
Abbeville "Calhoun Falls" 1196 661 524 3 2 6
Abbeville "Cold Springs" 778 145 622 4 0 7
Abbeville Donald's 422 71 344 0 0 7
Abbeville "Due West" 1134 359 758 2 0 15
Abbeville "Hall's Store" 470 151 316 2 0 1
Abbeville Keowee 904 178 716 3 0 7
Abbeville Lowndesville 852 123 722 0 1 6
Abbeville Lebanon 608 144 459 1 0 4
Abbeville Smithville 719 203 509 3 1 3
Abbeville Failsafe 0 0 0 0 0 0
Abbeville Provisional 0 0 0 0 0 0
Abbeville "Failsafe Provisional" 20 12 8 0 0 0
Aiken "Aiken No. 1" 1003 370 616 5 1 11
Aiken "Aiken No. 2" 786 588 185 5 2 6
Aiken "Aiken No. 3" 988 842 133 7 2 4
Aiken "Aiken No. 4" 438 366 69 1 0 2
Aiken "Aiken No. 5" 897 549 333 3 0 12
Aiken "Aiken No. 6" 1020 405 596 5 0 14
Aiken Bath 545 239 299 4 1 2
Aiken "Beech Island" 1122 595 512 5 2 8
Aiken "Belvedere No. 9" 1055 490 540 9 1 15
Aiken "Carolina Heights" 764 476 278 2 1 7
Aiken "China Springs" 1044 668 355 10 1 10
Aiken Clearwater 457 209 239 3 3 3
Aiken "College Acres" 1303 434 842 6 2 19
Aiken Eureka 1146 330 802 5 0 9
Aiken Gloverville 697 165 520 4 0 8
Aiken Graniteville 733 263 460 3 0 7
Aiken Jackson 1132 250 876 1 0 5
Aiken Langley 798 190 600 0 0 8
Aiken Lynwood 602 128 463 2 1 8
Aiken Millbrook 1469 541 904 4 0 20
Aiken Monetta 795 321 459 1 3 11
Aiken "Montmorenci No. 22" 1436 532 883 3 2 16
Aiken "New Ellenton" 1132 546 565 4 1 16
Aiken "New Holland" 577 138 431 0 0 8
Aiken "N. Augusta No. 25" 1030 425 583 9 2 11
Aiken "N. Augusta No. 26" 734 349 367 1 0 17
Aiken "N. Augusta No. 27" 1238 233 986 2 0 17
Aiken "N. Augusta No. 28" 892 257 618 3 0 14
Aiken "N. Augusta No. 29" 1171 463 669 9 0 30
Aiken "Oak Grove" 766 175 572 3 0 16
Aiken Perry 627 182 438 1 0 6
Aiken Salley 502 260 239 0 0 3
Aiken "Shaws Fork" 531 165 359 2 0 5
Aiken Shiloh 1420 428 972 6 1 13
Aiken "Six Points No. 35" 1166 477 675 2 1 11
Aiken Tabernacle 507 242 258 2 0 5
Aiken Talatha 1366 539 811 3 2 11
Aiken Vaucluse 1492 606 858 4 1 23
Aiken Wagener 1457 580 858 5 2 12
Aiken Ward 1103 417 668 4 1 13
Aiken Warrenville 1250 355 881 0 0 14
Aiken "White Pond" 576 272 303 0 0 1
Aiken "Windsor No. 43" 780 279 487 2 0 12
Aiken "Belvedere No. 44" 972 384 561 3 3 21
Aiken "Misty Lakes" 1453 579 853 3 1 17
Aiken "Six Points No. 46" 834 713 112 5 0 4
Aiken "Aiken No. 47" 828 351 461 5 1 10
Aiken "Hammond No. 48" 959 372 573 2 2 10
Aiken "Willow Springs" 902 206 683 1 0 12
Aiken "Breezy Hill" 1957 830 1107 2 0 18
Aiken "Midland Valley No. 51" 1790 616 1150 1 1 22
Aiken "Levels No. 52" 937 431 484 3 0 19
Aiken "Hollow Creek" 1114 345 758 5 1 5
Aiken "N. Augusta No. 54" 769 406 347 1 0 15
Aiken "N. Augusta No. 55" 760 236 517 1 1 5
Aiken Couchton 1001 367 623 2 0 9
Aiken "Redds Branch" 875 282 578 3 0 12
Aiken "Fox Creek No. 58" 1164 310 836 5 2 11
Aiken "Pine Forest" 1357 326 1012 3 1 15
Aiken "Gem Lakes No. 60" 1051 291 748 5 0 7
Aiken "Silver Bluff" 1374 737 617 6 1 13
Aiken "Belvedere No. 62" 898 475 413 5 0 5
Aiken "Ascauga Lake No. 63" 720 236 476 1 0 7
Aiken "Cedar Creek No. 64" 1475 440 1021 3 1 10
Aiken "Sleepy Hollow No. 65" 1572 421 1133 3 1 14
Aiken "Hitchcock No. 66" 826 315 499 2 0 10
Aiken "N. Augusta No. 67" 1031 275 735 3 1 17
Aiken "N. Augusta No. 68" 1916 564 1323 2 2 25
Aiken "Anderson Pond No. 69" 1749 567 1164 4 0 14
Aiken "Sandstone No. 70" 981 371 579 10 3 18
Aiken "Midland Valley No. 71" 1523 441 1063 3 0 16
Aiken "Levels No. 72" 719 310 396 2 1 10
Aiken "Fox Creek No. 73" 1112 267 822 1 2 20
Aiken "Belvedere No. 74" 467 158 302 1 0 6
Aiken "South Aiken No. 75" 1410 505 878 9 1 17
Aiken "South Aiken No. 76" 1763 624 1113 4 0 22
Aiken "Gem Lakes No. 77" 1233 407 810 4 1 11
Aiken "Montmorenci No. 78" 751 269 469 1 2 10
Aiken "Sandstone No. 79" 687 282 402 0 1 2
Aiken "N. Augusta No. 80" 653 187 452 3 0 11
Aiken "Hammond No. 81" 750 252 489 2 0 7
Aiken "Windsor No. 82" 710 217 485 1 0 7
Aiken "Levels No. 83" 514 241 250 2 1 20
Aiken "Ascauga Lake No. 84" 978 288 675 2 1 12
Aiken Failsafe 56 28 27 0 0 1
Aiken Provisional 22 6 15 0 0 1
Aiken "Failsafe Provisional" 25 8 16 0 0 1
