COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DEM REP
Abbeville "Abbeville No. 1" 1743 1 1742
Abbeville "Abbeville No. 2" 1693 1 1692
Abbeville "Abbeville No. 3" 1427 1 1426
Abbeville "Abbeville No. 4" 929 1 928
Abbeville Antreville 1246 1 1245
Abbeville Broadmouth 569 1 568
Abbeville "Calhoun Falls" 1798 1 1797
Abbeville "Cold Springs" 944 1 943
Abbeville Donald's 585 1 584
Abbeville "Due West" 1609 1 1608
Abbeville "Hall's Store" 707 1 706
Abbeville Keowee 1191 1 1190
Abbeville Lowndesville 1150 1 1149
Abbeville Lebanon 800 1 799
Abbeville Smithville 905 1 904
Aiken "Aiken No. 1" 1420 1 1419
Aiken "Aiken No. 2" 1376 1 1375
Aiken "Aiken No. 3" 1976 1 1975
Aiken "Aiken No. 4" 896 1 895
Aiken "Aiken No. 5" 1469 1 1468
Aiken "Aiken No. 6" 1434 1 1433
Aiken Bath 955 1 954
Aiken "Beech Island" 1829 1 1828
Aiken "Belvedere No. 9" 2085 1 2084
Aiken "Carolina Heights" 1414 1 1413
Aiken "China Springs" 1874 1 1873
Aiken Clearwater 844 1 843
Aiken "College Acres" 1968 1 1967
Aiken Eureka 1733 1 1732
Aiken Gloverville 1041 1 1040
Aiken Graniteville 1231 1 1230
Aiken Jackson 1743 1 1742
Aiken Langley 1462 1 1461
Aiken Lynwood 973 1 972
Aiken Millbrook 2149 1 2148
Aiken Monetta 1174 1 1173
Aiken "Montmorenci No. 22" 2063 1 2062
Aiken "New Ellenton" 1732 1 1731
Aiken "New Holland" 823 1 822
Aiken "N. Augusta No. 25" 1920 1 1919
Aiken "N. Augusta No. 26" 1361 1 1360
Aiken "N. Augusta No. 27" 1726 1 1725
Aiken "N. Augusta No. 28" 1327 1 1326
Aiken "N. Augusta No. 29" 1886 1 1885
Aiken "Oak Grove" 1145 1 1144
Aiken Perry 913 1 912
Aiken Salley 726 1 725
Aiken "Shaws Fork" 758 1 757
Aiken Shiloh 2082 1 2081
Aiken "Six Points No. 35" 1812 1 1811
Aiken Tabernacle 747 1 746
Aiken Talatha 2091 1 2090
Aiken Vaucluse 2176 1 2175
Aiken Wagener 2149 1 2148
Aiken Ward 1645 1 1644
Aiken Warrenville 1994 1 1993
Aiken "White Pond" 842 1 841
Aiken "Windsor No. 43" 1247 1 1246
Aiken "Belvedere No. 44" 1603 1 1602
Aiken "Misty Lakes" 2184 1 2183
Aiken "Six Points No. 46" 1534 1 1533
Aiken "Aiken No. 47" 1261 1 1260
Aiken "Hammond No. 48" 1369 1 1368
Aiken "Willow Springs" 1380 1 1379
Aiken "Breezy Hill" 3058 1 3057
Aiken "Midland Valley No. 51" 2508 1 2507
Aiken "Levels No. 52" 1563 1 1562
Aiken "Hollow Creek" 1564 1 1563
Aiken "N. Augusta No. 54" 1386 1 1385
Aiken "N. Augusta No. 55" 1169 1 1168
Aiken Couchton 1488 1 1487
Aiken "Redds Branch" 1434 1 1433
Aiken "Fox Creek No. 58" 1849 1 1848
Aiken "Pine Forest" 1919 1 1918
Aiken "Gem Lakes No. 60" 1396 1 1395
Aiken "Silver Bluff" 2111 1 2110
Aiken "Belvedere No. 62" 1470 1 1469
Aiken "Ascauga Lake No. 63" 1089 1 1088
Aiken "Cedar Creek No. 64" 1959 1 1958
Aiken "Sleepy Hollow No. 65" 2111 1 2110
Aiken "Hitchcock No. 66" 1273 1 1272
Aiken "N. Augusta No. 67" 1445 1 1444
Aiken "N. Augusta No. 68" 2658 1 2657
Aiken "Anderson Pond No. 69" 2192 1 2191
Aiken "Sandstone No. 70" 1603 1 1602
