COUNTY AREA TOTAL DEM REP CON WRI
COUNTY AREA TOTAL Harrison Graham Bledsoe Writein
Abbeville "Abbeville No. 1" 1295 421 851 22 1
Abbeville "Abbeville No. 2" 1104 740 354 10 0
Abbeville "Abbeville No. 3" 940 450 466 23 1
Abbeville "Abbeville No. 4" 656 214 429 13 0
Abbeville Antreville 950 187 744 17 2
Abbeville Broadmouth 391 88 298 5 0
Abbeville "Calhoun Falls" 1191 680 503 8 0
Abbeville "Cold Springs" 781 159 615 7 0
Abbeville Donald's 422 77 333 10 2
Abbeville "Due West" 1139 374 751 14 0
Abbeville "Hall's Store" 473 149 322 1 1
Abbeville Keowee 908 189 703 14 2
Abbeville Lowndesville 852 139 699 14 0
Abbeville Lebanon 608 148 447 13 0
Abbeville Smithville 720 204 504 10 2
Abbeville Failsafe 0 0 0 0 0
Abbeville Provisional 0 0 0 0 0
Abbeville "Failsafe Provisional" 20 13 6 1 0
Aiken "Aiken No. 1" 1001 365 629 7 0
Aiken "Aiken No. 2" 790 598 186 5 1
Aiken "Aiken No. 3" 991 861 118 12 0
Aiken "Aiken No. 4" 442 372 66 4 0
Aiken "Aiken No. 5" 901 548 347 6 0
Aiken "Aiken No. 6" 1027 397 619 11 0
Aiken Bath 548 252 283 13 0
Aiken "Beech Island" 1124 598 506 16 4
Aiken "Belvedere No. 9" 1053 510 522 20 1
Aiken "Carolina Heights" 763 481 272 9 1
Aiken "China Springs" 1038 677 344 17 0
Aiken Clearwater 459 230 224 3 2
Aiken "College Acres" 1307 462 830 14 1
Aiken Eureka 1143 339 786 17 1
Aiken Gloverville 697 179 502 15 1
Aiken Graniteville 734 274 450 10 0
Aiken Jackson 1136 257 859 20 0
Aiken Langley 799 203 577 19 0
Aiken Lynwood 599 137 447 14 1
Aiken Millbrook 1469 529 916 23 1
Aiken Monetta 803 334 453 16 0
Aiken "Montmorenci No. 22" 1435 541 873 20 1
Aiken "New Ellenton" 1138 560 549 26 3
Aiken "New Holland" 577 144 422 9 2
Aiken "N. Augusta No. 25" 1023 441 572 10 0
Aiken "N. Augusta No. 26" 732 351 359 19 3
Aiken "N. Augusta No. 27" 1240 227 988 22 3
Aiken "N. Augusta No. 28" 894 250 633 10 1
Aiken "N. Augusta No. 29" 1172 467 688 16 1
Aiken "Oak Grove" 764 180 563 20 1
Aiken Perry 629 191 419 19 0
Aiken Salley 502 265 233 4 0
Aiken "Shaws Fork" 533 170 353 10 0
Aiken Shiloh 1419 439 960 18 2
Aiken "Six Points No. 35" 1170 495 660 14 1
Aiken Tabernacle 505 243 256 5 1
Aiken Talatha 1366 555 791 18 2
Aiken Vaucluse 1491 630 838 22 1
Aiken Wagener 1452 593 827 29 3
Aiken Ward 1105 437 642 23 3
Aiken Warrenville 1249 373 843 30 3
Aiken "White Pond" 572 274 289 8 1
Aiken "Windsor No. 43" 777 283 482 12 0
Aiken "Belvedere No. 44" 966 394 541 30 1
Aiken "Misty Lakes" 1456 589 852 14 1
Aiken "Six Points No. 46" 829 716 108 5 0
Aiken "Aiken No. 47" 826 343 469 14 0
Aiken "Hammond No. 48" 963 379 572 12 0
Aiken "Willow Springs" 900 221 663 14 2
Aiken "Breezy Hill" 1959 847 1088 24 0
Aiken "Midland Valley No. 51" 1793 629 1138 24 2
Aiken "Levels No. 52" 936 443 477 15 1
Aiken "Hollow Creek" 1126 334 784 7 1
Aiken "N. Augusta No. 54" 766 425 328 11 2
Aiken "N. Augusta No. 55" 761 230 522 9 0
Aiken Couchton 1004 381 592 29 2
Aiken "Redds Branch" 874 299 560 15 0
Aiken "Fox Creek No. 58" 1166 322 832 11 1
Aiken "Pine Forest" 1357 345 992 20 0
Aiken "Gem Lakes No. 60" 1056 288 747 21 0
Aiken "Silver Bluff" 1370 755 592 22 1
Aiken "Belvedere No. 62" 899 487 396 15 1
Aiken "Ascauga Lake No. 63" 720 248 461 11 0
Aiken "Cedar Creek No. 64" 1479 420 1043 16 0
Aiken "Sleepy Hollow No. 65" 1574 418 1135 19 2
Aiken "Hitchcock No. 66" 825 312 502 9 2
Aiken "N. Augusta No. 67" 1031 284 736 11 0
Aiken "N. Augusta No. 68" 1922 580 1312 29 1
Aiken "Anderson Pond No. 69" 1756 531 1213 12 0
Aiken "Sandstone No. 70" 984 375 582 27 0
Aiken "Midland Valley No. 71" 1521 453 1048 18 2
Aiken "Levels No. 72" 719 315 392 12 0
Aiken "Fox Creek No. 73" 1107 263 833 11 0
Aiken "Belvedere No. 74" 466 160 296 9 1
Aiken "South Aiken No. 75" 1409 511 875 23 0
Aiken "South Aiken No. 76" 1765 608 1139 17 1
Aiken "Gem Lakes No. 77" 1235 400 825 8 2
Aiken "Montmorenci No. 78" 749 266 469 13 1
Aiken "Sandstone No. 79" 685 278 405 2 0
Aiken "N. Augusta No. 80" 656 193 451 11 1
Aiken "Hammond No. 81" 755 260 479 15 1
Aiken "Windsor No. 82" 710 235 461 13 1
Aiken "Levels No. 83" 517 246 263 8 0
Aiken "Ascauga Lake No. 84" 978 292 675 9 2
Aiken Failsafe 57 29 26 2 0
Aiken Provisional 22 6 14 2 0
Aiken "Failsafe Provisional" 25 7 16 1 1
Allendale "ALLENDALE #1" 665 548 115 1 1
Allendale "ALLENDALE #2" 650 632 15 3 0
Allendale "FAIRFAX #1" 360 228 129 3 0
Allendale "FAIRFAX #2" 719 654 62 3 0
Allendale MARTIN 211 165 44 2 0
Allendale SYCAMORE 258 82 175 1 0
Allendale ULMER 170 68 99 3 0
Allendale WOODS 586 392 191 2 1
Allendale Failsafe 0 0 0 0 0
Allendale Provisional 8 4 3 1 0
Allendale "Failsafe Provisional" 0 0 0 0 0
Anderson Appleton-Equinox 514 285 211 18 0
Anderson "Barker's Creek-McAdams" 332 34 297 1 0
Anderson Belton 1336 390 919 27 0
Anderson Broadview 478 315 159 4 0
Anderson "Bishop's Branch" 1476 407 1049 20 0
Anderson "Bowling Green" 562 90 461 11 0
Anderson Broadway 619 185 423 10 1
Anderson "Brushy Creek" 2011 417 1567 26 1
Anderson "Cedar Grove" 1015 192 815 8 0
