COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Clinton Trump Johnson Stein Writein
Anderson 0010001 0 262 742 18 5 3
Anderson 0010002 0 181 1318 22 5 6
Anderson 0010003 0 94 663 16 2 1
Anderson 0010004 0 96 869 17 2 1
Anderson 0010005 0 9 180 2 0 0
Anderson 0010006 0 334 348 12 3 1
Anderson 0010007 0 452 128 3 3 2
Anderson 0010008 0 98 49 2 1 0
Anderson 0010009 0 146 605 20 2 1
Anderson 0010010 0 37 296 3 0 0
Anderson 0010011 0 130 592 15 2 0
Anderson 0010013 0 268 749 30 7 1
Anderson 0010015 0 84 514 7 1 0
Anderson 0010016 0 78 413 13 5 2
Anderson 0010017 0 119 374 10 1 1
Anderson 0010018 0 185 1090 17 2 3
Anderson 0010019 0 264 995 27 1 2
Anderson 0010020 0 154 488 16 5 1
Anderson 0010021 0 138 940 31 6 6
Anderson 0010022 0 107 584 7 0 5
Anderson 0010023 0 91 768 16 4 5
Anderson 0010024 0 42 501 4 0 0
Andrews 0030001 0 215 872 37 6 3
Andrews 0030002 0 222 1392 51 6 10
Andrews 0030003 0 211 944 29 5 2
Andrews 0030004 0 190 716 30 3 0
Angelina 0050001 0 120 150 2 2 0
Angelina 0050002 0 862 290 22 4 6
Angelina 0050003 0 183 900 24 2 11
Angelina 0050004 0 313 406 10 3 4
Angelina 0050005 0 405 585 21 3 7
Angelina 0050006 0 38 238 5 1 1
Angelina 0050007 0 63 696 14 0 12
Angelina 0050008a 0 36 437 8 2 2
Angelina 0050008b 0 23 285 6 2 2
Angelina 0050009 0 44 133 6 1 6
Angelina 0050010a 0 278 337 11 5 4
Angelina 0050010b 0 33 42 1 0 0
Angelina 0050011 0 123 1193 11 3 6
Angelina 0050012 0 79 460 10 2 4
Angelina 0050013 0 139 243 11 2 4
Angelina 0050014 0 319 827 22 6 16
Angelina 0050015 0 73 316 5 0 3
Angelina 0050016 0 516 523 21 4 5
Angelina 0050017 0 117 860 14 3 0
Angelina 0050018 0 118 266 9 5 3
Angelina 0050019 0 265 703 36 7 13
Angelina 0050020 0 1056 172 8 4 9
Angelina 0050021 0 173 587 18 3 6
Angelina 0050022 0 90 605 11 3 2
Angelina 0050023 0 48 338 6 2 2
Angelina 0050024 0 264 1195 39 8 10
Angelina 0050025 0 210 1110 24 1 7
Angelina 0050026 0 107 968 15 2 4
Angelina 0050027 0 20 211 5 0 1
Angelina 0050028 0 114 573 13 1 8
Angelina 0050029 0 140 803 20 1 3
Angelina 0050030 0 46 564 9 1 2
Angelina 0050031 0 53 157 4 0 0
Angelina 0050032 0 9 66 1 1 0
Angelina 0050033 0 64 757 9 1 4
Angelina 0050034 0 321 994 50 7 15
Angelina 0050035 0 228 913 17 4 7
Angelina 0050036 0 1 2 0 0 0
Angelina 0050037 0 42 228 8 2 1
Angelina 0050038 0 34 191 6 2 1
Angelina 0050039 0 90 211 7 2 2
Angelina 0050040 0 158 320 7 1 6
Angelina 005011b 0 108 574 10 2 4
Angelina 005017b 0 15 237 4 1 2
Aransas 0070001 0 250 1024 30 4 11
Aransas 0070002 0 599 1335 57 7 10
Aransas 0070003 0 701 2146 57 14 27
Aransas 0070004 0 592 1986 64 10 25
Aransas 007001a 0 180 650 14 4 14
Aransas 007004a 0 143 599 16 2 1
Archer 0090001 0 82 784 12 3 4
Archer 0090002 0 57 585 16 2 1
Archer 0090003 0 22 246 3 0 1
Archer 0090004 0 22 458 5 0 1
Archer 0090005 0 9 105 3 0 0
Archer 0090006 0 80 637 19 4 2
Archer 0090007 0 8 126 3 0 0
Archer 0090008 0 17 217 8 0 0
Archer 0090009 0 11 98 2 0 0
Archer 0090010 0 79 453 8 1 4
Archer 0090011 0 7 76 1 0 0
Armstrong 0110101 0 10 218 3 0 0
Armstrong 0110201 0 10 118 7 0 0
Armstrong 0110202 0 7 47 1 2 1
Armstrong 0110301 0 8 202 2 0 1
Armstrong 0110303 0 7 33 0 0 0
Armstrong 0110401 0 9 117 3 0 1
Armstrong 0110402 0 7 121 2 2 0
Armstrong 0110404 0 0 19 0 1 0
Atascosa 0130001 0 124 343 11 2 0
Atascosa 0130002 0 233 320 17 2 2
Atascosa 0130003 0 266 454 25 4 1
Atascosa 0130004 0 29 60 0 0 0
Atascosa 0130005 0 380 414 23 7 3
Atascosa 0130006 0 5 55 1 0 2
Atascosa 0130007 0 306 461 16 1 2
Atascosa 0130008 0 83 196 8 0 0
Atascosa 0130009 0 10 67 2 0 2
Atascosa 0130010 0 200 360 10 2 0
Atascosa 0130011 0 6 36 0 0 0
Atascosa 0130012 0 220 418 7 5 2
Atascosa 0130013 0 354 881 31 6 5
Atascosa 0130014 0 56 153 4 1 0
Atascosa 0130015 0 421 518 18 7 1
Atascosa 0130016 0 41 90 2 1 2
Atascosa 0130017 0 536 337 16 7 0
Atascosa 0130018 0 334 465 14 2 1
Atascosa 0130019 0 70 152 7 4 0
Atascosa 0130020 0 441 1668 57 6 4
Atascosa 0130021 0 21 131 1 0 0
Atascosa 0130022 0 94 336 10 1 3
Atascosa 0130023 0 156 185 4 3 0
Atascosa 0130024 0 265 518 24 4 1
Austin 0150101 0 153 640 21 2 10
Austin 0150102 0 186 649 15 5 15
Austin 0150103 0 124 873 22 3 10
Austin 0150104 0 90 436 6 4 1
Austin 0150205 0 218 1022 22 7 16
Austin 0150206 0 56 347 9 2 5
Austin 0150207 0 23 223 6 3 1
Austin 0150208 0 61 409 7 1 2
Austin 0150209 0 61 336 14 0 3
Austin 0150210 0 68 439 7 0 2
Austin 0150211 0 27 219 6 0 2
Austin 0150312 0 32 365 4 1 4
Austin 0150313 0 274 279 14 2 5
Austin 0150314 0 310 1230 38 7 7
Austin 0150415 0 226 584 20 5 2
Austin 0150416 0 173 603 14 4 2
Austin 0150417 0 121 254 5 2 3
Austin 0150418 0 117 729 18 3 4
Bailey 0170001 0 107 421 16 1 2
Bailey 0170002 0 91 571 9 2 5
Bailey 0170003 0 103 234 8 0 0
Bailey 0170004a 0 85 105 5 2 0
Bailey 0170004b 0 11 13 1 0 0
Bandera 0190101 0 192 894 30 5 0
Bandera 0190102 0 283 1416 47 14 0
Bandera 0190203 0 295 1077 48 3 0
Bandera 0190204 0 224 769 23 8 0
Bandera 0190305 0 119 1289 47 13 0
Bandera 0190306 0 207 762 26 5 0
Bandera 0190407 0 214 1148 24 11 1
Bandera 0190408 0 48 135 2 3 0
Bandera 0190409 0 89 356 9 3 0
Bandera 0190410 0 55 317 6 1 0
Bastrop 0211001 0 641 1206 90 22 41
Bastrop 0211002 0 731 691 52 27 16
Bastrop 0211003 0 705 1125 80 17 27
Bastrop 0211004 0 505 702 46 14 21
Bastrop 0211022 0 646 1028 69 15 22
Bastrop 0212005 0 617 1012 58 20 16
Bastrop 0212006 0 245 620 28 5 12
Bastrop 0212007 0 310 999 48 20 15
Bastrop 0212008 0 173 470 26 4 5
Bastrop 0212009 0 247 471 29 7 10
Bastrop 0212010 0 222 571 28 5 15
Bastrop 0212011 0 492 928 54 27 20
Bastrop 0213012 0 134 437 29 6 4
Bastrop 0213013 0 296 658 22 11 11
Bastrop 0213014 0 570 683 62 18 16
Bastrop 0213015 0 697 579 48 13 20
Bastrop 0213016 0 684 897 59 17 23
Bastrop 0214017 0 721 643 55 21 27
Bastrop 0214018 0 119 276 15 2 9
Bastrop 0214019 0 580 874 53 20 22
Bastrop 0214020 0 994 908 80 21 28
Bastrop 0214021 0 240 550 32 8 5
Baylor 0230001 0 48 359 11 1 3
Baylor 0230002 0 49 309 8 0 2
Baylor 0230003 0 44 268 5 1 1
Baylor 0230004 0 50 331 7 1 1
Bee 0250001 0 473 704 31 6 5
Bee 0250002 0 16 169 3 0 4
Bee 0250003 0 306 465 36 6 0
Bee 0250004 0 54 151 1 1 2
Bee 0250005 0 63 146 9 2 0
Bee 0250006 0 203 433 10 5 0
Bee 0250008 0 37 105 3 0 0
Bee 0250009 0 312 117 14 3 1
Bee 0250010 0 519 235 28 2 0
Bee 0250011 0 50 106 3 0 0
Bee 0250012 0 52 134 5 0 1
Bee 0250013 0 310 450 27 2 3
Bee 0250014 0 54 84 0 0 0
Bee 0250016 0 204 334 14 2 2
Bee 0250017 0 332 312 15 1 4
Bee 0250018 0 248 711 29 2 3
Bee 0250019 0 211 88 10 2 0
Bell 0270101 0 835 2837 184 29 74
Bell 0270102 0 435 1332 97 13 29
Bell 0270103 0 729 1679 86 19 25
Bell 0270104 0 928 3428 170 26 83
Bell 0270105 0 152 798 28 4 5
Bell 0270106 0 1550 817 102 31 24
Bell 0270107 0 105 200 3 0 2
Bell 0270108 0 136 809 30 4 6
Bell 0270109 0 667 471 45 15 9
Bell 0270110 0 225 319 47 6 26
Bell 0270111 0 1012 1917 125 25 36
Bell 0270113 0 30 144 8 2 2
