COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Valdez Abbott Tippetts
Anderson 0010001 0 214 699 11
Anderson 0010002 0 134 1090 13
Anderson 0010003 0 80 593 2
Anderson 0010004 0 77 767 9
Anderson 0010005 0 8 182 1
Anderson 0010006 0 354 286 9
Anderson 0010007 0 427 104 4
Anderson 0010008 0 96 48 4
Anderson 0010009 0 120 576 10
Anderson 0010010 0 17 241 2
Anderson 0010011 0 126 509 10
Anderson 0010013 0 224 635 15
Anderson 0010015 0 48 494 2
Anderson 0010016 0 73 367 8
Anderson 0010017 0 90 350 3
Anderson 0010018 0 162 946 10
Anderson 0010019 0 212 828 10
Anderson 0010020 0 132 417 7
Anderson 0010021 0 109 872 6
Anderson 0010022 0 81 549 4
Anderson 0010023 0 59 716 5
Anderson 0010024 0 25 463 6
Andrews 0030001 0 175 733 6
Andrews 0030002 0 179 1293 17
Andrews 0030003 0 162 818 7
Andrews 0030004 0 171 556 8
Angelina 0050001 0 84 134 1
Angelina 0050002 0 719 276 8
Angelina 0050003 0 150 775 5
Angelina 0050004 0 256 365 4
Angelina 0050005 0 373 525 12
Angelina 0050006 0 33 205 3
Angelina 0050007 0 72 653 3
Angelina 0050008a 0 42 411 4
Angelina 0050008b 0 26 267 3
Angelina 0050009 0 36 158 0
Angelina 0050010a 0 194 232 4
Angelina 0050010b 0 24 28 0
Angelina 0050011 0 95 1110 3
Angelina 0050012 0 74 399 2
Angelina 0050013 0 133 195 7
Angelina 0050014 0 285 781 11
Angelina 0050015 0 52 300 4
Angelina 0050016 0 426 475 7
Angelina 0050017 0 92 844 9
Angelina 0050018 0 101 233 3
Angelina 0050019 0 244 677 13
Angelina 0050020 0 882 159 11
Angelina 0050021 0 143 525 5
Angelina 0050022 0 72 540 4
Angelina 0050023 0 47 301 4
Angelina 0050024 0 234 1006 10
Angelina 0050025 0 177 994 13
Angelina 0050026 0 100 888 10
Angelina 0050027 0 18 203 3
Angelina 0050028 0 112 550 9
Angelina 0050029 0 112 705 7
Angelina 0050030 0 33 517 10
Angelina 0050031 0 50 151 0
Angelina 0050032 0 6 53 0
Angelina 0050033 0 43 686 5
Angelina 0050034 0 271 982 16
Angelina 0050035 0 203 857 9
Angelina 0050036 0 0 0 0
Angelina 0050037 0 38 225 5
Angelina 0050038 0 35 174 0
Angelina 0050039 0 78 194 2
Angelina 0050040 0 143 296 7
Angelina 005011b 0 86 472 6
Angelina 005017b 0 12 180 2
Aransas 0070001 0 199 970 12
Aransas 0070002 0 437 1082 18
Aransas 0070003 0 500 2020 31
Aransas 0070004 0 410 1852 36
Aransas 007001a 0 135 573 3
Aransas 007004a 0 116 578 8
Archer 0090001 0 61 615 2
Archer 0090002 0 47 537 5
Archer 0090003 0 26 192 2
Archer 0090004 0 10 381 4
Archer 0090005 0 6 83 1
Archer 0090006 0 70 541 4
Archer 0090007 0 9 122 1
Archer 0090008 0 23 187 2
Archer 0090009 0 8 95 1
Archer 0090010 0 55 443 5
Archer 0090011 0 8 63 1
Armstrong 0110101 0 8 227 1
Armstrong 0110201 0 19 113 4
Armstrong 0110202 0 6 43 1
Armstrong 0110301 0 8 169 3
Armstrong 0110303 0 7 28 1
Armstrong 0110401 0 5 123 2
Armstrong 0110402 0 6 100 2
Armstrong 0110404 0 0 19 0
Atascosa 0130001 0 84 289 4
Atascosa 0130002 0 178 313 7
Atascosa 0130003 0 190 435 12
Atascosa 0130004 0 15 50 0
Atascosa 0130005 0 301 403 5
Atascosa 0130006 0 1 52 0
Atascosa 0130007 0 197 460 6
Atascosa 0130008 0 76 184 2
Atascosa 0130009 0 9 70 2
Atascosa 0130010 0 186 392 8
Atascosa 0130011 0 7 35 1
Atascosa 0130012 0 195 395 7
Atascosa 0130013 0 301 793 10
Atascosa 0130014 0 42 148 3
Atascosa 0130015 0 321 492 10
Atascosa 0130016 0 45 87 0
Atascosa 0130017 0 439 375 15
Atascosa 0130018 0 221 468 6
Atascosa 0130019 0 48 155 2
Atascosa 0130020 0 347 1574 35
Atascosa 0130021 0 16 127 0
Atascosa 0130022 0 68 332 5
Atascosa 0130023 0 112 167 6
Atascosa 0130024 0 256 565 12
Austin 0150101 0 116 597 10
Austin 0150102 0 152 630 8
Austin 0150103 0 103 808 13
Austin 0150104 0 68 404 3
Austin 0150205 0 169 957 14
Austin 0150206 0 44 309 3
Austin 0150207 0 19 216 3
Austin 0150208 0 49 390 2
Austin 0150209 0 63 335 4
Austin 0150210 0 57 386 4
Austin 0150211 0 23 203 2
Austin 0150312 0 28 357 5
Austin 0150313 0 233 251 2
Austin 0150314 0 277 1120 24
Austin 0150415 0 166 556 4
Austin 0150416 0 126 535 14
Austin 0150417 0 94 241 3
Austin 0150418 0 110 714 5
Bailey 0170001 0 102 383 6
Bailey 0170002 0 79 536 2
Bailey 0170003 0 73 210 4
Bailey 0170004a 0 89 104 5
Bailey 0170004b 0 5 6 0
Bandera 0190101 0 164 845 11
Bandera 0190102 0 253 1326 24
Bandera 0190203 0 259 995 20
Bandera 0190204 0 195 736 15
Bandera 0190305 0 209 1194 10
Bandera 0190306 0 109 807 12
Bandera 0190407 0 223 1188 15
Bandera 0190408 0 48 136 3
Bandera 0190409 0 92 336 5
Bandera 0190410 0 48 303 5
Bastrop 0211001 0 693 1253 42
Bastrop 0211002 0 627 738 36
Bastrop 0211003 0 686 1182 33
Bastrop 0211004 0 526 644 25
Bastrop 0211022 0 633 1081 33
Bastrop 0212005 0 595 952 40
Bastrop 0212006 0 267 602 22
Bastrop 0212007 0 276 997 33
Bastrop 0212008 0 171 437 10
Bastrop 0212009 0 260 463 23
Bastrop 0212010 0 222 578 16
Bastrop 0212011 0 531 954 46
Bastrop 0213012 0 114 432 16
Bastrop 0213013 0 257 643 22
Bastrop 0213014 0 549 673 18
Bastrop 0213015 0 693 525 31
Bastrop 0213016 0 608 872 35
Bastrop 0214017 0 786 661 32
Bastrop 0214018 0 126 282 8
Bastrop 0214019 0 575 860 42
Bastrop 0214020 0 972 1002 53
Bastrop 0214021 0 240 520 24
Baylor 0230001 0 32 313 7
Baylor 0230002 0 33 240 2
Baylor 0230003 0 31 226 2
Baylor 0230004 0 33 313 4
Bee 0250001 0 313 673 10
Bee 0250002 0 11 153 3
Bee 0250003 0 231 479 10
Bee 0250004 0 25 148 2
Bee 0250005 0 37 135 1
Bee 0250006 0 176 421 4
Bee 0250008 0 19 101 2
Bee 0250009 0 193 141 3
Bee 0250010 0 251 269 11
Bee 0250011 0 30 111 1
Bee 0250012 0 41 133 1
Bee 0250013 0 186 466 7
Bee 0250014 0 41 96 0
