DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Angelina 0050001 0 85 129 3 0 0
1 Angelina 0050002 0 732 259 9 0 0
1 Angelina 0050003 0 164 756 8 0 0
1 Angelina 0050004 0 259 355 3 0 0
1 Angelina 0050005 0 375 519 17 0 0
1 Angelina 0050006 0 34 202 4 0 0
1 Angelina 0050007 0 70 626 8 0 0
1 Angelina 0050008A 0 48 398 7 0 0
1 Angelina 0050008B 0 30 255 5 0 0
1 Angelina 0050009 0 44 149 2 0 0
1 Angelina 0050010A 0 193 229 3 0 0
1 Angelina 0050010B 0 24 28 0 0 0
1 Angelina 0050011 0 94 1096 11 0 0
1 Angelina 0050012 0 80 388 7 0 0
1 Angelina 0050013 0 131 190 10 0 0
1 Angelina 0050014 0 295 766 14 0 0
1 Angelina 0050015 0 59 298 2 0 0
1 Angelina 0050016 0 440 445 17 0 0
1 Angelina 0050017 0 108 822 8 0 0
1 Angelina 0050018 0 107 221 6 0 0
1 Angelina 0050019 0 273 644 19 0 0
1 Angelina 0050020 0 893 145 15 0 0
1 Angelina 0050021 0 157 510 5 0 0
1 Angelina 0050022 0 86 523 8 0 0
1 Angelina 0050023 0 44 301 3 0 0
1 Angelina 0050024 0 241 1008 18 0 0
1 Angelina 0050025 0 183 978 11 0 0
1 Angelina 0050026 0 104 883 9 0 0
1 Angelina 0050027 0 21 202 1 0 0
1 Angelina 0050028A 0 99 493 9 0 0
1 Angelina 0050028B 0 11 57 1 0 0
1 Angelina 0050029 0 120 695 11 0 0
1 Angelina 0050030 0 42 508 8 0 0
1 Angelina 0050031 0 50 150 1 0 0
1 Angelina 0050032 0 6 53 0 0 0
1 Angelina 0050033 0 51 670 2 0 0
1 Angelina 0050034 0 306 925 23 0 0
1 Angelina 0050035 0 226 832 7 0 0
1 Angelina 0050036 0 0 6 0 0 0
1 Angelina 0050037 0 44 218 5 0 0
1 Angelina 0050038 0 34 173 1 0 0
1 Angelina 0050039 0 82 187 4 0 0
1 Angelina 0050040 0 156 281 6 0 0
1 Angelina 005011B 0 90 476 6 0 0
1 Angelina 005017B 0 15 182 3 0 0
1 Gregg 1830001 0 255 685 20 0 0
1 Gregg 1830002 0 554 1547 38 0 0
1 Gregg 1830003 0 515 1380 34 0 0
1 Gregg 1830004 0 427 1610 33 0 0
1 Gregg 1830005 0 416 1600 28 0 0
1 Gregg 1830006 0 203 1152 21 0 0
1 Gregg 1830007 0 298 1348 31 0 0
