DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Angelina 0050001 0 117 165 0 0 0
1 Angelina 0050002 0 989 373 0 0 0
1 Angelina 0050003 0 241 1049 0 0 0
1 Angelina 0050004 0 362 472 0 0 0
1 Angelina 0050005 0 464 617 0 0 0
1 Angelina 0050006 0 55 270 0 0 0
1 Angelina 0050007 0 116 923 0 0 0
1 Angelina 0050008a 0 74 509 0 0 0
1 Angelina 0050008b 0 46 339 0 0 0
1 Angelina 0050009 0 61 158 0 0 0
1 Angelina 0050010a 0 339 386 0 0 0
1 Angelina 0050010b 0 42 44 0 0 0
1 Angelina 0050011 0 163 1495 0 0 0
1 Angelina 0050012 0 100 482 0 0 0
1 Angelina 0050013 0 203 227 0 0 0
1 Angelina 0050014 0 435 912 0 0 0
1 Angelina 0050015 0 77 404 0 0 0
1 Angelina 0050016 0 556 652 0 0 0
1 Angelina 0050017 0 130 1127 0 0 0
1 Angelina 0050018 0 145 314 0 0 0
1 Angelina 0050019 0 355 719 0 0 0
1 Angelina 0050020 0 1092 226 0 0 0
1 Angelina 0050021 0 214 616 0 0 0
1 Angelina 0050022 0 89 747 0 0 0
1 Angelina 0050023 0 73 410 0 0 0
1 Angelina 0050024 0 353 1327 0 0 0
1 Angelina 0050025 0 250 1288 0 0 0
1 Angelina 0050026 0 156 1089 0 0 0
1 Angelina 0050027 0 25 256 0 0 0
1 Angelina 0050028 0 136 707 0 0 0
1 Angelina 0050029 0 142 941 0 0 0
1 Angelina 0050030 0 63 687 0 0 0
1 Angelina 0050031 0 60 225 0 0 0
1 Angelina 0050032 0 6 73 0 0 0
1 Angelina 0050033 0 67 889 0 0 0
1 Angelina 0050034 0 462 1111 0 0 0
1 Angelina 0050035 0 314 1008 0 0 0
1 Angelina 0050036 0 0 0 0 0 0
1 Angelina 0050037 0 68 302 0 0 0
1 Angelina 0050038 0 46 241 0 0 0
1 Angelina 0050039 0 109 232 0 0 0
1 Angelina 0050040 0 195 335 0 0 0
1 Angelina 005011b 0 119 634 0 0 0
1 Angelina 005017b 0 17 278 0 0 0
1 Gregg 1830001 0 379 804 0 0 0
1 Gregg 1830002 0 820 1900 0 0 0
1 Gregg 1830003 0 754 1689 0 0 0
1 Gregg 1830004 0 579 1936 0 0 0
1 Gregg 1830005 0 600 2126 0 0 0
1 Gregg 1830006 0 319 1505 0 0 0
1 Gregg 1830007 0 434 1920 0 0 0
1 Gregg 1830008 0 878 2250 0 0 0
1 Gregg 1830009 0 919 2056 0 0 0
1 Gregg 1830010 0 972 1665 0 0 0
1 Gregg 1830011 0 743 2166 0 0 0
1 Gregg 1830012 0 415 2871 0 0 0
1 Gregg 1830013 0 459 1495 0 0 0
1 Gregg 1830014 0 477 2711 0 0 0
1 Gregg 1830015 0 274 584 0 0 0
1 Gregg 1830016 0 503 2338 0 0 0
1 Gregg 1830017 0 253 281 0 0 0
1 Gregg 1830018 0 1154 1123 0 0 0
1 Gregg 1830019 0 1646 331 0 0 0
1 Gregg 1830020 0 1114 440 0 0 0
1 Gregg 1830021 0 1072 501 0 0 0
1 Harrison 2030001 0 491 978 0 0 0
1 Harrison 2030002 0 682 393 0 0 0
1 Harrison 2030003 0 845 115 0 0 0
1 Harrison 2030004 0 441 648 0 0 0
1 Harrison 2030005 0 124 552 0 0 0
1 Harrison 2030006 0 189 954 0 0 0
1 Harrison 2030007 0 167 466 0 0 0
1 Harrison 2030008 0 525 1293 0 0 0
1 Harrison 2030009 0 253 780 0 0 0
1 Harrison 2030010 0 170 613 0 0 0
1 Harrison 2030011 0 130 216 0 0 0
1 Harrison 2030012 0 544 3115 0 0 0
1 Harrison 2030013 0 136 987 0 0 0
1 Harrison 2030014 0 205 776 0 0 0
1 Harrison 2030015 0 73 753 0 0 0
1 Harrison 2030016 0 61 390 0 0 0
1 Harrison 2030017 0 477 583 0 0 0
1 Harrison 2030018 0 108 494 0 0 0
1 Harrison 2030019 0 453 1973 0 0 0
1 Harrison 2030020 0 353 1339 0 0 0
1 Harrison 2030021 0 144 380 0 0 0
1 Harrison 2030022 0 590 396 0 0 0
1 Harrison 2030023 0 30 413 0 0 0
1 Harrison 2030024 0 71 366 0 0 0
1 Harrison 2030025 0 416 2286 0 0 0
1 Harrison 2030026 0 75 308 0 0 0
